Raw EMG - Pod01,Raw EMG - Pod02,Raw EMG - Pod03,Raw EMG - Pod04,Raw EMG - Pod05,Raw EMG - Pod06,Raw EMG - Pod07,Raw EMG - Pod08,Timestamp
0,0,5,-4,-5,-1,-4,-5,2021-06-22 12:29:57.648
-5,5,-9,2,0,-2,-7,-59,2021-06-22 12:29:57.655
-5,5,-9,2,0,-2,-7,-59,2021-06-22 12:29:57.658
-5,5,-9,2,0,-2,-7,-59,2021-06-22 12:29:57.661
-5,5,-9,2,0,-2,-7,-59,2021-06-22 12:29:57.665
6,-6,-6,-1,-2,-1,1,1,2021-06-22 12:29:57.668
6,-6,-6,-1,-2,-1,1,1,2021-06-22 12:29:57.676
6,-6,-6,-1,-2,-1,1,1,2021-06-22 12:29:57.680
6,-6,-6,-1,-2,-1,1,1,2021-06-22 12:29:57.684
-1,-12,2,-3,-1,-5,-5,5,2021-06-22 12:29:57.689
2,-3,4,-5,0,-2,1,15,2021-06-22 12:29:57.694
2,-3,4,-5,0,-2,1,15,2021-06-22 12:29:57.698
2,-3,4,-5,0,-2,1,15,2021-06-22 12:29:57.702
4,-1,2,0,-2,3,-1,-20,2021-06-22 12:29:57.707
-4,9,17,-2,-1,-3,9,-3,2021-06-22 12:29:57.711
-4,9,17,-2,-1,-3,9,-3,2021-06-22 12:29:57.715
-4,9,17,-2,-1,-3,9,-3,2021-06-22 12:29:57.719
-4,9,17,-2,-1,-3,9,-3,2021-06-22 12:29:57.723
2,-6,-25,-1,-2,1,-1,12,2021-06-22 12:29:57.727
2,-6,-25,-1,-2,1,-1,12,2021-06-22 12:29:57.732
2,-6,-25,-1,-2,1,-1,12,2021-06-22 12:29:57.736
2,-6,-25,-1,-2,1,-1,12,2021-06-22 12:29:57.741
-1,-11,15,1,0,0,0,20,2021-06-22 12:29:57.753
-1,-11,15,1,0,0,0,20,2021-06-22 12:29:57.757
-1,-11,15,1,0,0,0,20,2021-06-22 12:29:57.762
1,5,-13,-1,0,-2,-1,5,2021-06-22 12:29:57.766
-8,7,-1,-3,0,-1,-4,-16,2021-06-22 12:29:57.770
-8,7,-1,-3,0,-1,-4,-16,2021-06-22 12:29:57.775
-8,7,-1,-3,0,-1,-4,-16,2021-06-22 12:29:57.780
-8,7,-1,-3,0,-1,-4,-16,2021-06-22 12:29:57.784
-2,4,-7,-1,-3,-1,-1,2,2021-06-22 12:29:57.788
-2,4,-7,-1,-3,-1,-1,2,2021-06-22 12:29:57.794
-2,4,-7,-1,-3,-1,-1,2,2021-06-22 12:29:57.800
-2,4,-7,-1,-3,-1,-1,2,2021-06-22 12:29:57.804
12,-5,-16,-2,2,2,1,28,2021-06-22 12:29:57.809
5,6,-2,1,0,0,1,15,2021-06-22 12:29:57.814
5,6,-2,1,0,0,1,15,2021-06-22 12:29:57.818
