EMG 1,EMG 2,EMG 3,EMG 4,EMG 5,EMG 6,EMG 7,EMG 8,Timestamp,Milliseconds
-4,-3,-7,-8,-8,-8,-4,-3,2021-08-06 14:06:21,528238
-4,-6,-6,-15,-19,-7,-5,-4,2021-08-06 14:06:21,528238
4,5,8,31,33,17,8,4,2021-08-06 14:06:21,528238
1,4,14,23,6,3,2,-1,2021-08-06 14:06:21,528238
6,10,14,21,34,23,11,7,2021-08-06 14:06:21,528238
-15,-19,-35,-84,-81,-50,-25,-17,2021-08-06 14:06:21,528238
-3,-4,-4,-2,19,10,2,2,2021-08-06 14:06:21,528238
-2,-3,-11,-1,9,6,1,-1,2021-08-06 14:06:21,528238
-2,-1,3,6,-3,-6,-2,-2,2021-08-06 14:06:21,560187
6,8,14,34,27,17,10,5,2021-08-06 14:06:21,576237
-1,0,0,-9,-15,-4,-2,-1,2021-08-06 14:06:21,576237
-3,-4,0,-10,-18,-11,-8,-3,2021-08-06 14:06:21,576237
10,10,17,41,47,27,12,9,2021-08-06 14:06:21,576237
2,2,1,5,5,4,1,2,2021-08-06 14:06:21,576237
-7,-8,-15,-38,-31,-17,-8,-8,2021-08-06 14:06:21,576237
-5,-7,-7,-13,-7,-4,-5,-2,2021-08-06 14:06:21,576237
-8,-9,-13,-26,-31,-18,-11,-7,2021-08-06 14:06:21,576237
6,10,14,30,31,17,9,8,2021-08-06 14:06:21,576237
1,2,6,13,4,3,2,1,2021-08-06 14:06:21,608186
-2,-2,-8,-15,-10,-6,-2,-1,2021-08-06 14:06:21,608186
-4,-6,-5,-5,-8,-6,-3,-4,2021-08-06 14:06:21,608186
3,3,6,20,23,13,7,4,2021-08-06 14:06:21,608186
1,-1,0,-2,-7,-4,-3,-2,2021-08-06 14:06:21,624237
1,0,1,-1,2,2,1,3,2021-08-06 14:06:21,640221
8,8,7,11,16,9,5,6,2021-08-06 14:06:21,656211
0,-1,-1,-3,1,1,0,0,2021-08-06 14:06:21,656211
1,1,4,14,15,9,2,1,2021-08-06 14:06:21,656211
-5,-6,-6,-11,-19,-11,-6,-3,2021-08-06 14:06:21,656211
-2,1,-1,0,6,2,0,-1,2021-08-06 14:06:21,668222
0,-1,-5,-7,10,5,2,1,2021-08-06 14:06:21,668222
3,3,7,18,25,17,6,3,2021-08-06 14:06:21,668222
3,2,6,12,8,3,0,0,2021-08-06 14:06:21,668222
-3,-4,-2,-9,-14,-10,-5,-4,2021-08-06 14:06:21,668222
-5,-8,-19,-32,-42,-25,-12,-6,2021-08-06 14:06:21,668222
-2,-6,-17,-17,-1,1,0,-1,2021-08-06 14:06:21,688187
2,2,6,12,18,9,4,1,2021-08-06 14:06:21,688187
