EMG 1,EMG 2,EMG 3,EMG 4,EMG 5,EMG 6,EMG 7,EMG 8,Timestamp,Milliseconds
-4,-91,-10,-5,-4,-3,-2,-1,2021-08-05 17:19:02,703914
3,-11,-14,5,7,5,4,5,2021-08-05 17:19:02,704080
-3,38,-5,-6,-5,-4,-3,-5,2021-08-05 17:19:02,719679
0,-40,-3,-3,0,1,0,2,2021-08-05 17:19:02,719679
-3,37,7,4,2,1,0,-1,2021-08-05 17:19:02,719679
-3,26,5,-7,-6,-5,-3,-3,2021-08-05 17:19:02,719679
-1,-59,-1,-1,1,1,-1,0,2021-08-05 17:19:02,719679
3,116,14,7,2,2,2,5,2021-08-05 17:19:02,719679
-1,-44,-2,-2,0,0,0,1,2021-08-05 17:19:02,719679
-5,-98,-17,-1,0,0,-1,1,2021-08-05 17:19:02,719679
-1,37,5,-6,-7,-4,-4,-6,2021-08-05 17:19:02,735677
-13,-10,-17,-9,-1,-2,-3,-7,2021-08-05 17:19:02,735677
6,35,22,8,1,0,-1,2,2021-08-05 17:19:02,735677
13,40,17,3,0,0,0,3,2021-08-05 17:19:02,735677
-11,-11,-12,5,5,4,4,2,2021-08-05 17:19:02,751676
-21,-106,-38,-7,-6,-7,-5,-10,2021-08-05 17:19:02,751676
2,93,10,-7,-7,-3,-5,-7,2021-08-05 17:19:02,766737
5,-74,1,-1,1,1,1,2,2021-08-05 17:19:02,766737
8,13,3,-4,-3,-3,-3,1,2021-08-05 17:19:02,782787
3,8,3,6,6,6,2,5,2021-08-05 17:19:02,782787
-10,7,-10,-4,0,-3,-2,-5,2021-08-05 17:19:02,782787
0,25,8,-1,-4,-4,-2,-5,2021-08-05 17:19:02,782787
3,44,18,8,6,3,3,4,2021-08-05 17:19:02,812791
-1,-54,8,2,-2,-3,1,0,2021-08-05 17:19:02,813678
-8,-12,12,-10,-9,-8,-7,-5,2021-08-05 17:19:02,858678
-3,23,13,8,6,3,2,1,2021-08-05 17:19:02,873677
14,-17,-16,1,1,2,3,4,2021-08-05 17:19:02,889677
-20,12,5,-4,-3,-1,-1,-2,2021-08-05 17:19:02,889677
14,-10,-16,-1,-1,0,1,0,2021-08-05 17:19:02,889677
-18,14,8,-6,-5,-6,-5,-7,2021-08-05 17:19:02,889677
0,42,21,0,0,-1,-1,-2,2021-08-05 17:19:02,889677
10,-92,-6,3,1,0,1,2,2021-08-05 17:19:02,889677
5,34,0,0,1,0,2,5,2021-08-05 17:19:02,889677
3,-2,5,1,-1,1,1,-5,2021-08-05 17:19:02,890679
-15,-55,-32,-6,-5,-4,-4,-6,2021-08-05 17:19:02,890679
2,48,9,-6,-8,-6,-5,-4,2021-08-05 17:19:02,890679
-7,6,1,2,1,-1,2,-1,2021-08-05 17:19:02,890679
9,-4,13,7,3,1,1,6,2021-08-05 17:19:02,890679
-4,11,12,1,-1,0,0,-1,2021-08-05 17:19:02,890679
-2,-5,-23,1,5,3,0,0,2021-08-05 17:19:02,890679
-1,-28,5,6,1,-1,0,1,2021-08-05 17:19:02,890679
1,-4,-14,-3,-3,-1,0,3,2021-08-05 17:19:02,890679
5,15,7,-3,-3,-3,-3,-4,2021-08-05 17:19:02,921839
-20,5,-2,-3,-5,-4,-5,-2,2021-08-05 17:19:02,936801
4,38,15,1,3,2,-2,-2,2021-08-05 17:19:02,936801
4,-52,-12,2,4,2,0,3,2021-08-05 17:19:02,936801
0,4,1,-3,-4,-2,-2,-1,2021-08-05 17:19:02,936801
10,42,8,4,1,1,2,1,2021-08-05 17:19:02,937574
-6,-25,9,-1,-3,-2,-2,-2,2021-08-05 17:19:02,937730
7,103,7,-3,0,1,-1,1,2021-08-05 17:19:02,937819
-1,-104,3,8,3,2,1,4,2021-08-05 17:19:02,967783
-3,33,-26,1,2,1,1,0,2021-08-05 17:19:02,983677
-3,-36,-6,-8,-6,-5,-5,-4,2021-08-05 17:19:02,983677
