Timestamp,Milliseconds,Angle,Angular Velocity,Sensor 1,Sensor 2,Sensor 3
,,,,,,
42:23.8,767126,66.3167489,86.44831344,[  1.72805488 -14.24265862  13.81443596],[  0.44049194 -12.79861259  11.6645565 ],[  1.70020628 -14.79102421  10.90941334]
,,,,,,
42:23.8,771127,66.39047003,18.4256777,[  1.72423065 -14.23991013  13.81785202],[  0.44199219 -12.79847622  11.66508102],[  1.69859278 -14.79231358  10.91216755]
,,,,,,
42:23.8,776170,66.36009218,6.023767176,[  1.72491467 -14.23643112  13.82140541],[  0.442853   -12.7968874   11.66700745],[  1.70116556 -14.79165554  10.91697598]
,,,,,,
42:23.8,780160,66.50315018,35.85413699,[  1.72472823 -14.23462772  13.82302666],[  0.44745231 -12.79839516  11.6646452 ],[  1.70266664 -14.79424095  10.91463566]
,,,,,,
42:23.8,784151,66.60295298,25.00696537,[  1.72569883 -14.22747517  13.82889462],[  0.44771749 -12.79667664  11.6667881 ],[  1.70922554 -14.79689217  10.91484165]
,,,,,,
42:23.8,788159,66.75741971,38.53960219,[  1.72433901 -14.22076702  13.83554268],[  0.45077175 -12.79747486  11.66535664],[  1.71176744 -14.79777813  10.9172287 ]
,,,,,,
42:23.8,792125,66.8757673,29.84054177,[  1.72505498 -14.21142387  13.84283829],[  0.45154956 -12.7962141   11.66676235],[  1.71466398 -14.79837894  10.9206419 ]
,,,,,,
42:23.8,797148,66.95795558,16.36238976,[  1.72210503 -14.20583439  13.84894562],[  0.45405194 -12.79275799  11.66986561],[  1.71438825 -14.79881573  10.92484283]
,,,,,,
42:23.8,801122,67.19591518,59.87911383,[  1.72015119 -14.19423103  13.8596859 ],[  0.46219701 -12.79010773  11.67075157],[  1.7187984  -14.79680634  10.93030548]
,,,,,,
42:23.8,805122,67.36917941,43.31605911,[  1.70957971 -14.18823719  13.86613846],[  0.46236464 -12.79139423  11.6696682 ],[  1.71958971 -14.79700851  10.93375397]
,,,,,,
42:23.8,809149,67.45696893,21.80022663,[  1.71347487 -14.17964745  13.873353  ],[  0.46435219 -12.7892046   11.67095184],[  1.71856761 -14.79655743  10.93821239]
,,,,,,
42:23.8,813146,67.72109329,66.08065064,[  1.7020942  -14.16804981  13.8830328 ],[  0.46411783 -12.78579235  11.6734581 ],[  1.72242796 -14.79766083  10.93956184]
,,,,,,
42:23.8,817148,67.89435738,43.29437574,[  1.69959569 -14.15685177  13.89216614],[  0.46488205 -12.78170204  11.67633152],[  1.72486413 -14.79827309  10.94222355]
,,,,,,
42:23.8,821123,68.20864892,79.06705357,[  1.69094539 -14.14693451  13.90074921],[  0.46807495 -12.77905846  11.67803097],[  1.72183907 -14.79954624  10.94291115]
,,,,,,
42:23.8,826119,68.32156733,22.60176473,[  1.69245923 -14.13920403  13.90815639],[  0.46741328 -12.77734566  11.67910194],[  1.72481394 -14.79970551  10.94408131]
,,,,,,
42:23.8,830124,68.35519877,8.397361466,[  1.6884315  -14.13811588  13.90966988],[  0.46903086 -12.77727318  11.67784786],[  1.72375488 -14.79998493  10.94606686]
,,,,,,
42:23.8,834160,68.67903284,80.23639188,[  1.68478072 -14.12277699  13.92063713],[  0.47093403 -12.77541351  11.67786884],[  1.72784543 -14.80138016  10.94655514]
,,,,,,
42:23.8,838160,68.81647211,34.35981624,[  1.67680323 -14.11514664  13.92640972],[  0.47045273 -12.77530575  11.6765337 ],[  1.72463024 -14.80150223  10.95090675]
,,,,,,
42:23.8,842161,69.07958429,65.76160549,[  1.66524017 -14.10317993  13.93702602],[  0.46922031 -12.77280045  11.67794991],[  1.72780538 -14.80057526  10.95346928]
,,,,,,
42:23.8,846160,69.39016498,77.66458919,[  1.66356695 -14.0885725   13.94691181],[  0.47088915 -12.77018261  11.67854214],[  1.72842312 -14.80154419  10.95333004]
,,,,,,
42:23.9,851125,69.67386985,57.14095884,[  1.6579051  -14.07328129  13.95874023],[  0.47098222 -12.76768303  11.679039  ],[  1.73228264 -14.79990005  10.95604992]
,,,,,,
42:23.9,855124,69.74570799,17.96402709,[  1.64638662 -14.07043457  13.9593811 ],[  0.47098276 -12.7644577   11.67944336],[  1.72838175 -14.8001442   10.95746422]
,,,,,,
42:23.9,859158,70.16751607,104.5632317,[  1.63521111 -14.05098343  13.97521687],[  0.46895459 -12.75891685  11.68277073],[  1.72714746 -14.80044746  10.95908451]
,,,,,,
42:23.9,863149,70.43635367,67.36096319,[  1.63720846 -14.03799725  13.98347282],[  0.47125679 -12.75676441  11.68237209],[  1.72866178 -14.80160046  10.95769405]
,,,,,,
42:23.9,867127,70.57344242,34.46172582,[  1.62394011 -14.03294849  13.98628902],[  0.47483075 -12.75728893  11.67925358],[  1.72725284 -14.79935741  10.96291733]
,,,,,,
42:23.9,871126,70.80896986,58.89658441,[  1.6236583  -14.01539135  13.99712944],[  0.47301251 -12.75251675  11.6817627 ],[  1.73208296 -14.79911995  10.96422958]
,,,,,,
42:23.9,876125,71.03767734,45.75064719,[  1.61252809 -14.00607395  14.00274372],[  0.47446427 -12.74753952  11.68483639],[  1.73060703 -14.79924774  10.96528816]
,,,,,,
42:23.9,880125,71.25486625,54.29722801,[  1.60991895 -13.99310207  14.00982571],[  0.47427067 -12.74644756  11.6838274 ],[  1.73032475 -14.79868126  10.96716785]
,,,,,,
42:23.9,884125,71.56196575,76.77487511,[  1.60122764 -13.97943878  14.02067661],[  0.47322148 -12.74304295  11.68449593],[  1.73032832 -14.79848766  10.96770668]
,,,,,,
42:23.9,888126,71.88116764,79.7805262,[  1.59120023 -13.96425152  14.03132534],[  0.47435707 -12.7390461   11.6854248 ],[  1.72706795 -14.7980051   10.97095585]
,,,,,,
42:23.9,892126,72.10945983,57.07304792,[  1.58851981 -13.94934273  14.04027748],[  0.47526556 -12.73595238  11.68600845],[  1.72424972 -14.79590034  10.97530365]
,,,,,,
42:23.9,897126,72.25800303,29.70864024,[  1.58045149 -13.9431448   14.04185009],[  0.47784993 -12.73255444  11.68701649],[  1.72362602 -14.79681778  10.97553635]
,,,,,,
42:23.9,901154,72.54134951,70.34421069,[  1.57094288 -13.93005371  14.05068016],[  0.47722802 -12.72886086  11.68858337],[  1.72371256 -14.79861069  10.97611332]
,,,,,,
