Timestamp,Milliseconds,Angle,Angular Velocity,Sensor 1,Sensor 2,Sensor 3
,,,,,,
25:37.2,195533,74.09988197,378.963561,[  0.6002019   10.45515251 -13.89121914],[  1.9032681    9.53901291 -11.29302692],[  0.68999326  11.52109718 -10.75237751]
,,,,,,
25:37.2,199533,73.97877889,30.27576981,[  0.59530658  10.46533203 -13.88865566],[  1.90241575   9.54424572 -11.29253578],[  0.6890794   11.52270699 -10.75212193]
,,,,,,
25:37.2,203533,73.7662315,53.13684758,[  0.59108889  10.47682667 -13.88445759],[  1.90567589   9.54810524 -11.29275513],[  0.68865925  11.52484989 -10.75149727]
,,,,,,
25:37.2,208533,73.55989131,41.26803719,[  0.585527    10.49057961 -13.87916851],[  1.90678573   9.55053902 -11.29437256],[  0.69224203  11.52667046 -10.75079346]
,,,,,,
25:37.2,212533,73.3395087,55.09565316,[  0.58093888  10.50373459 -13.87522888],[  1.90848505   9.55167294 -11.29643917],[  0.69286901  11.52888107 -10.74994373]
,,,,,,
25:37.2,216534,73.15355209,46.47753336,[  0.58139563  10.51729393 -13.87028217],[  1.90845358   9.55462265 -11.29751396],[  0.69332916  11.5298214  -10.75047112]
,,,,,,
25:37.2,220534,72.9790107,43.63534541,[  0.57452941  10.52536583 -13.86778069],[  1.91113114   9.55740452 -11.29829407],[  0.69319534  11.53164291 -10.75025272]
,,,,,,
25:37.2,224533,72.83165994,36.84690212,[  0.56997836  10.53620625 -13.86432457],[  1.91109526   9.56187534 -11.29847431],[  0.69205076  11.5344286  -10.74967575]
,,,,,,
25:37.2,228534,72.82326025,2.099397386,[  0.57095283  10.54310989 -13.86290741],[  1.91224635   9.56515598 -11.29919434],[  0.69553405  11.53704357 -10.7483387 ]
,,,,,,
25:37.2,233534,72.73298269,18.05551367,[  0.56838334  10.55453205 -13.85837364],[  1.91349769   9.56882191 -11.29894543],[  0.69949526  11.54178047 -10.74491024]
,,,,,,
25:37.2,237532,72.51265058,55.11058109,[  0.56646401  10.56410694 -13.85520744],[  1.91682863   9.57069302 -11.30042076],[  0.70137602  11.54179192 -10.74724388]
,,,,,,
25:37.2,241532,72.37313145,34.87978241,[  0.56775784  10.5742321  -13.8518095 ],[  1.91748691   9.57420921 -11.30031013],[  0.70217115  11.54243946 -10.74821091]
,,,,,,
25:37.2,245533,72.31837493,13.68570927,[  0.56400985  10.58073044 -13.85035515],[  1.91811049   9.57648087 -11.30127811],[  0.70434314  11.54538918 -10.74693203]
,,,,,,
25:37.2,249533,72.23294398,21.35773856,[  0.56656885  10.58929539 -13.84763718],[  1.9206022    9.58043957 -11.30096817],[  0.70628148  11.54752445 -10.74646664]
,,,,,,
25:37.3,253534,72.15452854,19.598959,[  0.56664497  10.59432316 -13.84739971],[  1.922171     9.58207893 -11.3019743 ],[  0.70790172  11.54917908 -10.74779224]
,,,,,,
25:37.3,258532,71.98333266,34.25287654,[  0.568501    10.60342503 -13.84473515],[  1.92492259   9.58490372 -11.30228996],[  0.70866066  11.5497942  -10.74968338]
,,,,,,
25:37.3,262532,71.9541315,7.300292058,[  0.56754959  10.60641384 -13.84599686],[  1.92747021   9.58702087 -11.30278873],[  0.70938367  11.55275536 -10.74945927]
,,,,,,
25:37.3,266532,71.83037832,30.93829501,[  0.56643641  10.61518478 -13.84318352],[  1.92849123   9.58957481 -11.30325317],[  0.70859021  11.55551815 -10.74879742]
,,,,,,
25:37.3,270533,71.82484909,1.381961654,[  0.56645048  10.61728287 -13.84409618],[  1.93037939   9.59167385 -11.30373669],[  0.71039456  11.55839825 -10.74900818]
,,,,,,
25:37.3,274533,71.68144092,35.85204114,[  0.56569606  10.6230135  -13.84366226],[  1.93175018   9.59304237 -11.30453396],[  0.71008831  11.55830956 -10.7517519 ]
,,,,,,
25:37.3,278532,71.73335982,12.98297119,[  0.56916809  10.62774754 -13.8440237 ],[  1.9313091    9.59486294 -11.30574894],[  0.71434158  11.56130981 -10.75116444]
,,,,,,
25:37.3,283532,71.69165195,8.341573963,[  0.57561326  10.635746   -13.84223461],[  1.93128932   9.59734631 -11.30606937],[  0.71628988  11.56203365 -10.75183105]
,,,,,,
25:37.3,287532,71.6257208,16.48278966,[  0.57427835  10.63654518 -13.8439064 ],[  1.9347595    9.59636688 -11.30867004],[  0.71492648  11.56466484 -10.75243664]
,,,,,,
25:37.3,291533,71.52626954,24.85659864,[  0.57756841  10.64344883 -13.8417778 ],[  1.93706381   9.5994606  -11.30807877],[  0.71686071  11.56632328 -10.75349903]
,,,,,,
25:37.3,295533,71.65046725,31.04942527,[  0.58299965  10.64034557 -13.84709072],[  1.93796015   9.60087395 -11.30881882],[  0.71847445  11.56829929 -10.75519466]
,,,,,,
25:37.3,299533,71.65645855,1.497826552,[  0.58649415  10.64239788 -13.84766769],[  1.93781686   9.60104465 -11.31050587],[  0.71879798  11.56985664 -10.75617218]
,,,,,,
25:37.3,303533,71.65748194,0.255847717,[  0.58961874  10.64381027 -13.85004234],[  1.93821943   9.60209656 -11.31138611],[  0.71787494  11.57148647 -10.75783348]
,,,,,,
25:37.3,308532,71.72551385,13.60910299,[  0.58967805  10.64189529 -13.85321808],[  1.93992782   9.60316563 -11.31228828],[  0.72053963  11.57381153 -10.75823689]
,,,,,,
25:37.3,312532,71.72875114,0.8093233,[  0.59798086  10.64146709 -13.85533524],[  1.94149244   9.60362816 -11.31324959],[  0.71923369  11.57333183 -10.76146984]
,,,,,,
25:37.3,316532,71.77342946,11.16957923,[  0.60304862  10.64230728 -13.85712814],[  1.94395566   9.60599518 -11.31310463],[  0.7217983   11.57506847 -10.76207352]
,,,,,,
25:37.3,320532,71.89991126,31.62045107,[  0.61038166  10.64114571 -13.86001968],[  1.94348955   9.60669041 -11.31391907],[  0.72244072  11.57810116 -10.7620573 ]
,,,,,,
25:37.3,324533,71.89051812,2.347698718,[  0.61230934  10.64096069 -13.86236191],[  1.94548965   9.60773468 -11.31441402],[  0.72215343  11.57820702 -10.76386833]
,,,,,,
25:37.3,328533,71.9339281,10.85249429,[  0.61768037  10.63835239 -13.86674404],[  1.94704473   9.60550308 -11.31673241],[  0.72250187  11.57902527 -10.76599598]
,,,,,,
25:37.3,332532,72.03575549,25.46321332,[  0.62403524  10.63427353 -13.87037373],[  1.94834006   9.60551739 -11.3170042 ],[  0.72401613  11.58053017 -10.7673645 ]
,,,,,,
