Timestamp,Milliseconds,Angle,Angular Velocity,Sensor 1,Sensor 2,Sensor 3
,,,,,,
44:53.4,433475,77.10825572,177.8839742,[  3.3216722  -12.42094421  13.27921581],[  2.39538789 -11.61531544  10.66453075],[  3.88442016 -13.62506104  10.14733028]
,,,,,,
44:53.4,437439,77.09665276,2.927083366,[  3.32024431 -12.43019199  13.27888966],[  2.39684796 -11.62031841  10.6646719 ],[  3.88394809 -13.62610722  10.14716053]
,,,,,,
44:53.4,442462,76.85554753,48.00024444,[  3.33155489 -12.44233322  13.27499008],[  2.39484668 -11.62522888  10.66538048],[  3.88188219 -13.6285038   10.14624786]
,,,,,,
44:53.4,446442,76.66274318,48.44330581,[  3.33911228 -12.45378017  13.27326679],[  2.39360452 -11.62926197  10.66691113],[  3.88025308 -13.63005352  10.14655972]
,,,,,,
44:53.5,450440,76.38116416,70.42996911,[  3.34057546 -12.47072411  13.26666927],[  2.39060593 -11.63315678  10.66904259],[  3.88012433 -13.63181973  10.14700794]
,,,,,,
44:53.5,454442,76.2479514,33.28654632,[  3.35302782 -12.48090172  13.2633028 ],[  2.39150643 -11.63850975  10.66870689],[  3.87862825 -13.6373558   10.14338017]
,,,,,,
44:53.5,458440,76.04049703,51.88953664,[  3.35617089 -12.49453449  13.25988197],[  2.38786674 -11.64286137  10.67115211],[  3.87588096 -13.63882923  10.14376736]
,,,,,,
44:53.5,462439,75.99992085,10.14658269,[  3.3591032  -12.50450897  13.26062012],[  2.3859725  -11.64857101  10.6714859 ],[  3.87126899 -13.64418602  10.14161873]
,,,,,,
44:53.5,467440,75.8103847,37.89965017,[  3.37043405 -12.51641369  13.25710106],[  2.38649225 -11.65194798  10.67366219],[  3.87331462 -13.64692211  10.1392374 ]
,,,,,,
44:53.5,471440,75.58408809,56.57415274,[  3.37293673 -12.53434086  13.24939346],[  2.3869288  -11.65621281  10.67434025],[  3.87142372 -13.64988518  10.1375103 ]
,,,,,,
44:53.5,475439,75.36702846,54.27847544,[  3.37400079 -12.54802608  13.24614811],[  2.38383698 -11.66149998  10.6756916 ],[  3.8741262  -13.65071774  10.1387434 ]
,,,,,,
44:53.5,479441,75.16950679,49.35574022,[  3.38189721 -12.56014919  13.24247742],[  2.382797   -11.66642666  10.67675018],[  3.87289453 -13.65277386  10.13836193]
,,,,,,
44:53.5,483469,74.96162984,51.60798204,[  3.38588881 -12.57616329  13.23834419],[  2.38114142 -11.67050552  10.6785574 ],[  3.86961198 -13.65605354  10.13719177]
,,,,,,
44:53.5,487465,74.71579035,61.52139306,[  3.3914659  -12.59353256  13.2308073 ],[  2.3818841  -11.67559624  10.67823315],[  3.86773396 -13.65946388  10.13555622]
,,,,,,
44:53.5,492440,74.49043767,45.29702239,[  3.4029882  -12.60569763  13.22613907],[  2.38062859 -11.68142986  10.67811108],[  3.86553025 -13.66355801  10.13418865]
,,,,,,
44:53.5,496439,74.3894353,25.25690531,[  3.40729332 -12.61665249  13.22410107],[  2.3764956  -11.68816376  10.67779922],[  3.86886072 -13.66613007  10.13005161]
,,,,,,
44:53.5,500441,74.19381278,48.88119139,[  3.41110587 -12.63225269  13.21864796],[  2.37761045 -11.69392014  10.67634773],[  3.86792898 -13.6690464   10.12897015]
,,,,,,
44:53.5,504442,73.86766316,81.51702531,[  3.41864085 -12.64828968  13.21081066],[  2.37581968 -11.6970253   10.67832279],[  3.86657858 -13.67110252  10.12901402]
,,,,,,
44:53.5,508485,73.73569791,32.64042717,[  3.42661119 -12.65705585  13.21021461],[  2.37744999 -11.70221043  10.67737103],[  3.87062526 -13.6722393   10.12899494]
,,,,,,
44:53.5,512440,73.41934819,79.98728684,[  3.43430614 -12.67373562  13.20047188],[  2.37492442 -11.70848751  10.67620659],[  3.86956286 -13.67538261  10.12724304]
,,,,,,
44:53.5,517441,73.3475639,14.35398746,[  3.43848896 -12.68799496  13.19538307],[  2.37524843 -11.7143259   10.67516041],[  3.86672759 -13.68161488  10.12118626]
,,,,,,
44:53.5,521448,73.168055,44.79882657,[  3.44093227 -12.70183182  13.18942833],[  2.37327003 -11.71899509  10.67480469],[  3.86371326 -13.68599606  10.11893749]
,,,,,,
44:53.5,525467,72.95588961,52.79059171,[  3.44629121 -12.71648693  13.18281078],[  2.37125921 -11.7246294   10.67324638],[  3.8637259  -13.69007969  10.11547852]
,,,,,,
44:53.5,529441,72.7275755,57.45196519,[  3.45624399 -12.72921371  13.1760006 ],[  2.370121   -11.72836113  10.67375946],[  3.86498642 -13.69494724  10.11174965]
,,,,,,
44:53.5,533491,72.39258639,82.71336018,[  3.4599371  -12.74931622  13.16522217],[  2.37226081 -11.73341656  10.67273998],[  3.86554027 -13.69729328  10.11202812]
,,,,,,
44:53.5,537441,72.15274094,60.72036843,[  3.46761823 -12.76161575  13.15893269],[  2.37004471 -11.73933506  10.67102814],[  3.8607893  -13.7003603   10.11157608]
,,,,,,
44:53.5,542439,72.07338752,15.87703471,[  3.46961856 -12.77253628  13.15555859],[  2.36715102 -11.74568462  10.66928577],[  3.8553648  -13.70512581  10.1083765 ]
,,,,,,
44:53.5,546443,71.98353934,22.43960466,[  3.47030854 -12.78464508  13.15166855],[  2.36709499 -11.75201797  10.66674614],[  3.85719323 -13.70756912  10.10542679]
,,,,,,
44:53.5,550443,71.83210399,37.85883746,[  3.47557712 -12.79734993  13.14453983],[  2.3655045  -11.75542641  10.66667843],[  3.85543799 -13.71460533  10.0997076 ]
,,,,,,
44:53.6,554464,71.67243397,39.70903273,[  3.48676562 -12.80672646  13.1384573 ],[  2.36526465 -11.76207829  10.66403389],[  3.8589561  -13.71798992  10.09556007]
,,,,,,
44:53.6,558468,71.51318486,39.77250488,[  3.49200082 -12.81688786  13.13487148],[  2.36449838 -11.7667675   10.66300964],[  3.85771012 -13.72086716  10.09484959]
,,,,,,
44:53.6,562440,71.23368529,70.36746617,[  3.49367285 -12.83410072  13.12450504],[  2.364465   -11.77121449  10.6612463 ],[  3.85882473 -13.72240925  10.09320068]
,,,,,,
44:53.6,567440,71.13503694,19.72966982,[  3.49683285 -12.84408283  13.12042332],[  2.36272788 -11.77676678  10.65912724],[  3.85641026 -13.72767639  10.089921  ]
,,,,,,
44:53.6,571468,70.93906756,48.65178136,[  3.50368977 -12.85332298  13.11446953],[  2.36145353 -11.78107548  10.65790272],[  3.85860801 -13.72889042  10.08838177]
,,,,,,
44:53.6,575441,70.80018447,34.95673012,[  3.51141644 -12.86597443  13.10616779],[  2.36068058 -11.78652859  10.65596867],[  3.85171151 -13.73510647  10.08280945]
,,,,,,
