Timestamp,Milliseconds,Angle,Angular Velocity,Sensor 1,Sensor 2,Sensor 3
,,,,,,
25:26.0,5768,89.3578322,15491.99587,[ 13.45351982  13.89474583 -10.50207233],[12.36435795 12.92787552 -8.83345032],[12.98342896 15.08469868 -7.22071695]
,,,,,,
25:26.0,10768,89.24752756,22.06092803,[ 13.45135212  13.89513302 -10.50251961],[12.36070442 12.92655945 -8.83844852],[12.98292732 15.08513451 -7.2225647 ]
,,,,,,
25:26.0,14768,89.38883427,35.32667916,[ 13.44737244  13.89216518 -10.50859261],[12.35984135 12.92570496 -8.84157085],[12.98302269 15.08729172 -7.22108698]
,,,,,,
25:26.0,18769,89.32128514,16.88306338,[ 13.44851589  13.89011383 -10.50962925],[12.36316967 12.92187977 -8.84132671],[12.98264503 15.08575344 -7.22600412]
,,,,,,
25:26.0,22768,89.58196264,65.18567336,[ 13.44982529  13.87789536 -10.51674938],[12.36307907 12.91928101 -8.8437767 ],[12.98242664 15.0860815  -7.22665071]
,,,,,,
25:26.0,26767,89.6415977,14.91249194,[ 13.44896698  13.87370205 -10.5190649 ],[12.36236477 12.91796494 -8.84447575],[12.98295116 15.08552933 -7.22763634]
,,,,,,
25:26.0,30768,89.81156616,42.48149479,[ 13.44748497  13.86107635 -10.52558327],[12.36003017 12.9143343  -8.84962749],[12.97950363 15.08593082 -7.23299885]
,,,,,,
25:26.0,35768,89.73516977,15.27927791,[ 13.43778896  13.86419296 -10.52818012],[12.35708141 12.91416168 -8.85129261],[12.97975731 15.08495235 -7.23705292]
,,,,,,
25:26.0,39768,89.90974959,43.64495551,[ 13.44511604  13.85069084 -10.53056431],[12.35744858 12.91100121 -8.85210991],[12.9808588  15.0837841  -7.23744869]
,,,,,,
25:26.0,43767,90.29268815,95.75857854,[ 13.43862915  13.8423624  -10.54356194],[12.3578043  12.91011524 -8.85130787],[12.98117638 15.08518124 -7.2363658 ]
,,,,,,
25:26.0,47767,90.38776125,23.76827651,[ 13.43748379  13.83600426 -10.54470253],[12.36021042 12.90652466 -8.84849453],[12.98345947 15.08487225 -7.23441124]
,,,,,,
25:26.1,51766,90.35319224,8.644414562,[ 13.42644978  13.83427715 -10.55094242],[12.35965443 12.90032291 -8.85255241],[12.98418236 15.08315659 -7.23754692]
,,,,,,
25:26.1,55767,90.48697725,33.43789325,[ 13.42773914  13.82495594 -10.5525074 ],[12.3588562  12.8987093  -8.85117626],[12.98655605 15.08094406 -7.23796701]
,,,,,,
25:26.1,60768,91.06624733,115.8308489,[ 13.421525    13.80439091 -10.57020473],[12.36495781 12.8913517  -8.84864616],[12.98798084 15.08021927 -7.23860502]
,,,,,,
25:26.1,64771,91.31559263,62.28960973,[ 13.42152214  13.79132271 -10.57493782],[12.36392403 12.8899889  -8.84625053],[12.98684311 15.08074474 -7.24081326]
,,,,,,
25:26.1,68770,91.42735317,27.94712185,[ 13.42018986  13.77838326 -10.57962418],[12.36680794 12.88115025 -8.84982872],[12.98777676 15.07986069 -7.24211121]
,,,,,,
