Timestamp,Milliseconds,Angle,Angular Velocity,Sensor 1,Sensor 2,Sensor 3
,,,,,,
34:47.2,228220,64.56980169,282.927884,[14.63739109  7.81531477 -7.62246561],[13.962183    7.43083382 -5.98400879],[16.19028091  9.36637115 -6.01433992]
,,,,,,
34:47.2,232222,64.69094241,30.27004527,[14.62962818  7.81040812 -7.61965179],[13.96233082  7.42456102 -5.97784138],[16.19308662  9.36423206 -6.01150465]
,,,,,,
34:47.2,237220,65.02493306,66.82485853,[14.62197495  7.79626417 -7.62109327],[13.96115875  7.4190526  -5.97547293],[16.19410515  9.36231041 -6.01043844]
,,,,,,
34:47.2,241220,65.15093661,31.50088923,[14.61410141  7.78749371 -7.62096405],[13.95582771  7.41584158 -5.97810078],[16.19506645  9.35985661 -6.01290607]
,,,,,,
34:47.2,245222,65.35134028,50.07587799,[14.60727406  7.77599525 -7.62282515],[13.95734596  7.40555096 -5.97551537],[16.19709015  9.35690308 -6.01378965]
,,,,,,
34:47.2,249732,65.80795743,101.2454877,[14.59675598  7.7650733  -7.62604666],[13.95592308  7.4025569  -5.97047472],[16.19842339  9.35631561 -6.00867271]
,,,,,,
34:47.3,253733,66.11278042,76.1867028,[14.58524513  7.75738573 -7.63085556],[13.95385456  7.39707375 -5.96924114],[16.19894791  9.35579014 -6.00841236]
,,,,,,
34:47.3,257731,66.41812418,76.37412729,[14.57710457  7.74587107 -7.63223362],[13.95259953  7.39194155 -5.96476173],[16.20052147  9.35350418 -6.00608444]
,,,,,,
34:47.3,261731,66.57531002,39.29645976,[14.57286644  7.72935724 -7.63090467],[13.95189476  7.38541698 -5.95749092],[16.20336533  9.34753513 -6.00858021]
,,,,,,
34:47.3,265732,66.92485392,87.36413393,[14.56138897  7.71863317 -7.634161  ],[13.95023346  7.38118696 -5.95386505],[16.20447731  9.34431934 -6.0086112 ]
,,,,,,
34:47.3,270731,67.17352639,49.74444195,[14.5503664   7.71015072 -7.63780165],[13.94881916  7.37303591 -5.95458984],[16.20438385  9.343256   -6.00966835]
,,,,,,
34:47.3,274730,67.38662494,53.28796061,[14.54376793  7.69805098 -7.63651085],[13.94898987  7.3654213  -5.95029068],[16.20326996  9.34439754 -6.0090456 ]
,,,,,,
34:47.3,278732,67.80701997,105.0462331,[14.53012562  7.68868065 -7.64460373],[13.94717979  7.35938263 -5.94957018],[16.20617485  9.34003925 -6.00825691]
,,,,,,
34:47.3,282732,68.13568421,82.1660594,[14.52500248  7.66892147 -7.64740562],[13.94313908  7.35653687 -5.94950294],[16.20477676  9.3392868  -6.01176262]
,,,,,,
34:47.3,286731,68.35487629,54.81172374,[14.51604271  7.65923643 -7.64777899],[13.94408321  7.34731817 -5.94334459],[16.20525932  9.33820724 -6.0101881 ]
,,,,,,
34:47.3,290731,68.47352897,29.66316967,[14.50527763  7.65563869 -7.64494658],[13.94211578  7.34202337 -5.94197655],[16.20659447  9.335742   -6.00998163]
,,,,,,
34:47.3,295732,68.88652551,82.58279102,[14.49409199  7.64123917 -7.65303516],[13.94030857  7.33554173 -5.94087124],[16.20668221  9.33390045 -6.01168013]
,,,,,,
