Timestamp,Milliseconds,Angle,Angular Velocity,Sensor 1,Sensor 2,Sensor 3
,,,,,,
23:24.2,185502,83.99684903,452.8083203,[12.94054127  7.86879444 -8.27633476],[12.91143703  8.06492329 -6.15775871],[15.2571125   9.56112385 -6.55932093]
,,,,,,
23:24.2,189501,84.13750441,35.17263887,[12.93457794  7.86586428 -8.27822781],[12.91152191  8.06142807 -6.15758801],[15.25582218  9.5608139  -6.55878448]
,,,,,,
23:24.2,193501,84.27231713,33.70317826,[12.93006706  7.85799789 -8.28236961],[12.91048622  8.05955029 -6.15755415],[15.25449562  9.55910873 -6.56006622]
,,,,,,
23:24.2,197501,84.44525336,43.23405879,[12.92389488  7.85368252 -8.28771114],[12.90638161  8.06094074 -6.16047287],[15.25285912  9.55818176 -6.56052923]
,,,,,,
23:24.2,201501,84.5560585,27.7012837,[12.9194479   7.85109854 -8.28816223],[12.90510178  8.05792809 -6.16301346],[15.2521925   9.55708885 -6.56124878]
,,,,,,
23:24.2,205501,84.4933531,15.67634944,[12.9165411   7.852139   -8.28644085],[12.90278149  8.05813122 -6.16465521],[15.25033379  9.55558109 -6.56605005]
,,,,,,
23:24.2,210502,84.54661503,10.65025686,[12.91361904  7.84984493 -8.28625965],[12.90161037  8.05730915 -6.16379404],[15.25118351  9.55284405 -6.56539059]
,,,,,,
23:24.2,214501,84.72296925,44.09957895,[12.91062927  7.84562731 -8.28990459],[12.89881516  8.05716419 -6.16690111],[15.25046062  9.55333233 -6.56310368]
,,,,,,
23:24.2,218501,84.82610448,25.78380776,[12.90705585  7.84223843 -8.29400063],[12.89810848  8.05597496 -6.16734076],[15.24945164  9.55297565 -6.56307173]
,,,,,,
23:24.2,222502,84.71443275,27.91095395,[12.90898895  7.84125233 -8.28884697],[12.89820385  8.05523682 -6.16456747],[15.24920654  9.55096531 -6.56392765]
,,,,,,
23:24.2,226502,84.70346422,2.742132688,[12.90766048  7.84102392 -8.28913498],[12.89695835  8.05526543 -6.16524696],[15.24900723  9.55015087 -6.56540823]
,,,,,,
23:24.2,230501,84.69703602,1.607451944,[12.90719795  7.83767176 -8.29046917],[12.89632416  8.05437374 -6.16527414],[15.24744797  9.54977036 -6.56727028]
,,,,,,
23:24.2,235502,84.64494238,10.41664478,[12.90679646  7.83873606 -8.28945351],[12.89658642  8.05356884 -6.16494465],[15.24657154  9.54835415 -6.56879282]
,,,,,,
23:24.2,239500,84.65153081,1.64793168,[12.90691566  7.84015608 -8.28860664],[12.89558029  8.05398941 -6.16522694],[15.246665    9.54795742 -6.56679296]
,,,,,,
23:24.2,243500,84.71549946,15.99216139,[12.90663242  7.83894014 -8.29117012],[12.89545918  8.05300045 -6.16614866],[15.24582767  9.54855347 -6.56495285]
,,,,,,
23:24.2,247502,84.73519227,4.920741501,[12.90808201  7.83916378 -8.28979683],[12.89452839  8.05308628 -6.16775656],[15.24552631  9.54896355 -6.56310511]
,,,,,,
23:24.3,251501,84.65661382,19.64952363,[12.91024208  7.83932304 -8.2891016 ],[12.89487934  8.05306053 -6.16669226],[15.24572086  9.54779911 -6.56358242]
,,,,,,
23:24.3,255501,84.52058716,34.00666523,[12.91123676  7.84181881 -8.28814602],[12.89586639  8.05268288 -6.16564989],[15.24506092  9.54666805 -6.56697798]
,,,,,,
23:24.3,260501,84.44270003,15.57742626,[12.91337109  7.84334612 -8.28864861],[12.8952198   8.05444622 -6.16512966],[15.24418163  9.54696369 -6.56708336]
,,,,,,
23:24.3,264502,84.35036985,23.07677458,[12.91514492  7.84768963 -8.28737831],[12.89493847  8.05563259 -6.16552401],[15.24454498  9.54529476 -6.56719208]
,,,,,,
23:24.3,268500,84.26483712,21.39388049,[12.91873646  7.8490324  -8.28642464],[12.89574814  8.05609131 -6.16463041],[15.24541759  9.54417896 -6.56655979]
,,,,,,
23:24.3,272501,84.18432778,20.12230328,[12.92232704  7.85083723 -8.28687859],[12.89608574  8.05703831 -6.16466522],[15.24556732  9.54383373 -6.56609249]
,,,,,,
23:24.3,276502,84.05554665,32.18723656,[12.92891312  7.85306025 -8.2865696 ],[12.89749908  8.05712414 -6.16446733],[15.24455452  9.54594898 -6.56508875]
,,,,,,
23:24.3,280502,83.82189392,58.41318161,[12.9336071   7.86102867 -8.28391266],[12.89789391  8.05883503 -6.16410112],[15.244524    9.54552364 -6.56673288]
,,,,,,
23:24.3,285501,83.52679804,59.03098385,[12.94070244  7.86954784 -8.27846813],[12.9006958   8.05969334 -6.16149139],[15.24370575  9.5459795  -6.56819296]
,,,,,,
23:24.3,289501,83.30372657,55.7678677,[12.94691181  7.87819576 -8.27504635],[12.90160656  8.0621767  -6.1616993 ],[15.24379539  9.54598999 -6.56874752]
,,,,,,
23:24.3,293501,83.18773379,28.99819301,[12.95447922  7.88003588 -8.27428627],[12.90298367  8.06284142 -6.16362381],[15.24389839  9.54654503 -6.56859493]
,,,,,,
23:24.3,297502,83.11580097,17.97871136,[12.95722008  7.88404083 -8.27852345],[12.90468693  8.06466484 -6.16420555],[15.24468327  9.54544353 -6.56934595]
,,,,,,
23:24.3,301502,82.92983144,46.4923824,[12.96489048  7.89006805 -8.27545357],[12.90566349  8.06797695 -6.16577625],[15.24454021  9.54602337 -6.57028151]
,,,,,,
23:24.3,305501,82.69822797,57.91534567,[12.97195911  7.89909792 -8.27166176],[12.90780926  8.07004738 -6.16600513],[15.24470615  9.54653835 -6.57108927]
,,,,,,
23:24.3,310502,82.58645984,22.34915756,[12.97651577  7.90711355 -8.27233028],[12.90977001  8.07292938 -6.16641712],[15.24497604  9.54835987 -6.5700717 ]
,,,,,,
23:24.3,314501,82.22995944,89.1473854,[12.98572826  7.91651726 -8.26604176],[12.91149521  8.07767105 -6.1629653 ],[15.24434185  9.54951859 -6.57174063]
,,,,,,
23:24.3,318505,81.9994681,57.56527096,[12.99408913  7.92382383 -8.26470184],[12.91225052  8.08239269 -6.16229963],[15.24463654  9.55060577 -6.57143307]
,,,,,,
23:24.3,322502,81.78445026,53.79480605,[13.00210762  7.93005323 -8.26314831],[12.91427898  8.085392   -6.16263342],[15.24486923  9.5520277  -6.57291508]
,,,,,,
23:24.3,326501,81.49352852,72.74862165,[13.01095486  7.93977737 -8.25872993],[12.91775703  8.08637333 -6.16236591],[15.24558449  9.55303288 -6.57436895]
,,,,,,
23:24.3,330502,81.37246811,30.2575389,[13.017416    7.94746733 -8.26052284],[12.91972923  8.0886755  -6.16415977],[15.24610996  9.55500984 -6.57297516]
,,,,,,
23:24.3,334501,81.17895195,48.39113685,[13.02482605  7.95548773 -8.2601738 ],[12.91907215  8.09481716 -6.16558552],[15.2451849   9.55785275 -6.57294559]
,,,,,,
23:24.3,339500,80.86741345,62.32016439,[13.03543472  7.96548128 -8.25557613],[12.92294216  8.09649754 -6.16373301],[15.24495792  9.56125641 -6.57265949]
,,,,,,
23:24.3,343500,80.58940586,69.50189584,[13.04548359  7.97387648 -8.25446701],[12.92439651  8.10116386 -6.16428185],[15.24668598  9.56088352 -6.57370615]
,,,,,,
23:24.3,347500,80.56902233,5.095884173,[13.05018616  7.98116446 -8.25695229],[12.92700005  8.1034174  -6.16639233],[15.2461338   9.56545353 -6.57088423]
,,,,,,
23:24.4,351501,80.21151163,89.35533509,[13.05852985  7.99446249 -8.25444317],[12.92697525  8.11021042 -6.16576958],[15.24430466  9.56928635 -6.57300615]
,,,,,,
23:24.4,355501,79.84711595,91.09892135,[13.07216835  8.00219917 -8.24785042],[12.92966938  8.11472702 -6.16501951],[15.24340248  9.57455254 -6.57507801]
,,,,,,
23:24.4,360501,79.57710783,54.00162221,[13.08080006  8.01257515 -8.24647617],[12.93149281  8.11988544 -6.16494894],[15.24299145  9.5772934  -6.57615232]
,,,,,,
23:24.4,364502,79.34024873,59.19997603,[13.09234238  8.01773453 -8.24599648],[12.9315443   8.12753105 -6.16515064],[15.24208355  9.58041382 -6.57605314]
,,,,,,
23:24.4,368500,79.15775097,45.64726488,[13.09910393  8.02747059 -8.2456255 ],[12.93462658  8.12988949 -6.16698599],[15.24303818  9.58237171 -6.5769372 ]
,,,,,,
23:24.4,372502,78.93455674,55.77067117,[13.11020374  8.03777981 -8.24359131],[12.93641472  8.13287354 -6.16883898],[15.24258518  9.58789158 -6.57385969]
,,,,,,
23:24.4,376501,78.55451925,95.03313001,[13.11980724  8.04738998 -8.23951054],[12.93813896  8.13962555 -6.16492367],[15.24484158  9.58613014 -6.57628679]
,,,,,,
23:24.4,380502,78.27055415,70.97353112,[13.12650681  8.06025791 -8.23851967],[12.93883324  8.14355183 -6.16925669],[15.24164009  9.59231472 -6.58083725]
,,,,,,
23:24.4,385501,78.07657514,38.80356357,[13.13408661  8.06998158 -8.23982906],[12.94232082  8.1449852  -6.16915894],[15.24049091  9.59657192 -6.57966757]
,,,,,,
23:24.4,389501,77.68101929,98.88896216,[13.14699745  8.08480549 -8.23226929],[12.94490623  8.14943409 -6.1698513 ],[15.2396574   9.60078049 -6.57941771]
,,,,,,
23:24.4,393501,77.56543672,28.89564371,[13.15170956  8.09966946 -8.23223019],[12.94504261  8.15668106 -6.17404175],[15.23884964  9.60689735 -6.57786322]
,,,,,,
23:24.4,397501,77.19446802,92.74217399,[13.16185665  8.10769558 -8.23177242],[12.94737053  8.16043472 -6.17251396],[15.23961449  9.6062746  -6.58176613]
,,,,,,
23:24.4,401501,76.94209158,63.09411142,[13.17216873  8.11455441 -8.23138618],[12.94735622  8.16832352 -6.17316723],[15.23820877  9.61016178 -6.58304024]
,,,,,,
23:24.4,405501,76.6359048,76.54669497,[13.18242645  8.12553024 -8.2284832 ],[12.94984818  8.17421436 -6.17090893],[15.23596764  9.61669445 -6.58284569]
,,,,,,
23:24.4,410502,76.39259434,48.65236085,[13.19399738  8.13400173 -8.22452259],[12.9488945   8.18314648 -6.17293882],[15.23716354  9.61911869 -6.58151913]
,,,,,,
23:24.4,414501,76.08129626,77.84398124,[13.20390701  8.14706993 -8.21986675],[12.95212936  8.18454742 -6.17509508],[15.23759937  9.62178326 -6.58184814]
,,,,,,
23:24.4,418500,75.73691185,86.11763064,[13.20787048  8.16461277 -8.22028255],[12.95454121  8.18900967 -6.17607689],[15.23694706  9.62436104 -6.58751726]
,,,,,,
23:24.4,422501,75.38295391,88.46736962,[13.22328472  8.17318535 -8.21200275],[12.95492172  8.19592857 -6.17754841],[15.23518944  9.6307106  -6.58646393]
,,,,,,
