Timestamp,Milliseconds,Angle,Angular Velocity,Sensor 1,Sensor 2,Sensor 3
,,,,,,
45:23.5,458695,75.1330282,163.797356,[  3.27544069 -13.10108185  13.45362377],[  2.19731975 -12.1856041   10.97192669],[  3.73189092 -14.09674644  10.3472271 ]
,,,,,,
45:23.5,462692,75.12066334,3.093536746,[  3.28046966 -13.10212135  13.45289326],[  2.19714403 -12.18690205  10.97056675],[  3.73838162 -14.09696102  10.34291267]
,,,,,,
45:23.5,466693,74.99643768,31.0486524,[  3.27851725 -13.11263561  13.44650364],[  2.19639373 -12.19062996  10.96763515],[  3.73374796 -14.0990696   10.34152126]
,,,,,,
45:23.5,470722,74.84685716,37.12596727,[  3.28561687 -13.11961555  13.44225311],[  2.1930604  -12.19253349  10.96617317],[  3.73340082 -14.10155201  10.33658123]
,,,,,,
45:23.5,474696,74.60940291,59.75195044,[  3.28776407 -13.13306141  13.43256664],[  2.19342566 -12.19360065  10.96501827],[  3.73306537 -14.10381031  10.33370972]
,,,,,,
45:23.5,479694,74.30535129,60.83465748,[  3.2932477  -13.14326668  13.42566109],[  2.19123769 -12.19566059  10.96274948],[  3.72946501 -14.10266209  10.33517075]
,,,,,,
45:23.5,483695,74.36331754,14.4879409,[  3.28762221 -13.14700699  13.42467117],[  2.1924572  -12.19999599  10.95844078],[  3.72685051 -14.10340214  10.33479118]
,,,,,,
45:23.5,487731,74.04769129,78.20273901,[  3.29498291 -13.15789223  13.41565418],[  2.18893743 -12.20372009  10.954566  ],[  3.7268827  -14.10427284  10.33279991]
,,,,,,
45:23.5,491696,74.05418214,1.637038978,[  3.29305935 -13.16191959  13.41429424],[  2.19009113 -12.20211792  10.95579147],[  3.72770333 -14.10558701  10.3301487 ]
,,,,,,
45:23.5,495693,73.89206342,40.56010042,[  3.29504323 -13.16997242  13.40947151],[  2.18704367 -12.20234013  10.95502281],[  3.72693229 -14.10799503  10.32674408]
,,,,,,
45:23.5,500695,73.85850154,6.709692374,[  3.29939795 -13.17289066  13.40683556],[  2.18710971 -12.20260811  10.95455551],[  3.72620034 -14.10952377  10.32310104]
,,,,,,
45:23.5,504734,73.80139923,14.13773592,[  3.2996664  -13.17930508  13.4020052 ],[  2.18484545 -12.20578289  10.95194054],[  3.72437692 -14.11367321  10.31858063]
,,,,,,
45:23.5,508694,73.73620233,16.46386285,[  3.2952311  -13.18567085  13.40004539],[  2.1850462  -12.2065897   10.95030975],[  3.72596407 -14.11333656  10.31833649]
,,,,,,
45:23.5,512731,73.49557433,59.60564847,[  3.29554677 -13.1897583   13.39597225],[  2.18281865 -12.2050705   10.95077419],[  3.72699428 -14.11047554  10.32239342]
,,,,,,
45:23.5,516693,73.6433543,37.29933647,[  3.2942338  -13.18945599  13.39648628],[  2.1835928  -12.20632362  10.94910812],[  3.72045445 -14.11407757  10.31833172]
,,,,,,
45:23.5,520723,73.63383034,2.363265595,[  3.29716039 -13.19105911  13.39477158],[  2.1835866  -12.20826054  10.94584942],[  3.71744609 -14.11639881  10.31569862]
,,,,,,
45:23.5,525692,73.55633568,15.59562519,[  3.29764676 -13.19361305  13.39226341],[  2.18319035 -12.20886803  10.94408131],[  3.72018099 -14.11630154  10.31485367]
,,,,,,
45:23.5,529695,73.53474052,5.394744056,[  3.29599309 -13.19714451  13.38954735],[  2.18313313 -12.20759201  10.94449234],[  3.72091627 -14.11770535  10.31196308]
,,,,,,
45:23.5,533695,73.45069768,21.01070922,[  3.2994523  -13.19737148  13.3885107 ],[  2.18165946 -12.20823479  10.94286156],[  3.71713614 -14.11836147  10.31292152]
,,,,,,
45:23.5,537720,73.37324607,19.24263689,[  3.29791307 -13.20106411  13.38431263],[  2.18222833 -12.20649433  10.94265652],[  3.71760941 -14.11854172  10.31172371]
,,,,,,
45:23.5,541723,73.41143661,9.540479939,[  3.29759479 -13.19764805  13.38683224],[  2.18229628 -12.20682049  10.94121361],[  3.72091365 -14.11665249  10.31248569]
,,,,,,
45:23.5,545720,73.40230202,2.285361103,[  3.29715157 -13.19680214  13.38541794],[  2.18239975 -12.20471859  10.94113922],[  3.71933079 -14.11709118  10.31170559]
,,,,,,
45:23.6,550698,73.39385602,1.696664397,[  3.29876804 -13.196661    13.3842535 ],[  2.18346381 -12.2044735   10.93993282],[  3.72125149 -14.11721516  10.31032658]
,,,,,,
45:23.6,554721,73.39583838,0.492756608,[  3.29774022 -13.1951189   13.38452911],[  2.18349361 -12.20452595  10.9382658 ],[  3.72136593 -14.11646843  10.31107807]
,,,,,,
45:23.6,558693,73.38802266,1.967705572,[  3.29962921 -13.19188881  13.38469505],[  2.18438005 -12.20246124  10.93837452],[  3.72046828 -14.11607456  10.31200981]
,,,,,,
45:23.6,562721,73.38007759,1.972460153,[  3.3021915  -13.188797    13.38539505],[  2.18435121 -12.2006073   10.93846703],[  3.72014999 -14.11618233  10.31209755]
,,,,,,
45:23.6,566724,73.34762902,8.106061905,[  3.30357456 -13.18512249  13.38599396],[  2.18464375 -12.19701385  10.93946266],[  3.7212317  -14.11512661  10.31339264]
,,,,,,
45:23.6,571692,73.3723228,4.970566583,[  3.3003304  -13.18184853  13.38693333],[  2.18489122 -12.1935215   10.93979168],[  3.72482657 -14.11373901  10.31331635]
,,,,,,
45:23.6,575693,73.43590731,15.89215643,[  3.29775429 -13.17599392  13.39020729],[  2.18516135 -12.19061661  10.94045639],[  3.72725391 -14.11196327  10.31483841]
,,,,,,
45:23.6,579733,73.51638334,19.91980928,[  3.29396296 -13.17053223  13.39278698],[  2.18549562 -12.18772507  10.94015217],[  3.72319269 -14.11068916  10.31656933]
,,,,,,
45:23.6,583721,73.56696824,12.68427691,[  3.29587865 -13.16510105  13.39467239],[  2.18709898 -12.18391037  10.9412365 ],[  3.72213554 -14.11028481  10.31672668]
,,,,,,
45:23.6,587695,73.71014831,36.0292066,[  3.29472828 -13.15531921  13.39910316],[  2.1904037  -12.1786232   10.94241524],[  3.72299051 -14.10919189  10.31779671]
,,,,,,
45:23.6,591718,73.83856724,31.92118628,[  3.28828335 -13.14700317  13.40304089],[  2.19048929 -12.17583752  10.94246006],[  3.72517133 -14.10664749  10.31984234]
,,,,,,
45:23.6,595696,74.12073958,70.93321717,[  3.27934313 -13.13246346  13.41326714],[  2.19188404 -12.17145634  10.94359684],[  3.7257514  -14.10359287  10.32360172]
,,,,,,
45:23.6,600692,74.07549978,9.0552026,[  3.28375435 -13.12846661  13.41295147],[  2.19331098 -12.16688251  10.94532967],[  3.72812152 -14.10186863  10.32407284]
,,,,,,
45:23.6,604697,74.06015079,3.832457394,[  3.28491211 -13.12284756  13.41439152],[  2.19524956 -12.16364002  10.94463539],[  3.73006988 -14.09905529  10.32689667]
,,,,,,
45:23.6,608720,74.24938773,47.03876045,[  3.27899027 -13.11291027  13.41898346],[  2.19859385 -12.15769768  10.94688129],[  3.73126054 -14.09834862  10.32827377]
,,,,,,
