Timestamp,Milliseconds,Angle,Angular Velocity,Sensor 1,Sensor 2,Sensor 3
17:52:31.192539,192539,78.26768867324725,406.5030392452815,[11.20887375  7.89100075 -6.9979434 ],[ 8.44035244  5.83856201 -7.94267178],[ 10.16510963   5.88042402 -10.63108063]
17:52:31.196540,196540,78.15120930816019,29.112563130982064,[11.20750141  7.89236736 -6.99674129],[ 8.44168854  5.84223747 -7.94547749],[ 10.17449093   5.88949442 -10.62964058]
17:52:31.200540,200540,77.96072991012448,47.61984950892639,[11.20662117  7.89145422 -6.99767351],[ 8.44225979  5.84571314 -7.94893122],[ 10.18451786   5.89902067 -10.62674522]
17:52:31.204538,204538,77.7604708579187,50.08980795542274,[11.20567894  7.89192629 -6.99734545],[ 8.44467449  5.84848309 -7.9521575 ],[ 10.19572735   5.91198826 -10.62298584]
17:52:31.208572,208572,77.64192785865657,29.385969078366955,[11.20583534  7.89223862 -6.9962101 ],[ 8.44719696  5.85243988 -7.95443583],[ 10.20800972   5.9181881  -10.62082291]
17:52:31.213540,213540,77.4499719245336,38.63847305212819,[11.20544529  7.89195299 -6.99671555],[ 8.44972038  5.8548727  -7.95786619],[ 10.21988487   5.92847109 -10.6176405 ]
17:52:31.217566,217566,77.21879761046584,57.42034626620909,[11.204319    7.89349842 -6.99658394],[ 8.45122623  5.85909462 -7.96119547],[ 10.23237419   5.94202518 -10.61310196]
17:52:31.221541,221541,77.06548260252525,38.569813318387766,[11.20375061  7.89404821 -6.99637079],[ 8.45257092  5.86362886 -7.96517897],[ 10.24342632   5.95184183 -10.61116505]
17:52:31.225542,225542,76.86284866665414,50.64582251214835,[11.20367432  7.89459658 -6.99604225],[ 8.45467949  5.86897898 -7.96790266],[ 10.25578499   5.96468067 -10.60753727]
17:52:31.229567,229567,76.67166016902355,47.500247858532006,[11.20304585  7.89604282 -6.99563551],[ 8.45675945  5.87386227 -7.97127628],[ 10.269207     5.9761014  -10.60432434]
17:52:31.233566,233566,76.45751741966666,53.54907460787584,[11.20274734  7.89713383 -6.99615955],[ 8.46027088  5.87800074 -7.97411776],[ 10.28316975   5.98766327 -10.59932899]
17:52:31.238542,238542,76.18159878095643,55.44988720060756,[11.20177746  7.89922667 -6.99698734],[ 8.46267128  5.88396454 -7.97699594],[ 10.29876995   6.00297928 -10.59420395]
17:52:31.242106,242106,75.98492860091838,55.18242986477408,[11.20189285  7.90053225 -6.99666643],[ 8.46713448  5.88778734 -7.97994804],[ 10.31285954   6.01553249 -10.58961391]
17:52:31.246056,246056,75.73415208980646,63.487724332132316,[11.20292282  7.90153217 -6.99486399],[ 8.46934223  5.89334488 -7.98339272],[ 10.32827377   6.0302968  -10.5840826 ]
17:52:31.251056,251056,75.57160722862493,32.50897223630602,[11.20327759  7.90334034 -6.99350214],[ 8.4726429   5.90005493 -7.98577976],[ 10.3407011    6.04454041 -10.58135891]
17:52:31.255094,255094,75.38543486386583,46.105092808098576,[11.20269966  7.90713453 -6.99279594],[ 8.47647667  5.90444326 -7.98904657],[ 10.3567009    6.05538893 -10.57731628]
17:52:31.259057,259057,75.14563923070746,60.50861295946649,[11.20375919  7.90921307 -6.99149895],[ 8.48012733  5.91058397 -7.99183655],[ 10.37238598   6.07037449 -10.57112789]
17:52:31.263061,263061,74.89395513394334,62.85816602500574,[11.2040472   7.91066504 -6.9907589 ],[ 8.48299313  5.91553926 -7.99573278],[ 10.38758469   6.08527136 -10.56535625]
17:52:31.267090,267090,74.65553863283245,59.17510576095571,[11.20353317  7.91337013 -6.99134541],[ 8.48634338  5.92312574 -7.99806786],[ 10.40134048   6.10244799 -10.56061172]
17:52:31.271073,271073,74.4580191661548,49.59062683345403,[11.20377445  7.91644669 -6.99162483],[ 8.48992157  5.92928076 -8.00128841],[ 10.41534615   6.11634827 -10.55728722]
17:52:31.276056,276056,74.26013283697955,39.71228761293348,[11.20383358  7.92047358 -6.98905277],[ 8.49366188  5.93589306 -8.00384998],[ 10.4310894    6.13069057 -10.55131435]
17:52:31.280115,280115,73.99321746092004,65.758900236392,[11.20480824  7.92149591 -6.98986149],[ 8.4969902   5.94246483 -8.00640392],[ 10.44668102   6.14565325 -10.54576778]
17:52:31.284112,284112,73.74218489319867,62.80524586474036,[11.20504665  7.92546892 -6.98848343],[ 8.50091457  5.94769573 -8.00967979],[ 10.46405029   6.16086864 -10.53948307]
17:52:31.288057,288057,73.49848022276093,61.775581860009275,[11.20701313  7.92546988 -6.98794174],[ 8.5036869   5.95591736 -8.01198006],[ 10.47886276   6.17556334 -10.53357029]
17:52:31.292057,292057,73.33041666907337,42.01588842188997,[11.20701313  7.92918348 -6.98661613],[ 8.50836849  5.96109867 -8.0146246 ],[ 10.49352932   6.18827915 -10.52901745]
17:52:31.296104,296104,73.086148606618,60.35781133070815,[11.20814037  7.93299484 -6.98468828],[ 8.5128088   5.96692896 -8.01686764],[ 10.51104927   6.20301628 -10.52186489]
17:52:31.301058,301058,72.88114088857041,41.38226040524474,[11.20858192  7.9360323  -6.98439837],[ 8.51624489  5.97302961 -8.01971626],[ 10.52410126   6.21816349 -10.51750469]
17:52:31.305055,305055,72.62588524725929,63.86180668279293,[11.20905495  7.93910646 -6.98382092],[ 8.52155685  5.97843647 -8.02126789],[ 10.54102516   6.23321962 -10.50967216]
17:52:31.309080,309080,72.40370074479179,55.20111862546562,[11.21048069  7.94172573 -6.98235226],[ 8.52446938  5.98532152 -8.02410793],[ 10.55496883   6.24905252 -10.50443268]
17:52:31.313082,313082,72.2218602017894,45.437417042077556,[11.21275234  7.94375181 -6.97951984],[ 8.52892113  5.99115753 -8.02650928],[ 10.57211781   6.25985432 -10.49864292]
17:52:31.317087,317087,72.03956524715949,45.51684260422221,[11.21420193  7.94661427 -6.97748995],[ 8.53400135  5.99792004 -8.02745247],[ 10.58615303   6.27523041 -10.49329567]
17:52:31.321057,321057,71.84175663076813,49.825847957520395,[11.21601963  7.9483676  -6.97562647],[ 8.5385685   6.00300503 -8.03004742],[ 10.6013689    6.28811502 -10.48735046]
17:52:31.326055,326055,71.60611994920015,47.14619479151301,[11.21680546  7.952034   -6.97521019],[ 8.54455853  6.00794506 -8.03094482],[ 10.6190958    6.30049372 -10.47936726]
17:52:31.330081,330081,71.43134140582787,43.412454886309966,[11.2172184   7.95468807 -6.97522211],[ 8.54872513  6.01318645 -8.03350544],[ 10.63383675   6.31099033 -10.47501087]
17:52:31.334055,334055,71.242218164578,47.590146263175534,[11.21853447  7.95771599 -6.97253275],[ 8.55344105  6.01865244 -8.03496552],[ 10.65051746   6.32206869 -10.4677887 ]
17:52:31.338056,338056,71.02830657109341,53.4645322380895,[11.22014618  7.95940065 -6.97203493],[ 8.55782032  6.02316952 -8.03739643],[ 10.66436195   6.33600426 -10.46247101]
17:52:31.342055,342055,70.83573717168657,48.15438844882105,[11.22122478  7.96193504 -6.96962118],[ 8.56417751  6.0268569  -8.03831863],[ 10.68027973   6.34886169 -10.45499611]
17:52:31.346057,346057,70.64193766046641,48.42566497255456,[11.22329903  7.96309662 -6.96919918],[ 8.56845474  6.03241587 -8.03946209],[ 10.69582367   6.35767603 -10.44875813]
17:52:31.350057,350057,70.3943059303179,61.90793253712812,[11.22472286  7.96704912 -6.9657073 ],[ 8.57324505  6.03900671 -8.03944778],[ 10.71411324   6.37083483 -10.43776131]
17:52:31.355055,355055,70.22205978643328,34.46301398251721,[11.22579384  7.96895218 -6.96541119],[ 8.57879829  6.04179192 -8.04098034],[ 10.72736835   6.38210583 -10.43290234]
17:52:31.359057,359057,70.00946255184024,53.122747274621084,[11.22779465  7.97132206 -6.96359491],[ 8.58357906  6.0454936  -8.04213238],[ 10.74176884   6.39412451 -10.42513084]
17:52:31.363057,363057,69.90144267600837,27.00496895796789,[11.22795963  7.97454882 -6.96169901],[ 8.5881176   6.05062246 -8.0422821 ],[ 10.75579929   6.40065002 -10.41992664]
17:52:31.367056,367056,69.74173317842384,39.93735873581632,[11.22993755  7.97687578 -6.96044159],[ 8.59363937  6.05454826 -8.04219246],[ 10.76853657   6.41063452 -10.41349697]
17:52:31.371057,371057,69.62301600022604,29.67187658030443,[11.23179626  7.98108768 -6.95693111],[ 8.5981617   6.05735254 -8.04285526],[ 10.77957058   6.4209857  -10.40831757]
17:52:31.375091,375091,69.48934017143361,33.13729023114378,[11.2346468   7.98075104 -6.95636415],[ 8.60299587  6.06077862 -8.04310226],[ 10.79256344   6.42643499 -10.40363884]
17:52:31.380055,380055,69.31362571219513,35.39775568865383,[11.23599434  7.98312426 -6.95584202],[ 8.60803795  6.06446075 -8.04247761],[ 10.8041563    6.43644333 -10.39638519]
17:52:31.384091,384091,69.14172169756165,42.59266963168567,[11.23792744  7.98584795 -6.95368576],[ 8.61212349  6.0680933  -8.04203701],[ 10.81760788   6.44392204 -10.38846302]
17:52:31.388083,388083,69.00280385197294,34.79905951620934,[11.23992729  7.98954153 -6.95139313],[ 8.6166811   6.07137966 -8.04119587],[ 10.82908249   6.45225954 -10.38192177]
