Timestamp,Milliseconds,Angle,Angular Velocity,Sensor 1,Sensor 2,Sensor 3
10:09:18.355355,355355,140.68757985139558,395.90713470021694,[ 4.8459959  13.06636143 -1.67062831],[ 6.00579739 16.7469101  -1.20425904],[ 6.88486576 18.29139519 -2.25759768]
10:09:18.359320,359320,140.60353841811082,21.195821761605856,[ 4.84651423 13.06681824 -1.67190504],[ 6.00646114 16.74770164 -1.20276463],[ 6.8860507  18.29206848 -2.25802922]
10:09:18.363322,363322,140.67630169823732,18.181729167043674,[ 4.84718227 13.06724644 -1.67141306],[ 6.00919533 16.74676323 -1.20287466],[ 6.88655472 18.29253006 -2.25680685]
10:09:18.368319,368319,140.54411591832303,26.453027799538663,[ 4.84757519 13.06759357 -1.67303061],[ 6.00702763 16.74838829 -1.20265889],[ 6.88678455 18.29233551 -2.25938582]
10:09:18.372344,372344,140.60995345527056,16.35715203665257,[ 4.84727669 13.06811905 -1.67294014],[ 6.00859547 16.74808121 -1.20270443],[ 6.88572693 18.29363632 -2.25825477]
10:09:18.376345,376345,140.63569528776583,6.433849661402388,[ 4.84712648 13.06838226 -1.67347109],[ 6.00897551 16.74816132 -1.20350552],[ 6.88645887 18.29367638 -2.25813556]
10:09:18.380345,380345,140.6608879690891,6.298170330815367,[ 4.84709501 13.06871986 -1.67310274],[ 6.00996828 16.74839783 -1.20342696],[ 6.88702393 18.29384995 -2.25730157]
10:09:18.384346,384346,140.6304354888779,7.611217248483231,[ 4.84650517 13.0688839  -1.67317927],[ 6.00910807 16.74863815 -1.20340443],[ 6.88567019 18.29417992 -2.25860763]
10:09:18.388322,388322,140.61292431263874,4.404219376048284,[ 4.8452158  13.06931782 -1.6744262 ],[ 6.00881481 16.74881172 -1.20331693],[ 6.885952   18.29427338 -2.25857067]
10:09:18.393355,393355,140.63967008641757,5.314081815781382,[ 4.84398031 13.06982231 -1.67481089],[ 6.00706053 16.74923515 -1.20367742],[ 6.88516378 18.29445267 -2.25739574]
10:09:18.397345,397345,140.61989253216765,4.956780513762659,[ 4.84305763 13.06991386 -1.6750052 ],[ 6.00660276 16.74897575 -1.20355701],[ 6.8845067  18.29452705 -2.25829363]
10:09:18.401322,401322,140.63117379369882,2.8366259821892936,[ 4.84230375 13.06993771 -1.67426717],[ 6.00532484 16.74906731 -1.20417929],[ 6.88336372 18.29439354 -2.25899053]
10:09:18.405358,405358,140.57890742972668,12.950040627387821,[ 4.84046698 13.07031631 -1.67344868],[ 6.00449085 16.74902916 -1.20351148],[ 6.88353682 18.29362869 -2.26035452]
10:09:18.409321,409321,140.6005377084174,5.45805669712538,[ 4.8385005  13.07038212 -1.67372453],[ 6.00440359 16.74874306 -1.20390618],[ 6.88298082 18.29335976 -2.26027012]
10:09:18.413322,413322,140.63999882827258,9.862814260232431,[ 4.83701706 13.07054806 -1.67286146],[ 6.00390768 16.74850082 -1.20453119],[ 6.88142443 18.292799   -2.26009107]
10:09:18.418319,418319,140.54645174401708,18.720649240645358,[ 4.83568525 13.07088566 -1.67211401],[ 6.00338554 16.74847412 -1.20378435],[ 6.88005209 18.29110336 -2.26250267]
10:09:18.422377,422377,140.56816516604843,5.350769352231138,[ 4.83399296 13.07101917 -1.67221665],[ 6.00324488 16.7482605  -1.2038002 ],[ 6.87815905 18.29091835 -2.26191306]
10:09:18.426354,426354,140.4812959231582,21.842907440339626,[ 4.83258581 13.07116032 -1.67169702],[ 6.00007629 16.74872017 -1.20216835],[ 6.87210226 18.29089928 -2.2629025 ]
10:09:18.430367,430367,140.22273626672504,64.430514934753,[ 4.83152866 13.07111835 -1.67224574],[ 5.99950504 16.74891281 -1.19883537],[ 6.87078571 18.28872299 -2.2670629 ]
10:09:18.434333,434333,140.21624841924796,1.635866736529272,[ 4.82981825 13.07121658 -1.67193866],[ 5.99839163 16.74858665 -1.19891477],[ 6.86700249 18.28816032 -2.26772904]
10:09:18.438377,438377,140.3103956188759,23.280712074169234,[ 4.82742357 13.07168961 -1.67103088],[ 5.99723053 16.74835205 -1.19908929],[ 6.86794043 18.2878437  -2.26447344]
10:09:18.443355,443355,140.3231279577688,2.557721754299481,[ 4.82641745 13.07164288 -1.669945  ],[ 5.99600983 16.74839401 -1.19939017],[ 6.86708736 18.2871151  -2.26446462]
10:09:18.447353,447353,140.27821550657433,11.233729663451076,[ 4.82435369 13.07177353 -1.66892731],[ 5.99332809 16.74986839 -1.19570994],[ 6.86396122 18.28875542 -2.26115942]
10:09:18.451322,451322,140.2817013413209,0.878265242273686,[ 4.82243204 13.07199287 -1.66832078],[ 5.99104118 16.75031281 -1.19505584],[ 6.86232615 18.28938103 -2.2603538 ]
10:09:18.455376,455376,140.32312644260264,10.21832789386574,[ 4.82012844 13.07245064 -1.66661513],[ 5.9904213  16.75023842 -1.1938591 ],[ 6.85810709 18.29069138 -2.25910878]
10:09:18.459321,459321,140.4907211603001,42.48281817425973,[ 4.81848001 13.07286835 -1.66652095],[ 5.9906764  16.74909019 -1.19655383],[ 6.85596704 18.2914238  -2.25790405]
10:09:18.463339,463339,140.36311507117446,31.7586085429654,[ 4.8161788  13.07324409 -1.66492045],[ 5.98937225 16.74962234 -1.19347858],[ 6.8540659  18.29155159 -2.25948668]
10:09:18.468359,468359,140.34113564243975,4.378372257910344,[ 4.81580734 13.07311058 -1.66360509],[ 5.98683834 16.75056839 -1.19172013],[ 6.85274363 18.29252243 -2.25800061]
10:09:18.472355,472355,140.42935594561212,22.077152946036886,[ 4.81398964 13.07375813 -1.66192412],[ 5.98293495 16.75184059 -1.19346464],[ 6.85247517 18.29261589 -2.25657582]
10:09:18.476320,476320,140.46242214136652,8.3395197362928,[ 4.81122637 13.07466412 -1.66099727],[ 5.98042631 16.75245857 -1.19282854],[ 6.85051012 18.29323006 -2.25467134]
10:09:18.480354,480354,140.42110130181172,10.243143171740135,[ 4.81096029 13.0744915  -1.65955186],[ 5.98106146 16.75276947 -1.19042361],[ 6.84741688 18.29419136 -2.25431705]
10:09:18.484354,484354,140.50368868323625,20.646845356132815,[ 4.80776072 13.07547379 -1.65900648],[ 5.9805975  16.75218773 -1.19074595],[ 6.84319305 18.29543495 -2.25347948]
10:09:18.488320,488320,140.3985764583682,26.50333456077589,[ 4.80660534 13.07578087 -1.65844834],[ 5.97795391 16.75337601 -1.18822896],[ 6.83946037 18.29658699 -2.25414276]
10:09:18.493360,493360,140.42786740033893,5.811694835459198,[ 4.80494976 13.07630539 -1.65599012],[ 5.97622538 16.75383568 -1.18710899],[ 6.83835983 18.29711342 -2.25256872]
10:09:18.497344,497344,140.50893432156192,20.348122796937297,[ 4.80342865 13.07676601 -1.65570343],[ 5.97332239 16.75512886 -1.18722188],[ 6.83857059 18.29738998 -2.24823976]
10:09:18.501323,501323,140.4767897867876,8.078546060396555,[ 4.80089426 13.07746315 -1.65311229],[ 5.9708333  16.75647736 -1.18561161],[ 6.8307662  18.299263   -2.24928045]
10:09:18.505356,505356,140.5528258120718,18.853465232877827,[ 4.80047464 13.07739258 -1.65311694],[ 5.97068977 16.75589561 -1.18601155],[ 6.83256578 18.29899979 -2.24675608]
10:09:18.509326,509326,140.40633917212622,36.898397971178504,[ 4.79937124 13.07750702 -1.65067661],[ 5.96820974 16.75659561 -1.18443954],[ 6.82890749 18.29886818 -2.25140882]
10:09:18.513346,513346,140.33008683679083,18.96824262074552,[ 4.79786253 13.07781887 -1.65054083],[ 5.96571732 16.75826454 -1.18254077],[ 6.82680273 18.2993927  -2.25079226]
10:09:18.518354,518354,140.48349514936695,30.63265027478405,[ 4.79620695 13.07794476 -1.64935338],[ 5.9687705  16.75613403 -1.185076  ],[ 6.82795334 18.2978344  -2.25019336]
10:09:18.522359,522359,140.2605794832383,55.65934235421784,[ 4.79395771 13.07860279 -1.64948702],[ 5.96585417 16.75754738 -1.18188   ],[ 6.82620287 18.29775047 -2.25356221]
10:09:18.526360,526360,140.2460606306923,3.628805935013761,[ 4.79180908 13.07875061 -1.64785719],[ 5.96469021 16.75771904 -1.18215191],[ 6.82496262 18.29821968 -2.2560699 ]
10:09:18.530353,530353,140.16847378312332,19.430715644626773,[ 4.79056406 13.07888317 -1.6466974 ],[ 5.96059608 16.75918198 -1.18181551],[ 6.82291222 18.29777718 -2.25773501]
