EMG_Pod01,EMG_Pod02,EMG_Pod03,EMG_Pod04,EMG_Pod05,EMG_Pod06,EMG_Pod07,EMG_Pod08,Timestamp
7, 3, 1, -1, 1, -1, -1, -3, 2021-08-20 18:14:57.894508
-1, 9, 4, -3, -2, -3, -2, -2, 2021-08-20 18:14:57.894508
1, -8, -1, -2, -1, 0, 0, -1, 2021-08-20 18:14:57.898507
-2, -4, -2, -2, -1, -1, -2, -1, 2021-08-20 18:14:57.898507
-3, 0, -1, -1, 0, 0, -2, 1, 2021-08-20 18:14:57.899508
-1, -5, -2, 1, -1, 0, -2, -2, 2021-08-20 18:14:57.899508
1, 3, 0, -1, -1, -1, -3, -1, 2021-08-20 18:14:57.900507
-1, 0, -3, -3, -3, -2, -1, -2, 2021-08-20 18:14:57.900507
0, 1, 0, 0, 2, 0, -1, 1, 2021-08-20 18:14:57.905508
-3, -1, 1, 2, 1, -1, -1, 1, 2021-08-20 18:14:57.905508
-8, 2, -2, 0, -1, -1, 0, 0, 2021-08-20 18:14:57.914508
9, -3, 0, 2, 1, 0, -1, 1, 2021-08-20 18:14:57.914508
-5, -3, -3, -3, -2, -3, -2, -1, 2021-08-20 18:14:57.919507
-3, 0, -1, -2, 0, -2, 1, -1, 2021-08-20 18:14:57.919507
1, -3, 0, 1, 1, 0, -4, -1, 2021-08-20 18:14:57.962506
-34, -6, -3, -1, 0, -1, -1, -3, 2021-08-20 18:14:57.962506
48, 13, 4, 1, -1, 3, 1, -2, 2021-08-20 18:14:57.963507
5, -5, 0, -3, -3, -2, -2, 1, 2021-08-20 18:14:57.963507
-11, 0, 0, -2, -1, -4, 0, 0, 2021-08-20 18:14:57.966508
2, 4, -1, -2, -3, 0, 0, -2, 2021-08-20 18:14:57.966508
-24, -10, -7, -1, -1, -1, 1, 1, 2021-08-20 18:14:57.967508
-4, -6, 1, 0, -1, -2, -1, -2, 2021-08-20 18:14:57.967508
18, 5, 2, 0, 2, -1, 0, 1, 2021-08-20 18:14:57.979508
-4, 2, 4, 3, 0, -2, -2, 1, 2021-08-20 18:14:57.979508
-6, -5, -1, -2, -2, -1, -2, 0, 2021-08-20 18:14:57.988507
7, 1, -3, -1, -1, 0, -1, 0, 2021-08-20 18:14:57.988507
-12, -4, -3, -4, -2, -1, -2, -2, 2021-08-20 18:14:58.003507
5, 0, 1, 1, 0, 1, -1, -1, 2021-08-20 18:14:58.003507
4, 9, 2, 0, 1, 0, 0, 0, 2021-08-20 18:14:58.042508
0, -1, 2, 0, 0, 1, -1, 0, 2021-08-20 18:14:58.042508
-14, -3, 1, 0, -1, 1, 1, -1, 2021-08-20 18:14:58.043508
-12, -9, -4, 2, -1, 2, 1, -1, 2021-08-20 18:14:58.043508
23, 7, 5, -1, -1, -2, -1, -1, 2021-08-20 18:14:58.044508
2, -2, -5, -3, -2, -2, 0, -3, 2021-08-20 18:14:58.044508
6, -1, -2, -2, -2, -2, -2, 2, 2021-08-20 18:14:58.055507
-16, -7, -4, -3, -1, -3, -1, -1, 2021-08-20 18:14:58.056508
-13, -16, -6, 0, 0, 1, -1, -1, 2021-08-20 18:14:58.057508
-1, 5, 4, 1, 1, 0, -3, 1, 2021-08-20 18:14:58.057508
7, 11, 3, -2, -3, -3, 0, -1, 2021-08-20 18:14:58.061508
2, 3, 0, -1, -2, -1, -1, -1, 2021-08-20 18:14:58.062508
0, -4, 1, 0, 0, -1, -1, 1, 2021-08-20 18:14:58.078508
8, 0, -5, -4, -1, -1, 0, 0, 2021-08-20 18:14:58.078508
-8, -9, -5, -1, 1, 2, 0, 1, 2021-08-20 18:14:58.085508
-3, 8, -1, -2, -1, -1, 0, -1, 2021-08-20 18:14:58.085508
8, -7, -5, -1, 1, 1, 1, -1, 2021-08-20 18:14:58.091508
-1, -4, -1, 2, -1, 1, 0, -1, 2021-08-20 18:14:58.092508
4, 7, 2, 2, 1, 2, 0, -2, 2021-08-20 18:14:58.115508
2, 1, 6, -1, -2, 0, -3, 0, 2021-08-20 18:14:58.116508
6, 6, -2, -3, -2, -6, -4, -3, 2021-08-20 18:14:58.117508
-14, -4, 1, 0, -2, -5, -2, -1, 2021-08-20 18:14:58.117508
20, 2, -2, 1, 0, -3, -3, -2, 2021-08-20 18:14:58.130508
-1, -6, -3, -1, 0, -2, 0, 2, 2021-08-20 18:14:58.130508
-17, -6, -3, -2, -2, 1, -2, -2, 2021-08-20 18:14:58.137508
23, 4, 3, -4, -1, 0, -1, -2, 2021-08-20 18:14:58.137508
-15, -4, -1, -1, -1, -1, -2, -1, 2021-08-20 18:14:58.153508
9, 1, 1, -1, -1, 0, -2, -2, 2021-08-20 18:14:58.153508
-9, -6, -2, 0, -1, -1, 0, 1, 2021-08-20 18:14:58.154527
-10, -7, -7, 1, -2, -1, 0, -2, 2021-08-20 18:14:58.155508
-2, -1, 1, -1, 1, -1, -1, -3, 2021-08-20 18:14:58.175544
12, 6, 4, 0, -3, -1, -2, -2, 2021-08-20 18:14:58.175544
-9, 2, -1, -2, -1, -2, -1, -3, 2021-08-20 18:14:58.177537
-1, -1, 2, -1, 0, -1, -1, 0, 2021-08-20 18:14:58.177537
0, -7, -4, 0, -2, -1, -2, -2, 2021-08-20 18:14:58.190507
-3, 4, -2, -2, 1, -2, 0, 0, 2021-08-20 18:14:58.190507
-13, -1, 2, 0, 1, -2, -3, 0, 2021-08-20 18:14:58.197507
-5, -4, -1, 0, -1, 1, 2, 0, 2021-08-20 18:14:58.197507
24, -1, -3, -1, -1, -1, -1, 0, 2021-08-20 18:14:58.214508
3, 10, 0, 0, 0, -1, -2, -2, 2021-08-20 18:14:58.214508
-12, -5, -3, -3, -3, -2, -1, -1, 2021-08-20 18:14:58.215509
-1, 2, -1, 1, -1, -2, -1, -1, 2021-08-20 18:14:58.216508
5, -3, 3, -2, 0, -1, 0, -1, 2021-08-20 18:14:58.235508
-5, -5, -6, -3, 0, 3, -2, -3, 2021-08-20 18:14:58.236508
10, 6, 0, -1, -2, 0, 0, 0, 2021-08-20 18:14:58.237509
-4, -4, -1, -1, -3, -3, -2, -2, 2021-08-20 18:14:58.237509
-7, -3, -3, 2, 1, 0, 2, -1, 2021-08-20 18:14:58.258508
-14, -4, -1, -1, -1, -2, 1, -1, 2021-08-20 18:14:58.259508
25, 4, 1, 2, -2, -1, 0, 0, 2021-08-20 18:14:58.260508
-12, 1, -2, -2, 0, -2, -2, 0, 2021-08-20 18:14:58.260508
-2, 8, 2, 0, -1, 1, -1, -3, 2021-08-20 18:14:58.273508
2, -3, 2, -1, 0, 0, -2, -1, 2021-08-20 18:14:58.273508
-5, -6, -4, -4, 0, -1, -1, -1, 2021-08-20 18:14:58.275508
1, 2, 2, 0, -1, 1, 1, 0, 2021-08-20 18:14:58.275508
-18, -1, -3, -1, -2, 0, -1, 1, 2021-08-20 18:14:58.296508
20, -2, 2, -1, -2, 0, 0, 2, 2021-08-20 18:14:58.296508
4, 5, 6, -2, -2, 0, -2, 0, 2021-08-20 18:14:58.298507
