EMG_Pod01,EMG_Pod02,EMG_Pod03,EMG_Pod04,EMG_Pod05,EMG_Pod06,EMG_Pod07,EMG_Pod08,Timestamp
2, 2, 7, 7, -1, -1, 1, 0, 2021-08-24 19:08:10.440285
17, 17, 15, 6, 7, 8, 8, 10, 2021-08-24 19:08:10.441283
-16, -14, -13, -11, -9, -10, -9, -11, 2021-08-24 19:08:10.441283
-2, -4, -12, -14, 0, -2, -1, 0, 2021-08-24 19:08:10.441283
-13, -14, -12, -2, -4, -7, -5, -8, 2021-08-24 19:08:10.442283
5, 7, 28, 17, 2, 4, 4, 6, 2021-08-24 19:08:10.442283
8, 8, 5, -2, 0, 0, -2, 2, 2021-08-24 19:08:10.443283
-3, -6, -6, -1, -4, -5, -5, -2, 2021-08-24 19:08:10.443283
-1, -2, -10, 0, -2, -1, -2, 0, 2021-08-24 19:08:10.456282
-4, -3, -6, -6, -2, -1, -1, -2, 2021-08-24 19:08:10.457281
-3, -4, -11, -5, -1, 3, 4, 0, 2021-08-24 19:08:10.461279
-7, -6, -7, -13, -8, -6, -4, -6, 2021-08-24 19:08:10.461279
14, 20, 37, 22, 4, 5, 4, 7, 2021-08-24 19:08:10.486275
-6, -5, 6, 13, 10, -2, -3, -3, 2021-08-24 19:08:10.486275
7, 10, 16, 14, 12, 16, 10, 4, 2021-08-24 19:08:10.489274
-10, -13, -22, -11, -9, -8, -6, -9, 2021-08-24 19:08:10.489274
-9, -15, -26, -22, -7, -1, -3, -3, 2021-08-24 19:08:10.491274
-6, -9, -17, -12, -10, -8, -9, -7, 2021-08-24 19:08:10.492273
-3, -2, 0, -2, -2, -6, -4, -1, 2021-08-24 19:08:10.507271
7, 9, 10, 7, 4, 6, 6, 7, 2021-08-24 19:08:10.507271
-3, -1, -3, -2, 1, -1, -2, -3, 2021-08-24 19:08:10.531268
-12, -15, -17, -19, -10, -7, -7, -7, 2021-08-24 19:08:10.531268
5, 6, 1, 2, 1, -2, 2, 4, 2021-08-24 19:08:10.533267
-5, -6, 8, 15, -2, -2, -2, -2, 2021-08-24 19:08:10.533267
1, 3, -2, -4, 2, 1, 1, -1, 2021-08-24 19:08:10.536266
1, 0, -11, -4, -3, 1, 3, -1, 2021-08-24 19:08:10.536266
7, 5, -5, -14, 1, 1, 3, 4, 2021-08-24 19:08:10.555264
6, 14, 29, 17, 1, 1, -1, -1, 2021-08-24 19:08:10.555264
-9, -14, 7, 14, 1, 0, -1, -2, 2021-08-24 19:08:10.555264
11, 12, 9, 8, 7, 11, 8, 10, 2021-08-24 19:08:10.556263
-14, -18, -19, 1, -6, -10, -9, -11, 2021-08-24 19:08:10.567261
4, 3, -4, -7, 2, 1, 1, 3, 2021-08-24 19:08:10.567261
3, 3, -6, -14, -9, -3, -5, -3, 2021-08-24 19:08:10.574259
-6, -5, -5, -6, 2, -4, -2, -5, 2021-08-24 19:08:10.574259
15, 15, 8, 2, 5, 5, 5, 12, 2021-08-24 19:08:10.588257
-22, -29, -26, -12, -10, -10, -11, -15, 2021-08-24 19:08:10.588257
10, 13, 11, 4, 3, 4, 5, 4, 2021-08-24 19:08:10.630252
7, 8, -1, -7, 0, 2, 1, 4, 2021-08-24 19:08:10.630252
-10, -19, -31, -6, -1, -2, -2, -2, 2021-08-24 19:08:10.631251
2, 8, 38, 26, -2, -3, -3, -2, 2021-08-24 19:08:10.631251
-2, -5, -10, -13, -3, -2, -1, -2, 2021-08-24 19:08:10.643247
-18, -29, -69, -57, -15, -12, -9, -12, 2021-08-24 19:08:10.643247
2, 9, 61, 24, 0, -2, -3, -2, 2021-08-24 19:08:10.644246
9, 18, 48, 54, 19, 9, 6, 5, 2021-08-24 19:08:10.644246
20, 23, 12, 20, 17, 17, 13, 14, 2021-08-24 19:08:10.645247
0, 2, 13, 23, -8, 0, -3, -3, 2021-08-24 19:08:10.645247
-3, -11, -47, -37, 4, 3, 3, 2, 2021-08-24 19:08:10.648246
-5, -12, -21, -17, -8, -3, 1, 0, 2021-08-24 19:08:10.648246
-6, -6, 7, -1, -9, -8, -7, -8, 2021-08-24 19:08:10.665244
6, 8, -11, -12, 8, 6, 5, 6, 2021-08-24 19:08:10.665244
-3, -4, -8, -8, -10, -7, -4, -2, 2021-08-24 19:08:10.671242
-1, 2, 3, -3, -5, -5, -1, 0, 2021-08-24 19:08:10.671242
-18, -16, -20, -16, -8, -16, -17, -16, 2021-08-24 19:08:10.678239
4, 3, 12, 8, 4, 8, 6, 6, 2021-08-24 19:08:10.678239
-5, 1, 16, 12, -2, -7, -9, -8, 2021-08-24 19:08:10.702236
-1, -6, -22, -21, -1, 1, 2, 5, 2021-08-24 19:08:10.702236
0, -3, -9, 0, 4, 6, 2, 0, 2021-08-24 19:08:10.710234
-3, -2, 11, 7, -10, -9, -9, -6, 2021-08-24 19:08:10.710234
4, 6, -38, -54, -7, -4, -1, 1, 2021-08-24 19:08:10.716233
-4, -2, 24, 18, -6, -4, -3, -3, 2021-08-24 19:08:10.716233
1, 4, 68, 72, 20, 7, 5, 3, 2021-08-24 19:08:10.732232
16, 19, 25, 60, 38, 20, 13, 12, 2021-08-24 19:08:10.732232
28, 25, 12, 14, 9, 14, 14, 14, 2021-08-24 19:08:10.739229
-18, -27, -73, -64, -19, -11, -12, -16, 2021-08-24 19:08:10.740229
-32, -41, -38, -38, -30, -18, -14, -15, 2021-08-24 19:08:10.741228
-10, -7, 12, -7, -6, -4, -5, -7, 2021-08-24 19:08:10.741228
3, 3, -7, 5, 7, 5, 2, 5, 2021-08-24 19:08:10.762224
4, 4, -18, -20, -2, -3, -3, 0, 2021-08-24 19:08:10.763225
6, 5, 2, -1, 2, 1, 1, 5, 2021-08-24 19:08:10.776222
-6, -4, 13, -12, -8, -6, -3, -4, 2021-08-24 19:08:10.777222
-1, 4, 22, 28, 4, 4, 1, 0, 2021-08-24 19:08:10.777222
9, 13, 24, 21, 6, 3, 1, 2, 2021-08-24 19:08:10.777222
1, 1, -40, -34, -20, -6, -3, 1, 2021-08-24 19:08:10.785221
-8, -13, -38, -20, 7, -7, -4, -6, 2021-08-24 19:08:10.785221
-6, -2, 17, -1, -7, 2, 0, -1, 2021-08-24 19:08:10.806729
3, 5, 51, 47, 28, 10, 6, 4, 2021-08-24 19:08:10.807729
10, 9, -19, -22, 3, 6, 5, 7, 2021-08-24 19:08:10.808729
13, 17, 40, 51, -10, 3, 4, 6, 2021-08-24 19:08:10.808729
2, 5, 8, 29, 1, -6, -3, -4, 2021-08-24 19:08:10.822726
-25, -42, -54, -4, 2, -7, -8, -11, 2021-08-24 19:08:10.822726
2, 5, 10, -21, -4, 4, 3, 3, 2021-08-24 19:08:10.823726
-13, -19, -33, -48, -12, -6, -6, -7, 2021-08-24 19:08:10.823726
4, 6, -1, -9, -4, -2, 0, 1, 2021-08-24 19:08:10.835723
10, 13, 0, -13, -2, 4, 3, 5, 2021-08-24 19:08:10.836723
-3, -3, 2, 6, 6, -5, -4, -3, 2021-08-24 19:08:10.844723
0, -2, -15, -11, -6, -2, 0, 1, 2021-08-24 19:08:10.845723
-8, -10, -7, 2, -7, -5, -5, -5, 2021-08-24 19:08:10.859721
6, 13, 33, 9, 0, 1, 2, 2, 2021-08-24 19:08:10.859721
4, 4, 8, 8, 10, 5, 5, 2, 2021-08-24 19:08:10.861720
3, 6, 17, 21, 2, 3, 2, 1, 2021-08-24 19:08:10.861720
2, -3, -16, -2, 5, 2, 3, 2, 2021-08-24 19:08:10.883716
-2, 0, -9, -17, -9, -5, -5, -3, 2021-08-24 19:08:10.883716
