EMG_Pod01,EMG_Pod02,EMG_Pod03,EMG_Pod04,EMG_Pod05,EMG_Pod06,EMG_Pod07,EMG_Pod08,Timestamp
13, 11, 10, 4, 1, -1, 1, 0, 2021-08-24 19:10:39.653171
-5, -3, -3, -3, -2, -1, -3, -9, 2021-08-24 19:10:39.653171
-5, -2, 0, -2, -3, -5, -6, -6, 2021-08-24 19:10:39.654174
-2, -3, -4, -2, -3, -2, -2, -2, 2021-08-24 19:10:39.654174
-7, -8, -6, -5, -3, -2, -2, 0, 2021-08-24 19:10:39.664169
9, -1, 0, -1, 0, -4, -1, -2, 2021-08-24 19:10:39.665170
0, -1, 0, -3, -2, -3, 1, 0, 2021-08-24 19:10:39.666169
-5, -2, 0, 0, 0, -3, -2, -4, 2021-08-24 19:10:39.666169
1, -1, -3, -2, -1, 0, -1, -3, 2021-08-24 19:10:39.668168
-10, -3, -1, 0, 1, 2, -2, -3, 2021-08-24 19:10:39.668168
6, 2, -2, -1, -1, 0, 0, 2, 2021-08-24 19:10:39.687164
-1, 0, 1, 1, -1, -2, -4, 0, 2021-08-24 19:10:39.688165
-3, -1, -2, -2, 0, 0, -1, 0, 2021-08-24 19:10:39.689164
14, 8, 1, 1, 1, 5, 3, 5, 2021-08-24 19:10:39.689164
6, 3, -1, -1, -1, -2, 0, 6, 2021-08-24 19:10:39.693163
2, 0, 0, 0, 2, 3, 2, -3, 2021-08-24 19:10:39.694165
-11, -6, -1, 1, -1, -1, -1, -2, 2021-08-24 19:10:39.706677
-5, -2, 0, 1, -3, -4, -5, -7, 2021-08-24 19:10:39.707676
2, 0, 0, 0, -2, -1, -2, -1, 2021-08-24 19:10:39.730672
-3, 0, -2, -1, 0, 2, 1, -1, 2021-08-24 19:10:39.730672
-2, -3, -4, -1, -1, 0, 4, 0, 2021-08-24 19:10:39.730672
7, 2, -1, -2, -1, 1, 0, 8, 2021-08-24 19:10:39.731676
-2, -2, 0, 1, 2, 0, 1, -4, 2021-08-24 19:10:39.744671
9, 4, -1, -1, -2, -1, 1, 6, 2021-08-24 19:10:39.744671
-1, -1, -2, -2, -4, -3, -2, -2, 2021-08-24 19:10:39.777665
-1, -2, 2, -1, -1, -3, -2, -3, 2021-08-24 19:10:39.777665
-10, -2, 0, 0, -2, -1, -3, -3, 2021-08-24 19:10:39.783662
4, 1, 1, 1, -1, -1, -2, -2, 2021-08-24 19:10:39.783662
-7, -2, 1, 0, 1, -1, -3, -3, 2021-08-24 19:10:39.783662
13, 3, -3, -1, -1, 1, 3, 8, 2021-08-24 19:10:39.784664
-4, -2, -2, -2, -3, -3, -1, -4, 2021-08-24 19:10:39.784664
-7, -2, 2, 0, 1, 4, 2, -2, 2021-08-24 19:10:39.784664
1, -2, -3, -1, -2, 0, -1, -2, 2021-08-24 19:10:39.789661
-3, 1, 0, -2, -1, -2, -6, -6, 2021-08-24 19:10:39.789661
2, -1, -3, -2, -2, -2, -1, 2, 2021-08-24 19:10:39.804658
4, 1, -2, -2, -1, -2, -3, 2, 2021-08-24 19:10:39.804658
-6, -2, 1, -1, -3, -2, -1, -4, 2021-08-24 19:10:39.813657
-4, -2, 0, 0, -2, 0, -2, 1, 2021-08-24 19:10:39.813657
9, 2, -1, 0, 0, 1, 2, 1, 2021-08-24 19:10:39.819655
-2, -1, -1, 0, -3, -4, -3, -3, 2021-08-24 19:10:39.819655
1, 0, -1, 0, -1, -2, -4, -2, 2021-08-24 19:10:39.835653
-2, -2, -3, -1, -1, -3, 0, -1, 2021-08-24 19:10:39.835653
-2, -1, 0, 1, 0, -1, -1, -1, 2021-08-24 19:10:39.849650
-12, -5, -2, -1, -2, -1, -2, -3, 2021-08-24 19:10:39.849650
18, 3, -1, -2, -1, -2, -2, 4, 2021-08-24 19:10:39.858649
-3, -2, -2, 0, 0, 0, 1, -4, 2021-08-24 19:10:39.858649
-1, -1, -1, -2, 0, -2, -1, 1, 2021-08-24 19:10:39.873646
-1, -1, -1, 0, 0, -2, 1, 3, 2021-08-24 19:10:39.873646
-1, 1, -2, 0, 1, 0, 1, 2, 2021-08-24 19:10:39.874646
-7, -4, 0, -1, -1, -2, -3, -9, 2021-08-24 19:10:39.875650
8, 4, 0, -2, 0, 2, 1, 3, 2021-08-24 19:10:39.895643
-5, -3, -1, -2, -2, -2, -4, -3, 2021-08-24 19:10:39.896645
0, 0, -3, -2, 0, 1, 2, 0, 2021-08-24 19:10:39.897643
3, 2, 1, 2, 2, 2, 2, 1, 2021-08-24 19:10:39.897643
-9, -4, -3, -1, -2, 0, 1, 3, 2021-08-24 19:10:39.918641
14, 4, -2, -3, -4, -4, -2, 3, 2021-08-24 19:10:39.918641
-10, -4, 0, 2, 2, 4, 4, -2, 2021-08-24 19:10:39.919640
4, 1, 3, 0, -1, -1, -5, 1, 2021-08-24 19:10:39.919640
-3, -1, 1, 1, -2, -3, -5, -9, 2021-08-24 19:10:39.933640
2, 1, 0, 1, 1, 1, 4, 4, 2021-08-24 19:10:39.933640
-3, -2, -2, -3, -1, -2, -1, 0, 2021-08-24 19:10:39.939633
-7, -5, -6, -4, -3, -3, -4, -6, 2021-08-24 19:10:39.939633
-3, -3, -1, 0, 0, 0, -1, -3, 2021-08-24 19:10:39.963632
5, 1, -4, -2, -4, 1, 0, 2, 2021-08-24 19:10:39.963632
-3, -4, -1, 0, 0, -2, 0, -2, 2021-08-24 19:10:39.964631
0, 1, 1, 1, -1, 0, 0, 2, 2021-08-24 19:10:39.964631
