EMG_Pod01,EMG_Pod02,EMG_Pod03,EMG_Pod04,EMG_Pod05,EMG_Pod06,EMG_Pod07,EMG_Pod08,Timestamp
0, -1, 0, -2, 0, 0, 0, 0, 2021-08-24 19:24:44.914496
-1, -2, -1, -1, 0, 0, 0, -1, 2021-08-24 19:24:44.914496
0, -1, -1, 0, -2, -1, 1, 1, 2021-08-24 19:24:44.915493
-1, 1, 0, 0, 0, 1, -1, -2, 2021-08-24 19:24:44.915493
-1, -2, -1, -1, 0, -1, 0, 0, 2021-08-24 19:24:44.916494
-2, -2, -1, 0, -1, -2, -1, -2, 2021-08-24 19:24:44.917494
1, 0, -1, -2, -2, -3, -2, 0, 2021-08-24 19:24:44.918494
1, -2, -1, 0, -1, 0, -2, -1, 2021-08-24 19:24:44.918494
0, 0, -2, -1, -1, 0, 0, 1, 2021-08-24 19:24:44.925492
-1, -2, -1, -1, 0, -1, -2, -4, 2021-08-24 19:24:44.925492
0, 0, 0, -2, 0, 0, -3, 1, 2021-08-24 19:24:44.932492
-1, 0, -1, -1, -1, -1, -1, 0, 2021-08-24 19:24:44.932492
0, 0, 0, -1, -1, -3, -2, -2, 2021-08-24 19:24:44.945491
-1, -1, -3, 0, -3, -1, -3, -1, 2021-08-24 19:24:44.945491
-2, -2, -1, -2, 0, 1, 0, -2, 2021-08-24 19:24:44.957489
1, 0, -1, -1, 0, 0, 2, 0, 2021-08-24 19:24:44.957489
-1, -1, -2, 0, -2, -2, -3, -1, 2021-08-24 19:24:44.960488
-1, 1, 0, -1, 1, -1, 0, 0, 2021-08-24 19:24:44.960488
0, -1, 0, -1, -2, 0, -2, -3, 2021-08-24 19:24:44.984484
-2, -2, 0, -1, -2, -2, -1, -1, 2021-08-24 19:24:44.984484
-2, -1, -2, 0, -1, -2, 0, 0, 2021-08-24 19:24:45.023480
-1, -1, -2, -1, 1, 0, -2, -3, 2021-08-24 19:24:45.023480
-1, -2, -1, -1, 0, -1, 0, -1, 2021-08-24 19:24:45.024480
0, -2, -1, -1, -2, -2, -2, -1, 2021-08-24 19:24:45.024480
0, 0, 0, -1, -1, 0, -2, 0, 2021-08-24 19:24:45.025479
0, -1, 0, 0, 0, -1, 0, 1, 2021-08-24 19:24:45.025479
-1, 0, 0, 0, -2, 0, -3, -1, 2021-08-24 19:24:45.027481
-3, -1, -1, -2, 0, 1, 0, -2, 2021-08-24 19:24:45.028480
-1, -1, 0, -2, -2, -1, 0, -2, 2021-08-24 19:24:45.036478
1, 0, -1, -1, -2, -1, -1, -1, 2021-08-24 19:24:45.037478
1, -1, 0, 0, -1, 1, -1, 0, 2021-08-24 19:24:45.042994
0, -2, -2, -1, -2, -1, -2, -1, 2021-08-24 19:24:45.042994
0, -1, -2, -1, 0, -1, -3, -3, 2021-08-24 19:24:45.051508
-1, 0, 0, -1, -1, -1, 1, -1, 2021-08-24 19:24:45.051508
-2, -1, -1, -1, -3, -3, 0, -2, 2021-08-24 19:24:45.065507
-2, 0, -1, -2, 0, 0, -1, -2, 2021-08-24 19:24:45.065507
-2, -2, 0, -1, 0, 0, -1, 0, 2021-08-24 19:24:45.074505
-2, 1, -2, 2, -1, 0, 0, -1, 2021-08-24 19:24:45.074505
-1, 0, -2, -1, 0, -1, -1, 1, 2021-08-24 19:24:45.096502
-2, -1, -1, 0, 1, -1, -1, -3, 2021-08-24 19:24:45.097502
-1, -3, -1, -1, 1, -1, 0, -1, 2021-08-24 19:24:45.098503
0, -3, -1, -2, -2, 0, 0, -1, 2021-08-24 19:24:45.098503
0, -1, -1, 0, 0, -1, 0, -1, 2021-08-24 19:24:45.111503
2, 1, 1, -2, -1, 0, 3, 2, 2021-08-24 19:24:45.111503
0, 1, -1, -2, -2, -2, -1, -2, 2021-08-24 19:24:45.125498
-1, -1, 0, -1, -1, 0, -1, 0, 2021-08-24 19:24:45.125498
-2, 0, -3, -1, -1, -1, 0, 0, 2021-08-24 19:24:45.134499
0, 0, 0, -1, -3, -2, -2, 1, 2021-08-24 19:24:45.134499
-2, -2, -2, -1, -3, 0, -2, -1, 2021-08-24 19:24:45.135500
-1, -3, -1, -2, 0, 0, 1, 0, 2021-08-24 19:24:45.135500
-2, -1, -1, -2, -1, -1, -3, -2, 2021-08-24 19:24:45.156493
0, 0, -3, 1, 1, 0, 0, 2, 2021-08-24 19:24:45.157494
-3, 0, 1, -1, -1, -1, -2, -5, 2021-08-24 19:24:45.158494
1, 2, 0, 0, -2, 0, -3, -1, 2021-08-24 19:24:45.158494
1, 0, -1, 0, -1, -1, -2, -1, 2021-08-24 19:24:45.171492
-2, -2, -1, -1, -4, -3, -2, 0, 2021-08-24 19:24:45.171492
0, 0, 1, -1, 1, 4, 3, 2, 2021-08-24 19:24:45.177491
-4, -1, -3, -1, -2, -2, -2, -2, 2021-08-24 19:24:45.178491
0, 1, 0, -1, 0, 2, 1, 0, 2021-08-24 19:24:45.194489
-1, 0, -1, 0, -2, -1, -1, -3, 2021-08-24 19:24:45.194489
0, -1, -4, -1, -2, -3, -3, 0, 2021-08-24 19:24:45.195489
-3, -1, -2, -1, -1, -1, 0, -1, 2021-08-24 19:24:45.196490
-2, -2, -2, -1, 0, 0, 0, -1, 2021-08-24 19:24:45.216487
-1, -1, -1, -1, -1, -2, -3, -2, 2021-08-24 19:24:45.217486
0, 1, 2, -2, 1, 0, -1, 1, 2021-08-24 19:24:45.218486
-1, -1, 0, 0, 0, -1, -2, -1, 2021-08-24 19:24:45.218486
-1, -1, -3, -1, -1, -1, 0, -1, 2021-08-24 19:24:45.239483
-3, -2, -2, -2, -2, 0, -1, -2, 2021-08-24 19:24:45.239483
1, -1, -2, -1, -1, -3, 1, -1, 2021-08-24 19:24:45.240483
1, 0, 0, 0, 0, -1, -1, 2, 2021-08-24 19:24:45.241483
-1, -2, -1, -1, -1, 0, -1, 0, 2021-08-24 19:24:45.254481
1, -3, -1, -1, 0, 0, -2, 1, 2021-08-24 19:24:45.254481
-3, 0, -3, 1, -1, -1, -2, -2, 2021-08-24 19:24:45.255482
-1, 0, -1, -1, 0, -2, -2, 0, 2021-08-24 19:24:45.256482
2, -1, 1, 0, -3, -2, 0, 0, 2021-08-24 19:24:45.276988
-1, 1, 0, 1, 1, 3, 4, 1, 2021-08-24 19:24:45.276988
-1, -2, -1, 1, -2, 0, -2, -1, 2021-08-24 19:24:45.277989
-1, -1, -1, 0, -2, -2, 0, -5, 2021-08-24 19:24:45.278990
-2, -1, -1, 0, 0, -3, -3, -2, 2021-08-24 19:24:45.290987
0, -3, -2, -2, -1, -1, -1, 0, 2021-08-24 19:24:45.290987
0, -1, -2, -1, 1, 1, 2, 1, 2021-08-24 19:24:45.297986
-1, -1, -2, -1, 1, 3, 2, -1, 2021-08-24 19:24:45.297986
0, 0, 0, -2, -3, 0, 0, -1, 2021-08-24 19:24:45.313984
1, 0, 1, -3, 0, 1, 1, 0, 2021-08-24 19:24:45.313984
-2, 0, 0, 1, -1, 0, 0, -2, 2021-08-24 19:24:45.315986
-2, -1, -1, -1, -1, -5, -4, -4, 2021-08-24 19:24:45.315986
0, 0, 1, 0, 1, 1, 1, 1, 2021-08-24 19:24:45.336981
-2, -2, -1, -1, -2, -4, -5, -3, 2021-08-24 19:24:45.336981
-1, 0, 0, -2, 0, -2, -1, 0, 2021-08-24 19:24:45.337981
-2, -2, -1, -1, -2, 0, 0, 2, 2021-08-24 19:24:45.337981
-1, 0, 0, 1, 2, 3, 1, -1, 2021-08-24 19:24:45.350981
-2, -1, -1, -1, -1, -4, 0, -2, 2021-08-24 19:24:45.351980
-1, -3, -2, -1, -1, -1, -4, 0, 2021-08-24 19:24:45.357979
1, -1, -2, -1, -2, -1, -1, 1, 2021-08-24 19:24:45.357979
-1, -1, -2, -1, 0, -1, -1, 0, 2021-08-24 19:24:45.373976
0, 1, -1, 1, 1, 2, 1, -1, 2021-08-24 19:24:45.374976
-2, 0, 0, -2, -1, -3, -1, -2, 2021-08-24 19:24:45.375976
0, -2, 0, 0, -1, -1, 0, -1, 2021-08-24 19:24:45.375976
-1, -2, 0, -1, -3, -2, 0, -1, 2021-08-24 19:24:45.396973
-2, -2, -3, 0, -1, -1, -3, -2, 2021-08-24 19:24:45.396973
-1, -1, -1, -2, -2, -2, -1, -2, 2021-08-24 19:24:45.397975
0, 0, -1, 0, -1, -1, -3, -2, 2021-08-24 19:24:45.397975
-1, -1, -1, 1, -1, 1, 1, -3, 2021-08-24 19:24:45.410971
0, -1, 1, -1, 0, -1, 0, 1, 2021-08-24 19:24:45.410971
4, 0, 0, 0, -2, 0, 0, 2, 2021-08-24 19:24:45.417970
-1, -1, 1, -1, -1, 1, 0, 0, 2021-08-24 19:24:45.417970
1, 0, -2, 0, 0, -1, -1, -1, 2021-08-24 19:24:45.433968
-1, 1, -1, -1, -2, -2, 0, 0, 2021-08-24 19:24:45.433968
0, 0, 0, 0, -1, 3, 1, 0, 2021-08-24 19:24:45.439968
0, -1, -2, -2, 0, -3, -1, 0, 2021-08-24 19:24:45.440967
-3, -2, 0, -2, -2, -2, -4, -3, 2021-08-24 19:24:45.456965
-1, -2, -1, 0, 0, -1, -1, 0, 2021-08-24 19:24:45.456965
0, 0, -1, -2, -2, -1, 0, -2, 2021-08-24 19:24:45.457966
0, -1, -1, 0, -1, 0, 0, 0, 2021-08-24 19:24:45.458965
-2, -3, -2, -2, -2, -1, -1, -2, 2021-08-24 19:24:45.470963
1, 0, -1, 0, -3, -3, -2, -1, 2021-08-24 19:24:45.470963
-2, 0, 0, 1, 1, 1, 0, -2, 2021-08-24 19:24:45.477963
0, -1, 0, -1, 1, 1, 0, 0, 2021-08-24 19:24:45.477963
0, 0, -1, -1, -2, -2, 0, 0, 2021-08-24 19:24:45.493960
-2, 0, 1, -1, -2, 1, 0, -1, 2021-08-24 19:24:45.494960
-3, 0, -1, -2, -1, -1, 0, -2, 2021-08-24 19:24:45.495961
-2, -1, -1, -1, -2, -2, -1, -1, 2021-08-24 19:24:45.495961
-3, -1, -2, 0, -1, -2, -2, -3, 2021-08-24 19:24:45.516958
-3, -1, -1, -1, -1, -1, -2, 0, 2021-08-24 19:24:45.516958
-1, -3, 1, -1, -2, -2, -1, 1, 2021-08-24 19:24:45.517957
-2, 0, 0, -1, -1, -2, 0, 0, 2021-08-24 19:24:45.518957
0, 0, -1, -1, -1, -2, 0, 1, 2021-08-24 19:24:45.530955
0, 0, -1, -2, 1, -2, -1, -1, 2021-08-24 19:24:45.530955
-2, -1, -1, -1, -1, 0, -1, -2, 2021-08-24 19:24:45.537954
0, 1, -2, -1, 0, 2, -1, 0, 2021-08-24 19:24:45.537954
-1, 0, 1, -1, -1, -1, -3, 0, 2021-08-24 19:24:45.553952
-1, 0, -3, -1, -1, -1, -1, -2, 2021-08-24 19:24:45.554953
-1, 2, 0, 1, -1, 0, -1, -1, 2021-08-24 19:24:45.555952
-2, 0, 0, -2, -1, -1, -2, -3, 2021-08-24 19:24:45.555952
1, -1, 0, 0, -2, 0, 1, 0, 2021-08-24 19:24:45.576949
-1, -2, 0, -2, -2, 0, 0, 0, 2021-08-24 19:24:45.576949
1, -2, -1, -1, -2, 0, -1, 2, 2021-08-24 19:24:45.577951
-1, -1, 1, -1, 1, -1, -1, 0, 2021-08-24 19:24:45.578950
1, 0, -1, -1, 0, 0, 1, 0, 2021-08-24 19:24:45.589948
-1, -1, 1, -1, -1, -2, -1, 0, 2021-08-24 19:24:45.590947
-1, -1, 0, 0, -1, -1, 0, 0, 2021-08-24 19:24:45.599947
0, -2, -1, -2, -1, 1, -1, -1, 2021-08-24 19:24:45.599947
-1, -2, -3, -3, -2, -3, -2, -2, 2021-08-24 19:24:45.614944
-1, 0, -1, 0, -1, 0, -1, 0, 2021-08-24 19:24:45.614944
-2, -1, -1, -1, 1, 0, 0, -1, 2021-08-24 19:24:45.615963
-1, 1, -1, 1, 1, 1, -1, 0, 2021-08-24 19:24:45.623957
-3, 0, 0, 0, 0, 0, -1, 0, 2021-08-24 19:24:45.636974
-1, -1, -1, -2, -2, 0, -1, -3, 2021-08-24 19:24:45.636974
2, 0, -1, 0, -2, -1, -1, 1, 2021-08-24 19:24:45.637959
1, 0, -2, -1, -1, -2, 0, 0, 2021-08-24 19:24:45.637959
0, -1, -2, 0, -1, -3, -1, 1, 2021-08-24 19:24:45.650958
0, 0, 1, 2, 1, 2, 1, 0, 2021-08-24 19:24:45.650958
0, 0, -1, -2, -1, -1, 0, -1, 2021-08-24 19:24:45.658957
-3, -4, 0, -1, -1, -4, -2, -5, 2021-08-24 19:24:45.658957
0, -1, 0, -2, -1, -1, 0, 1, 2021-08-24 19:24:45.674955
-2, -1, -3, -1, 0, -1, -1, -1, 2021-08-24 19:24:45.674955
-2, -2, -1, 0, -1, 0, -3, -3, 2021-08-24 19:24:45.675955
0, 0, -1, -1, -3, -2, -2, 1, 2021-08-24 19:24:45.675955
-1, -1, -1, 0, -1, -2, -3, -2, 2021-08-24 19:24:45.696951
-3, -2, -1, -1, 0, -1, -1, 0, 2021-08-24 19:24:45.696951
-1, -2, -2, -1, -1, -1, -1, -1, 2021-08-24 19:24:45.697953
0, 0, -1, -1, 0, 1, -1, -1, 2021-08-24 19:24:45.697953
-1, -1, -4, 0, 0, -1, -2, -3, 2021-08-24 19:24:45.709950
-1, -2, -1, 0, 0, -2, -1, -1, 2021-08-24 19:24:45.710950
0, -1, 0, 0, -2, 0, -1, 1, 2021-08-24 19:24:45.718949
-2, -1, -1, -3, 1, -1, 0, -1, 2021-08-24 19:24:45.718949
-3, -2, 0, -1, 0, -2, -3, -3, 2021-08-24 19:24:45.733947
0, 0, 0, 0, 0, 0, -1, -1, 2021-08-24 19:24:45.733947
0, -1, -1, 0, 0, 1, 1, 0, 2021-08-24 19:24:45.735947
0, -1, -1, -1, -2, -1, -1, 0, 2021-08-24 19:24:45.735947
0, -2, -1, -1, -2, -1, 0, 2, 2021-08-24 19:24:45.756944
0, -1, -1, -1, -1, -2, -2, -2, 2021-08-24 19:24:45.756944
-2, -1, -1, -1, -1, -3, 0, -1, 2021-08-24 19:24:45.757943
-1, 0, -1, 1, -1, 0, 1, -1, 2021-08-24 19:24:45.758943
0, 0, 0, 0, -1, -1, 0, -1, 2021-08-24 19:24:45.769941
-3, -2, 0, 0, -2, 0, -1, -3, 2021-08-24 19:24:45.770942
-1, 0, -2, -1, 1, 0, -2, 0, 2021-08-24 19:24:45.784940
1, 0, 0, -1, 0, -2, -1, 0, 2021-08-24 19:24:45.785940
-1, -1, -1, -1, -1, -1, -1, 0, 2021-08-24 19:24:45.793938
1, 0, -2, -2, -2, -2, -2, 0, 2021-08-24 19:24:45.793938
-1, -1, -1, 0, 0, -2, 0, 0, 2021-08-24 19:24:45.795940
0, -2, 0, 0, -1, -1, -1, -1, 2021-08-24 19:24:45.795940
1, 0, -1, -1, -1, -1, -1, 0, 2021-08-24 19:24:45.816937
-2, 0, -1, -2, 0, 0, -1, -2, 2021-08-24 19:24:45.816937
0, -1, -1, -1, 0, -2, -2, -3, 2021-08-24 19:24:45.817938
-1, -1, 0, 0, -1, 0, -1, 0, 2021-08-24 19:24:45.817938
0, -1, 0, 0, 0, 0, -1, 1, 2021-08-24 19:24:45.830944
0, -1, -1, 1, -2, 0, 0, -2, 2021-08-24 19:24:45.830944
-2, -1, 0, -2, -2, -1, -2, -2, 2021-08-24 19:24:45.838936
-2, -2, -3, -2, -2, 0, 0, 1, 2021-08-24 19:24:45.839933
-1, -3, -1, 1, -2, -2, 0, -1, 2021-08-24 19:24:45.853931
0, -1, 1, -2, 1, 0, 0, -1, 2021-08-24 19:24:45.854931
