EMG_Pod01,EMG_Pod02,EMG_Pod03,EMG_Pod04,EMG_Pod05,EMG_Pod06,EMG_Pod07,EMG_Pod08,Timestamp
1, 0, -1, -3, 0, -1, 1, -1, 2021-08-24 19:31:27.874070
-1, 0, 0, -2, 0, 5, 6, 1, 2021-08-24 19:31:27.874070
-1, -1, -2, -1, -2, -7, -8, -4, 2021-08-24 19:31:27.881069
-3, -1, -1, 0, -2, -9, -8, -4, 2021-08-24 19:31:27.881069
-3, -3, -4, -2, -2, 0, -1, 0, 2021-08-24 19:31:27.882068
0, 1, -1, 1, 1, 2, 3, 1, 2021-08-24 19:31:27.882068
3, 0, 0, -1, 3, 9, 8, 3, 2021-08-24 19:31:27.883069
2, 0, 1, 0, 2, 0, -1, 1, 2021-08-24 19:31:27.883069
-1, -1, 1, -2, -5, -4, -2, -4, 2021-08-24 19:31:27.886068
0, -2, 0, 0, 0, -3, -7, 0, 2021-08-24 19:31:27.886068
-2, 1, 0, 0, -3, -4, -4, -2, 2021-08-24 19:31:27.900071
-2, -2, -2, -1, 0, 1, 3, 1, 2021-08-24 19:31:27.900071
-1, 1, 0, 1, 1, 4, 1, 0, 2021-08-24 19:31:27.915100
1, -1, 0, 1, -2, -2, -2, -1, 2021-08-24 19:31:27.916066
0, -3, -2, -1, -2, -4, -6, -2, 2021-08-24 19:31:27.916066
-1, -1, 1, -2, 0, -1, -2, -3, 2021-08-24 19:31:27.916066
-3, -1, -3, -2, -1, -1, 0, -1, 2021-08-24 19:31:27.931062
0, 0, 1, 0, 1, 0, 2, 0, 2021-08-24 19:31:27.931062
0, -2, 0, 0, -1, 0, 3, 0, 2021-08-24 19:31:27.946085
-1, -2, -3, -1, -3, -3, -2, -3, 2021-08-24 19:31:27.947060
-2, -1, -2, 0, 0, 2, -1, -1, 2021-08-24 19:31:27.948062
1, 1, -2, 0, 0, -2, -3, 0, 2021-08-24 19:31:27.948062
-2, -2, 1, -1, -2, -1, -3, -2, 2021-08-24 19:31:28.001053
1, 0, -2, 0, 1, 4, 2, 2, 2021-08-24 19:31:28.001053
-1, 0, 0, 0, 0, 1, 1, 0, 2021-08-24 19:31:28.001053
0, 0, 0, -1, 0, 0, 3, 0, 2021-08-24 19:31:28.001053
-1, -2, -2, -2, 0, -2, -1, -1, 2021-08-24 19:31:28.002053
-5, -3, -2, -1, -2, -6, -7, -5, 2021-08-24 19:31:28.002053
0, -1, -1, 0, 1, 4, 3, 1, 2021-08-24 19:31:28.006052
-2, -3, -2, 0, 0, 4, 4, 0, 2021-08-24 19:31:28.006052
2, 0, -1, -3, -2, -4, -4, 2, 2021-08-24 19:31:28.007052
-1, -2, -2, -3, -2, -4, -1, -1, 2021-08-24 19:31:28.007052
1, -1, -1, -2, -2, -4, -6, -3, 2021-08-24 19:31:28.012052
0, 2, -1, 1, -1, 0, -1, 1, 2021-08-24 19:31:28.012052
0, 1, 0, -1, 0, 4, 6, 1, 2021-08-24 19:31:28.020050
1, -1, 2, 2, 2, 2, -2, 0, 2021-08-24 19:31:28.020050
-2, -2, -1, -1, -2, -3, 0, -2, 2021-08-24 19:31:28.035049
1, -1, 1, 0, -1, 0, -3, 0, 2021-08-24 19:31:28.035049
-1, -1, 0, -1, -1, 0, 0, -2, 2021-08-24 19:31:28.042047
-1, 0, -2, -1, 0, 0, 1, 0, 2021-08-24 19:31:28.042047
-3, -3, -1, -2, -5, -10, -10, -6, 2021-08-24 19:31:28.066046
0, -1, -1, -2, 0, 0, 0, -1, 2021-08-24 19:31:28.066046
-1, -2, -1, -1, -1, -1, 1, 1, 2021-08-24 19:31:28.067046
1, 0, 1, 0, 0, 4, 3, 2, 2021-08-24 19:31:28.067046
0, -1, -1, -1, 3, 7, 7, 3, 2021-08-24 19:31:28.080068
