EMG 1,EMG 2,EMG 3,EMG 4,EMG 5,EMG 6,EMG 7,EMG 8,Timestamp,Milliseconds
-2,-2,-2,-7,-6,-4,-2,-2,2021-08-07 11:50:11,324509
-3,-2,-4,-5,-2,-2,0,-3,2021-08-07 11:50:11,324509
-2,-2,-2,-4,-5,-2,-1,0,2021-08-07 11:50:11,324509
0,2,1,2,7,1,1,0,2021-08-07 11:50:11,324509
-1,-2,0,4,-3,-2,0,0,2021-08-07 11:50:11,324509
0,0,-3,-8,-9,-5,-2,0,2021-08-07 11:50:11,324509
-1,-2,-1,3,7,-1,0,1,2021-08-07 11:50:11,324509
0,2,2,-3,-8,-1,1,1,2021-08-07 11:50:11,324509
0,1,4,11,19,8,1,-1,2021-08-07 11:50:11,324509
-1,-1,-3,-4,-11,-6,-4,-3,2021-08-07 11:50:11,324509
-1,0,0,2,2,2,-2,-1,2021-08-07 11:50:11,324509
-5,-6,-9,-17,-15,-8,-5,-2,2021-08-07 11:50:11,324509
1,1,2,0,0,-1,0,0,2021-08-07 11:50:11,339506
-1,0,3,12,10,3,0,-1,2021-08-07 11:50:11,355508
-2,-2,-3,-2,-5,-1,0,-1,2021-08-07 11:50:11,355508
-1,-1,-2,-1,-2,1,0,0,2021-08-07 11:50:11,355508
-2,-4,-9,-17,-17,-7,-3,-1,2021-08-07 11:50:11,355508
2,0,4,13,16,6,0,1,2021-08-07 11:50:11,355508
0,-1,0,-1,-3,-2,-2,-4,2021-08-07 11:50:11,371509
2,2,2,3,1,0,1,-1,2021-08-07 11:50:11,371509
2,1,-1,2,0,1,1,-1,2021-08-07 11:50:11,371509
1,-2,-1,-3,-3,-2,0,-1,2021-08-07 11:50:11,371509
0,-1,0,-1,2,1,0,-1,2021-08-07 11:50:11,387508
0,-1,-1,1,0,-2,1,-2,2021-08-07 11:50:11,403507
-4,-1,-1,1,-1,-2,-4,-2,2021-08-07 11:50:11,419506
0,-2,-1,-3,-3,0,0,2,2021-08-07 11:50:11,419506
-1,1,2,-2,-5,-3,-1,-1,2021-08-07 11:50:11,419506
-2,-1,-1,-5,-5,-4,-2,-1,2021-08-07 11:50:11,419506
