EMG 1,EMG 2,EMG 3,EMG 4,EMG 5,EMG 6,EMG 7,EMG 8,Timestamp,Milliseconds
-2,3,2,5,2,2,-1,-2,2021-08-07 12:56:36,598280
-3,-3,-5,-14,-20,-14,-8,-4,2021-08-07 12:56:36,614281
-4,-6,-9,-16,-20,-11,-7,-3,2021-08-07 12:56:36,630280
2,6,9,21,31,20,8,4,2021-08-07 12:56:36,630280
0,3,2,4,6,2,1,1,2021-08-07 12:56:36,630280
-5,-6,-8,-8,-10,-13,-8,-5,2021-08-07 12:56:36,630280
-2,-3,-3,-12,-21,-12,-5,-3,2021-08-07 12:56:36,630280
-3,-4,-4,-2,-2,0,-4,-2,2021-08-07 12:56:36,631280
2,3,4,8,14,9,6,5,2021-08-07 12:56:36,631280
2,2,2,0,-2,2,1,2,2021-08-07 12:56:36,631280
-1,0,0,3,-4,-3,-1,-2,2021-08-07 12:56:36,631280
-1,-3,-3,-6,-3,-2,-2,-2,2021-08-07 12:56:36,631280
-4,-5,-4,-6,1,0,-2,-5,2021-08-07 12:56:36,631280
5,5,7,10,11,7,5,3,2021-08-07 12:56:36,632280
4,7,6,6,9,6,4,2,2021-08-07 12:56:36,632280
-3,-3,-2,1,-3,-4,-2,-2,2021-08-07 12:56:36,632280
-5,-7,-11,-17,-22,-13,-9,-4,2021-08-07 12:56:36,632280
-1,-4,-4,-9,-18,-10,-4,-3,2021-08-07 12:56:36,632280
0,1,4,13,27,18,6,3,2021-08-07 12:56:36,662280
0,0,-1,0,7,2,0,-1,2021-08-07 12:56:36,662280
0,-1,-1,-3,-7,-4,-2,0,2021-08-07 12:56:36,662280
2,4,4,17,31,19,8,4,2021-08-07 12:56:36,662280
-2,-2,-2,-1,-6,-5,-3,-1,2021-08-07 12:56:36,678279
-5,-5,-5,-15,-24,-15,-8,-4,2021-08-07 12:56:36,678279
-2,-2,-3,-3,-5,-3,-2,-2,2021-08-07 12:56:36,741279
-2,0,-1,-2,-2,-1,-3,-1,2021-08-07 12:56:36,755278
-2,-1,-2,-5,-5,-1,-2,-2,2021-08-07 12:56:36,755278
-1,0,-1,-1,1,2,-1,-1,2021-08-07 12:56:36,755278
-2,-3,-3,-1,2,-1,1,0,2021-08-07 12:56:36,755278
2,0,4,1,1,-1,0,2,2021-08-07 12:56:36,755278
4,6,5,7,7,4,4,1,2021-08-07 12:56:36,755278
-1,-3,-4,-1,-4,-2,1,-1,2021-08-07 12:56:36,756280
-1,-1,-2,-1,2,5,2,0,2021-08-07 12:56:36,756280
-1,0,-1,0,-2,0,-1,-1,2021-08-07 12:56:36,756280
-2,0,-1,-3,-5,-5,-1,-2,2021-08-07 12:56:36,756280
0,1,1,1,5,3,1,0,2021-08-07 12:56:36,756280
2,2,2,4,8,5,1,-1,2021-08-07 12:56:36,756280
-3,-4,-4,0,1,1,-1,-2,2021-08-07 12:56:36,756280
-1,-2,-3,-2,3,2,0,-1,2021-08-07 12:56:36,757280
0,-2,-3,-4,-6,-5,-3,-1,2021-08-07 12:56:36,757280
-2,-4,-3,-12,-21,-12,-6,-2,2021-08-07 12:56:36,788278
2,2,0,2,3,1,0,-1,2021-08-07 12:56:36,804281
2,1,1,6,10,6,1,0,2021-08-07 12:56:36,820280
-2,-4,-3,-3,-3,-3,-2,-2,2021-08-07 12:56:36,820280
2,4,6,8,11,6,5,3,2021-08-07 12:56:36,820280
-5,-6,-7,-11,-17,-10,-7,-5,2021-08-07 12:56:36,820280
-2,-4,-2,-1,-4,-2,-1,0,2021-08-07 12:56:36,820280
-1,-1,-1,-6,-9,-2,-2,-3,2021-08-07 12:56:36,820280
2,4,4,8,13,7,3,1,2021-08-07 12:56:36,821280
-2,-2,-3,-5,-10,-6,-4,-3,2021-08-07 12:56:36,821280
1,1,2,6,13,7,3,2,2021-08-07 12:56:36,821280
-1,0,-1,-1,1,-2,-3,0,2021-08-07 12:56:36,821280
-1,-1,-4,-4,-7,-6,-3,-1,2021-08-07 12:56:36,836279
-1,-2,-1,-1,2,1,2,0,2021-08-07 12:56:36,836279
-2,-2,-5,-7,-14,-10,-7,-2,2021-08-07 12:56:36,852281
1,2,4,5,4,4,5,2,2021-08-07 12:56:36,868280
-1,-2,-1,6,11,4,0,-1,2021-08-07 12:56:36,868280
2,2,2,3,4,1,1,2,2021-08-07 12:56:36,868280
-2,-2,-3,-9,-11,-6,-3,-2,2021-08-07 12:56:36,868280
1,1,1,3,2,0,0,1,2021-08-07 12:56:36,868280
-4,-6,-5,-13,-17,-10,-5,-4,2021-08-07 12:56:36,868280
2,0,2,7,12,4,3,0,2021-08-07 12:56:36,868280
0,1,2,2,2,0,0,0,2021-08-07 12:56:36,900281
0,1,-1,-2,1,2,2,0,2021-08-07 12:56:36,900281
-1,-3,-2,-4,-7,-4,-2,-1,2021-08-07 12:56:36,900281
-2,-3,-2,-4,-3,-2,-3,1,2021-08-07 12:56:36,900281
-2,-5,-6,-10,-7,-6,-3,-5,2021-08-07 12:56:36,916280
1,3,4,7,7,5,2,0,2021-08-07 12:56:36,916280
2,4,4,2,1,-2,-1,1,2021-08-07 12:56:36,932280
-1,-3,-3,-1,-1,-2,-1,-2,2021-08-07 12:56:36,932280
-2,-1,-1,1,1,1,-3,0,2021-08-07 12:56:36,932280
0,-2,-2,-1,1,1,0,-2,2021-08-07 12:56:36,932280
-1,-1,-2,-1,-3,-1,0,-1,2021-08-07 12:56:36,932280
-1,1,-2,-4,-1,-2,-3,0,2021-08-07 12:56:36,932280
-3,-6,-4,-3,-2,-3,-2,-4,2021-08-07 12:56:36,948280
1,3,3,4,-1,0,2,2,2021-08-07 12:56:36,948280
2,3,4,3,6,4,3,3,2021-08-07 12:56:36,964280
-2,-4,-1,4,10,6,1,-1,2021-08-07 12:56:36,964280
0,-2,-2,1,-1,-1,-1,0,2021-08-07 12:56:36,964280
0,-1,0,-3,-6,-2,-1,-2,2021-08-07 12:56:36,964280
-1,-3,-4,-4,-12,-8,-6,-2,2021-08-07 12:56:36,980279
0,0,-1,-7,-10,-3,-1,0,2021-08-07 12:56:36,996321
-1,-3,1,6,11,4,2,1,2021-08-07 12:56:36,996321
-1,-2,-3,-5,-6,-6,-4,-1,2021-08-07 12:56:36,996321
0,0,-1,-3,0,2,1,0,2021-08-07 12:56:36,996321
-4,-5,-5,-8,-8,-4,-4,-4,2021-08-07 12:56:36,996321
4,7,7,7,6,5,5,3,2021-08-07 12:56:37,012279
-2,-1,-1,4,8,1,1,-1,2021-08-07 12:56:37,012279
-2,-2,-1,-2,1,-1,-4,-4,2021-08-07 12:56:37,012279
0,-1,-2,-1,-4,-4,-2,-1,2021-08-07 12:56:37,012279
-1,-2,-1,-2,-3,-1,-1,-1,2021-08-07 12:56:37,043282
-1,-3,-3,-3,-2,-3,-2,-1,2021-08-07 12:56:37,059279
-3,-3,-1,-2,-2,-1,-3,-2,2021-08-07 12:56:37,059279
0,1,3,2,4,4,3,0,2021-08-07 12:56:37,059279
-1,-1,-2,-3,-6,-3,-3,0,2021-08-07 12:56:37,059279
0,-1,-1,-4,-7,-5,-2,0,2021-08-07 12:56:37,059279
1,2,1,7,10,9,3,2,2021-08-07 12:56:37,059279
0,0,0,3,2,-1,-2,0,2021-08-07 12:56:37,059279
