EMG 1,EMG 2,EMG 3,EMG 4,EMG 5,EMG 6,EMG 7,EMG 8,Timestamp,Milliseconds
-6,-5,-12,-34,-46,-24,-9,-4,2021-08-07 10:33:18,346814
0,-1,-3,-8,-11,-4,-2,-1,2021-08-07 10:33:18,346814
0,-1,-1,-4,-7,-5,-2,-2,2021-08-07 10:33:18,346814
0,1,-4,-11,-14,-6,-3,1,2021-08-07 10:33:18,346814
-2,0,-2,-1,-3,-2,-1,-2,2021-08-07 10:33:18,362814
-4,-5,-5,-9,-7,-3,-5,-4,2021-08-07 10:33:18,362814
-4,-2,-2,-8,-9,-3,0,-1,2021-08-07 10:33:18,362814
5,2,1,3,4,6,3,2,2021-08-07 10:33:18,362814
-4,-3,0,9,8,0,-4,-3,2021-08-07 10:33:18,362814
-6,-3,-2,-7,-6,-8,-9,-7,2021-08-07 10:33:18,362814
0,1,4,15,18,5,1,-3,2021-08-07 10:33:18,378814
-2,-4,-5,-10,-10,-5,0,-2,2021-08-07 10:33:18,378814
5,5,6,9,10,8,6,5,2021-08-07 10:33:18,378814
2,0,-5,-7,-2,0,2,2,2021-08-07 10:33:18,378814
-2,-3,-7,-19,-25,-10,-6,-3,2021-08-07 10:33:18,394814
0,2,6,11,14,6,1,1,2021-08-07 10:33:18,410814
1,-1,0,6,10,5,1,-3,2021-08-07 10:33:18,410814
-2,-3,-1,-2,-7,-4,-2,-2,2021-08-07 10:33:18,410814
-4,-6,-8,-16,-12,-8,-5,-2,2021-08-07 10:33:18,410814
1,3,4,2,-1,-1,0,0,2021-08-07 10:33:18,410814
1,1,3,4,2,-2,-1,1,2021-08-07 10:33:18,426815
0,1,2,2,-2,-1,1,0,2021-08-07 10:33:18,426815
0,0,-1,2,4,2,0,0,2021-08-07 10:33:18,442815
-5,-4,-5,-4,-3,-2,-2,-2,2021-08-07 10:33:18,457814
-1,-2,-2,-2,4,1,-2,-1,2021-08-07 10:33:18,472814
-3,-3,-6,-17,-32,-12,-6,-2,2021-08-07 10:33:18,472814
1,3,7,24,36,17,6,2,2021-08-07 10:33:18,472814
-4,-4,-8,-17,-18,-10,-5,-3,2021-08-07 10:33:18,472814
1,1,3,6,16,7,4,0,2021-08-07 10:33:18,488814
0,2,1,7,16,8,3,-1,2021-08-07 10:33:18,488814
-1,-2,-3,-7,-19,-6,-3,-2,2021-08-07 10:33:18,488814
-2,-4,-2,6,2,0,-2,-3,2021-08-07 10:33:18,488814
-1,1,-1,-8,-13,-5,-2,0,2021-08-07 10:33:18,488814
-2,-3,-3,-6,-8,-5,-2,0,2021-08-07 10:33:18,488814
-2,-3,-5,-13,-12,-6,-3,-4,2021-08-07 10:33:18,488814
-3,-2,2,6,18,5,0,-1,2021-08-07 10:33:18,488814
1,2,-2,-3,-14,-6,-2,0,2021-08-07 10:33:18,504814
2,5,4,10,9,5,2,1,2021-08-07 10:33:18,504814
-1,-2,-4,-7,-7,-5,-2,0,2021-08-07 10:33:18,520814
-4,-5,-7,-11,-17,-8,-4,-4,2021-08-07 10:33:18,520814
-2,-2,1,9,14,4,1,-1,2021-08-07 10:33:18,520814
3,3,7,12,11,4,2,3,2021-08-07 10:33:18,520814
0,0,-1,-5,-4,-3,-2,0,2021-08-07 10:33:18,551839
-2,-2,-3,-9,-12,-6,-1,-2,2021-08-07 10:33:18,551839
1,0,6,20,21,8,3,-1,2021-08-07 10:33:18,551839
-2,-4,-8,-16,-22,-9,-5,-3,2021-08-07 10:33:18,551839
2,2,8,23,20,9,5,1,2021-08-07 10:33:18,567839
1,2,1,9,20,9,2,1,2021-08-07 10:33:18,583838
0,-2,-4,-11,-8,-3,-3,0,2021-08-07 10:33:18,599838
-1,0,-3,-2,-1,-2,-1,1,2021-08-07 10:33:18,599838
-2,-3,-5,-13,-13,-7,-4,-2,2021-08-07 10:33:18,599838
-2,-1,0,-2,-8,-4,-1,-1,2021-08-07 10:33:18,599838
-2,-2,-1,-3,-9,-5,-2,-3,2021-08-07 10:33:18,599838
0,-3,0,-2,3,1,1,-1,2021-08-07 10:33:18,599838
-3,-2,-4,-13,-20,-8,-2,-2,2021-08-07 10:33:18,615838
4,3,2,2,18,8,5,4,2021-08-07 10:33:18,615838
1,1,3,15,12,2,-1,0,2021-08-07 10:33:18,615838
-2,-1,2,3,-3,-5,-4,-4,2021-08-07 10:33:18,615838
-2,-4,-2,1,-5,-4,-2,-3,2021-08-07 10:33:18,631837
1,0,1,1,4,8,5,1,2021-08-07 10:33:18,631837
-4,-2,0,3,-1,1,-4,-4,2021-08-07 10:33:18,631837
-10,-6,-4,-7,-9,-15,-16,-13,2021-08-07 10:33:18,631837
-1,0,0,7,13,0,-3,-3,2021-08-07 10:33:18,647838
1,0,-1,-13,-19,-5,-1,2,2021-08-07 10:33:18,647838
1,-1,-4,-6,-6,0,2,2,2021-08-07 10:33:18,647838
2,3,2,6,7,8,9,5,2021-08-07 10:33:18,647838
-2,-2,-5,-10,-11,-5,-2,-1,2021-08-07 10:33:18,679838
1,1,2,8,13,2,1,1,2021-08-07 10:33:18,679838
0,-3,-3,-7,-7,-3,-1,-1,2021-08-07 10:33:18,679838
-1,-4,-2,-7,-11,-4,-1,2,2021-08-07 10:33:18,679838
1,-1,1,8,12,5,1,1,2021-08-07 10:33:18,679838
3,5,7,12,5,2,0,0,2021-08-07 10:33:18,679838
-2,-2,-2,-7,-10,-6,-4,-3,2021-08-07 10:33:18,711838
-2,-3,-5,-7,-7,-4,-1,-3,2021-08-07 10:33:18,727837
3,3,1,0,10,8,3,2,2021-08-07 10:33:18,742838
-2,-3,-2,1,1,-1,-4,-4,2021-08-07 10:33:18,743839
0,2,3,7,15,5,2,1,2021-08-07 10:33:18,743839
-2,-3,-5,-5,-4,-1,-1,-1,2021-08-07 10:33:18,743839
-3,-2,-1,-6,-10,-5,-3,-3,2021-08-07 10:33:18,744838
-2,-3,-3,1,1,-2,-3,-2,2021-08-07 10:33:18,744838
3,3,-1,-9,-13,-2,0,2,2021-08-07 10:33:18,758838
2,0,2,7,11,5,2,1,2021-08-07 10:33:18,758838
-2,-1,-1,-1,-1,-1,-1,-1,2021-08-07 10:33:18,758838
-3,-3,-2,-8,-15,-7,-5,-3,2021-08-07 10:33:18,758838
-1,-1,0,0,1,1,0,2,2021-08-07 10:33:18,758838
0,0,0,4,12,6,3,2,2021-08-07 10:33:18,758838
1,3,3,6,10,6,2,2,2021-08-07 10:33:18,774837
-2,-3,-7,-13,-10,-6,-3,-3,2021-08-07 10:33:18,790838
-1,2,4,5,6,1,0,1,2021-08-07 10:33:18,822839
0,-1,-2,-1,-5,-4,-3,-1,2021-08-07 10:33:18,838839
-2,-2,-2,-1,4,2,-1,-1,2021-08-07 10:33:18,838839
-2,-3,-3,-12,-18,-9,-6,-2,2021-08-07 10:33:18,838839
0,1,1,6,12,5,1,1,2021-08-07 10:33:18,838839
-1,0,-1,0,-3,-2,-1,-1,2021-08-07 10:33:18,838839
-3,-7,-5,-7,-1,-3,-4,-3,2021-08-07 10:33:18,838839
2,3,5,5,-4,-2,0,1,2021-08-07 10:33:18,838839
-1,-1,-2,-4,-10,-3,-2,-1,2021-08-07 10:33:18,838839
-1,0,0,3,7,4,0,0,2021-08-07 10:33:18,838839
3,2,2,2,5,1,0,0,2021-08-07 10:33:18,838839
-1,-4,-2,2,-1,0,-1,-1,2021-08-07 10:33:18,838839
-3,-6,-6,-11,-8,-5,-4,-4,2021-08-07 10:33:18,838839
-2,-2,-4,-6,-1,-1,1,0,2021-08-07 10:33:18,839837
-3,1,1,4,-1,-1,-2,1,2021-08-07 10:33:18,854839
-1,-1,0,7,11,4,2,0,2021-08-07 10:33:18,870838
-1,-5,-7,-17,-25,-13,-6,-5,2021-08-07 10:33:18,886838
0,-1,-2,-3,0,0,-1,-1,2021-08-07 10:33:18,886838
0,1,0,3,9,2,3,0,2021-08-07 10:33:18,886838
-2,2,3,6,10,3,1,0,2021-08-07 10:33:18,886838
-2,-3,-2,-3,-6,-4,-2,-3,2021-08-07 10:33:18,886838
-2,-2,-1,-9,-14,-6,-1,-3,2021-08-07 10:33:18,886838
2,-1,-1,1,-2,-3,0,-1,2021-08-07 10:33:18,886838
-1,0,-1,1,2,2,0,-1,2021-08-07 10:33:18,886838
1,1,-1,-6,-2,1,1,-1,2021-08-07 10:33:18,886838
0,1,2,6,4,1,1,-1,2021-08-07 10:33:18,886838
2,3,3,1,-2,0,-1,0,2021-08-07 10:33:18,918838
-5,-5,-7,-6,-6,-4,-4,-4,2021-08-07 10:33:18,934838
-2,-3,-2,0,-2,-2,-1,-2,2021-08-07 10:33:18,934838
3,2,1,-2,-7,-2,-2,2,2021-08-07 10:33:18,934838
-2,-1,-4,-11,-5,-3,-3,-1,2021-08-07 10:33:18,934838
2,1,5,7,0,-1,1,1,2021-08-07 10:33:18,934838
1,0,1,10,10,4,1,1,2021-08-07 10:33:18,934838
1,0,0,7,14,6,2,1,2021-08-07 10:33:18,934838
-3,-4,-2,-5,-6,-2,-2,-4,2021-08-07 10:33:18,950838
-1,1,-2,-6,-7,-3,-3,-2,2021-08-07 10:33:18,950838
-3,-2,-2,-4,0,-2,-2,0,2021-08-07 10:33:18,950838
0,-1,0,3,-1,-1,0,-1,2021-08-07 10:33:18,950838
-3,-2,0,-5,-9,-5,-1,-1,2021-08-07 10:33:18,981837
1,0,-4,-11,-3,-1,-2,1,2021-08-07 10:33:18,997839
-2,0,4,17,19,9,3,1,2021-08-07 10:33:18,997839
-3,-1,-1,-2,-2,-3,-1,-2,2021-08-07 10:33:18,997839
0,-1,-2,1,-9,-5,-1,-1,2021-08-07 10:33:18,997839
-1,-2,-1,-3,5,3,0,0,2021-08-07 10:33:18,997839
0,1,-1,5,6,-2,0,1,2021-08-07 10:33:18,997839
0,-1,2,7,9,5,1,0,2021-08-07 10:33:18,997839
-2,-1,-4,-4,-8,-3,-3,-3,2021-08-07 10:33:19,013838
1,2,1,-3,-12,-5,-1,0,2021-08-07 10:33:19,013838
1,2,-3,-4,-8,-2,-1,2,2021-08-07 10:33:19,013838
2,2,6,12,15,6,1,0,2021-08-07 10:33:19,013838
-3,-5,-7,-9,-16,-7,-4,-3,2021-08-07 10:33:19,028840
-2,-3,-5,-12,-3,-2,-2,-4,2021-08-07 10:33:19,028840
-1,0,0,1,5,3,1,-1,2021-08-07 10:33:19,028840
0,-1,-1,0,-3,-3,-2,-1,2021-08-07 10:33:19,028840
0,0,0,2,4,4,1,-1,2021-08-07 10:33:19,045838
-2,-2,-1,9,8,0,1,-2,2021-08-07 10:33:19,045838
-1,-1,1,0,-3,-3,-1,-2,2021-08-07 10:33:19,045838
2,3,0,-3,0,0,2,1,2021-08-07 10:33:19,045838
0,-1,-2,-9,-10,-5,-2,-3,2021-08-07 10:33:19,076838
1,0,4,16,17,7,2,0,2021-08-07 10:33:19,092838
-6,-6,-6,-12,-23,-11,-8,-8,2021-08-07 10:33:19,108838
-2,-2,-2,-2,4,1,-3,-2,2021-08-07 10:33:19,108838
-1,-3,-4,-8,-7,-5,-2,-1,2021-08-07 10:33:19,108838
0,1,-1,0,0,1,0,0,2021-08-07 10:33:19,108838
4,4,6,7,7,2,3,3,2021-08-07 10:33:19,108838
0,-1,-2,-2,-5,-4,-2,0,2021-08-07 10:33:19,108838
-2,0,0,-4,-2,0,-1,-3,2021-08-07 10:33:19,108838
2,2,4,16,14,6,3,2,2021-08-07 10:33:19,108838
-4,-3,-6,-4,-3,-1,-2,-2,2021-08-07 10:33:19,108838
-2,0,-2,-7,-9,-2,-1,0,2021-08-07 10:33:19,108838
2,3,5,9,12,5,2,3,2021-08-07 10:33:19,124839
-3,-5,-7,-14,-14,-6,-4,-3,2021-08-07 10:33:19,140837
-4,-5,-4,-7,-3,-3,-3,-3,2021-08-07 10:33:19,155853
2,2,3,9,4,3,1,0,2021-08-07 10:33:19,155853
-2,-1,-2,-4,-1,0,-1,-1,2021-08-07 10:33:19,155853
-1,1,-1,-6,-6,-4,-1,-1,2021-08-07 10:33:19,155853
0,-4,0,2,0,2,-1,-1,2021-08-07 10:33:19,155853
-3,-2,-1,-4,2,-3,0,-2,2021-08-07 10:33:19,155853
1,1,3,7,4,2,2,1,2021-08-07 10:33:19,170854
1,2,1,-3,-1,0,2,-1,2021-08-07 10:33:19,170854
-2,-3,-4,-8,-13,-8,-4,-4,2021-08-07 10:33:19,170854
-1,-3,-2,-10,-3,-1,-1,-1,2021-08-07 10:33:19,170854
2,2,0,2,2,2,0,2,2021-08-07 10:33:19,186854
-2,-3,-1,-1,-8,-7,-2,-1,2021-08-07 10:33:19,202854
1,0,-1,-1,3,3,0,1,2021-08-07 10:33:19,234854
-2,-3,-2,-2,-5,-2,-3,-3,2021-08-07 10:33:19,250856
-2,-3,-5,-11,-12,-5,-2,-2,2021-08-07 10:33:19,266854
-1,0,0,6,10,3,0,0,2021-08-07 10:33:19,282855
-1,1,1,-4,-8,-4,-2,1,2021-08-07 10:33:19,311854
0,-1,0,5,5,4,0,0,2021-08-07 10:33:19,311854
0,1,0,4,-1,0,-2,-1,2021-08-07 10:33:19,311854
-2,-1,-5,-7,-9,-5,-4,-1,2021-08-07 10:33:19,311854
1,2,5,7,7,1,3,0,2021-08-07 10:33:19,311854
0,0,0,-1,-2,-1,-1,-1,2021-08-07 10:33:19,311854
-2,-2,1,4,8,2,1,-2,2021-08-07 10:33:19,312856
-2,-3,-5,-7,-13,-5,-4,-3,2021-08-07 10:33:19,312856
0,-2,-4,-5,12,2,0,0,2021-08-07 10:33:19,312856
4,4,2,-2,-7,-1,1,0,2021-08-07 10:33:19,312856
0,-3,1,6,3,-1,-1,-2,2021-08-07 10:33:19,312856
1,-1,-1,-4,-3,1,0,1,2021-08-07 10:33:19,312856
-2,-3,-6,-10,-15,-6,-3,-2,2021-08-07 10:33:19,312856
-2,-4,-3,-3,-5,-5,-4,-1,2021-08-07 10:33:19,312856
-1,0,1,14,24,7,-1,1,2021-08-07 10:33:19,312856
-3,-5,-4,-5,-9,-4,-4,-3,2021-08-07 10:33:19,312856
-2,0,2,7,6,2,1,0,2021-08-07 10:33:19,313856
-2,-4,-4,-4,-9,-4,-2,-3,2021-08-07 10:33:19,313856
0,4,1,-6,-8,-2,0,1,2021-08-07 10:33:19,313856
1,1,1,-2,-9,-3,1,1,2021-08-07 10:33:19,313856
2,0,-4,-6,-2,1,1,1,2021-08-07 10:33:19,313856
0,1,5,25,32,12,4,1,2021-08-07 10:33:19,313856
1,0,2,-1,-4,-1,0,-1,2021-08-07 10:33:19,330854
2,1,3,7,11,5,-1,1,2021-08-07 10:33:19,330854
-3,-2,-4,-13,-21,-10,-4,-2,2021-08-07 10:33:19,330854
-7,-6,-11,-28,-27,-12,-5,-4,2021-08-07 10:33:19,330854
2,2,6,27,28,11,5,2,2021-08-07 10:33:19,362854
