EMG 1,EMG 2,EMG 3,EMG 4,EMG 5,EMG 6,EMG 7,EMG 8,Timestamp
0,1,3,4,3,5,2,1,2021-08-07 10:30:28.787000
0,-1,2,4,3,-1,1,-2,2021-08-07 10:30:28.787000
-1,0,-1,1,2,-1,0,-1,2021-08-07 10:30:28.787000
-5,-5,-10,-21,-25,-13,-6,-3,2021-08-07 10:30:28.787000
3,2,5,14,24,11,3,3,2021-08-07 10:30:28.799998
0,-1,-2,-3,-6,-1,-1,0,2021-08-07 10:30:28.800999
0,1,0,5,10,4,0,0,2021-08-07 10:30:28.800999
0,0,4,6,0,0,0,0,2021-08-07 10:30:28.800999
-3,-4,-7,-15,-20,-10,-5,-4,2021-08-07 10:30:28.814997
1,1,1,3,9,2,0,1,2021-08-07 10:30:28.815999
0,0,-2,-8,-6,-4,-1,-1,2021-08-07 10:30:28.815999
0,0,1,0,2,-1,1,0,2021-08-07 10:30:28.815999
1,1,3,1,1,1,0,-1,2021-08-07 10:30:28.838000
-2,-3,-4,1,5,1,-1,-1,2021-08-07 10:30:28.838000
-3,-3,-4,-4,-6,-5,-4,-3,2021-08-07 10:30:28.838999
-2,-1,-5,-8,-9,-4,-1,-1,2021-08-07 10:30:28.838999
-2,1,0,1,3,1,-1,0,2021-08-07 10:30:28.859998
2,3,3,2,4,2,1,2,2021-08-07 10:30:28.860999
0,-2,-1,3,-1,-1,-1,-1,2021-08-07 10:30:28.860999
-2,-2,0,1,8,3,0,-1,2021-08-07 10:30:28.860999
-3,-3,-2,-7,-7,-5,-2,-3,2021-08-07 10:30:28.875998
-3,-3,-4,-9,-9,-6,-3,-4,2021-08-07 10:30:28.875998
-3,-2,-4,-6,-14,-6,-3,-1,2021-08-07 10:30:28.875998
-1,0,0,0,0,1,-2,-2,2021-08-07 10:30:28.875998
1,0,1,7,18,8,2,3,2021-08-07 10:30:28.897997
-1,-1,-1,0,-1,0,-2,0,2021-08-07 10:30:28.897997
0,0,0,-3,-1,-2,2,0,2021-08-07 10:30:28.898999
2,1,2,4,-3,-1,1,-2,2021-08-07 10:30:28.898999
-2,-3,-2,-5,-5,-3,-2,-4,2021-08-07 10:30:28.920998
-2,-4,-5,-8,-7,-4,-4,-3,2021-08-07 10:30:28.920998
-1,0,4,10,10,4,2,1,2021-08-07 10:30:28.927999
-1,0,-1,-4,-3,-2,-2,-1,2021-08-07 10:30:28.927999
