EMG 1,EMG 2,EMG 3,EMG 4,EMG 5,EMG 6,EMG 7,EMG 8,Timestamp,Milliseconds
-4,-6,-10,-15,-11,-5,-4,-3,2021-08-07 12:21:08,781723
-2,-1,-5,-16,-11,-6,-3,-2,2021-08-07 12:21:08,781723
0,-1,2,1,-8,-5,-2,0,2021-08-07 12:21:08,781723
-3,-4,-5,-34,-27,-11,-5,-2,2021-08-07 12:21:08,781723
7,11,32,74,75,31,12,5,2021-08-07 12:21:08,781723
-8,-10,-12,-7,-22,-12,-7,-5,2021-08-07 12:21:08,781723
6,10,8,20,40,19,10,7,2021-08-07 12:21:08,781723
-7,-8,-24,-45,-52,-27,-12,-8,2021-08-07 12:21:08,781723
3,3,1,7,20,8,4,1,2021-08-07 12:21:08,797760
1,1,8,4,-1,-2,-1,-1,2021-08-07 12:21:08,797760
1,4,6,3,-1,0,-1,1,2021-08-07 12:21:08,797760
-4,-5,-3,8,0,-1,-2,-4,2021-08-07 12:21:08,797760
2,5,0,-15,-23,-8,-2,1,2021-08-07 12:21:08,813759
-2,-1,0,4,11,4,0,-2,2021-08-07 12:21:08,813759
-5,-5,-5,-21,-24,-11,-6,-4,2021-08-07 12:21:08,829724
-2,-8,-4,-14,-7,-6,-3,-4,2021-08-07 12:21:08,829724
1,0,-1,8,4,4,1,1,2021-08-07 12:21:08,829724
1,-2,-11,6,17,6,3,0,2021-08-07 12:21:08,829724
-1,0,-1,-1,-6,-5,-2,-2,2021-08-07 12:21:08,860722
0,1,2,-7,-13,-6,-2,-1,2021-08-07 12:21:08,860722
9,14,11,14,6,6,4,7,2021-08-07 12:21:08,891782
-7,-9,-15,-33,-35,-18,-8,-6,2021-08-07 12:21:08,907759
-2,-3,-3,0,3,1,-1,-1,2021-08-07 12:21:08,920761
-5,-7,-8,-20,-19,-11,-6,-5,2021-08-07 12:21:08,920761
-3,-6,-8,-2,0,-3,-1,-4,2021-08-07 12:21:08,920761
1,3,0,-7,-6,-4,-1,0,2021-08-07 12:21:08,921724
4,5,11,19,8,7,4,3,2021-08-07 12:21:08,921724
-3,-3,-1,-5,-2,-3,-3,-3,2021-08-07 12:21:08,921724
3,3,8,13,19,10,5,3,2021-08-07 12:21:08,921724
1,1,0,18,18,6,2,0,2021-08-07 12:21:08,921724
-4,-4,-5,-15,-23,-11,-5,-5,2021-08-07 12:21:08,921724
1,0,11,16,24,11,5,2,2021-08-07 12:21:08,921724
5,11,4,-1,2,2,4,5,2021-08-07 12:21:08,921724
0,0,1,-10,-20,-10,-3,-2,2021-08-07 12:21:08,921724
-4,-8,-16,-18,-3,-3,-1,-2,2021-08-07 12:21:08,938725
1,1,4,26,19,10,5,3,2021-08-07 12:21:08,953725
-4,-6,-1,-19,-15,-6,-4,-1,2021-08-07 12:21:08,953725
-2,-6,-18,-16,-7,-4,-3,-3,2021-08-07 12:21:08,953725
-12,-11,-17,-47,-56,-32,-16,-11,2021-08-07 12:21:08,953725
0,4,10,25,30,17,6,1,2021-08-07 12:21:08,953725
1,4,21,48,46,18,7,-1,2021-08-07 12:21:08,953725
4,5,16,16,14,8,2,1,2021-08-07 12:21:08,954724
-2,0,0,9,5,1,0,-1,2021-08-07 12:21:08,985760
-1,-4,-17,-44,-54,-27,-11,-3,2021-08-07 12:21:08,985760
-2,-2,-6,-8,-5,-2,-1,-1,2021-08-07 12:21:08,985760
0,-2,1,10,14,8,2,2,2021-08-07 12:21:08,985760
-5,-9,-10,-15,-18,-11,-5,-5,2021-08-07 12:21:09,001761
3,4,0,6,9,6,3,3,2021-08-07 12:21:09,001761
-6,-8,-14,-23,-38,-18,-10,-5,2021-08-07 12:21:09,001761
-2,1,4,7,20,11,4,1,2021-08-07 12:21:09,001761
8,11,23,49,75,34,14,8,2021-08-07 12:21:09,017725
-6,-5,-4,-2,-18,-11,-6,-7,2021-08-07 12:21:09,017725
-3,-1,-3,-15,-27,-15,-6,-3,2021-08-07 12:21:09,033728
-1,0,2,-10,-15,-8,-1,0,2021-08-07 12:21:09,033728
1,0,-8,3,8,4,1,0,2021-08-07 12:21:09,033728
3,1,6,9,12,5,3,1,2021-08-07 12:21:09,033728
0,-2,1,1,-1,-1,0,-1,2021-08-07 12:21:09,033728
-1,-2,3,13,5,3,-1,-2,2021-08-07 12:21:09,033728
-5,-5,-9,-25,-19,-7,-3,-4,2021-08-07 12:21:09,065761
7,9,6,15,27,9,7,4,2021-08-07 12:21:09,065761
-4,-6,-9,-13,-17,-10,-6,-4,2021-08-07 12:21:09,065761
-5,-7,-4,-19,-25,-14,-5,-4,2021-08-07 12:21:09,065761
6,9,20,34,29,15,6,3,2021-08-07 12:21:09,065761
-2,-5,-12,-3,-8,-4,-2,-2,2021-08-07 12:21:09,065761
0,-2,-7,-9,2,2,1,-2,2021-08-07 12:21:09,081723
-7,-8,-12,-21,-27,-14,-7,-5,2021-08-07 12:21:09,081723
4,3,3,-3,0,2,2,4,2021-08-07 12:21:09,097759
-2,-1,3,5,10,3,0,-1,2021-08-07 12:21:09,097759
2,0,-1,1,0,-1,-1,1,2021-08-07 12:21:09,097759
1,0,-1,6,14,8,3,1,2021-08-07 12:21:09,097759
-8,-8,-6,-15,-38,-21,-11,-8,2021-08-07 12:21:09,129724
7,14,26,54,58,30,15,10,2021-08-07 12:21:09,145722
1,-2,1,7,21,11,5,2,2021-08-07 12:21:09,161777
0,-2,-17,-19,-9,-5,-2,-2,2021-08-07 12:21:09,177726
-8,-12,-8,-18,-27,-17,-9,-6,2021-08-07 12:21:09,177726
-6,-6,-19,-40,-40,-19,-8,-5,2021-08-07 12:21:09,177726
-3,-8,-5,4,18,7,0,-2,2021-08-07 12:21:09,177726
7,16,19,26,18,10,6,7,2021-08-07 12:21:09,177726
-1,-1,1,8,9,4,3,2,2021-08-07 12:21:09,177726
-8,-10,-8,-25,-41,-19,-10,-7,2021-08-07 12:21:09,177726
-4,-5,-4,-18,-31,-15,-8,-5,2021-08-07 12:21:09,177726
4,6,22,43,50,23,8,4,2021-08-07 12:21:09,177726
2,2,-9,-2,1,1,2,2,2021-08-07 12:21:09,177726
-6,-6,-7,-6,3,-1,-4,-5,2021-08-07 12:21:09,178761
0,1,1,8,11,7,3,1,2021-08-07 12:21:09,178761
-4,-5,-2,-1,-1,-3,-3,-3,2021-08-07 12:21:09,178761
-4,-3,-10,-32,-41,-21,-10,-4,2021-08-07 12:21:09,208724
8,10,15,19,22,10,6,5,2021-08-07 12:21:09,224759
-1,-1,-1,3,-2,-1,-1,-2,2021-08-07 12:21:09,240772
1,2,1,-3,-10,-5,0,0,2021-08-07 12:21:09,256761
-3,-6,-1,9,13,6,0,-2,2021-08-07 12:21:09,256761
-8,-12,-16,-36,-40,-18,-9,-6,2021-08-07 12:21:09,256761
3,8,13,21,13,3,1,2,2021-08-07 12:21:09,256761
4,0,-5,-12,-16,-6,-2,0,2021-08-07 12:21:09,256761
-5,-8,-23,-51,-55,-25,-10,-8,2021-08-07 12:21:09,256761
