EMG 1,EMG 2,EMG 3,EMG 4,EMG 5,EMG 6,EMG 7,EMG 8,Timestamp,Milliseconds
1,2,4,-4,-5,-3,0,1,2021-08-07 12:46:30,122529
1,1,0,-4,-5,-4,0,-1,2021-08-07 12:46:30,138531
0,1,2,4,2,1,1,1,2021-08-07 12:46:30,154529
-2,-1,-1,5,12,9,1,0,2021-08-07 12:46:30,154529
-1,-2,-1,3,-1,-2,-1,-3,2021-08-07 12:46:30,154529
-6,-6,-6,-9,-10,-7,-6,-4,2021-08-07 12:46:30,154529
2,1,1,0,-3,-1,0,-1,2021-08-07 12:46:30,154529
-1,1,-1,0,0,-2,0,-2,2021-08-07 12:46:30,154529
-2,-1,-2,-3,-1,-2,-1,-1,2021-08-07 12:46:30,154529
0,0,1,5,7,4,2,0,2021-08-07 12:46:30,154529
-2,-2,-5,-8,-9,-5,-5,-2,2021-08-07 12:46:30,155531
1,0,1,-4,-7,-2,-2,-1,2021-08-07 12:46:30,155531
-1,0,-2,0,1,2,0,0,2021-08-07 12:46:30,155531
-2,-5,-4,-8,-15,-11,-7,-4,2021-08-07 12:46:30,155531
0,0,4,9,14,10,5,2,2021-08-07 12:46:30,155531
3,4,5,5,9,4,2,3,2021-08-07 12:46:30,155531
-2,-4,-6,-4,-3,-3,-1,-1,2021-08-07 12:46:30,155531
1,1,-1,2,3,3,1,2,2021-08-07 12:46:30,156531
-2,-3,-3,-8,-12,-8,-4,-2,2021-08-07 12:46:30,186530
-4,-6,-6,-8,-15,-12,-7,-5,2021-08-07 12:46:30,186530
5,5,5,9,13,12,7,5,2021-08-07 12:46:30,186530
-1,1,0,6,8,4,1,-1,2021-08-07 12:46:30,186530
-4,-6,-8,-4,-2,-2,-3,-3,2021-08-07 12:46:30,202529
-1,0,0,0,0,0,-1,0,2021-08-07 12:46:30,218530
-2,-1,-4,-9,-10,-7,-5,-3,2021-08-07 12:46:30,234531
2,2,3,4,3,1,1,2,2021-08-07 12:46:30,234531
2,3,2,4,3,3,3,2,2021-08-07 12:46:30,234531
-1,-4,-2,5,10,4,1,0,2021-08-07 12:46:30,234531
1,0,1,0,-3,-1,0,0,2021-08-07 12:46:30,266531
-2,-5,-3,-1,1,0,-2,-1,2021-08-07 12:46:30,266531
3,8,5,1,-4,1,2,0,2021-08-07 12:46:30,266531
-3,-6,-9,-11,-9,-6,-4,-4,2021-08-07 12:46:30,266531
5,5,8,12,19,10,7,3,2021-08-07 12:46:30,266531
0,-1,-1,-3,-4,0,1,0,2021-08-07 12:46:30,266531
-5,-7,-7,-4,-4,-5,-4,-5,2021-08-07 12:46:30,266531
-2,-3,-3,-4,-9,-6,-3,-1,2021-08-07 12:46:30,266531
-1,1,-1,-3,-7,-6,-2,-2,2021-08-07 12:46:30,282531
2,3,3,6,9,6,2,0,2021-08-07 12:46:30,282531
-4,-6,-4,-4,-1,-3,-4,-4,2021-08-07 12:46:30,282531
-1,-3,-3,-2,-3,-3,-1,0,2021-08-07 12:46:30,282531
0,-2,0,3,3,1,-1,0,2021-08-07 12:46:30,298529
0,1,5,-1,2,-1,1,1,2021-08-07 12:46:30,298529
0,-1,-5,-4,-2,-3,-1,-2,2021-08-07 12:46:30,298529
2,1,-2,3,3,2,2,0,2021-08-07 12:46:30,298529
-2,-3,-3,-2,-2,-1,0,0,2021-08-07 12:46:30,315531
-4,-3,-4,-4,-6,-2,-2,-2,2021-08-07 12:46:30,315531
0,1,4,2,1,1,-1,1,2021-08-07 12:46:30,346531
0,1,3,1,3,0,-1,-1,2021-08-07 12:46:30,346531
1,-3,-5,-2,-4,-1,-1,-1,2021-08-07 12:46:30,346531
1,-3,-1,-1,-2,-1,-2,-2,2021-08-07 12:46:30,346531
1,1,0,1,1,1,1,0,2021-08-07 12:46:30,346531
2,2,0,1,2,2,-1,0,2021-08-07 12:46:30,346531
-1,-1,-2,-3,-2,-1,-1,0,2021-08-07 12:46:30,346531
-3,-3,-4,-3,-2,-3,-3,-2,2021-08-07 12:46:30,347533
-3,-2,-1,-2,-4,-1,-1,0,2021-08-07 12:46:30,378531
-5,-4,-5,-7,-7,-6,-2,-3,2021-08-07 12:46:30,394530
1,1,1,-2,6,6,3,2,2021-08-07 12:46:30,410532
6,10,9,8,5,3,3,4,2021-08-07 12:46:30,410532
-2,-2,-1,-1,-3,-5,-2,-1,2021-08-07 12:46:30,410532
-1,-2,0,0,4,3,1,-1,2021-08-07 12:46:30,410532
-2,-4,-5,-4,-7,-4,-5,-3,2021-08-07 12:46:30,410532
-2,1,-2,-2,-6,-4,-1,0,2021-08-07 12:46:30,410532
-1,-1,-2,-1,0,1,1,0,2021-08-07 12:46:30,410532
-5,-6,-3,-1,1,0,-2,-3,2021-08-07 12:46:30,411531
1,4,5,2,1,-1,1,0,2021-08-07 12:46:30,411531
3,3,3,6,10,8,4,1,2021-08-07 12:46:30,411531
-2,-3,-3,-2,-6,-6,-3,-2,2021-08-07 12:46:30,442531
-1,-1,-1,-3,-4,-3,-2,-1,2021-08-07 12:46:30,457532
-1,2,1,-1,-2,-2,0,1,2021-08-07 12:46:30,473531
-4,-3,-2,-7,-12,-9,-5,-4,2021-08-07 12:46:30,473531
0,-3,-1,-2,5,4,1,0,2021-08-07 12:46:30,473531
2,4,3,4,6,5,3,2,2021-08-07 12:46:30,473531
0,-1,-1,4,4,2,0,-1,2021-08-07 12:46:30,473531
-6,-8,-7,-11,-18,-16,-9,-7,2021-08-07 12:46:30,473531
4,6,6,5,3,6,6,6,2021-08-07 12:46:30,473531
4,5,6,9,22,16,7,2,2021-08-07 12:46:30,474530
0,3,1,3,7,1,1,0,2021-08-07 12:46:30,474530
-2,-5,-5,-4,1,0,0,-3,2021-08-07 12:46:30,474530
-4,-5,-7,-5,-6,-5,-6,-6,2021-08-07 12:46:30,505530
-2,-3,-5,-10,-16,-10,-3,-2,2021-08-07 12:46:30,521529
0,0,-2,-1,-1,-1,-1,0,2021-08-07 12:46:30,537530
1,1,0,0,1,2,-1,1,2021-08-07 12:46:30,537530
-3,-2,-3,-4,-4,-4,-3,-2,2021-08-07 12:46:30,537530
1,4,4,2,-3,-4,-1,0,2021-08-07 12:46:30,537530
-4,-6,-5,-13,-20,-11,-5,-4,2021-08-07 12:46:30,537530
0,0,0,13,27,18,8,1,2021-08-07 12:46:30,537530
1,2,3,1,4,3,1,0,2021-08-07 12:46:30,537530
-1,0,0,2,1,0,0,-1,2021-08-07 12:46:30,537530
-2,-1,-1,-2,0,-2,-3,-3,2021-08-07 12:46:30,537530
-1,-2,-4,-7,-13,-9,-5,-2,2021-08-07 12:46:30,538532
0,1,1,1,4,2,2,1,2021-08-07 12:46:30,567530
0,-1,1,5,3,2,-1,-1,2021-08-07 12:46:30,567530
0,-1,-1,-6,-9,-5,-3,-3,2021-08-07 12:46:30,567530
1,1,3,2,5,3,1,0,2021-08-07 12:46:30,567530
-2,0,-2,2,-1,-2,-2,0,2021-08-07 12:46:30,567530
1,0,0,1,2,3,2,1,2021-08-07 12:46:30,567530
-2,-1,2,0,-5,-2,0,0,2021-08-07 12:46:30,582531
0,1,-2,-1,1,2,3,2,2021-08-07 12:46:30,582531
-1,-1,2,-1,1,-1,-3,-2,2021-08-07 12:46:30,598531
-1,-1,-1,-2,-5,-6,-3,-1,2021-08-07 12:46:30,598531
-1,2,-1,0,-4,0,0,1,2021-08-07 12:46:30,598531
-2,-3,-3,-1,2,0,0,-1,2021-08-07 12:46:30,598531
2,1,1,4,4,2,1,1,2021-08-07 12:46:30,614531
0,-3,-3,-8,-5,-4,-1,0,2021-08-07 12:46:30,614531
-4,-1,-4,1,-1,-2,-3,-2,2021-08-07 12:46:30,614531
