EMG 1,EMG 2,EMG 3,EMG 4,EMG 5,EMG 6,EMG 7,EMG 8,Timestamp
-1,-2,-1,-1,0,-1,0,0,2021-08-07 10:48:09.747880
1,-1,1,0,1,0,-1,-2,2021-08-07 10:48:09.748881
1,1,-1,2,3,2,1,0,2021-08-07 10:48:09.754879
-1,-3,-3,-4,-5,-3,-1,-3,2021-08-07 10:48:09.755880
0,1,2,6,4,1,1,0,2021-08-07 10:48:09.770883
0,1,-2,-4,-5,-2,0,-1,2021-08-07 10:48:09.770883
-1,-3,1,1,1,-2,-1,-3,2021-08-07 10:48:09.778883
1,2,1,-1,2,0,-1,0,2021-08-07 10:48:09.778883
-2,-1,-5,-6,-9,-6,-3,-3,2021-08-07 10:48:09.792879
1,-1,2,7,7,3,0,0,2021-08-07 10:48:09.792879
-2,-1,-1,-2,-6,-2,-2,-2,2021-08-07 10:48:09.800882
-1,0,2,0,0,-1,0,0,2021-08-07 10:48:09.800882
0,-2,-1,0,0,0,-3,-1,2021-08-07 10:48:09.807881
-2,-2,-3,-3,-1,-2,0,1,2021-08-07 10:48:09.807881
-2,0,-2,0,1,1,1,1,2021-08-07 10:48:09.814880
0,0,0,0,-1,-1,0,0,2021-08-07 10:48:09.815880
-1,-2,-1,-5,-7,-2,-2,0,2021-08-07 10:48:09.830881
1,-1,1,5,10,3,-1,2,2021-08-07 10:48:09.830881
0,-1,0,2,-1,-2,-1,0,2021-08-07 10:48:09.838879
-1,0,-2,0,0,0,0,-1,2021-08-07 10:48:09.838879
0,-1,0,0,-2,-3,0,-2,2021-08-07 10:48:09.852883
-1,1,-1,-3,-3,-1,-1,-1,2021-08-07 10:48:09.852883
0,-1,1,6,8,2,0,-2,2021-08-07 10:48:09.860882
0,0,0,-2,-1,-1,-1,0,2021-08-07 10:48:09.860882
-1,-1,0,1,0,0,-2,-1,2021-08-07 10:48:09.867880
-2,-2,-4,-9,-7,-5,-3,-2,2021-08-07 10:48:09.867880
0,1,-1,0,0,1,-1,0,2021-08-07 10:48:09.874883
0,-2,1,5,4,2,0,1,2021-08-07 10:48:09.875881
0,1,2,8,6,1,0,0,2021-08-07 10:48:09.889880
0,-3,-4,-11,-10,-5,-1,-3,2021-08-07 10:48:09.890881
0,-1,-3,-5,-6,-3,-1,-3,2021-08-07 10:48:09.898880
-2,-2,-4,-6,-3,-4,-1,-1,2021-08-07 10:48:09.898880
0,3,3,6,6,3,1,0,2021-08-07 10:48:09.912880
-1,1,1,4,0,1,1,0,2021-08-07 10:48:09.912880
-2,-3,-2,0,-1,-3,-1,-1,2021-08-07 10:48:09.920880
-3,-2,-1,-3,-5,-2,-1,-1,2021-08-07 10:48:09.920880
-2,-2,-2,-7,-6,-1,-4,-1,2021-08-07 10:48:09.927882
0,-1,0,2,4,1,0,0,2021-08-07 10:48:09.927882
-1,0,-1,-2,1,-1,-1,0,2021-08-07 10:48:09.934882
0,-1,0,1,0,-1,-2,-2,2021-08-07 10:48:09.935883
0,0,0,-1,-1,1,0,-1,2021-08-07 10:48:09.949881
0,1,-1,2,1,0,-2,-1,2021-08-07 10:48:09.950881
-2,-2,-2,-5,-6,-3,-3,-1,2021-08-07 10:48:09.958880
-1,-1,-2,-1,0,-1,-1,1,2021-08-07 10:48:09.959881
2,1,-2,2,2,0,0,1,2021-08-07 10:48:09.972882
1,-1,-1,2,1,4,2,1,2021-08-07 10:48:09.972882
0,-2,-3,-5,-8,-3,0,-2,2021-08-07 10:48:09.981884
-3,-2,-6,-7,-6,-2,-1,-3,2021-08-07 10:48:09.981884
0,0,6,15,15,6,2,0,2021-08-07 10:48:09.987881
-4,-1,0,2,1,-1,-3,-2,2021-08-07 10:48:09.987881
-1,0,1,3,2,-1,-1,-2,2021-08-07 10:48:10.004880
0,0,2,-1,-3,-2,-3,-3,2021-08-07 10:48:10.004880
-1,0,-4,-10,-11,-6,-3,0,2021-08-07 10:48:10.009879
0,0,-2,-1,-2,-1,-1,-1,2021-08-07 10:48:10.010881
2,1,2,1,4,0,1,2,2021-08-07 10:48:10.018883
1,-1,0,1,0,1,-2,1,2021-08-07 10:48:10.019880
-1,-2,-2,-3,-2,-1,0,-2,2021-08-07 10:48:10.032880
1,-2,-1,-1,-2,-2,-1,-1,2021-08-07 10:48:10.032880
1,-2,-4,-3,-4,0,0,0,2021-08-07 10:48:10.041881
-2,-1,-2,-2,-2,-2,0,-1,2021-08-07 10:48:10.041881
0,0,1,6,9,3,1,2,2021-08-07 10:48:10.047883
-2,-2,-1,-2,-4,-3,-3,-1,2021-08-07 10:48:10.047883
0,0,1,1,1,0,-1,-1,2021-08-07 10:48:10.063881
2,1,6,9,8,5,1,2,2021-08-07 10:48:10.064883
-2,-1,-3,-5,-4,-3,-2,-2,2021-08-07 10:48:10.069881
-3,-4,-5,-12,-10,-5,-2,-2,2021-08-07 10:48:10.070880
-3,-3,-5,-10,-9,-5,-5,-3,2021-08-07 10:48:10.086880
1,0,0,5,9,3,1,-1,2021-08-07 10:48:10.086880
0,0,1,-1,-2,-1,-1,1,2021-08-07 10:48:10.092881
1,3,2,9,7,2,1,0,2021-08-07 10:48:10.092881
-1,-2,0,-1,0,0,0,0,2021-08-07 10:48:10.101881
-3,0,-4,-6,-8,-5,-1,-1,2021-08-07 10:48:10.101881
-1,-4,-4,-7,-5,-2,0,-1,2021-08-07 10:48:10.107883
-2,-4,-2,1,-1,0,-1,0,2021-08-07 10:48:10.107883
-1,1,2,1,0,-1,-2,1,2021-08-07 10:48:10.123881
0,0,1,2,-3,-3,-2,-1,2021-08-07 10:48:10.124880
-1,1,0,2,10,4,0,0,2021-08-07 10:48:10.130881
1,2,0,1,-1,-1,1,-1,2021-08-07 10:48:10.130881
-2,-2,0,-1,-4,-2,-1,-2,2021-08-07 10:48:10.138880
-2,-1,-1,-1,1,0,-1,0,2021-08-07 10:48:10.139883
-2,-3,-3,-7,-10,-7,-4,-3,2021-08-07 10:48:10.152880
-2,0,-3,-6,-4,-1,-1,0,2021-08-07 10:48:10.152880
0,1,3,10,9,5,0,2,2021-08-07 10:48:10.161881
0,-2,0,3,2,-1,-1,-2,2021-08-07 10:48:10.161881
-3,-3,-3,-5,-9,-6,-1,-2,2021-08-07 10:48:10.167881
-1,-1,-2,-5,-3,-3,-2,-1,2021-08-07 10:48:10.167881
3,3,4,10,12,4,3,2,2021-08-07 10:48:10.183881
0,0,0,-3,-2,0,0,0,2021-08-07 10:48:10.184881
0,-1,0,0,2,1,-2,-1,2021-08-07 10:48:10.189883
-2,-2,1,-5,-8,-5,-2,-1,2021-08-07 10:48:10.190880
-2,-3,-3,-5,-6,-3,-1,-1,2021-08-07 10:48:10.198882
0,1,2,7,13,6,1,1,2021-08-07 10:48:10.199881
-1,-2,-1,-1,-5,-4,-2,-2,2021-08-07 10:48:10.212881
0,-1,-1,-1,-3,-2,1,-1,2021-08-07 10:48:10.212881
-4,-1,-3,-2,4,0,-1,-3,2021-08-07 10:48:10.221881
-1,-2,-1,-2,-5,-2,-2,-1,2021-08-07 10:48:10.221881
-3,-2,-7,-12,-15,-8,-2,-1,2021-08-07 10:48:10.227882
-1,0,0,8,13,5,1,0,2021-08-07 10:48:10.227882
2,4,5,9,3,3,2,0,2021-08-07 10:48:10.243883
-2,-2,-2,-1,-4,-2,-1,-1,2021-08-07 10:48:10.244882
-2,0,1,-1,1,1,-1,0,2021-08-07 10:48:10.249883
-2,-3,-2,-5,-5,-2,-2,0,2021-08-07 10:48:10.250880
-2,-3,-5,-11,-9,-5,-2,-3,2021-08-07 10:48:10.259882
1,2,2,7,1,1,0,0,2021-08-07 10:48:10.259882
-1,-2,-1,-2,1,0,-1,0,2021-08-07 10:48:10.272881
1,2,1,1,2,0,2,-1,2021-08-07 10:48:10.272881
-2,-2,-4,-3,-3,-3,-1,-2,2021-08-07 10:48:10.281881
-1,-1,-3,-5,-4,-3,1,0,2021-08-07 10:48:10.281881
-1,-1,-3,-4,-2,-1,0,0,2021-08-07 10:48:10.287881
0,0,0,4,5,0,0,0,2021-08-07 10:48:10.287881
-1,-1,-1,-5,-6,-2,-1,0,2021-08-07 10:48:10.303881
