EMG 1,EMG 2,EMG 3,EMG 4,EMG 5,EMG 6,EMG 7,EMG 8,Timestamp,Milliseconds
-6,-4,-5,-9,-6,-5,-6,-5,2021-08-07 11:16:25,039570
-7,-7,-8,-10,-6,-7,-5,-4,2021-08-07 11:16:25,039570
0,-2,1,2,1,-1,-1,-1,2021-08-07 11:16:25,039570
3,1,1,3,6,5,4,4,2021-08-07 11:16:25,039570
-2,0,1,3,-2,-1,0,-1,2021-08-07 11:16:25,039570
-8,-7,-5,-7,-6,-5,-5,-5,2021-08-07 11:16:25,039570
1,0,-2,-4,-3,-2,-2,-1,2021-08-07 11:16:25,040572
5,4,3,3,3,5,2,6,2021-08-07 11:16:25,040572
-3,-4,-5,-9,-8,-6,-5,-5,2021-08-07 11:16:25,055569
-3,-1,2,7,6,2,-2,-4,2021-08-07 11:16:25,055569
0,-1,-2,-4,-7,-3,-2,-2,2021-08-07 11:16:25,055569
4,2,-2,-7,-5,0,2,2,2021-08-07 11:16:25,055569
1,-2,2,14,16,8,2,-3,2021-08-07 11:16:25,071570
-2,0,-2,-7,-9,-4,-3,-4,2021-08-07 11:16:25,071570
-3,-2,-3,-6,-3,-1,-1,1,2021-08-07 11:16:25,071570
1,2,2,10,11,3,2,1,2021-08-07 11:16:25,071570
-7,-6,-6,-11,-10,-7,-7,-5,2021-08-07 11:16:25,087569
2,2,1,1,1,1,0,1,2021-08-07 11:16:25,087569
-1,-1,-1,-2,-5,-3,0,-1,2021-08-07 11:16:25,119570
2,2,3,4,5,2,1,3,2021-08-07 11:16:25,119820
-2,-2,0,4,1,1,0,-2,2021-08-07 11:16:25,119820
-4,-7,-3,-1,-2,0,-2,-3,2021-08-07 11:16:25,119820
7,6,5,5,4,6,6,9,2021-08-07 11:16:25,151093
-11,-9,-8,-10,-8,-6,-10,-10,2021-08-07 11:16:25,167094
6,6,5,6,4,4,5,5,2021-08-07 11:16:25,183094
-3,-4,-2,0,-1,-2,-3,-3,2021-08-07 11:16:25,183094
7,4,4,0,1,2,4,4,2021-08-07 11:16:25,183094
-4,-2,-2,1,-2,-3,-4,-4,2021-08-07 11:16:25,183094
2,1,0,-2,-2,0,1,3,2021-08-07 11:16:25,183094
-3,-4,-2,-1,0,-2,-2,-4,2021-08-07 11:16:25,183094
6,6,8,15,16,9,7,6,2021-08-07 11:16:25,184094
-5,-5,-4,-4,-6,-5,-4,-6,2021-08-07 11:16:25,184094
-2,-4,-3,-7,-7,-2,-1,-1,2021-08-07 11:16:25,184094
0,-1,0,2,1,0,-3,0,2021-08-07 11:16:25,184094
5,2,1,-7,-4,1,3,4,2021-08-07 11:16:25,184094
-2,-2,0,-2,-2,-2,-4,-4,2021-08-07 11:16:25,184094
1,0,-1,-2,2,1,-1,1,2021-08-07 11:16:25,199093
0,-1,-1,-1,-2,0,0,2,2021-08-07 11:16:25,199093
-1,-3,-3,-3,-5,-4,-2,-2,2021-08-07 11:16:25,199093
0,-2,0,7,8,3,0,-1,2021-08-07 11:16:25,199093
2,1,3,2,3,2,2,1,2021-08-07 11:16:25,230095
1,3,2,-2,-2,0,1,0,2021-08-07 11:16:25,246094
1,2,-1,1,0,-1,-2,1,2021-08-07 11:16:25,262092
-6,-5,-5,-14,-14,-10,-6,-5,2021-08-07 11:16:25,277095
-1,-1,-3,-1,-2,-1,0,-1,2021-08-07 11:16:25,277095
1,-1,2,10,9,5,1,1,2021-08-07 11:16:25,277095
1,0,-1,3,2,3,1,2,2021-08-07 11:16:25,277095
-2,-2,-2,-3,-1,0,-1,-2,2021-08-07 11:16:25,277095
-1,-1,2,4,1,0,-2,-1,2021-08-07 11:16:25,278094
-6,-2,-2,-9,-7,-5,-5,-5,2021-08-07 11:16:25,278094
-5,-3,-2,0,-1,-1,-2,-3,2021-08-07 11:16:25,278094
-5,-3,-5,-6,-4,-4,-4,-5,2021-08-07 11:16:25,278094
3,3,2,1,-2,0,0,0,2021-08-07 11:16:25,293093
0,-4,-4,-4,-3,-3,-2,-1,2021-08-07 11:16:25,293093
1,2,3,1,0,0,0,-1,2021-08-07 11:16:25,293093
0,0,0,1,4,2,1,0,2021-08-07 11:16:25,293093
-1,-1,-1,5,2,0,1,0,2021-08-07 11:16:25,309092
1,-1,-4,-6,-8,-5,-1,0,2021-08-07 11:16:25,309092
-2,-2,-2,-5,-1,-1,-2,0,2021-08-07 11:16:25,325094
-4,-3,-2,-3,-5,-3,-5,-2,2021-08-07 11:16:25,325094
-2,-4,-3,-9,-4,-2,-2,-2,2021-08-07 11:16:25,325094
-2,-3,-4,-3,-4,-1,-2,-1,2021-08-07 11:16:25,325094
-1,0,-1,-3,0,-2,0,-2,2021-08-07 11:16:25,325094
-1,1,2,11,9,3,-2,0,2021-08-07 11:16:25,326094
-2,-1,-1,-2,-5,-2,-2,-1,2021-08-07 11:16:25,357094
1,2,3,8,12,4,1,1,2021-08-07 11:16:25,357094
0,-2,-5,-7,-9,-5,-4,-3,2021-08-07 11:16:25,357094
-3,-4,0,2,4,1,-2,0,2021-08-07 11:16:25,358097
-1,1,-1,-3,-2,-1,0,0,2021-08-07 11:16:25,373093
0,0,1,-1,-4,-2,-1,-1,2021-08-07 11:16:25,373093
-2,-2,-1,2,0,-2,-1,-1,2021-08-07 11:16:25,373093
-1,-1,0,4,1,-2,-1,-1,2021-08-07 11:16:25,373093
-3,-6,-7,-5,-4,-3,-4,-2,2021-08-07 11:16:25,389095
-1,0,0,-5,-2,0,0,-1,2021-08-07 11:16:25,389095
-3,-4,1,2,1,-1,-2,-3,2021-08-07 11:16:25,389095
-4,-4,-5,-14,-12,-7,-3,-4,2021-08-07 11:16:25,405092
-1,0,2,10,6,1,0,-2,2021-08-07 11:16:25,405092
0,1,-1,3,0,-1,-1,0,2021-08-07 11:16:25,405092
-2,-4,-3,-5,-3,-2,-4,-2,2021-08-07 11:16:25,420092
-4,-4,-3,-4,-7,-5,-3,-4,2021-08-07 11:16:25,420092
0,1,-2,-4,-3,-3,-1,1,2021-08-07 11:16:25,420092
-4,-4,-4,-1,3,1,-1,-3,2021-08-07 11:16:25,420092
1,5,6,6,3,1,1,2,2021-08-07 11:16:25,436093
1,0,-2,0,-4,-1,0,-1,2021-08-07 11:16:25,452094
3,2,1,-3,2,7,9,5,2021-08-07 11:16:25,467094
1,0,-2,1,1,1,-4,-1,2021-08-07 11:16:25,468095
-3,-5,-7,-10,-12,-11,-12,-7,2021-08-07 11:16:25,468095
-10,-9,-2,3,3,-10,-10,-8,2021-08-07 11:16:25,468095
-5,-6,-4,-2,2,-1,-3,-3,2021-08-07 11:16:25,469096
5,8,8,12,9,5,7,4,2021-08-07 11:16:25,469096
0,-2,-1,1,0,3,5,1,2021-08-07 11:16:25,469096
3,3,0,-6,-6,0,1,1,2021-08-07 11:16:25,484093
-5,-4,-6,-7,-5,-5,-3,-5,2021-08-07 11:16:25,484093
1,0,0,-1,-2,1,4,2,2021-08-07 11:16:25,484093
-4,-2,-2,0,-2,-2,-2,-4,2021-08-07 11:16:25,484093
-2,-3,-6,-14,-9,-4,-1,-1,2021-08-07 11:16:25,484093
1,2,6,12,13,6,-1,0,2021-08-07 11:16:25,515096
-3,-6,-5,-10,-8,-5,-3,-3,2021-08-07 11:16:25,515096
1,4,3,6,4,0,1,1,2021-08-07 11:16:25,515096
-3,-2,-4,-9,-8,-4,-2,-1,2021-08-07 11:16:25,515096
1,1,-2,0,-5,-1,-1,0,2021-08-07 11:16:25,531093
1,-2,-1,-1,6,-1,-2,-1,2021-08-07 11:16:25,531093
-6,-7,-7,1,0,-2,-5,-6,2021-08-07 11:16:25,547093
1,0,0,-1,3,4,1,0,2021-08-07 11:16:25,547093
3,4,5,2,-3,-2,-4,0,2021-08-07 11:16:25,563095
-2,-1,-3,-2,-4,-1,-1,0,2021-08-07 11:16:25,579096
-5,-6,-5,-12,-7,-7,-2,-5,2021-08-07 11:16:25,579096
-1,0,-1,4,1,-1,0,0,2021-08-07 11:16:25,579096
-4,-4,-5,-8,-10,-7,-5,-5,2021-08-07 11:16:25,579096
1,1,-1,0,3,1,-1,1,2021-08-07 11:16:25,579096
-2,-2,-2,-7,-5,0,-3,-1,2021-08-07 11:16:25,580097
2,2,1,11,12,5,1,2,2021-08-07 11:16:25,580097
-1,-2,-3,-1,-2,-3,-1,-2,2021-08-07 11:16:25,580097
-1,0,-1,0,-2,-1,-1,0,2021-08-07 11:16:25,595095
-3,-4,-5,-8,-6,-4,-4,-3,2021-08-07 11:16:25,611096
2,5,4,3,-1,1,2,1,2021-08-07 11:16:25,611096
-2,-1,0,3,9,3,-1,-2,2021-08-07 11:16:25,611096
1,0,1,-3,-4,-1,1,0,2021-08-07 11:16:25,611096
-1,-2,0,0,-1,-2,0,-2,2021-08-07 11:16:25,612094
-1,-3,-3,-6,-6,-3,-2,-1,2021-08-07 11:16:25,612094
0,-2,-1,-2,1,-1,0,-1,2021-08-07 11:16:25,627094
