EMG 1,EMG 2,EMG 3,EMG 4,EMG 5,EMG 6,EMG 7,EMG 8,Timestamp,Milliseconds
2,1,0,5,-1,0,-1,0,2021-08-07 12:08:29,601603
-1,-2,-5,-8,-8,-4,0,-2,2021-08-07 12:08:29,601603
-4,-4,-2,3,9,2,-1,-2,2021-08-07 12:08:29,601603
5,7,10,11,4,4,2,2,2021-08-07 12:08:29,601603
-2,-3,-1,-4,-5,-1,-1,-2,2021-08-07 12:08:29,601603
0,2,-3,-19,-14,-8,-2,0,2021-08-07 12:08:29,602604
-5,-6,-11,-5,-4,-5,-3,-4,2021-08-07 12:08:29,602604
0,-3,-4,-1,10,4,1,0,2021-08-07 12:08:29,602604
1,1,8,18,13,8,3,3,2021-08-07 12:08:29,602604
-3,-2,-2,-2,-6,-1,-4,-4,2021-08-07 12:08:29,602604
-4,-5,-1,-5,-8,-7,-3,-3,2021-08-07 12:08:29,602604
2,3,1,4,1,-1,0,1,2021-08-07 12:08:29,603603
2,1,-1,-5,-3,-2,0,0,2021-08-07 12:08:29,603603
0,1,2,11,14,5,0,0,2021-08-07 12:08:29,603603
0,-1,0,0,-4,-1,-3,1,2021-08-07 12:08:29,617603
-3,-3,1,2,-1,-1,0,-1,2021-08-07 12:08:29,617603
1,1,4,2,2,-1,2,1,2021-08-07 12:08:29,617603
-4,-5,-3,-4,-4,-3,-4,-4,2021-08-07 12:08:29,617603
0,-2,-23,-27,-23,-11,-6,-1,2021-08-07 12:08:29,664118
1,-1,-5,-9,-6,-3,-1,0,2021-08-07 12:08:29,664118
0,1,1,2,2,1,0,1,2021-08-07 12:08:29,664118
1,0,10,15,18,9,4,0,2021-08-07 12:08:29,664118
-2,0,12,20,10,6,2,-1,2021-08-07 12:08:29,664118
0,-3,-10,-13,-14,-7,-3,-2,2021-08-07 12:08:29,664118
2,3,-2,-5,-4,-2,-1,0,2021-08-07 12:08:29,664118
0,-1,0,2,-1,-2,-3,-1,2021-08-07 12:08:29,664118
2,0,4,2,6,2,2,-1,2021-08-07 12:08:29,680118
-6,-5,-5,-7,-7,-5,-4,-5,2021-08-07 12:08:29,680118
-4,-3,0,0,-4,-4,-3,-2,2021-08-07 12:08:29,727118
-2,1,-1,-5,-4,-2,0,0,2021-08-07 12:08:29,727118
2,7,3,7,5,1,3,2,2021-08-07 12:08:29,727118
-4,-10,-1,2,4,0,-2,-1,2021-08-07 12:08:29,727118
-5,-6,-5,-1,-3,-5,-4,-4,2021-08-07 12:08:29,727118
1,2,0,-1,0,0,0,1,2021-08-07 12:08:29,727118
-1,-1,0,-5,-4,-3,-2,-1,2021-08-07 12:08:29,727118
-1,2,4,4,4,2,1,0,2021-08-07 12:08:29,728119
-2,-4,-2,-4,-1,-2,-1,-1,2021-08-07 12:08:29,728119
-1,-4,-3,-1,0,-1,-1,-3,2021-08-07 12:08:29,728119
3,2,1,-1,-1,-1,0,2,2021-08-07 12:08:29,743118
-1,0,-3,-6,-7,-3,-2,-3,2021-08-07 12:08:29,743118
-4,-5,-7,-11,-12,-7,-5,-4,2021-08-07 12:08:29,743118
0,0,3,2,11,4,1,0,2021-08-07 12:08:29,743118
1,1,3,11,7,5,3,2,2021-08-07 12:08:29,759119
1,2,1,2,8,3,2,1,2021-08-07 12:08:29,759119
0,-1,-3,-2,3,2,0,-2,2021-08-07 12:08:29,775118
0,1,-1,-3,-11,-4,-2,0,2021-08-07 12:08:29,775118
0,-1,-4,-8,-9,-5,-2,-1,2021-08-07 12:08:29,807121
2,1,0,4,4,0,0,2,2021-08-07 12:08:29,823117
1,4,-1,-3,-6,-3,-2,2,2021-08-07 12:08:29,823117
-4,-7,-8,-10,-4,-3,-3,-2,2021-08-07 12:08:29,823117
-1,-1,3,7,3,1,-1,0,2021-08-07 12:08:29,823117
0,1,-2,-3,-4,-2,0,-2,2021-08-07 12:08:29,823117
-1,0,-2,-3,0,-1,-2,1,2021-08-07 12:08:29,823117
-1,-1,5,6,0,-2,-2,-1,2021-08-07 12:08:29,823117
-4,-4,-5,-2,-2,-2,-1,-2,2021-08-07 12:08:29,839118
0,0,-3,-8,-6,-2,-3,-2,2021-08-07 12:08:29,855119
-3,-5,-2,0,0,-3,-2,-4,2021-08-07 12:08:29,871120
1,3,-2,-6,-6,-1,1,0,2021-08-07 12:08:29,871120
2,1,8,12,13,6,3,4,2021-08-07 12:08:29,871120
0,-2,1,2,3,1,2,1,2021-08-07 12:08:29,887118
4,6,5,7,4,2,3,3,2021-08-07 12:08:29,887118
-3,-2,-1,-3,-3,-2,-2,-3,2021-08-07 12:08:29,887118
