EMG 1,EMG 2,EMG 3,EMG 4,EMG 5,EMG 6,EMG 7,EMG 8,Timestamp,Milliseconds
-4,-4,-3,-2,1,-1,-2,-3,2021-08-07 12:15:55,003459
0,2,2,2,4,2,1,2,2021-08-07 12:15:55,019458
1,-1,1,0,-2,0,-1,-1,2021-08-07 12:15:55,035458
1,2,-2,2,7,4,3,2,2021-08-07 12:15:55,035458
-1,-3,-5,-4,-4,-3,-1,0,2021-08-07 12:15:55,035458
-3,-4,-3,-6,-6,-6,-4,-2,2021-08-07 12:15:55,035458
2,3,0,1,-1,1,0,1,2021-08-07 12:15:55,035458
-5,-7,-5,-10,-8,-7,-5,-6,2021-08-07 12:15:55,035458
0,0,2,2,-1,-1,-2,-1,2021-08-07 12:15:55,036459
0,1,0,3,2,1,1,-1,2021-08-07 12:15:55,036459
0,0,-3,-3,-2,-1,-1,0,2021-08-07 12:15:55,036459
0,-1,0,2,3,2,0,2,2021-08-07 12:15:55,036459
-1,-1,0,-1,1,-1,0,-1,2021-08-07 12:15:55,036459
-3,-3,-2,-1,-4,-2,-3,-2,2021-08-07 12:15:55,036459
-2,-1,-3,-7,-5,-4,-1,0,2021-08-07 12:15:55,037459
0,-1,4,10,11,4,2,1,2021-08-07 12:15:55,037459
-2,-3,-1,-6,-7,-3,-2,-2,2021-08-07 12:15:55,037459
2,3,6,12,13,7,3,1,2021-08-07 12:15:55,037459
2,1,-1,-1,-2,-2,1,1,2021-08-07 12:15:55,051459
-1,0,-1,-4,-5,-3,-1,-1,2021-08-07 12:15:55,051459
0,1,1,6,1,1,1,-1,2021-08-07 12:15:55,051459
-3,-3,-4,-5,-3,-1,-2,-3,2021-08-07 12:15:55,051459
-5,-6,-4,-3,0,-1,-2,-2,2021-08-07 12:15:55,067457
1,1,-1,-4,-5,-2,0,0,2021-08-07 12:15:55,067457
-1,0,2,5,3,2,0,0,2021-08-07 12:15:55,130459
-3,-4,-2,-4,-6,-4,-3,-3,2021-08-07 12:15:55,130459
-1,-1,-2,3,5,2,0,1,2021-08-07 12:15:55,130459
-3,-3,0,-1,-1,-1,-2,-2,2021-08-07 12:15:55,130459
0,-3,-3,-2,-2,-1,-1,0,2021-08-07 12:15:55,130459
1,1,1,1,3,0,1,0,2021-08-07 12:15:55,130459
-3,-2,-2,-5,-6,-5,-3,-3,2021-08-07 12:15:55,131459
-4,-6,-5,-14,-13,-7,-4,-3,2021-08-07 12:15:55,131459
5,5,9,16,19,10,4,2,2021-08-07 12:15:55,131459
-1,-2,-3,-6,-9,-4,-3,0,2021-08-07 12:15:55,131459
-1,-1,1,6,7,1,-1,-2,2021-08-07 12:15:55,131459
1,3,2,1,1,2,1,2,2021-08-07 12:15:55,131459
-5,-5,-7,-16,-14,-7,-3,-5,2021-08-07 12:15:55,132458
-1,3,1,2,0,1,1,0,2021-08-07 12:15:55,132458
0,-2,2,1,2,0,-2,0,2021-08-07 12:15:55,146459
-1,-2,-1,5,2,-1,-3,-2,2021-08-07 12:15:55,162459
3,3,1,1,-1,0,2,1,2021-08-07 12:15:55,192457
1,-2,-1,-1,-1,-1,-1,-2,2021-08-07 12:15:55,192457
-3,-4,-5,-9,-8,-5,-2,-2,2021-08-07 12:15:55,193458
-7,-7,-4,-2,0,-4,-3,-6,2021-08-07 12:15:55,193458
5,7,5,2,1,3,2,3,2021-08-07 12:15:55,193458
1,2,3,3,4,2,2,1,2021-08-07 12:15:55,193458
-4,-5,-3,-5,-6,-3,-3,-4,2021-08-07 12:15:55,193458
0,1,-2,-6,-4,-3,-3,-2,2021-08-07 12:15:55,193458
-3,-4,-1,6,3,-1,-3,-1,2021-08-07 12:15:55,194461
1,3,1,-1,-3,-2,-2,1,2021-08-07 12:15:55,194461
3,3,1,2,2,3,1,2,2021-08-07 12:15:55,225457
-1,-1,-3,-4,-1,-4,-1,-3,2021-08-07 12:15:55,225457
0,0,3,11,9,4,1,1,2021-08-07 12:15:55,225457
-2,-2,2,4,3,2,-1,0,2021-08-07 12:15:55,225457
-2,-4,-5,-9,-8,-5,-3,-4,2021-08-07 12:15:55,241457
2,2,3,2,-3,-1,0,0,2021-08-07 12:15:55,257459
1,1,1,-1,7,3,0,2,2021-08-07 12:15:55,273458
-2,-4,-3,0,-1,0,0,-2,2021-08-07 12:15:55,273458
0,1,-1,1,-2,0,-1,-1,2021-08-07 12:15:55,273458
1,-1,-1,-2,-1,1,2,1,2021-08-07 12:15:55,273458
-4,-6,-6,-11,-9,-4,-5,-3,2021-08-07 12:15:55,273458
0,0,1,1,2,0,0,1,2021-08-07 12:15:55,273458
2,5,5,3,5,4,2,1,2021-08-07 12:15:55,274458
-3,-7,-6,-1,-3,-3,-2,-1,2021-08-07 12:15:55,274458
5,3,-3,-17,-15,-9,-2,0,2021-08-07 12:15:55,274458
3,2,4,6,5,4,1,0,2021-08-07 12:15:55,274458
1,0,7,19,21,11,5,1,2021-08-07 12:15:55,305459
-1,0,3,7,4,2,0,0,2021-08-07 12:15:55,305459
-2,-1,-1,3,-2,-2,-2,-2,2021-08-07 12:15:55,305459
-6,-5,-8,-16,-16,-10,-6,-4,2021-08-07 12:15:55,305459
-3,-2,-2,-7,-9,-4,-2,-1,2021-08-07 12:15:55,305459
-1,-1,0,0,4,1,0,0,2021-08-07 12:15:55,305459
-2,-2,-4,-6,-3,-1,-1,0,2021-08-07 12:15:55,321459
-1,-1,-2,1,-1,0,-1,-2,2021-08-07 12:15:55,321459
-1,-3,-4,-3,-3,-2,-3,-2,2021-08-07 12:15:55,337458
-2,1,-2,-4,-5,-2,0,-1,2021-08-07 12:15:55,353461
-2,-2,-4,-11,-9,-6,0,-2,2021-08-07 12:15:55,353461
