EMG 1,EMG 2,EMG 3,EMG 4,EMG 5,EMG 6,EMG 7,EMG 8,Timestamp
0,0,-2,0,-1,0,1,1,2021-08-16 12:26:18.016734
1,0,-1,-1,0,-1,0,-1,2021-08-16 12:26:18.016734
0,-1,-1,-1,-2,-1,-1,0,2021-08-16 12:26:18.017733
-1,-1,-2,-2,-2,-1,-2,0,2021-08-16 12:26:18.017733
-1,-3,0,-2,0,0,0,0,2021-08-16 12:26:18.019732
-1,-2,-1,-3,-1,-1,-1,-2,2021-08-16 12:26:18.019732
-2,0,-1,-2,0,-1,-2,-1,2021-08-16 12:26:18.019732
-1,0,0,-1,0,-1,1,0,2021-08-16 12:26:18.020732
-1,0,1,0,-1,0,-1,-1,2021-08-16 12:26:18.027733
-2,0,-1,0,-1,0,0,-1,2021-08-16 12:26:18.027733
-1,-2,-1,-2,0,1,0,-1,2021-08-16 12:26:18.032732
0,-1,-2,-1,-2,0,-2,-1,2021-08-16 12:26:18.032732
-1,-1,0,-1,-2,-2,0,-1,2021-08-16 12:26:18.047762
-2,-2,1,-1,-2,-2,-1,-2,2021-08-16 12:26:18.047762
-1,1,-1,0,-2,-1,0,-1,2021-08-16 12:26:18.057732
0,-1,-1,-2,-1,-2,-3,-1,2021-08-16 12:26:18.057732
0,-1,-2,-1,0,0,-1,-1,2021-08-16 12:26:18.062731
0,-1,-1,-1,-3,0,-1,0,2021-08-16 12:26:18.062731
-2,1,0,-1,1,-1,1,-2,2021-08-16 12:26:18.087759
-1,-2,0,-1,0,0,0,-1,2021-08-16 12:26:18.087759
0,-2,0,0,-1,0,-1,-2,2021-08-16 12:26:18.126735
-1,-1,0,-1,-1,-2,-1,-1,2021-08-16 12:26:18.126735
0,-1,-1,-2,-1,0,0,-1,2021-08-16 12:26:18.127736
-1,0,1,-3,-2,-1,-1,0,2021-08-16 12:26:18.127736
-1,0,-1,-1,-1,-1,-1,0,2021-08-16 12:26:18.127736
-1,-2,-2,-1,-1,-1,-1,-2,2021-08-16 12:26:18.127736
-1,0,-2,0,-1,0,-2,-1,2021-08-16 12:26:18.130733
-1,-1,-2,0,0,-1,1,1,2021-08-16 12:26:18.130733
-1,1,-1,0,1,1,0,-1,2021-08-16 12:26:18.138734
-2,0,1,0,-1,0,-2,-1,2021-08-16 12:26:18.138734
0,0,-2,0,0,-2,-2,-1,2021-08-16 12:26:18.145732
-1,-2,-2,0,-1,0,-2,-2,2021-08-16 12:26:18.145732
-2,-1,1,-1,-1,-2,0,-1,2021-08-16 12:26:18.152733
-1,-1,0,0,-1,-1,0,0,2021-08-16 12:26:18.152733
-3,-1,0,0,0,-2,0,-1,2021-08-16 12:26:18.167759
-1,-1,-2,-1,0,-2,-1,-2,2021-08-16 12:26:18.167759
0,-1,-1,-2,1,-1,-1,0,2021-08-16 12:26:18.175732
-1,0,0,1,0,0,-1,-1,2021-08-16 12:26:18.176735
0,-1,-1,0,0,0,0,-2,2021-08-16 12:26:18.190732
-1,-1,-1,0,-1,0,-3,0,2021-08-16 12:26:18.190732
-1,0,-1,0,-2,-1,-1,-2,2021-08-16 12:26:18.198731
1,0,-1,-1,-2,-2,0,-1,2021-08-16 12:26:18.198731
-1,-2,0,-3,0,0,-1,0,2021-08-16 12:26:18.213734
-1,-1,-2,-3,-1,-1,0,-2,2021-08-16 12:26:18.213734
1,0,0,-1,-1,-2,-2,-1,2021-08-16 12:26:18.214733
1,0,-1,-2,1,0,-1,-2,2021-08-16 12:26:18.214733
