Timestamp,Milliseconds,Angle,Angular Velocity,Sensor 1,Sensor 2,Sensor 3
,,,,,,
26:57.0,982206,89.6761732,91.30077926,[ 23.48102951  16.76618004 -10.73936558],[24.20025063 16.05086517 -7.43991327],[23.62206268 13.29091167 -7.92915392]
,,,,,,
26:57.0,986239,91.10285082,353.7509602,[ 23.47505188  16.82712555 -10.69976616],[24.20293617 16.04679871 -7.44589949],[23.62854004 13.29356098 -7.91990328]
,,,,,,
26:57.0,991233,91.32703445,44.89059522,[ 23.48468971  16.84026527 -10.69300652],[24.20789146 16.04336166 -7.44083166],[23.6292572  13.30241489 -7.91448545]
,,,,,,
26:57.0,995230,90.79143042,134.0015098,[ 23.4817543   16.83064651 -10.73268795],[24.21668243 16.03852463 -7.4337163 ],[23.62655449 13.30963707 -7.9163065 ]
,,,,,,
26:57.0,999230,90.74057797,12.71311078,[ 23.49299812  16.84469604 -10.69758511],[24.21135902 16.04695892 -7.43118238],[23.62022018 13.3182745  -7.92900467]
,,,,,,
26:57.0,3230,91.09566185,0.356509911,[ 23.48635674  16.86854935 -10.69019794],[24.21314621 16.04644585 -7.42613792],[23.62137222 13.323246   -7.92314529]
,,,,,,
26:57.0,7229,90.96402201,32.91818748,[ 23.48433876  16.87423515 -10.70721149],[24.20698166 16.05641937 -7.42387724],[23.61882019 13.33228016 -7.92276096]
,,,,,,
26:57.0,11205,91.05368642,22.55141039,[ 23.4916687   16.88382149 -10.69916248],[24.2044754  16.06236267 -7.42308235],[23.62395096 13.32683086 -7.92763233]
,,,,,,
26:57.0,16203,91.39422145,68.13425953,[ 23.50378418  16.88247299 -10.70763302],[24.20461845 16.06131554 -7.42793751],[23.6322403  13.32737923 -7.91749859]
,,,,,,
26:57.0,20204,91.44941314,13.79447456,[ 23.50979233  16.89003181 -10.69303417],[24.20507622 16.06374359 -7.42277575],[23.63128471 13.33554077 -7.91470098]
,,,,,,
26:57.0,24207,91.66805652,54.61987864,[ 23.50473595  16.90193748 -10.69113636],[24.20663834 16.06877327 -7.42136717],[23.63645744 13.33801079 -7.90790606]
,,,,,,
26:57.0,28206,91.98057066,78.14807297,[ 23.51734924  16.89512062 -10.68697834],[24.20036125 16.0741024  -7.43310165],[23.64267921 13.33463764 -7.90413809]
,,,,,,
26:57.0,32206,92.40619888,106.4070545,[ 23.52033615  16.91981316 -10.66401863],[24.19764328 16.07704926 -7.43909502],[23.63676834 13.34340763 -7.91035843]
,,,,,,
26:57.0,36206,92.51190962,26.42768504,[ 23.51402283  16.91846085 -10.6866045 ],[24.20169258 16.07060051 -7.44925117],[23.63585663 13.34697628 -7.91194296]
,,,,,,
26:57.0,41207,92.62197048,22.00777021,[ 23.51998901  16.92842484 -10.67344761],[24.20328903 16.07424355 -7.44348049],[23.63869476 13.34893227 -7.90847731]
,,,,,,
26:57.0,45241,93.12825661,125.5047435,[ 23.52846527  16.9373703  -10.65300179],[24.20853615 16.0645752  -7.45086527],[23.64393044 13.34558582 -7.90955114]
,,,,,,
26:57.0,49400,93.38828118,62.52093495,[ 23.52051353  16.95316887 -10.64605618],[24.20865822 16.06936264 -7.4468236 ],[23.64672089 13.35140991 -7.90069628]
,,,,,,
26:57.1,53391,93.31901433,17.35576338,[ 23.50890923  16.9590683  -10.66999912],[24.20322227 16.07445908 -7.45300245],[23.64361954 13.35774708 -7.90688801]
,,,,,,
