Timestamp,Milliseconds,Angle,Angular Velocity,Sensor 1,Sensor 2,Sensor 3
,,,,,,
12:25.2,226174,106.1371289,469.2720156,[ 11.89387798  11.05224991 -11.42067337],[11.10754299 10.60092831 -9.0343504 ],[11.82795715 12.84814548 -7.54174185]
,,,,,,
12:25.2,230173,105.6362875,125.2416568,[ 11.90604401  11.07366562 -11.40327644],[11.11369896 10.60366726 -9.03505325],[11.82574844 12.85174084 -7.54374599]
,,,,,,
12:25.2,234175,105.5693406,16.72834269,[ 11.91287994  11.0819912  -11.40205669],[11.11878777 10.60858059 -9.0311203 ],[11.82753944 12.85640526 -7.54169846]
,,,,,,
12:25.2,238176,105.4543824,28.73237222,[ 11.91291523  11.0988369  -11.39456367],[11.11571026 10.62110233 -9.02759361],[11.82917213 12.86006737 -7.53907108]
,,,,,,
12:25.2,242174,105.3863811,17.00884685,[ 11.91949081  11.10796165 -11.39134979],[11.11505985 10.62988853 -9.02727222],[11.82884789 12.86264229 -7.54082441]
,,,,,,
12:25.2,246173,105.2465361,34.96998539,[ 11.92050743  11.11653137 -11.38617134],[11.11854458 10.63017368 -9.02859783],[11.82968712 12.86615181 -7.53880978]
,,,,,,
12:25.3,251179,105.1407447,21.13291587,[ 11.92801094  11.12762451 -11.37970924],[11.11763    10.63790894 -9.02779388],[11.8292799  12.87332344 -7.53406048]
,,,,,,
12:25.3,255174,104.9567378,46.05931185,[ 11.92289829  11.14371967 -11.37931538],[11.11879158 10.64262772 -9.02582359],[11.82944202 12.87652016 -7.53437853]
,,,,,,
12:25.3,259179,105.1331157,44.03942614,[ 11.92294693  11.14409065 -11.38620377],[11.12001896 10.64637566 -9.02644157],[11.82878399 12.88181973 -7.53177309]
,,,,,,
12:25.3,263175,105.1091057,6.008489698,[ 11.92930508  11.15105057 -11.3808794 ],[11.12578678 10.65170956 -9.01997662],[11.83075237 12.88514137 -7.52787638]
,,,,,,
12:25.3,267175,105.0618942,11.80288048,[ 11.93503666  11.15083218 -11.37779236],[11.12723923 10.65257168 -9.02275562],[11.83033943 12.88627338 -7.53110838]
,,,,,,
12:25.3,271174,105.0001221,15.4468897,[ 11.93332195  11.15886593 -11.37748814],[11.12670994 10.65574932 -9.02409077],[11.83190918 12.88989639 -7.5289712 ]
,,,,,,
12:25.3,276173,105.0570421,11.38627582,[ 11.93517876  11.15942383 -11.38034916],[11.12764359 10.65684319 -9.02644157],[11.82860279 12.89412403 -7.52880001]
,,,,,,
12:25.3,280174,105.0325366,6.124848362,[ 11.93876076  11.16502285 -11.37531185],[11.13277054 10.66088676 -9.02317047],[11.83249474 12.89519978 -7.5272584 ]
,,,,,,
12:25.3,284173,105.0863393,13.45405678,[ 11.94028378  11.16828346 -11.37577724],[11.13671112 10.66428852 -9.01872063],[11.82962132 12.90124226 -7.52486467]
,,,,,,
12:25.3,288173,105.0811019,1.309357373,[ 11.9346056   11.17463589 -11.3784399 ],[11.13961029 10.6635952  -9.02259064],[11.82863808 12.90394306 -7.52419996]
,,,,,,
12:25.3,292680,105.1084767,6.073828982,[ 11.94030952  11.17543221 -11.37581635],[11.14204216 10.66691113 -9.01933765],[11.82976818 12.90735912 -7.52165842]
,,,,,,
12:25.3,296688,105.3023418,48.3695324,[ 11.94836807  11.16793442 -11.37660122],[11.14287949 10.66961861 -9.01941776],[11.83520985 12.90748405 -7.51844645]
,,,,,,
12:25.3,300686,105.2490867,13.32041548,[ 11.95074272  11.17033386 -11.37472153],[11.14563179 10.66875267 -9.0212698 ],[11.8357029  12.90905476 -7.51804256]
,,,,,,
12:25.3,304688,105.2074739,10.39801717,[ 11.94933891  11.17043591 -11.37613106],[11.14694405 10.66759586 -9.02390957],[11.83494377 12.90899658 -7.52283907]
,,,,,,
12:25.3,308689,105.3842011,44.17076658,[ 11.94685078  11.16556263 -11.38350964],[11.15038776 10.66672897 -9.02273083],[11.83559227 12.9097681  -7.52265358]
,,,,,,
12:25.3,313688,105.4750486,18.173132,[ 11.94584846  11.16467285 -11.38482666],[11.15120029 10.66729927 -9.02290726],[11.8390274  12.9116354  -7.51851654]
,,,,,,
12:25.3,317687,105.4764885,0.360060085,[ 11.94929314  11.16325188 -11.38215542],[11.15367317 10.66632366 -9.02347565],[11.8419466  12.91223526 -7.51672316]
,,,,,,
12:25.3,321687,105.6581288,45.41008006,[ 11.95194149  11.15246773 -11.38736343],[11.15570259 10.66422176 -9.02466869],[11.84206581 12.91236782 -7.51857853]
,,,,,,
12:25.3,325687,105.7066181,12.1223305,[ 11.95471668  11.14554501 -11.38811302],[11.16030693 10.65979481 -9.02497482],[11.84311962 12.91295719 -7.51910591]
,,,,,,
12:25.3,329687,105.726026,4.851967041,[ 11.95248318  11.14545155 -11.38829899],[11.16339874 10.65886021 -9.02276707],[11.8418169  12.9143734  -7.51902056]
,,,,,,
12:25.3,333687,105.8747749,37.18722602,[ 11.95102978  11.13736057 -11.39169884],[11.16592693 10.65549183 -9.02220345],[11.84212208 12.91523552 -7.5175004 ]
,,,,,,
12:25.3,338688,105.9081899,6.681676256,[ 11.94835091  11.13030434 -11.39260387],[11.16894817 10.64794731 -9.02543068],[11.84248924 12.91602612 -7.51671839]
,,,,,,
12:25.3,342687,106.3050742,99.24586181,[ 11.94785118  11.1108675  -11.40162086],[11.17350674 10.64382935 -9.02327824],[11.84340286 12.91556644 -7.51580906]
,,,,,,
12:25.3,346687,106.5418195,59.18633808,[ 11.95549774  11.09295464 -11.40352535],[11.17828178 10.63889408 -9.02163982],[11.84248066 12.91684151 -7.51520348]
,,,,,,
12:25.4,350687,106.6947211,38.22539543,[ 11.94710445  11.0886488  -11.40541649],[11.17735863 10.63711643 -9.02157688],[11.8460865  12.91814899 -7.50941229]
,,,,,,
12:25.4,354690,106.9161934,55.3265751,[ 11.94149399  11.07806492 -11.41193581],[11.17514133 10.63395119 -9.02376461],[11.84753418 12.91779995 -7.5072751 ]
,,,,,,
12:25.4,358686,107.2196581,75.94212045,[ 11.9428072   11.06214142 -11.41444206],[11.17441559 10.63392067 -9.02164841],[11.84431362 12.91932297 -7.50738239]
,,,,,,
12:25.4,363688,107.4720647,50.46114112,[ 11.93570137  11.04916382 -11.42236042],[11.17851639 10.6268816  -9.02161217],[11.84465027 12.92174339 -7.50427008]
,,,,,,
12:25.4,367687,107.8533182,95.33721602,[ 11.93230534  11.03123093 -11.42939091],[11.17865086 10.62483406 -9.01965714],[11.84771156 12.9208107  -7.50157213]
,,,,,,
12:25.4,371687,107.9493126,23.9985963,[ 11.93534565  11.01716328 -11.42677879],[11.18321514 10.61613083 -9.01908493],[11.84957027 12.92074108 -7.49851418]
,,,,,,
12:25.4,375686,107.9229112,6.601996478,[ 11.92691326  11.01424885 -11.42930698],[11.18398476 10.60939884 -9.02069855],[11.84907246 12.92029953 -7.49891853]
,,,,,,
12:25.4,379688,108.218377,73.82952984,[ 11.92477798  10.99137115 -11.43956375],[11.18960953 10.59780407 -9.0207653 ],[11.85074806 12.9186573  -7.49867344]
,,,,,,
12:25.4,383688,108.5315098,78.28318766,[ 11.92469788  10.97089672 -11.44646358],[11.18896389 10.59248352 -9.02095509],[11.8500824  12.91929054 -7.49742556]
,,,,,,
12:25.4,387688,108.8592683,81.93962949,[ 11.91588306  10.95767212 -11.45179462],[11.19069862 10.58981037 -9.01958847],[11.84876537 12.92059326 -7.49556446]
,,,,,,
12:25.4,392688,108.9424404,16.63442322,[ 11.92356873  10.93688011 -11.45234871],[11.19491482 10.57580853 -9.02296257],[11.84854221 12.92174721 -7.49388838]
,,,,,,
12:25.4,396688,109.3598205,104.3450239,[ 11.92287636  10.9143343  -11.45837212],[11.19599724 10.57194233 -9.02089882],[11.85062122 12.92164993 -7.49053288]
,,,,,,
12:25.4,400687,109.5942871,58.63131316,[ 11.90710926  10.90182018 -11.46961975],[11.1930027  10.56579304 -9.02428436],[11.85111427 12.92041874 -7.49170732]
,,,,,,
12:25.4,404689,109.8986818,76.0606315,[ 11.90594959  10.88075829 -11.47550869],[11.19462967 10.55812836 -9.02530289],[11.84975052 12.9220686  -7.49006653]
,,,,,,
12:25.4,408687,110.0936159,48.75790816,[ 11.90286064  10.86273766 -11.48057556],[11.19696522 10.54875469 -9.02573109],[11.85106754 12.92032051 -7.48973608]
,,,,,,
12:25.4,413690,110.5101994,83.26675262,[ 11.89813709  10.83811283 -11.48918152],[11.19810581 10.54393005 -9.02256966],[11.85116005 12.91994476 -7.49004459]
,,,,,,
12:25.4,417688,110.5413705,7.796672789,[ 11.88877296  10.82747746 -11.49190807],[11.19925499 10.53255653 -9.0253973 ],[11.85120487 12.91924095 -7.48984051]
,,,,,,
12:25.4,421688,110.9299315,97.14023997,[ 11.88159466  10.80503273 -11.5036869 ],[11.19811916 10.52564526 -9.02731609],[11.85157871 12.91848087 -7.48898172]
,,,,,,
12:25.4,425688,111.259221,82.32237275,[ 11.87702465  10.78453636 -11.51037788],[11.19696999 10.52070141 -9.02645493],[11.85253143 12.91915321 -7.48709917]
,,,,,,
