Timestamp,Milliseconds,Angle,Angular Velocity,Sensor 1,Sensor 2,Sensor 3
,,,,,,
25:46.0,43790,120.3945191,2749.361022,[ 12.41211319  11.86934185 -10.99328136],[12.24329281 12.3490572  -8.44287491],[13.28567314 15.05622959 -7.268466  ]
,,,,,,
25:46.0,47790,120.0532412,85.31948209,[ 12.42209244  11.89470959 -10.99567509],[12.24953175 12.35836411 -8.44035912],[13.28738213 15.05335236 -7.26969719]
,,,,,,
25:46.1,51789,119.6963887,89.23544817,[ 12.44006443  11.91721821 -10.99235058],[12.25509739 12.3640604  -8.43849564],[13.28096199 15.05694962 -7.26690674]
,,,,,,
25:46.1,55790,119.2738528,105.6075669,[ 12.45464611  11.94060516 -10.98854733],[12.25848007 12.36871529 -8.44107819],[13.28247738 15.05153942 -7.27116299]
,,,,,,
25:46.1,59789,118.8306581,110.8263857,[ 12.46317387  11.96844101 -10.98925877],[12.26545048 12.37389469 -8.4419651 ],[13.282794   15.04740143 -7.27571154]
,,,,,,
25:46.1,64789,118.5029008,65.55145468,[ 12.48145199  11.99448681 -10.97992897],[12.26683617 12.37886143 -8.44833755],[13.28653049 15.04545879 -7.27097178]
,,,,,,
25:46.1,68789,118.2157751,71.78141562,[ 12.49069786  12.01543427 -10.98530483],[12.27075481 12.3858099  -8.44630146],[13.28514957 15.04488277 -7.26944256]
,,,,,,
25:46.1,72790,117.8659558,87.43298289,[ 12.50105858  12.04427052 -10.97564125],[12.27384377 12.39029121 -8.44817734],[13.28937531 15.04374504 -7.26190662]
,,,,,,
25:46.1,76788,117.558301,76.95216553,[ 12.52387905  12.06249142 -10.97277355],[12.27519798 12.40319443 -8.44230461],[13.28974533 15.04157162 -7.26085901]
,,,,,,
25:46.1,80790,117.1335962,106.1231475,[ 12.53295422  12.08987999 -10.96877289],[12.27967167 12.40828514 -8.44168472],[13.2860136  15.04189205 -7.26063061]
,,,,,,
25:46.1,84789,116.726834,101.7159584,[ 12.55268574  12.11676407 -10.95960236],[12.28279972 12.42024326 -8.43648911],[13.28415298 15.04203606 -7.25818205]
,,,,,,
25:46.1,89788,116.4298315,59.4124002,[ 12.57475185  12.1338377  -10.95423794],[12.28406239 12.42501163 -8.44159794],[13.28295898 15.04045868 -7.25820208]
,,,,,,
25:46.1,93790,115.9350846,123.6249052,[ 12.58619976  12.16660118 -10.94404888],[12.2856636  12.42409706 -8.45372581],[13.28400517 15.03828907 -7.25550556]
,,,,,,
