EMG_Pod01,EMG_Pod02,EMG_Pod03,EMG_Pod04,EMG_Pod05,EMG_Pod06,EMG_Pod07,EMG_Pod08,Timestamp
-8, -21, -11, -3, -2, -1, 0, -2, 2021-08-18 13:01:35.583349
-9, -47, -12, -7, -3, -3, -4, -2, 2021-08-18 13:01:35.584346
2, 25, -3, -7, -4, -5, -4, -1, 2021-08-18 13:01:35.584346
-3, 20, 22, 7, 4, 4, 5, 2, 2021-08-18 13:01:35.584346
7, 4, 0, 0, -1, -2, -3, 1, 2021-08-18 13:01:35.588347
-8, 7, -17, -4, -2, -1, -2, -2, 2021-08-18 13:01:35.588347
0, -12, 5, 1, -4, -3, -3, -5, 2021-08-18 13:01:35.590348
6, -2, -8, -7, -4, -3, -1, -2, 2021-08-18 13:01:35.591348
-22, -45, -12, -5, -2, 0, 0, 1, 2021-08-18 13:01:35.595349
6, 24, 7, 0, 1, 0, 0, 0, 2021-08-18 13:01:35.596347
2, -7, -7, -3, 1, 2, 0, 0, 2021-08-18 13:01:35.604346
1, 23, 2, 1, -1, -1, -1, -1, 2021-08-18 13:01:35.604346
8, 8, 1, -2, -3, -1, -1, 0, 2021-08-18 13:01:35.619346
0, -3, 2, 4, 1, 1, 0, 2, 2021-08-18 13:01:35.619346
-5, 6, -3, -7, -6, -5, -4, -4, 2021-08-18 13:01:35.624346
4, -4, 10, 11, 5, 4, 1, 2, 2021-08-18 13:01:35.624346
-3, -17, -11, -6, -4, -4, -3, -3, 2021-08-18 13:01:35.643348
-9, -12, -5, -9, -5, -5, -4, -3, 2021-08-18 13:01:35.643348
-1, 3, -1, -2, 0, 1, 0, 1, 2021-08-18 13:01:35.658346
-2, -7, -10, -6, -4, -2, -5, -3, 2021-08-18 13:01:35.658346
2, 14, 5, 2, 3, 1, 1, 0, 2021-08-18 13:01:35.660347
4, 10, 6, 3, 1, 1, 3, 1, 2021-08-18 13:01:35.660347
-3, -13, -2, 2, 0, 0, -1, 1, 2021-08-18 13:01:35.678346
-6, -9, -9, -6, -4, -2, -1, -3, 2021-08-18 13:01:35.678346
0, 1, 4, 3, 2, -1, 1, 0, 2021-08-18 13:01:35.710347
0, -1, -1, -3, -1, 0, -1, -2, 2021-08-18 13:01:35.710347
-3, -2, -5, -9, -7, -7, -5, -3, 2021-08-18 13:01:35.717347
3, 3, 5, 12, 9, 4, 4, 5, 2021-08-18 13:01:35.717347
-1, -5, -11, -9, -6, -4, -3, -1, 2021-08-18 13:01:35.718347
0, -1, 1, 0, -1, -2, 1, 2, 2021-08-18 13:01:35.718347
0, -2, 2, 0, -1, -1, 2, 1, 2021-08-18 13:01:35.718347
-2, -1, -2, -4, -3, -2, -3, -2, 2021-08-18 13:01:35.718347
3, 9, -3, -5, -2, -4, -1, -2, 2021-08-18 13:01:35.721346
1, -17, 0, 4, 4, 1, 1, 0, 2021-08-18 13:01:35.722348
-10, 8, -6, -4, -1, 0, -3, -2, 2021-08-18 13:01:35.730346
5, 2, 4, 6, 3, 0, -1, 0, 2021-08-18 13:01:35.731347
4, -12, -3, 1, 1, 5, 1, 2, 2021-08-18 13:01:35.744346
-11, -1, -4, -3, -4, -3, -3, -4, 2021-08-18 13:01:35.744346
5, 2, -1, -5, -3, -4, -2, -3, 2021-08-18 13:01:35.753346
-4, 1, -7, -9, -3, -2, -2, -3, 2021-08-18 13:01:35.753346
5, 13, 16, 11, 6, 2, 0, 2, 2021-08-18 13:01:35.759347
1, 0, -2, -3, -5, -2, -4, -1, 2021-08-18 13:01:35.759347
2, -2, 4, 9, 6, 6, 4, 2, 2021-08-18 13:01:35.782347
-2, 2, 1, -3, -4, -5, -3, -4, 2021-08-18 13:01:35.782347
-5, -6, -6, -4, -2, -4, -1, -3, 2021-08-18 13:01:35.783346
0, -2, -8, -3, -3, -1, 0, -2, 2021-08-18 13:01:35.783346
-1, 0, 1, -1, -2, -2, -2, 0, 2021-08-18 13:01:35.804347
0, -1, -11, -9, -5, -3, -3, -4, 2021-08-18 13:01:35.805346
-6, -3, 13, 9, 5, 3, 3, 3, 2021-08-18 13:01:35.812346
1, -24, -9, -2, -1, -4, -3, -2, 2021-08-18 13:01:35.813347
2, 11, 1, -1, 0, -3, 0, -2, 2021-08-18 13:01:35.828346
-8, -8, 0, -3, -3, -3, 0, 0, 2021-08-18 13:01:35.828346
0, 15, -5, -5, -6, -3, -4, -2, 2021-08-18 13:01:35.829347
2, 6, 5, 3, 1, 3, 2, 2, 2021-08-18 13:01:35.829347
4, -4, 1, 3, 0, 1, 2, 0, 2021-08-18 13:01:35.842347
-2, -1, 0, -1, 0, -1, -2, -2, 2021-08-18 13:01:35.842347
-6, -14, -8, -4, -3, -1, -1, -2, 2021-08-18 13:01:35.843347
2, 13, 0, -4, -2, -3, -1, 0, 2021-08-18 13:01:35.843347
-2, -6, -3, -1, 2, 1, 0, -1, 2021-08-18 13:01:35.865346
-2, 5, 1, 1, 0, 0, 0, 0, 2021-08-18 13:01:35.865346
0, -1, -1, -1, -2, -2, -3, -4, 2021-08-18 13:01:35.865346
0, -1, -4, -5, -3, 0, -3, -1, 2021-08-18 13:01:35.866347
-2, 0, 9, 6, 0, 1, 1, -1, 2021-08-18 13:01:35.879347
2, -1, 5, 4, 4, 1, 2, 2, 2021-08-18 13:01:35.879347
1, -5, -6, -4, -4, -3, -3, -2, 2021-08-18 13:01:35.887346
1, 5, 1, 1, 2, 1, 1, 1, 2021-08-18 13:01:35.888347
-3, 1, 2, -4, -1, 2, -3, 0, 2021-08-18 13:01:35.902346
2, -5, 2, 2, 1, 2, -1, 0, 2021-08-18 13:01:35.902346
-1, 6, -6, -1, -1, -1, 1, 0, 2021-08-18 13:01:35.910349
-7, -9, -4, -5, -3, -3, -1, -4, 2021-08-18 13:01:35.910349
10, -12, -8, -2, -1, -1, 0, 0, 2021-08-18 13:01:35.925347
-5, 5, -2, -3, -2, -3, -2, -3, 2021-08-18 13:01:35.925347
-10, -3, -1, -2, -2, -1, 0, -1, 2021-08-18 13:01:35.925347
2, 6, 5, 2, 1, -2, 0, -1, 2021-08-18 13:01:35.926347
-5, -15, -9, -7, -3, -2, -3, -2, 2021-08-18 13:01:35.939348
6, -3, -4, 1, 2, 1, 0, 1, 2021-08-18 13:01:35.939348
9, 11, 10, 7, 5, 2, -1, 1, 2021-08-18 13:01:35.947346
-5, 4, 3, 2, -1, 0, 0, 0, 2021-08-18 13:01:35.948347
-9, -2, 0, 0, -2, -2, -2, -3, 2021-08-18 13:01:35.962346
1, 0, -6, -6, -4, -3, -3, -2, 2021-08-18 13:01:35.962346
-3, -4, -4, -5, -2, -2, -2, -2, 2021-08-18 13:01:35.963346
5, -1, -2, 0, 1, 3, 2, 2, 2021-08-18 13:01:35.963346
3, 9, 15, 10, 5, 3, 3, 1, 2021-08-18 13:01:35.985346
-5, -6, -8, -3, -4, -2, 0, 0, 2021-08-18 13:01:35.985346
0, 0, 6, 2, 3, 3, 5, 2, 2021-08-18 13:01:35.985346
1, 0, -4, -2, -3, -3, -2, -1, 2021-08-18 13:01:35.986347
-4, -4, -8, -5, -3, -5, -2, -2, 2021-08-18 13:01:35.999345
-3, -5, -4, -3, -2, -3, -4, -3, 2021-08-18 13:01:35.999345
1, -3, 2, 1, -1, 3, 0, -1, 2021-08-18 13:01:36.015348
-2, -1, -5, -3, -4, -4, -2, -1, 2021-08-18 13:01:36.015348
-1, 1, -2, -4, -1, 1, 2, 0, 2021-08-18 13:01:36.022348
1, -4, 5, 0, -3, 0, 2, 1, 2021-08-18 13:01:36.022348
-2, -2, -5, 0, -2, -4, -3, 1, 2021-08-18 13:01:36.023346
-4, 1, 2, 0, 0, -1, -4, -3, 2021-08-18 13:01:36.023346
1, 0, -9, -6, -5, -4, -2, -2, 2021-08-18 13:01:36.045347
1, 0, 0, -2, 0, 1, -2, 0, 2021-08-18 13:01:36.045347
