EMG 1,EMG 2,EMG 3,EMG 4,EMG 5,EMG 6,EMG 7,EMG 8,Timestamp,Milliseconds
-3,-1,2,1,4,1,-2,-3,2021-08-07 11:38:45,837066
3,4,6,14,13,6,4,3,2021-08-07 11:38:45,837066
2,2,1,4,3,3,2,1,2021-08-07 11:38:45,837066
-2,-1,-1,-2,-2,-2,-1,-2,2021-08-07 11:38:45,837066
-3,-3,-3,-2,0,-1,-1,0,2021-08-07 11:38:45,837066
-2,-1,0,-2,-4,-3,-3,-1,2021-08-07 11:38:45,837066
1,2,3,7,4,0,-1,2,2021-08-07 11:38:45,837066
0,0,-1,5,4,2,1,2,2021-08-07 11:38:45,837066
-1,-1,-3,-6,-4,-1,-1,-1,2021-08-07 11:38:45,837066
0,-1,3,9,6,2,1,-2,2021-08-07 11:38:45,838065
-2,-2,-3,-5,-4,-2,0,1,2021-08-07 11:38:45,838065
-3,-4,-4,-7,-8,-6,-3,-1,2021-08-07 11:38:45,838065
-1,-1,-2,-5,-5,-4,-2,-1,2021-08-07 11:38:45,853064
-1,0,-3,-2,0,-1,-3,-1,2021-08-07 11:38:45,853064
0,-2,-1,-4,-2,-1,-2,-4,2021-08-07 11:38:45,868065
1,-1,1,-1,-1,-1,-1,-3,2021-08-07 11:38:45,884068
-3,-4,-3,-4,-4,-3,-1,-2,2021-08-07 11:38:45,884068
-3,-3,-5,-7,-8,-4,-1,-1,2021-08-07 11:38:45,884068
6,7,4,-2,1,2,3,3,2021-08-07 11:38:45,884068
-2,-2,0,-2,-5,-3,-3,-3,2021-08-07 11:38:45,884068
3,0,0,9,12,5,2,1,2021-08-07 11:38:45,900066
1,2,3,7,7,4,2,0,2021-08-07 11:38:45,900066
-7,-6,-6,-4,-10,-5,-5,-4,2021-08-07 11:38:45,900066
-2,-2,-4,-2,0,-2,-1,-3,2021-08-07 11:38:45,900066
-1,1,0,2,7,4,0,-2,2021-08-07 11:38:45,947063
0,0,0,-2,-1,-2,0,1,2021-08-07 11:38:45,947063
-3,-2,-3,-7,-9,-3,-1,-2,2021-08-07 11:38:45,947063
1,1,3,14,14,5,1,2,2021-08-07 11:38:45,947063
0,-1,-1,-4,-3,-2,-1,0,2021-08-07 11:38:45,947063
-3,-3,-4,-3,-3,-4,-2,-2,2021-08-07 11:38:45,947063
-1,-1,0,0,-3,-2,-4,0,2021-08-07 11:38:45,947063
-1,-2,-3,-13,-12,-5,0,-1,2021-08-07 11:38:45,947063
1,0,2,1,3,1,0,1,2021-08-07 11:38:45,963066
-1,-4,-2,6,2,1,0,-2,2021-08-07 11:38:45,963066
-1,0,-1,1,5,1,1,0,2021-08-07 11:38:45,963066
-2,-3,-2,-3,-4,-3,-3,-3,2021-08-07 11:38:45,963066
0,-1,0,5,4,1,0,0,2021-08-07 11:38:45,979065
1,2,3,-2,-2,0,-1,0,2021-08-07 11:38:45,979065
-2,-1,-4,-1,-4,-3,-2,-2,2021-08-07 11:38:45,979065
-2,-4,-5,-3,-8,-3,-4,-3,2021-08-07 11:38:45,979065
2,4,4,14,22,10,3,3,2021-08-07 11:38:45,995065
-1,-2,0,-3,-4,-3,-2,-1,2021-08-07 11:38:45,995065
-1,-5,-1,-2,-2,0,-2,-3,2021-08-07 11:38:46,027067
-1,0,-4,-7,-6,-3,-1,0,2021-08-07 11:38:46,027067
-4,-4,-3,-11,-17,-8,-4,-3,2021-08-07 11:38:46,027067
1,2,2,6,8,4,1,2,2021-08-07 11:38:46,027067
1,1,1,-2,-3,0,-2,1,2021-08-07 11:38:46,041065
0,0,-1,-1,1,-2,-1,-1,2021-08-07 11:38:46,041065
1,0,-1,1,2,0,1,1,2021-08-07 11:38:46,041065
-2,-2,-1,4,7,2,-1,0,2021-08-07 11:38:46,041065
-4,-3,-7,-13,-10,-5,-3,-4,2021-08-07 11:38:46,059064
0,-1,2,5,1,-1,0,-1,2021-08-07 11:38:46,059064
-1,-3,-1,-2,-5,-2,-2,-2,2021-08-07 11:38:46,059064
1,2,1,-3,-4,-1,1,0,2021-08-07 11:38:46,059064
-3,-3,0,8,10,0,-2,-2,2021-08-07 11:38:46,090065
-3,-5,-2,1,-2,-1,-2,0,2021-08-07 11:38:46,090065
-2,-2,-1,-4,-8,-4,-2,-1,2021-08-07 11:38:46,090065
-1,-1,-4,-1,-3,0,-3,0,2021-08-07 11:38:46,090065
2,4,3,3,1,2,1,1,2021-08-07 11:38:46,106065
-1,2,1,1,2,1,-1,-1,2021-08-07 11:38:46,106065
-2,-4,-3,-7,-8,-4,-2,0,2021-08-07 11:38:46,106065
-2,-2,-3,0,-2,-2,-2,-1,2021-08-07 11:38:46,106065
-3,-2,-4,-4,-3,-3,-3,-1,2021-08-07 11:38:46,106065
-2,-1,-3,-6,-1,-1,0,0,2021-08-07 11:38:46,106065
0,1,1,4,1,0,0,0,2021-08-07 11:38:46,122065
-3,-2,-3,-7,-7,-3,1,0,2021-08-07 11:38:46,138065
-1,-1,-2,0,9,4,0,-1,2021-08-07 11:38:46,138065
3,7,9,11,7,1,-1,0,2021-08-07 11:38:46,138065
-1,-1,-2,2,2,-2,-1,0,2021-08-07 11:38:46,138065
0,1,0,-2,-7,-2,-1,2,2021-08-07 11:38:46,138065
-5,-6,-7,-15,-20,-14,-8,-7,2021-08-07 11:38:46,170065
-3,-2,-2,-5,-2,-3,-4,-3,2021-08-07 11:38:46,170065
3,3,3,9,10,6,2,2,2021-08-07 11:38:46,170065
3,2,3,5,16,7,2,0,2021-08-07 11:38:46,170065
0,-3,-1,1,-1,2,2,1,2021-08-07 11:38:46,186066
0,-3,-6,-12,-12,-1,-1,0,2021-08-07 11:38:46,186066
-1,-3,-3,-2,-9,-3,-1,0,2021-08-07 11:38:46,186066
-3,-3,-3,-9,-3,-2,-2,-2,2021-08-07 11:38:46,186066
-1,2,7,15,11,4,0,-1,2021-08-07 11:38:46,202065
-2,-2,1,1,-1,-1,-2,-3,2021-08-07 11:38:46,202065
-2,-2,-2,-8,-5,-3,-4,-4,2021-08-07 11:38:46,202065
1,0,3,2,-4,-3,-5,0,2021-08-07 11:38:46,202065
3,2,-2,-7,-5,-2,0,2,2021-08-07 11:38:46,218064
0,1,-1,2,0,-1,0,1,2021-08-07 11:38:46,218064
1,0,3,15,15,5,3,1,2021-08-07 11:38:46,218064
-3,-4,-5,-6,-6,-4,-1,-3,2021-08-07 11:38:46,218064
-2,1,2,2,2,-1,0,-1,2021-08-07 11:38:46,250065
-1,-2,-2,-5,-3,-1,1,0,2021-08-07 11:38:46,266066
-4,-4,-6,-18,-18,-9,-4,-1,2021-08-07 11:38:46,282065
1,1,4,10,10,3,1,0,2021-08-07 11:38:46,282065
1,-1,1,6,9,6,2,2,2021-08-07 11:38:46,298066
-1,-1,-3,2,7,2,1,0,2021-08-07 11:38:46,298066
-1,-2,-3,-7,-6,-4,-2,-3,2021-08-07 11:38:46,298066
1,-1,-2,-3,-6,-3,-1,0,2021-08-07 11:38:46,298066
-1,-2,-4,-6,-6,-3,-2,-1,2021-08-07 11:38:46,298066
1,1,3,9,5,2,-1,2,2021-08-07 11:38:46,298066
0,0,-1,-4,-5,-2,-2,-1,2021-08-07 11:38:46,299065
-4,-4,-6,-7,1,0,-2,-2,2021-08-07 11:38:46,299065
3,4,4,7,1,0,1,1,2021-08-07 11:38:46,299065
1,0,-1,0,-1,-1,-1,-1,2021-08-07 11:38:46,299065
-2,0,-2,-1,-2,0,-1,-2,2021-08-07 11:38:46,314066
-3,0,-2,-5,-7,-4,-1,-3,2021-08-07 11:38:46,329067
-3,-2,-3,-4,-8,-4,-2,-2,2021-08-07 11:38:46,329067
