EMG 1,EMG 2,EMG 3,EMG 4,EMG 5,EMG 6,EMG 7,EMG 8,Timestamp,Milliseconds
3,2,3,0,-8,-6,-1,2,2021-08-07 13:02:17,524601
-3,-3,-5,-5,-10,-7,-4,-2,2021-08-07 13:02:17,524601
0,1,2,8,19,11,4,1,2021-08-07 13:02:17,524601
-2,-1,-2,-6,-16,-10,-5,-5,2021-08-07 13:02:17,524601
2,1,3,7,18,12,5,3,2021-08-07 13:02:17,524601
1,0,-3,-9,-9,-5,0,-2,2021-08-07 13:02:17,524601
-4,-5,-4,-11,-9,-7,-5,-4,2021-08-07 13:02:17,524601
-1,-2,-3,-2,-6,-3,-1,-1,2021-08-07 13:02:17,524601
-1,0,1,3,-3,-2,-1,-2,2021-08-07 13:02:17,525606
-3,-2,1,-2,-14,-12,-8,-2,2021-08-07 13:02:17,525606
-2,0,0,7,16,14,6,1,2021-08-07 13:02:17,556604
0,-1,0,-2,18,9,2,2,2021-08-07 13:02:17,556604
0,1,-1,3,2,1,2,0,2021-08-07 13:02:17,556604
-3,-1,-2,-2,-6,-7,-5,-2,2021-08-07 13:02:17,556604
-2,-4,-2,1,-12,-7,-1,-2,2021-08-07 13:02:17,556604
-2,0,-1,0,-5,-5,-4,-3,2021-08-07 13:02:17,556604
6,6,6,13,23,16,9,5,2021-08-07 13:02:17,556604
4,3,5,3,25,20,9,4,2021-08-07 13:02:17,556604
-4,-4,-4,-18,-34,-25,-13,-6,2021-08-07 13:02:17,587601
-6,-6,-10,-10,-13,-11,-5,-5,2021-08-07 13:02:17,587601
2,1,3,15,28,16,5,1,2021-08-07 13:02:17,587601
1,0,0,0,-8,-5,-1,0,2021-08-07 13:02:17,587601
-2,-2,0,-9,-23,-15,-9,-2,2021-08-07 13:02:17,617603
6,5,10,34,58,38,16,9,2021-08-07 13:02:17,617603
-2,0,-1,-9,-15,-8,-4,-1,2021-08-07 13:02:17,617603
0,0,-1,5,8,6,1,0,2021-08-07 13:02:17,617603
1,3,2,-1,12,9,4,0,2021-08-07 13:02:17,665601
2,0,-1,0,-3,-1,3,0,2021-08-07 13:02:17,665601
0,0,1,-6,6,5,2,1,2021-08-07 13:02:17,665601
-3,-4,-3,-1,-3,-5,-4,-4,2021-08-07 13:02:17,665601
0,2,-1,3,-3,-2,-1,-2,2021-08-07 13:02:17,665601
2,5,5,6,7,3,3,1,2021-08-07 13:02:17,665601
1,1,0,5,3,2,1,0,2021-08-07 13:02:17,665601
-5,-8,-9,-12,-11,-9,-5,-6,2021-08-07 13:02:17,665601
2,3,5,0,-4,-3,-1,1,2021-08-07 13:02:17,666603
4,4,3,8,9,9,3,2,2021-08-07 13:02:17,666603
-2,-1,-1,-5,-17,-13,-4,-3,2021-08-07 13:02:17,666603
0,-3,0,12,35,23,8,1,2021-08-07 13:02:17,666603
-7,-8,-9,-10,-19,-10,-7,-5,2021-08-07 13:02:17,666603
1,3,4,2,5,2,1,3,2021-08-07 13:02:17,666603
-2,0,-1,-8,-10,-7,-2,-1,2021-08-07 13:02:17,680601
-2,0,-2,1,-15,-10,-5,-3,2021-08-07 13:02:17,696601
-6,-6,-8,-14,-10,-7,-5,-4,2021-08-07 13:02:17,696601
3,4,6,16,20,15,7,5,2021-08-07 13:02:17,696601
-4,-3,-5,-7,-13,-11,-7,-4,2021-08-07 13:02:17,712601
2,3,4,4,1,-2,0,0,2021-08-07 13:02:17,728604
4,1,2,2,5,3,3,2,2021-08-07 13:02:17,744601
-3,-2,-1,-10,-17,-13,-5,-2,2021-08-07 13:02:17,760602
-2,-6,-10,-7,-4,-2,-2,-1,2021-08-07 13:02:17,760602
0,2,1,6,16,10,3,3,2021-08-07 13:02:17,760602
