EMG 1,EMG 2,EMG 3,EMG 4,EMG 5,EMG 6,EMG 7,EMG 8,Timestamp,Milliseconds
-1,-1,3,8,6,0,0,-1,2021-08-07 10:30:28,301959
0,0,-1,3,3,1,-1,1,2021-08-07 10:30:28,317959
-2,-3,-3,-6,-8,-5,-3,-1,2021-08-07 10:30:28,317959
-1,-1,-2,-4,-6,-4,0,1,2021-08-07 10:30:28,317959
-3,-4,-2,0,-2,-1,-2,-2,2021-08-07 10:30:28,317959
1,1,1,-2,1,0,-2,-1,2021-08-07 10:30:28,317959
-1,0,1,-1,-2,-1,-1,-1,2021-08-07 10:30:28,317959
-1,-1,0,1,-1,-3,-2,0,2021-08-07 10:30:28,317959
-1,-3,-2,-5,-3,-1,-2,-1,2021-08-07 10:30:28,317959
-2,-2,0,7,3,0,0,-1,2021-08-07 10:30:28,317959
-1,2,-1,1,-3,0,-1,0,2021-08-07 10:30:28,317959
0,0,-2,-7,-8,-3,-2,-1,2021-08-07 10:30:28,317959
1,1,-3,-1,7,4,3,0,2021-08-07 10:30:28,317959
1,1,4,5,9,3,3,0,2021-08-07 10:30:28,317959
1,0,-1,1,-1,-1,-1,-1,2021-08-07 10:30:28,333960
-2,0,-3,-2,-2,-1,-2,-3,2021-08-07 10:30:28,348959
-2,1,-1,-5,-7,-2,-2,1,2021-08-07 10:30:28,364959
-2,-4,-2,-3,-4,-3,-1,0,2021-08-07 10:30:28,364959
-1,-1,0,1,1,0,-2,0,2021-08-07 10:30:28,379959
-2,-4,-4,-7,-7,-3,-2,-2,2021-08-07 10:30:28,379959
3,4,0,-7,0,2,2,1,2021-08-07 10:30:28,379959
0,3,2,10,3,-1,-1,-1,2021-08-07 10:30:28,379959
-1,-2,1,5,11,3,0,-2,2021-08-07 10:30:28,379959
-3,-2,-1,3,0,0,-1,-1,2021-08-07 10:30:28,379959
-2,1,1,-2,-7,-5,-3,-1,2021-08-07 10:30:28,379959
-3,-4,-6,-11,-10,-5,-2,-2,2021-08-07 10:30:28,379959
