EMG 1,EMG 2,EMG 3,EMG 4,EMG 5,EMG 6,EMG 7,EMG 8,Timestamp
-6,-6,-4,-4,-3,-3,-3,-4,2021-08-07 12:34:46.938801
-4,-4,-4,-3,-4,-4,-4,-4,2021-08-07 12:34:46.938801
-4,-3,-2,-3,-2,-3,-3,-1,2021-08-07 12:34:46.938801
0,-1,-1,-1,-1,-1,-1,-1,2021-08-07 12:34:46.938801
2,2,2,2,2,1,1,3,2021-08-07 12:34:46.939803
-1,-1,1,-1,-1,0,-1,-1,2021-08-07 12:34:46.939803
-1,-2,-3,-2,-2,-1,-2,-1,2021-08-07 12:34:46.943801
0,0,-2,-1,0,-1,-1,-1,2021-08-07 12:34:46.943801
1,2,0,1,1,0,1,-1,2021-08-07 12:34:46.947800
-1,-2,-1,-1,-3,-3,-1,0,2021-08-07 12:34:46.947800
-1,0,0,-1,-3,-3,-1,-2,2021-08-07 12:34:46.949801
-1,0,-2,1,1,3,3,1,2021-08-07 12:34:46.949801
0,-1,0,1,2,1,1,0,2021-08-07 12:34:46.961800
0,0,-1,-1,0,-2,-2,0,2021-08-07 12:34:46.961800
-2,-2,-1,-2,-2,-4,-4,-1,2021-08-07 12:34:46.973316
1,0,0,-1,-1,0,0,0,2021-08-07 12:34:46.974316
-1,0,-1,0,-1,0,-1,-1,2021-08-07 12:34:46.988316
2,-1,0,1,0,2,1,0,2021-08-07 12:34:46.988316
0,1,-1,-2,0,0,1,-1,2021-08-07 12:34:46.995316
0,-1,-1,-3,-1,0,-2,-3,2021-08-07 12:34:46.995316
0,-2,1,0,-1,0,-2,0,2021-08-07 12:34:47.005315
-1,-3,-1,-3,-2,-3,-3,-3,2021-08-07 12:34:47.005315
0,-1,-1,0,-1,-2,-1,-2,2021-08-07 12:34:47.018316
-2,-1,-2,-1,0,-2,0,-1,2021-08-07 12:34:47.018316
-2,-1,-2,0,-1,-3,-1,-2,2021-08-07 12:34:47.058317
-2,-1,-1,-1,-1,-1,-2,-2,2021-08-07 12:34:47.058317
1,1,0,0,0,1,1,1,2021-08-07 12:34:47.059317
0,0,-2,0,-1,0,-2,1,2021-08-07 12:34:47.059317
-1,-2,-2,-2,-3,-1,-1,-1,2021-08-07 12:34:47.059317
-1,0,-2,-2,-2,-2,0,-1,2021-08-07 12:34:47.060316
0,-1,0,2,0,-2,-1,-2,2021-08-07 12:34:47.063327
1,0,0,-1,1,1,1,0,2021-08-07 12:34:47.063327
0,-1,-2,-2,-1,-2,-2,-2,2021-08-07 12:34:47.069317
-1,-1,-2,0,0,0,-1,-1,2021-08-07 12:34:47.069317
0,0,1,1,1,2,3,0,2021-08-07 12:34:47.079317
1,-1,-1,0,0,-1,0,-2,2021-08-07 12:34:47.079317
-1,-2,-2,-2,-2,0,-3,-1,2021-08-07 12:34:47.084316
-1,-1,-1,-1,-2,-2,0,0,2021-08-07 12:34:47.085318
-2,-1,-1,0,0,-2,-3,-1,2021-08-07 12:34:47.101317
-1,-2,1,0,-1,-3,-2,-2,2021-08-07 12:34:47.101317
1,1,1,0,1,3,2,1,2021-08-07 12:34:47.107316
-1,1,-1,-1,-2,-3,-2,0,2021-08-07 12:34:47.107316
3,0,0,-2,-1,1,2,1,2021-08-07 12:34:47.122316
0,0,-3,-4,-4,-4,-2,-1,2021-08-07 12:34:47.122316
0,0,-3,-1,1,1,1,2,2021-08-07 12:34:47.129316
-2,-4,-1,0,2,4,2,-1,2021-08-07 12:34:47.130319
-4,-4,-3,-1,0,1,-4,-3,2021-08-07 12:34:47.145316
-5,-3,-1,1,-1,-2,-3,-3,2021-08-07 12:34:47.145316
-5,-2,0,0,0,-4,-3,-4,2021-08-07 12:34:47.146318
0,2,1,0,0,-2,-2,-1,2021-08-07 12:34:47.146318
-1,1,0,-1,-1,-4,-1,0,2021-08-07 12:34:47.168317
-1,1,-1,-1,-2,0,-1,0,2021-08-07 12:34:47.168317
1,0,-1,-2,-3,-1,-1,0,2021-08-07 12:34:47.168317
2,-1,0,1,2,3,1,-1,2021-08-07 12:34:47.169317
0,1,0,-3,-2,-2,0,0,2021-08-07 12:34:47.190316
-3,0,-1,0,2,2,0,-1,2021-08-07 12:34:47.190316
0,1,-1,-2,-2,-3,0,1,2021-08-07 12:34:47.191316
5,2,1,0,-1,-3,-2,0,2021-08-07 12:34:47.191316
-1,-3,-2,-3,0,-1,-2,-2,2021-08-07 12:34:47.205316
1,0,-1,1,2,1,3,2,2021-08-07 12:34:47.205316
-3,-4,-2,0,0,-1,-3,-4,2021-08-07 12:34:47.206321
-2,-2,0,-1,-3,-1,1,1,2021-08-07 12:34:47.206321
1,0,-1,-1,0,1,-2,3,2021-08-07 12:34:47.228315
1,-1,-1,-1,-2,-1,-2,-2,2021-08-07 12:34:47.228315
0,-1,-1,0,0,-1,-1,-2,2021-08-07 12:34:47.228315
0,-1,-1,-1,-1,-1,0,-2,2021-08-07 12:34:47.229317
0,0,0,0,0,-1,1,-1,2021-08-07 12:34:47.250316
-1,-2,0,-2,0,0,-1,-1,2021-08-07 12:34:47.250316
-1,0,-1,-1,0,-1,0,0,2021-08-07 12:34:47.251320
-2,-2,-1,-1,0,-2,-1,0,2021-08-07 12:34:47.251320
-1,0,-1,-1,-2,-4,-1,-1,2021-08-07 12:34:47.265317
-1,-2,-1,-1,1,0,0,-1,2021-08-07 12:34:47.265317
1,0,1,0,-2,-1,0,1,2021-08-07 12:34:47.266317
-1,0,-2,-1,-2,0,1,0,2021-08-07 12:34:47.266317
0,-1,-1,1,-1,-1,0,0,2021-08-07 12:34:47.288318
-1,-1,-1,-2,-4,-3,0,-1,2021-08-07 12:34:47.288318
-2,-2,-2,-1,0,-2,-1,-2,2021-08-07 12:34:47.288318
-1,-2,-2,-1,-1,-1,-1,0,2021-08-07 12:34:47.289317
-1,0,0,1,0,1,2,0,2021-08-07 12:34:47.302316
0,-1,-1,-2,-1,-2,-1,-1,2021-08-07 12:34:47.302316
0,0,-1,0,0,2,1,-1,2021-08-07 12:34:47.309315
-2,-2,0,-1,-1,0,-2,-1,2021-08-07 12:34:47.310318
-1,1,-1,0,-2,-1,-2,-2,2021-08-07 12:34:47.333316
-1,-1,-1,-1,0,0,-1,0,2021-08-07 12:34:47.333316
0,-1,0,-2,-3,-2,-2,0,2021-08-07 12:34:47.340316
1,0,5,1,-1,-1,-1,-1,2021-08-07 12:34:47.340316
0,0,-4,-1,0,0,-1,0,2021-08-07 12:34:47.347316
-2,-3,-6,-1,1,-1,-1,-2,2021-08-07 12:34:47.348318
-2,-2,0,0,2,0,-2,-3,2021-08-07 12:34:47.348318
1,2,-1,-1,-5,-4,-1,1,2021-08-07 12:34:47.348318
0,-2,2,-1,-2,0,3,2,2021-08-07 12:34:47.370316
0,0,0,1,-1,-2,-2,-1,2021-08-07 12:34:47.370316
-1,-2,-5,0,0,-2,0,-1,2021-08-07 12:34:47.371317
-3,-3,-4,-1,2,0,-2,-1,2021-08-07 12:34:47.371317
1,-2,0,0,0,0,0,-2,2021-08-07 12:34:47.385316
0,0,0,0,-4,-1,0,-2,2021-08-07 12:34:47.385316
-1,-2,1,-1,-1,1,-1,-2,2021-08-07 12:34:47.386317
-1,-1,-2,0,0,0,0,-1,2021-08-07 12:34:47.386317
0,-2,-3,-1,-1,-1,-1,-1,2021-08-07 12:34:47.408316
0,-2,1,1,0,-1,1,-1,2021-08-07 12:34:47.408316
-2,0,-1,-1,-2,-2,0,0,2021-08-07 12:34:47.408316
-1,-1,-1,-1,1,0,-1,-1,2021-08-07 12:34:47.409317
-1,0,1,-1,-1,-1,-2,0,2021-08-07 12:34:47.430318
0,-1,0,-2,-1,-1,-2,0,2021-08-07 12:34:47.430318
0,0,-1,0,-1,0,-2,-1,2021-08-07 12:34:47.431317
0,-1,-1,-1,1,-1,-1,-2,2021-08-07 12:34:47.431317
-1,-1,-1,-1,1,1,-2,0,2021-08-07 12:34:47.447317
1,1,0,-1,0,-1,-2,-2,2021-08-07 12:34:47.447317
-1,-1,1,-1,-2,-2,1,-2,2021-08-07 12:34:47.447317
0,-1,-1,-1,0,0,-1,-2,2021-08-07 12:34:47.448317
-2,0,1,-2,-2,-1,-1,0,2021-08-07 12:34:47.468318
-1,0,0,0,-1,0,-2,1,2021-08-07 12:34:47.468318
1,-1,-1,-3,0,-1,1,0,2021-08-07 12:34:47.468318
-1,-2,-2,0,-2,0,0,-1,2021-08-07 12:34:47.469317
0,1,-1,2,-1,0,0,-2,2021-08-07 12:34:47.490316
0,-1,0,-3,0,-1,-2,1,2021-08-07 12:34:47.490316
0,-1,0,-1,0,0,0,-2,2021-08-07 12:34:47.491316
-1,0,-1,0,-1,-1,1,-1,2021-08-07 12:34:47.491316
0,-2,-1,-1,0,-1,-1,-1,2021-08-07 12:34:47.505315
0,-1,-2,-1,-1,-1,-1,0,2021-08-07 12:34:47.505315
-1,-2,0,-2,-1,-1,0,1,2021-08-07 12:34:47.506317
-1,-2,0,-1,-1,-1,0,1,2021-08-07 12:34:47.506317
0,0,0,0,-2,1,-3,0,2021-08-07 12:34:47.528316
-1,0,-1,-1,-2,1,0,-2,2021-08-07 12:34:47.528316
-1,-1,0,0,-1,-1,-3,-2,2021-08-07 12:34:47.528316
-1,-1,0,0,0,-1,0,0,2021-08-07 12:34:47.529319
-2,-1,0,-1,1,-1,1,0,2021-08-07 12:34:47.550316
-1,-1,-1,0,-1,0,-1,0,2021-08-07 12:34:47.550316
1,0,-1,-1,0,-1,-1,-1,2021-08-07 12:34:47.551322
0,-1,-1,-2,0,0,-2,0,2021-08-07 12:34:47.551322
-1,-1,0,1,0,-1,0,-1,2021-08-07 12:34:47.565316
-2,0,-1,-2,-1,-2,-1,-1,2021-08-07 12:34:47.565316
-2,0,-2,-1,-1,-2,-3,-1,2021-08-07 12:34:47.566317
0,-1,0,0,0,-1,0,0,2021-08-07 12:34:47.566317
0,-1,-1,-1,-1,-1,0,-1,2021-08-07 12:34:47.588316
0,-2,-1,0,0,-1,-1,1,2021-08-07 12:34:47.588316
1,-1,0,1,-1,-1,-2,-1,2021-08-07 12:34:47.588316
-1,-2,0,-1,-2,1,-1,0,2021-08-07 12:34:47.588316
-2,-1,0,0,-1,-1,-1,-2,2021-08-07 12:34:47.610316
-2,-1,-2,0,1,-1,0,-1,2021-08-07 12:34:47.610316
1,1,0,-1,-2,-1,-1,1,2021-08-07 12:34:47.611316
0,1,-1,-1,0,-1,-1,-1,2021-08-07 12:34:47.611316
-1,-2,-2,-1,0,-1,-1,-1,2021-08-07 12:34:47.625317
0,-2,0,-2,-2,-1,-1,-1,2021-08-07 12:34:47.625317
-1,0,0,0,0,-2,1,0,2021-08-07 12:34:47.626316
2,0,-1,1,-1,-2,-2,-2,2021-08-07 12:34:47.626316
0,0,-1,-1,-1,0,0,-1,2021-08-07 12:34:47.656316
-1,-1,-1,-2,-1,0,-1,0,2021-08-07 12:34:47.656316
-1,-1,-1,-1,-1,-1,-1,-1,2021-08-07 12:34:47.657317
0,0,-1,-1,0,0,0,-1,2021-08-07 12:34:47.657317
0,-2,-1,0,1,-2,-3,-1,2021-08-07 12:34:47.670316
0,-1,-1,0,0,0,-1,-1,2021-08-07 12:34:47.670316
-1,1,0,-2,-1,0,-1,1,2021-08-07 12:34:47.671316
-1,0,0,-1,0,0,-1,-2,2021-08-07 12:34:47.671316
-2,-1,0,0,1,0,0,0,2021-08-07 12:34:47.685316
-1,0,0,0,-3,0,1,0,2021-08-07 12:34:47.685316
0,-1,-1,0,0,0,0,-1,2021-08-07 12:34:47.686317
0,0,-1,0,-1,-1,-2,-1,2021-08-07 12:34:47.686317
0,-1,-2,-2,-1,-1,0,-2,2021-08-07 12:34:47.708316
-1,0,-1,-1,-1,0,-2,-1,2021-08-07 12:34:47.708316
-2,-1,-2,-2,1,-2,-2,-1,2021-08-07 12:34:47.709318
0,0,0,2,0,-2,0,-1,2021-08-07 12:34:47.709318
0,-1,-1,-1,-1,-1,-1,0,2021-08-07 12:34:47.730317
-1,-1,1,-1,-2,0,-1,-3,2021-08-07 12:34:47.730317
1,-1,0,-1,0,0,-3,-1,2021-08-07 12:34:47.731317
-1,0,-1,-2,0,-2,0,-1,2021-08-07 12:34:47.731317
