EMG 1,EMG 2,EMG 3,EMG 4,EMG 5,EMG 6,EMG 7,EMG 8,Timestamp,Milliseconds
0,-1,-2,-1,-3,-2,1,0,2021-08-07 12:45:09,775290
1,1,2,2,2,1,1,0,2021-08-07 12:45:09,775290
0,-2,-2,-3,-3,-3,-1,-3,2021-08-07 12:45:09,775290
-4,-6,-6,-8,-11,-7,-6,-3,2021-08-07 12:45:09,775290
0,1,1,4,3,2,0,-2,2021-08-07 12:45:09,775290
2,0,1,2,6,5,3,1,2021-08-07 12:45:09,775290
1,2,3,2,-1,0,1,1,2021-08-07 12:45:09,807291
-2,1,2,1,0,0,0,-1,2021-08-07 12:45:09,807291
0,-1,2,2,7,5,1,-1,2021-08-07 12:45:09,807291
-1,-2,-2,-1,-1,-1,0,0,2021-08-07 12:45:09,807291
2,0,-1,2,3,2,1,0,2021-08-07 12:45:09,807291
-3,-1,-2,0,-2,-4,-2,-3,2021-08-07 12:45:09,807291
-1,1,-1,-3,-4,-1,-1,1,2021-08-07 12:45:09,807291
-3,-3,-4,-2,0,-1,-3,-2,2021-08-07 12:45:09,807291
-4,-4,-3,-9,-9,-5,-3,-3,2021-08-07 12:45:09,823289
5,7,7,6,7,6,4,3,2021-08-07 12:45:09,839290
2,4,5,8,12,6,5,1,2021-08-07 12:45:09,871289
-1,-1,-2,-1,-4,-4,-3,0,2021-08-07 12:45:09,886288
-2,-4,-5,-1,-3,-4,-3,-2,2021-08-07 12:45:09,902290
-4,-6,-5,-4,-5,-6,-4,-5,2021-08-07 12:45:09,918289
0,-1,-4,-7,-8,-3,-3,0,2021-08-07 12:45:09,918289
0,-1,-1,-1,0,-1,-2,-1,2021-08-07 12:45:09,918289
0,-2,0,-2,-1,0,-1,-1,2021-08-07 12:45:09,918289
-1,-1,-1,-2,1,0,-1,0,2021-08-07 12:45:09,918289
-2,-4,-4,-6,-7,-5,-3,-2,2021-08-07 12:45:09,918289
1,3,1,0,2,2,1,0,2021-08-07 12:45:09,918289
1,1,1,3,5,2,-1,-1,2021-08-07 12:45:09,918289
-1,-3,-2,1,0,0,-2,-3,2021-08-07 12:45:09,918289
-2,-1,0,0,-3,-3,-4,-2,2021-08-07 12:45:09,918289
-5,-6,-5,-6,-9,-8,-5,-4,2021-08-07 12:45:09,918289
2,1,1,4,9,6,4,1,2021-08-07 12:45:09,927290
-2,0,-2,0,-1,-1,0,0,2021-08-07 12:45:09,927290
-4,-6,-6,-9,-9,-5,-3,-4,2021-08-07 12:45:09,927290
-5,-5,-3,1,4,1,-1,-4,2021-08-07 12:45:09,928291
-2,-1,0,2,0,-3,-2,-2,2021-08-07 12:45:09,928291
-1,-1,2,-1,-2,-2,-1,-3,2021-08-07 12:45:09,928291
0,4,3,5,5,2,0,-1,2021-08-07 12:45:09,934291
-2,-1,-1,-5,-9,-7,-3,-2,2021-08-07 12:45:09,934291
0,-2,-2,2,5,3,1,-1,2021-08-07 12:45:09,950289
-1,-2,-3,-1,-2,-1,0,0,2021-08-07 12:45:09,950289
4,4,2,1,-3,-1,0,2,2021-08-07 12:45:09,950289
-1,-2,-2,-4,-5,-4,-1,-3,2021-08-07 12:45:09,950289
-2,-2,-2,-5,-5,-4,-2,-2,2021-08-07 12:45:09,982291
-2,-3,-2,0,-2,0,1,-2,2021-08-07 12:45:09,998289
0,-3,-3,-2,-2,0,-1,0,2021-08-07 12:45:09,998289
2,1,1,3,5,3,0,2,2021-08-07 12:45:09,998289
0,-1,-2,-7,-8,-5,-3,-1,2021-08-07 12:45:09,998289
-2,-2,-2,-7,-13,-9,-5,-3,2021-08-07 12:45:09,998289
4,8,11,16,25,18,11,7,2021-08-07 12:45:09,998289
-2,3,1,4,8,1,-1,-1,2021-08-07 12:45:09,998289
-4,-2,-4,-6,-9,-5,-4,-2,2021-08-07 12:45:09,999291
