EMG 1,EMG 2,EMG 3,EMG 4,EMG 5,EMG 6,EMG 7,EMG 8,Timestamp,Milliseconds
0,1,0,-1,-1,-1,0,1,2021-08-07 10:49:59,537121
-3,-2,-3,-2,-5,-5,-3,-3,2021-08-07 10:49:59,537121
-2,0,0,3,-2,-2,-2,-3,2021-08-07 10:49:59,537121
-4,-3,-5,-13,-15,-7,-5,-1,2021-08-07 10:49:59,537121
1,3,6,14,15,7,4,1,2021-08-07 10:49:59,537121
-2,0,2,7,7,1,1,-2,2021-08-07 10:49:59,537121
1,-2,-4,-9,-10,-4,-3,1,2021-08-07 10:49:59,553121
-3,-3,0,5,3,0,-2,-2,2021-08-07 10:49:59,569121
1,1,-3,-9,-13,-4,-1,-3,2021-08-07 10:49:59,585122
-1,-1,-3,-2,-1,0,-1,-2,2021-08-07 10:49:59,601120
-1,-1,3,9,7,2,-1,-1,2021-08-07 10:49:59,601120
0,0,1,-2,-1,0,0,-2,2021-08-07 10:49:59,601120
-1,-3,-4,-5,-7,-2,-2,-1,2021-08-07 10:49:59,601120
2,1,1,5,6,3,2,2,2021-08-07 10:49:59,601120
-1,-2,-4,-14,-8,-4,-2,-1,2021-08-07 10:49:59,601120
-1,-3,-4,-4,-4,-4,-3,-1,2021-08-07 10:49:59,602123
7,9,14,31,33,14,7,3,2021-08-07 10:49:59,602123
0,1,-1,-5,-10,-4,-2,-1,2021-08-07 10:49:59,602123
-1,1,1,5,6,3,2,0,2021-08-07 10:49:59,602123
-4,-1,-4,-6,-9,-5,-1,-1,2021-08-07 10:49:59,602123
-4,-5,-8,-13,-12,-5,-4,-5,2021-08-07 10:49:59,617121
-1,-3,-4,-9,-3,-2,-2,0,2021-08-07 10:49:59,633120
-1,-1,-1,2,0,0,-2,-4,2021-08-07 10:49:59,633120
1,1,0,1,2,2,1,1,2021-08-07 10:49:59,633120
0,0,3,12,18,7,0,2,2021-08-07 10:49:59,665121
-2,-1,-1,0,6,2,0,-2,2021-08-07 10:49:59,665121
4,5,5,8,11,6,5,3,2021-08-07 10:49:59,681123
-2,-3,-4,-7,-9,-5,-1,-2,2021-08-07 10:49:59,681123
-3,-2,-1,-2,-5,-3,-2,-2,2021-08-07 10:49:59,681123
0,-2,-3,-7,-12,-5,-3,-1,2021-08-07 10:49:59,681123
-1,0,0,2,9,4,1,0,2021-08-07 10:49:59,681123
-1,0,0,-1,-1,0,-3,-1,2021-08-07 10:49:59,681123
-4,-3,-5,-7,-8,-4,-4,-5,2021-08-07 10:49:59,682121
-1,-1,1,1,3,0,0,0,2021-08-07 10:49:59,682121
-1,-1,-2,-4,-6,-3,-1,0,2021-08-07 10:49:59,682121
1,0,1,4,6,3,1,1,2021-08-07 10:49:59,682121
-1,-2,-2,-1,-4,-3,-1,-1,2021-08-07 10:49:59,697123
-1,-2,-2,-1,-1,0,-1,-2,2021-08-07 10:49:59,697123
-2,-2,-3,-5,-2,-1,-2,-1,2021-08-07 10:49:59,712121
-2,-2,0,1,1,0,-1,-1,2021-08-07 10:49:59,713122
1,1,2,0,-2,-1,-1,-1,2021-08-07 10:49:59,713122
-2,-2,-4,-5,-9,-5,-4,-1,2021-08-07 10:49:59,713122
-1,-1,-3,-11,-8,-2,-1,0,2021-08-07 10:49:59,743121
1,3,5,17,21,10,2,1,2021-08-07 10:49:59,743121
1,0,-2,-6,-9,-2,0,-1,2021-08-07 10:49:59,759121
-1,0,1,5,10,2,0,0,2021-08-07 10:49:59,774121
-3,-3,-2,-3,-5,-4,-4,-2,2021-08-07 10:49:59,789120
-1,-2,-3,-9,-8,-4,-2,-1,2021-08-07 10:49:59,805120
2,0,1,7,8,2,1,0,2021-08-07 10:49:59,805120
0,-1,-3,-6,-6,-3,-1,0,2021-08-07 10:49:59,805120
0,0,1,1,0,0,-1,-2,2021-08-07 10:49:59,805120
-1,-1,-1,-1,-5,-3,-2,-2,2021-08-07 10:49:59,805120
-4,-3,-4,-5,-3,-1,-3,-2,2021-08-07 10:49:59,805120
3,5,3,4,3,2,2,2,2021-08-07 10:49:59,806124
-2,-4,-2,3,2,0,-1,-2,2021-08-07 10:49:59,806124
