EMG 1,EMG 2,EMG 3,EMG 4,EMG 5,EMG 6,EMG 7,EMG 8,Timestamp,Milliseconds
-2,-2,-2,8,11,5,1,-1,2021-08-07 12:08:09,599057
-6,-7,-9,-15,-13,-6,-7,-5,2021-08-07 12:08:09,599057
2,1,0,0,-2,0,0,2,2021-08-07 12:08:09,599057
3,5,10,14,17,7,2,2,2021-08-07 12:08:09,599057
-1,-1,1,-7,-12,-5,-3,-1,2021-08-07 12:08:09,599057
-1,-2,-4,1,3,2,2,0,2021-08-07 12:08:09,599057
-4,-4,-14,-14,-12,-7,-4,-3,2021-08-07 12:08:09,599057
-2,-1,-4,-17,-17,-8,-4,-1,2021-08-07 12:08:09,599057
3,6,10,26,36,17,8,4,2021-08-07 12:08:09,599057
-1,0,5,1,1,0,-1,-1,2021-08-07 12:08:09,600058
0,-2,-3,1,3,3,-1,1,2021-08-07 12:08:09,615057
-3,-3,-4,-6,-10,-7,-3,-4,2021-08-07 12:08:09,615310
-4,-4,-8,-21,-25,-13,-6,-5,2021-08-07 12:08:09,615310
-1,-2,-7,-7,-3,-4,-1,-1,2021-08-07 12:08:09,630573
2,4,13,15,13,9,6,2,2021-08-07 12:08:09,630573
-3,-2,-3,0,2,1,0,-2,2021-08-07 12:08:09,630573
2,2,6,14,8,5,0,1,2021-08-07 12:08:09,646572
0,0,0,5,-1,0,0,-2,2021-08-07 12:08:09,661573
-1,-2,-9,-25,-21,-12,-6,-3,2021-08-07 12:08:09,677571
1,3,5,16,9,4,2,1,2021-08-07 12:08:09,693573
-3,-3,0,1,16,7,1,-1,2021-08-07 12:08:09,709573
3,4,6,11,9,4,3,3,2021-08-07 12:08:09,725573
-4,-5,1,1,-4,-3,-3,-3,2021-08-07 12:08:09,725573
3,5,6,2,-1,-1,1,2,2021-08-07 12:08:09,725573
-4,-4,-8,-8,-7,-4,-3,-2,2021-08-07 12:08:09,725573
-2,-1,-7,-10,-8,-4,-2,-1,2021-08-07 12:08:09,725573
-2,-3,-3,-13,-9,-4,-3,-3,2021-08-07 12:08:09,725573
-2,-3,-5,8,6,1,-1,-3,2021-08-07 12:08:09,726573
-2,-4,0,-3,-1,-2,-3,-1,2021-08-07 12:08:09,726573
2,2,-2,-3,-6,-4,2,2,2021-08-07 12:08:09,726573
0,1,6,3,4,2,1,1,2021-08-07 12:08:09,726573
2,4,7,13,7,4,3,2,2021-08-07 12:08:09,726573
0,0,-5,-3,4,1,1,-2,2021-08-07 12:08:09,726573
-1,-2,6,8,-1,2,0,-1,2021-08-07 12:08:09,726573
-5,-7,-15,-25,-16,-12,-10,-5,2021-08-07 12:08:09,727574
0,0,-2,0,-4,-3,-3,-3,2021-08-07 12:08:09,727574
1,2,5,13,12,7,2,1,2021-08-07 12:08:09,756573
1,2,2,7,11,8,3,2,2021-08-07 12:08:09,756573
1,-1,-3,-1,-5,-1,2,2,2021-08-07 12:08:09,756573
-4,-5,-7,-12,-8,-3,-5,-1,2021-08-07 12:08:09,756573
-1,-2,-3,-4,-7,-4,-2,1,2021-08-07 12:08:09,783574
-1,-1,0,-1,0,-1,-3,-3,2021-08-07 12:08:09,783574
-1,1,4,9,8,4,1,-1,2021-08-07 12:08:09,784573
-8,-6,-6,-15,-16,-11,-6,-9,2021-08-07 12:08:09,784573
