EMG 1,EMG 2,EMG 3,EMG 4,EMG 5,EMG 6,EMG 7,EMG 8,Timestamp,Milliseconds
0,0,2,0,0,-2,0,-2,2021-08-16 12:31:52,632361
0,-1,0,-2,0,-1,-3,1,2021-08-16 12:31:52,632361
-1,-1,0,1,0,1,-1,-1,2021-08-16 12:31:52,632361
1,0,-1,-1,-1,-1,0,0,2021-08-16 12:31:52,632361
-2,0,-2,-1,-1,0,-1,-1,2021-08-16 12:31:52,632361
0,-1,-2,0,-2,-6,-3,-3,2021-08-16 12:31:52,632361
-1,-1,0,-3,1,1,-1,2,2021-08-16 12:31:52,647361
-1,-1,0,-1,2,0,-2,-2,2021-08-16 12:31:52,647361
-2,-1,-1,-1,-5,-7,-2,-2,2021-08-16 12:31:52,647361
0,1,2,2,6,16,7,-1,2021-08-16 12:31:52,647361
-2,0,-3,-2,-2,-4,-4,-2,2021-08-16 12:31:52,663364
-3,-1,-2,-1,-1,-2,-1,-1,2021-08-16 12:31:52,679363
-1,0,0,-2,-2,1,0,-1,2021-08-16 12:31:52,695364
-2,-2,0,-2,-4,-8,-3,-2,2021-08-16 12:31:52,711361
1,0,-1,-1,1,1,3,-1,2021-08-16 12:31:52,711361
1,0,0,0,0,4,1,1,2021-08-16 12:31:52,711361
-1,-3,0,0,1,0,-4,-1,2021-08-16 12:31:52,711361
1,0,0,1,-1,-2,0,2,2021-08-16 12:31:52,711361
-1,-2,0,-1,-2,-2,0,-2,2021-08-16 12:31:52,711361
-1,-2,-1,-1,-3,-5,0,0,2021-08-16 12:31:52,711361
0,0,-1,-2,0,2,1,-1,2021-08-16 12:31:52,711361
0,-2,-2,-2,-2,-3,-1,-2,2021-08-16 12:31:52,711361
0,0,2,1,1,1,-3,-2,2021-08-16 12:31:52,711361
0,1,-2,-3,-2,-2,-1,-1,2021-08-16 12:31:52,712363
0,-1,-2,-1,0,-2,-2,0,2021-08-16 12:31:52,759363
-2,-1,1,0,-2,-3,-2,0,2021-08-16 12:31:52,759363
-2,-1,0,0,-2,-3,0,-1,2021-08-16 12:31:52,759363
-1,-1,-1,-1,-1,-4,-2,-1,2021-08-16 12:31:52,775363
0,0,1,0,-1,1,-1,-2,2021-08-16 12:31:52,775363
-1,-1,-2,-2,-2,-4,-1,-2,2021-08-16 12:31:52,775363
0,-1,-1,0,0,0,-4,-1,2021-08-16 12:31:52,775363
0,-2,0,1,2,2,3,3,2021-08-16 12:31:52,775363
0,-1,0,0,-2,-2,-1,-1,2021-08-16 12:31:52,775363
1,0,1,0,-2,-1,-1,0,2021-08-16 12:31:52,775363
-1,-1,-1,-2,-1,-1,-1,-2,2021-08-16 12:31:52,776364
-1,-1,-3,-3,-1,-2,-1,-2,2021-08-16 12:31:52,776364
2,0,0,1,1,0,-1,2,2021-08-16 12:31:52,776364
-2,-3,-2,-2,-5,-11,-1,-1,2021-08-16 12:31:52,776364
1,1,2,2,6,13,3,4,2021-08-16 12:31:52,807362
0,-1,-2,-1,-3,-1,-2,-2,2021-08-16 12:31:52,807362
0,-2,-2,-1,-2,-2,-1,-1,2021-08-16 12:31:52,807362
-2,-2,-1,-3,0,-2,0,-2,2021-08-16 12:31:52,807362
-1,-1,0,-3,-2,-5,-1,-2,2021-08-16 12:31:52,824363
-1,-1,-1,0,-2,-5,-5,-2,2021-08-16 12:31:52,825364
-3,-1,-1,-1,-1,0,2,0,2021-08-16 12:31:52,825364
1,-1,0,3,3,9,-1,1,2021-08-16 12:31:52,825364
1,-2,-3,0,-1,1,0,1,2021-08-16 12:31:52,839362
-2,-1,-1,-3,0,-1,-2,-2,2021-08-16 12:31:52,839362
-2,-1,-2,-2,-3,-2,-1,-3,2021-08-16 12:31:52,839362
1,1,0,2,-1,2,1,2,2021-08-16 12:31:52,839362
0,-1,-1,-2,-3,-6,-3,-1,2021-08-16 12:31:52,871365
2,0,0,2,1,2,3,0,2021-08-16 12:31:52,871365
-2,-3,0,1,-1,-3,-2,0,2021-08-16 12:31:52,871365
-2,-2,-2,-2,0,-2,0,-2,2021-08-16 12:31:52,871365
0,-1,-1,-1,-1,0,-3,-1,2021-08-16 12:31:52,887361
0,-1,0,-2,0,0,-2,-1,2021-08-16 12:31:52,887361
1,1,1,-2,0,-1,-1,1,2021-08-16 12:31:52,887361
0,0,-1,-2,-2,-1,-2,0,2021-08-16 12:31:52,887361
-2,-1,-2,-1,-3,-6,-1,-2,2021-08-16 12:31:52,902363
-1,-2,0,1,0,-1,1,-1,2021-08-16 12:31:52,902363
-1,0,-1,-1,0,0,-1,0,2021-08-16 12:31:52,902363
0,-1,-1,0,0,-3,-3,0,2021-08-16 12:31:52,917362
-2,0,-2,0,-1,0,2,0,2021-08-16 12:31:52,933363
0,0,-1,0,-2,2,0,-2,2021-08-16 12:31:52,949363
-1,0,-2,-1,1,-3,1,1,2021-08-16 12:31:52,965362
-3,0,-2,-3,-2,-2,1,0,2021-08-16 12:31:52,965362
-1,-2,0,1,1,4,-2,-1,2021-08-16 12:31:52,981363
1,0,0,0,0,0,1,0,2021-08-16 12:31:52,981363
1,-3,0,-2,0,1,-3,-2,2021-08-16 12:31:52,981363
-1,0,-1,-1,-2,0,-1,-3,2021-08-16 12:31:52,981363
2,-1,-1,-1,0,-3,0,0,2021-08-16 12:31:52,981363
-3,0,0,-2,-1,-3,-1,-2,2021-08-16 12:31:52,981363
0,0,-1,-2,1,-1,-4,1,2021-08-16 12:31:52,982366
-2,-1,-1,-1,0,-1,0,-1,2021-08-16 12:31:52,982366
-1,0,0,-2,-1,-1,-2,0,2021-08-16 12:31:52,996363
0,1,-1,-1,-3,-2,-1,-1,2021-08-16 12:31:52,996363
-3,0,-3,-1,-1,-2,-2,-1,2021-08-16 12:31:52,996363
1,0,0,1,1,2,-2,1,2021-08-16 12:31:52,996363
-2,-1,-2,-3,-2,-3,0,-2,2021-08-16 12:31:53,012365
