EMG 1,EMG 2,EMG 3,EMG 4,EMG 5,EMG 6,EMG 7,EMG 8,Timestamp
4,1,4,9,15,23,7,2,2021-08-16 12:23:09.538077
4,4,4,6,11,21,6,4,2021-08-16 12:23:09.538077
-4,-7,-9,-4,-3,-6,-4,-3,2021-08-16 12:23:09.539043
-8,-1,-5,-7,-10,-11,-3,-3,2021-08-16 12:23:09.539043
-5,-2,0,-6,-21,-49,-19,-4,2021-08-16 12:23:09.540044
3,-5,-10,-3,11,39,17,0,2021-08-16 12:23:09.540044
5,5,6,6,13,22,11,3,2021-08-16 12:23:09.543080
2,-1,-3,-1,-1,-9,-7,-1,2021-08-16 12:23:09.543080
-1,-2,-4,-1,0,17,10,2,2021-08-16 12:23:09.550045
-4,-1,1,0,-7,-17,-8,-3,2021-08-16 12:23:09.550045
-4,-4,-2,-6,-11,-18,-9,-4,2021-08-16 12:23:09.560042
0,-2,0,-1,0,1,1,2,2021-08-16 12:23:09.560042
-1,0,-1,-2,-2,2,-2,1,2021-08-16 12:23:09.564042
5,5,10,13,28,50,15,2,2021-08-16 12:23:09.565043
-2,1,-3,-4,-11,-12,-4,-3,2021-08-16 12:23:09.580068
1,-1,3,5,6,9,2,2,2021-08-16 12:23:09.580068
-3,-2,-4,-2,-5,-8,-5,-5,2021-08-16 12:23:09.590043
-5,-6,-7,-10,-17,-33,-13,-3,2021-08-16 12:23:09.590043
-8,-4,-7,-9,-14,-37,-19,-8,2021-08-16 12:23:09.595044
7,6,11,12,22,46,21,9,2021-08-16 12:23:09.595044
2,2,0,2,1,2,2,-2,2021-08-16 12:23:09.610044
-6,-5,-4,-4,-6,-16,-7,-6,2021-08-16 12:23:09.610044
0,0,-2,-2,-5,-12,-4,0,2021-08-16 12:23:09.639573
1,-1,-4,0,2,13,2,-3,2021-08-16 12:23:09.639573
2,2,-1,3,9,18,6,1,2021-08-16 12:23:09.681525
-3,-3,-4,-8,-15,-34,-15,-6,2021-08-16 12:23:09.681525
3,2,2,6,14,30,11,7,2021-08-16 12:23:09.685523
-2,-2,-2,-4,-9,-10,-1,-2,2021-08-16 12:23:09.685523
2,1,1,0,3,10,4,3,2021-08-16 12:23:09.686522
2,3,0,0,3,6,3,2,2021-08-16 12:23:09.686522
-1,-1,-1,-2,-3,-12,-4,-3,2021-08-16 12:23:09.687499
-4,-5,-7,-6,-8,-19,-8,-3,2021-08-16 12:23:09.687499
-2,1,1,1,2,4,1,-1,2021-08-16 12:23:09.691521
-2,-4,-4,-7,-11,-15,-9,-5,2021-08-16 12:23:09.691521
9,6,8,13,19,31,2,5,2021-08-16 12:23:09.706509
-5,-6,-9,-6,-1,-3,-2,-3,2021-08-16 12:23:09.707500
11,6,7,9,6,19,13,8,2021-08-16 12:23:09.714532
-3,-4,-5,-4,-4,-3,6,0,2021-08-16 12:23:09.714532
4,4,3,5,8,3,0,0,2021-08-16 12:23:09.723497
