EMG 1,EMG 2,EMG 3,EMG 4,EMG 5,EMG 6,EMG 7,EMG 8,Timestamp
2,1,1,1,2,0,0,1,2021-08-06 18:28:51.805594
-1,0,1,-1,-1,-2,-1,-2,2021-08-06 18:28:51.806592
-3,0,-2,-2,-7,-3,-1,-1,2021-08-06 18:28:51.819594
-1,-1,-2,0,-3,-1,-2,-1,2021-08-06 18:28:51.819594
-2,-2,1,-2,-3,-1,-1,-2,2021-08-06 18:28:51.828599
2,2,2,3,9,5,1,1,2021-08-06 18:28:51.828599
-2,0,-1,-1,-1,-2,-2,0,2021-08-06 18:28:51.841593
-2,-1,-1,-1,-9,-5,-2,-2,2021-08-06 18:28:51.842596
-2,-1,-3,-3,-8,-3,-2,-3,2021-08-06 18:28:51.850593
-2,-1,-2,-2,1,2,-1,-1,2021-08-06 18:28:51.851591
5,6,7,7,5,3,2,3,2021-08-06 18:28:51.857593
3,1,1,1,4,2,3,3,2021-08-06 18:28:51.857593
-3,-1,-4,-5,-3,-3,-1,0,2021-08-06 18:28:51.865593
-2,-3,-5,-3,-5,-4,-1,-2,2021-08-06 18:28:51.865593
-3,-3,-5,-4,-5,-4,-5,-2,2021-08-06 18:28:51.879592
2,3,2,0,2,1,1,1,2021-08-06 18:28:51.879592
-3,-3,-1,0,1,-1,-2,-2,2021-08-06 18:28:51.888593
-1,1,1,4,5,1,0,-1,2021-08-06 18:28:51.888593
-2,-2,-2,-3,-4,-2,-2,-4,2021-08-06 18:28:51.894593
4,6,5,3,2,4,3,3,2021-08-06 18:28:51.894593
2,0,0,1,4,2,1,1,2021-08-06 18:28:51.919595
0,-2,1,3,-2,-3,0,-2,2021-08-06 18:28:51.919595
-2,-2,-3,-5,-6,-3,-3,-3,2021-08-06 18:28:51.919595
0,-1,0,3,4,2,1,2,2021-08-06 18:28:51.920593
-2,-3,-1,-3,-4,-3,-2,-2,2021-08-06 18:28:51.925592
-2,-1,-2,-1,2,1,-1,1,2021-08-06 18:28:51.926594
-4,-4,-1,-2,-3,-4,-4,-2,2021-08-06 18:28:51.939595
0,2,2,0,2,1,2,2,2021-08-06 18:28:51.940594
-1,-1,-2,0,3,2,0,0,2021-08-06 18:28:51.948595
2,2,1,-3,-3,-1,0,1,2021-08-06 18:28:51.948595
-3,-4,-1,0,0,1,-1,-1,2021-08-06 18:28:51.954592
-2,-4,-2,-3,-10,-7,-4,-4,2021-08-06 18:28:51.954592
