EMG 1,EMG 2,EMG 3,EMG 4,EMG 5,EMG 6,EMG 7,EMG 8,Timestamp,Milliseconds
-2,0,1,0,-1,0,0,-1,2021-08-06 18:22:13,903058
1,2,2,3,1,0,2,-1,2021-08-06 18:22:13,903058
-2,0,1,3,1,-2,0,-1,2021-08-06 18:22:13,919059
-1,-3,-4,-2,-1,-2,-3,-1,2021-08-06 18:22:13,935059
-1,-1,-2,-5,-2,-1,-2,0,2021-08-06 18:22:13,935059
3,2,-3,-7,0,2,0,-1,2021-08-06 18:22:13,935059
-1,0,0,-1,-6,-3,1,-1,2021-08-06 18:22:13,935059
-4,-4,-1,0,-3,-2,-2,-2,2021-08-06 18:22:13,935059
-1,0,1,1,-1,-1,0,-1,2021-08-06 18:22:13,935059
0,0,2,2,4,1,0,2,2021-08-06 18:22:13,935059
3,1,0,0,3,2,2,1,2021-08-06 18:22:13,935059
-1,-1,-3,-2,-2,-2,-1,0,2021-08-06 18:22:13,936059
-2,-3,-2,-2,-3,-2,-1,-1,2021-08-06 18:22:13,936059
0,-1,0,3,4,3,2,0,2021-08-06 18:22:13,936059
-1,-1,0,-1,-2,0,-2,-1,2021-08-06 18:22:13,983061
-3,-2,4,3,-2,-4,-1,-4,2021-08-06 18:22:13,983061
-1,0,1,1,1,-1,0,-3,2021-08-06 18:22:13,983061
1,0,-8,-1,-1,0,1,0,2021-08-06 18:22:13,983061
-1,0,2,-3,-1,-2,-1,-1,2021-08-06 18:22:13,983061
0,-1,-3,-9,-2,0,-2,-1,2021-08-06 18:22:13,999058
-1,0,1,4,-1,0,-1,-1,2021-08-06 18:22:13,999058
-3,-1,-1,3,-6,-4,-1,-2,2021-08-06 18:22:13,999058
0,1,-1,-8,7,5,4,0,2021-08-06 18:22:13,999058
-2,0,-1,2,0,-4,-2,0,2021-08-06 18:22:14,000061
-1,-2,0,-6,-5,-4,-2,-3,2021-08-06 18:22:14,046061
-3,-2,-2,-2,-3,-3,-3,-4,2021-08-06 18:22:14,046061
4,4,5,10,18,11,7,4,2021-08-06 18:22:14,046061
2,2,-2,0,1,1,1,1,2021-08-06 18:22:14,046061
-1,0,-1,2,1,1,1,1,2021-08-06 18:22:14,046061
-3,-2,0,1,-6,-5,-2,-2,2021-08-06 18:22:14,046061
-2,-4,2,-4,-8,-5,-5,-3,2021-08-06 18:22:14,046061
1,-2,-4,-5,-3,0,-1,-1,2021-08-06 18:22:14,047060
0,1,-4,-8,-4,1,1,-2,2021-08-06 18:22:14,047060
-3,-4,0,-5,-5,-3,-5,-3,2021-08-06 18:22:14,047060
-3,-3,-3,0,-3,-3,-2,-1,2021-08-06 18:22:14,062061
2,1,3,2,5,2,0,2,2021-08-06 18:22:14,062061
1,-1,0,1,0,-1,-2,0,2021-08-06 18:22:14,062061
1,1,1,4,4,1,1,1,2021-08-06 18:22:14,062061
-2,0,0,4,-3,-3,-1,-1,2021-08-06 18:22:14,078060
-1,-2,-2,-8,-1,-1,-2,-1,2021-08-06 18:22:14,078060
-2,-2,-2,5,-5,-3,-2,-2,2021-08-06 18:22:14,094060
1,-1,-4,-10,1,2,0,-1,2021-08-06 18:22:14,094060
-1,-1,-4,-2,2,2,-1,-1,2021-08-06 18:22:14,110059
0,0,4,5,-2,-1,0,-1,2021-08-06 18:22:14,126061
1,1,3,4,4,2,1,1,2021-08-06 18:22:14,141062
1,-2,-2,4,-2,-1,-1,0,2021-08-06 18:22:14,157061
-1,-1,-1,-2,-3,-3,-3,-2,2021-08-06 18:22:14,157061
-1,1,0,-3,-1,1,0,-1,2021-08-06 18:22:14,157061
0,0,0,-3,-1,1,0,-1,2021-08-06 18:22:14,157061
-1,-2,-2,-2,-4,-3,-1,-1,2021-08-06 18:22:14,162061
-1,-2,-4,-4,-3,-2,-2,-3,2021-08-06 18:22:14,162061
0,0,0,4,0,0,-2,-1,2021-08-06 18:22:14,162061
1,-1,3,3,3,1,1,1,2021-08-06 18:22:14,163061
-2,-2,0,-3,-1,-1,-2,-2,2021-08-06 18:22:14,163061
1,0,-8,-3,-2,-1,-1,-3,2021-08-06 18:22:14,163061
0,-1,2,4,1,-1,0,0,2021-08-06 18:22:14,163061
1,0,-2,7,3,3,1,1,2021-08-06 18:22:14,173060
-1,2,3,-5,1,1,-1,0,2021-08-06 18:22:14,173060
-4,-5,2,-4,-7,-5,-3,-4,2021-08-06 18:22:14,189061
1,1,-12,-13,-2,1,2,1,2021-08-06 18:22:14,189061
-2,-2,-1,-2,-2,-3,-1,-2,2021-08-06 18:22:14,189061
0,0,3,9,4,0,2,0,2021-08-06 18:22:14,189061
0,0,0,2,-1,-2,-1,0,2021-08-06 18:22:14,220061
-2,0,3,5,3,1,0,0,2021-08-06 18:22:14,220061
-1,-1,-3,-5,-6,-3,-4,-2,2021-08-06 18:22:14,220061
-2,-3,-2,-8,-6,-2,1,-1,2021-08-06 18:22:14,220061
-2,-2,-3,-2,4,2,-1,1,2021-08-06 18:22:14,250061
-1,-2,1,3,3,2,1,1,2021-08-06 18:22:14,250061
1,4,2,3,4,2,2,2,2021-08-06 18:22:14,250061
-3,-1,-3,3,-2,-2,0,-1,2021-08-06 18:22:14,250061
0,-1,-3,-2,-3,-2,0,0,2021-08-06 18:22:14,250061
-3,-3,2,-1,-4,-4,-2,-2,2021-08-06 18:22:14,251061
0,-1,-4,-3,0,-1,-1,-2,2021-08-06 18:22:14,251061
1,-3,-4,6,0,0,-1,-1,2021-08-06 18:22:14,251061
-2,-2,0,-5,-3,-2,-2,-2,2021-08-06 18:22:14,282060
1,-1,-4,-11,-1,1,1,0,2021-08-06 18:22:14,297058
-1,0,4,-3,-1,-1,1,0,2021-08-06 18:22:14,297058
-1,1,-2,3,2,1,0,-1,2021-08-06 18:22:14,297058
-1,1,2,7,2,0,0,-1,2021-08-06 18:22:14,297058
-3,-2,2,6,0,-1,-2,-2,2021-08-06 18:22:14,297058
0,-1,-3,-7,-3,-1,-1,-1,2021-08-06 18:22:14,297058
-3,-3,2,-2,-3,-3,-3,-3,2021-08-06 18:22:14,297058
-1,0,-4,-1,-4,-1,-1,0,2021-08-06 18:22:14,312059
0,-1,1,0,1,2,-1,1,2021-08-06 18:22:14,312059
-3,-2,-2,0,-4,-3,-3,-2,2021-08-06 18:22:14,312059
0,0,-1,-1,5,3,2,1,2021-08-06 18:22:14,313062
-1,-1,3,-4,0,0,-2,0,2021-08-06 18:22:14,343060
-2,0,-2,-1,-4,-3,-2,-3,2021-08-06 18:22:14,359061
-1,-1,-1,3,1,0,-1,0,2021-08-06 18:22:14,375062
-1,-3,0,-4,-3,-3,-3,-1,2021-08-06 18:22:14,375062
0,-1,-2,-2,-1,-1,1,-1,2021-08-06 18:22:14,375062
-2,0,-2,-1,-3,-2,-1,0,2021-08-06 18:22:14,375062
0,1,0,3,2,0,1,-1,2021-08-06 18:22:14,375062
-3,-1,-1,1,-3,-1,-1,-2,2021-08-06 18:22:14,376061
2,1,2,6,5,3,2,3,2021-08-06 18:22:14,376061
1,1,-3,-6,-2,-1,1,-1,2021-08-06 18:22:14,376061
-2,-1,-3,-3,-2,1,-1,-3,2021-08-06 18:22:14,376061
2,0,-1,-2,1,0,-2,-1,2021-08-06 18:22:14,376061
-2,-3,0,1,-4,-4,-3,-2,2021-08-06 18:22:14,391062
0,-2,3,12,3,0,0,0,2021-08-06 18:22:14,391062
2,1,-1,-7,0,1,2,3,2021-08-06 18:22:14,391062
