EMG 1,EMG 2,EMG 3,EMG 4,EMG 5,EMG 6,EMG 7,EMG 8,Timestamp
-1,-5,-1,-2,-2,0,-2,-3,2021-08-07 11:38:46.010064
-1,0,-4,-7,-6,-3,-1,0,2021-08-07 11:38:46.010064
-4,-4,-3,-11,-17,-8,-4,-3,2021-08-07 11:38:46.011066
1,2,2,6,8,4,1,2,2021-08-07 11:38:46.011066
1,1,1,-2,-3,0,-2,1,2021-08-07 11:38:46.033068
0,0,-1,-1,1,-2,-1,-1,2021-08-07 11:38:46.033068
1,0,-1,1,2,0,1,1,2021-08-07 11:38:46.033068
-2,-2,-1,4,7,2,-1,0,2021-08-07 11:38:46.033068
-4,-3,-7,-13,-10,-5,-3,-4,2021-08-07 11:38:46.047065
0,-1,2,5,1,-1,0,-1,2021-08-07 11:38:46.047065
-1,-3,-1,-2,-5,-2,-2,-2,2021-08-07 11:38:46.048068
1,2,1,-3,-4,-1,1,0,2021-08-07 11:38:46.048068
-3,-3,0,8,10,0,-2,-2,2021-08-07 11:38:46.070065
-3,-5,-2,1,-2,-1,-2,0,2021-08-07 11:38:46.070065
-2,-2,-1,-4,-8,-4,-2,-1,2021-08-07 11:38:46.071067
-1,-1,-4,-1,-3,0,-3,0,2021-08-07 11:38:46.071067
2,4,3,3,1,2,1,1,2021-08-07 11:38:46.092066
-1,2,1,1,2,1,-1,-1,2021-08-07 11:38:46.093065
-2,-4,-3,-7,-8,-4,-2,0,2021-08-07 11:38:46.093065
-2,-2,-3,0,-2,-2,-2,-1,2021-08-07 11:38:46.093065
-3,-2,-4,-4,-3,-3,-3,-1,2021-08-07 11:38:46.106065
-2,-1,-3,-6,-1,-1,0,0,2021-08-07 11:38:46.106065
0,1,1,4,1,0,0,0,2021-08-07 11:38:46.114063
-3,-2,-3,-7,-7,-3,1,0,2021-08-07 11:38:46.114063
-1,-1,-2,0,9,4,0,-1,2021-08-07 11:38:46.130066
3,7,9,11,7,1,-1,0,2021-08-07 11:38:46.130066
-1,-1,-2,2,2,-2,-1,0,2021-08-07 11:38:46.131065
0,1,0,-2,-7,-2,-1,2,2021-08-07 11:38:46.131065
-5,-6,-7,-15,-20,-14,-8,-7,2021-08-07 11:38:46.152065
-3,-2,-2,-5,-2,-3,-4,-3,2021-08-07 11:38:46.153065
3,3,3,9,10,6,2,2,2021-08-07 11:38:46.153065
3,2,3,5,16,7,2,0,2021-08-07 11:38:46.153065
0,-3,-1,1,-1,2,2,1,2021-08-07 11:38:46.167065
0,-3,-6,-12,-12,-1,-1,0,2021-08-07 11:38:46.167065
-1,-3,-3,-2,-9,-3,-1,0,2021-08-07 11:38:46.168064
-3,-3,-3,-9,-3,-2,-2,-2,2021-08-07 11:38:46.168064
-1,2,7,15,11,4,0,-1,2021-08-07 11:38:46.190065
-2,-2,1,1,-1,-1,-2,-3,2021-08-07 11:38:46.190065
-2,-2,-2,-8,-5,-3,-4,-4,2021-08-07 11:38:46.191067
1,0,3,2,-4,-3,-5,0,2021-08-07 11:38:46.191067
3,2,-2,-7,-5,-2,0,2,2021-08-07 11:38:46.213067
0,1,-1,2,0,-1,0,1,2021-08-07 11:38:46.213067
1,0,3,15,15,5,3,1,2021-08-07 11:38:46.213067
-3,-4,-5,-6,-6,-4,-1,-3,2021-08-07 11:38:46.213067
-2,1,2,2,2,-1,0,-1,2021-08-07 11:38:46.235067
-1,-2,-2,-5,-3,-1,1,0,2021-08-07 11:38:46.236066
-4,-4,-6,-18,-18,-9,-4,-1,2021-08-07 11:38:46.236066
1,1,4,10,10,3,1,0,2021-08-07 11:38:46.236066
1,-1,1,6,9,6,2,2,2021-08-07 11:38:46.250065
-1,-1,-3,2,7,2,1,0,2021-08-07 11:38:46.250065
-1,-2,-3,-7,-6,-4,-2,-3,2021-08-07 11:38:46.251065
1,-1,-2,-3,-6,-3,-1,0,2021-08-07 11:38:46.251065
-1,-2,-4,-6,-6,-3,-2,-1,2021-08-07 11:38:46.272066
1,1,3,9,5,2,-1,2,2021-08-07 11:38:46.273065
0,0,-1,-4,-5,-2,-2,-1,2021-08-07 11:38:46.273065
-4,-4,-6,-7,1,0,-2,-2,2021-08-07 11:38:46.273065
3,4,4,7,1,0,1,1,2021-08-07 11:38:46.286064
1,0,-1,0,-1,-1,-1,-1,2021-08-07 11:38:46.286064
-2,0,-2,-1,-2,0,-1,-2,2021-08-07 11:38:46.294067
-3,0,-2,-5,-7,-4,-1,-3,2021-08-07 11:38:46.294067
-3,-2,-3,-4,-8,-4,-2,-2,2021-08-07 11:38:46.310067
1,1,2,4,11,5,3,2,2021-08-07 11:38:46.310067
-1,0,1,-2,-2,-2,-2,-1,2021-08-07 11:38:46.311066
-2,-2,-2,1,-4,-2,0,-2,2021-08-07 11:38:46.311066
-1,-3,1,2,1,1,-2,-1,2021-08-07 11:38:46.332065
0,-2,-3,-4,-5,-3,-1,-2,2021-08-07 11:38:46.333066
0,0,-1,-2,-2,2,1,0,2021-08-07 11:38:46.333066
-1,-1,0,3,0,-2,-1,0,2021-08-07 11:38:46.333066
-3,-2,-1,-2,-4,-2,-1,-2,2021-08-07 11:38:46.346068
-1,1,0,-2,-2,0,-3,-1,2021-08-07 11:38:46.346068
3,4,5,3,8,4,3,2,2021-08-07 11:38:46.354068
-1,-2,0,-5,-6,-3,-2,-3,2021-08-07 11:38:46.355066
-2,-3,-1,1,1,0,-2,0,2021-08-07 11:38:46.369066
2,-2,1,6,7,0,0,0,2021-08-07 11:38:46.369066
-1,0,-3,-1,-3,-2,-1,0,2021-08-07 11:38:46.377067
-1,-2,-1,-2,0,-1,-3,-1,2021-08-07 11:38:46.377067
-1,0,-3,-7,-5,-3,-2,0,2021-08-07 11:38:46.393067
-3,-1,-1,-3,-4,-2,-1,0,2021-08-07 11:38:46.393067
-1,-2,0,4,4,-1,0,-2,2021-08-07 11:38:46.394066
0,1,0,1,-1,-2,-1,0,2021-08-07 11:38:46.394066
-2,-3,-1,0,6,2,1,-1,2021-08-07 11:38:46.406065
1,2,1,1,-2,-2,0,-1,2021-08-07 11:38:46.406065
-1,-1,-4,-7,-9,-4,-2,-2,2021-08-07 11:38:46.415066
-1,-1,-3,-8,-10,-7,-2,-2,2021-08-07 11:38:46.416065
1,0,3,8,12,6,2,0,2021-08-07 11:38:46.430066
-1,-1,-2,-2,0,1,1,0,2021-08-07 11:38:46.430066
-3,-4,0,1,-1,-3,-2,-1,2021-08-07 11:38:46.432068
-5,-6,-9,-13,-13,-6,-6,-5,2021-08-07 11:38:46.432068
4,6,7,8,3,3,2,3,2021-08-07 11:38:46.452066
-2,-4,-2,2,6,1,1,0,2021-08-07 11:38:46.453067
2,1,2,1,0,1,1,2,2021-08-07 11:38:46.454068
-5,-2,-3,3,5,0,-1,-2,2021-08-07 11:38:46.454068
-1,1,-2,-2,-4,-3,0,0,2021-08-07 11:38:46.475065
-1,0,-1,-4,-4,-3,-1,-1,2021-08-07 11:38:46.475065
