EMG 1,EMG 2,EMG 3,EMG 4,EMG 5,EMG 6,EMG 7,EMG 8,Timestamp,Milliseconds
0,0,2,8,11,4,1,-2,2021-08-07 11:39:45,963593
0,3,3,3,0,0,-1,-2,2021-08-07 11:39:45,963593
-3,0,-4,-5,-6,-4,-4,-4,2021-08-07 11:39:45,963593
1,2,1,5,1,0,0,0,2021-08-07 11:39:45,963593
-7,-9,-10,-14,-18,-10,-4,-5,2021-08-07 11:39:45,963593
9,9,8,2,-1,1,4,5,2021-08-07 11:39:45,963593
1,0,2,15,18,10,4,3,2021-08-07 11:39:45,964556
-2,-3,-2,-3,-1,-3,-3,-4,2021-08-07 11:39:45,964556
4,4,4,3,7,3,3,1,2021-08-07 11:39:45,964556
-3,-3,-1,1,0,-2,-1,-2,2021-08-07 11:39:45,964556
2,1,2,-5,-8,-2,0,1,2021-08-07 11:39:45,994592
-5,-8,-6,-5,-5,-3,-3,-5,2021-08-07 11:39:45,994592
0,-1,0,2,3,0,0,0,2021-08-07 11:39:45,994592
-1,-3,-4,-7,-6,-3,-1,0,2021-08-07 11:39:45,994592
-2,-1,-1,-4,-2,-2,-1,-3,2021-08-07 11:39:46,010603
-5,-5,-3,-2,-1,-2,-4,-5,2021-08-07 11:39:46,010603
1,2,2,-1,-4,-2,-1,1,2021-08-07 11:39:46,010603
-1,-1,-2,1,-3,-1,-1,-2,2021-08-07 11:39:46,010603
-2,-3,-5,-5,-5,-3,-3,-2,2021-08-07 11:39:46,026603
2,2,5,11,23,11,4,1,2021-08-07 11:39:46,026603
-4,-2,-2,0,-1,-1,-2,-3,2021-08-07 11:39:46,026603
1,0,-2,-4,-6,-2,-2,1,2021-08-07 11:39:46,026603
0,-2,0,1,0,-1,0,0,2021-08-07 11:39:46,042595
-3,-1,-4,-10,-13,-7,-4,-2,2021-08-07 11:39:46,042595
-1,-2,-3,-4,-5,-2,-1,-2,2021-08-07 11:39:46,105582
-3,-2,-4,-6,-7,-5,-3,-3,2021-08-07 11:39:46,105582
1,0,-1,-4,-3,-2,0,-2,2021-08-07 11:39:46,121557
-3,-4,-6,-11,-11,-6,-5,-4,2021-08-07 11:39:46,121557
3,3,4,11,5,3,2,3,2021-08-07 11:39:46,121557
2,1,3,8,11,4,2,1,2021-08-07 11:39:46,121557
-2,-1,-2,-3,-4,-1,-1,-1,2021-08-07 11:39:46,121557
1,0,1,2,7,2,2,1,2021-08-07 11:39:46,121557
-8,-9,-9,-19,-17,-8,-6,-6,2021-08-07 11:39:46,121557
7,9,9,11,8,5,4,4,2021-08-07 11:39:46,122595
-4,-2,-1,2,3,-2,-2,-1,2021-08-07 11:39:46,122595
1,0,1,0,-4,-1,-1,-1,2021-08-07 11:39:46,122595
-3,0,-3,-7,-5,-3,-1,-1,2021-08-07 11:39:46,122595
-2,-2,0,7,12,6,0,1,2021-08-07 11:39:46,122595
-3,-4,-3,-6,-6,-4,-2,-3,2021-08-07 11:39:46,122595
1,1,-2,0,-4,-2,0,1,2021-08-07 11:39:46,122595
1,0,1,4,2,-2,0,0,2021-08-07 11:39:46,137594
-4,-5,-7,-8,-13,-7,-4,-5,2021-08-07 11:39:46,137594
-2,-6,-3,-4,-1,-2,-2,-1,2021-08-07 11:39:46,157594
3,5,5,11,11,5,3,3,2021-08-07 11:39:46,158558
1,0,0,-4,-8,-3,-3,-1,2021-08-07 11:39:46,158558
-4,-4,-4,5,7,0,0,-1,2021-08-07 11:39:46,158558
6,7,5,2,-2,2,1,3,2021-08-07 11:39:46,185581
-1,-3,-3,-5,-4,-3,-1,-2,2021-08-07 11:39:46,185581
1,1,1,7,6,3,0,-2,2021-08-07 11:39:46,185581
-8,-7,-10,-19,-21,-10,-6,-5,2021-08-07 11:39:46,185581
0,-1,-3,2,4,0,0,1,2021-08-07 11:39:46,217557
-2,-1,-3,-6,-1,-3,-2,-2,2021-08-07 11:39:46,232596
1,0,3,13,9,5,1,3,2021-08-07 11:39:46,248554
-3,-5,-1,-2,1,0,-3,-2,2021-08-07 11:39:46,264596
-1,1,1,0,-2,0,-2,-1,2021-08-07 11:39:46,280593
-3,-2,-1,-1,-4,-1,-2,-1,2021-08-07 11:39:46,296596
-2,-1,-2,-7,-1,-2,0,-2,2021-08-07 11:39:46,296596
0,-1,-2,-8,-11,-3,0,1,2021-08-07 11:39:46,296596
0,2,2,11,10,2,0,-1,2021-08-07 11:39:46,312557
-3,-6,-4,-2,-1,-1,0,-1,2021-08-07 11:39:46,312557
3,1,1,-1,-2,-2,-1,0,2021-08-07 11:39:46,312557
-1,-2,-5,-7,-9,-4,-2,-1,2021-08-07 11:39:46,312557
-1,-1,-1,-9,-13,-6,-1,0,2021-08-07 11:39:46,312557
-1,2,2,5,8,6,1,1,2021-08-07 11:39:46,312557
-2,-1,-2,7,13,4,0,0,2021-08-07 11:39:46,312557
2,2,4,9,9,3,2,0,2021-08-07 11:39:46,312557
-2,-3,-2,6,2,1,-1,-3,2021-08-07 11:39:46,312557
-1,-2,-5,-8,-8,-3,-1,-1,2021-08-07 11:39:46,313558
-1,-1,-2,-14,-8,-4,-1,-1,2021-08-07 11:39:46,313558
-2,-5,-5,-14,-15,-6,-5,-3,2021-08-07 11:39:46,313558
-1,0,2,5,10,3,2,-1,2021-08-07 11:39:46,313558
2,2,5,10,9,2,1,1,2021-08-07 11:39:46,313558
1,1,2,8,4,2,2,0,2021-08-07 11:39:46,313558
-6,-5,-11,-15,-13,-9,-4,-2,2021-08-07 11:39:46,313558
0,0,-2,-4,-4,-3,-2,0,2021-08-07 11:39:46,313558
1,2,-1,0,0,1,1,1,2021-08-07 11:39:46,314591
-2,2,0,6,3,1,1,-1,2021-08-07 11:39:46,314591
1,2,3,3,1,1,2,-1,2021-08-07 11:39:46,314591
1,-1,-1,-6,-5,-1,0,-2,2021-08-07 11:39:46,343560
0,1,3,8,7,3,1,-2,2021-08-07 11:39:46,359593
-3,-7,-6,-9,-9,-4,-3,-2,2021-08-07 11:39:46,359593
-2,-1,2,6,0,-2,-1,-1,2021-08-07 11:39:46,359593
2,3,4,8,17,7,3,4,2021-08-07 11:39:46,359593
-2,-1,1,-1,-2,-1,-2,-2,2021-08-07 11:39:46,359593
-4,-4,-5,-10,-10,-5,-5,-2,2021-08-07 11:39:46,359593
2,1,-1,-2,-2,0,1,1,2021-08-07 11:39:46,360558
-2,-2,-4,-8,-7,-3,0,0,2021-08-07 11:39:46,391593
