EMG 1,EMG 2,EMG 3,EMG 4,EMG 5,EMG 6,EMG 7,EMG 8,Timestamp,Milliseconds
-3,-3,-4,-6,-10,-7,-5,-1,2021-08-07 12:56:06,705859
1,1,0,5,9,5,3,-1,2021-08-07 12:56:06,705859
0,1,-1,1,4,3,3,-1,2021-08-07 12:56:06,721859
-3,-6,-6,-7,-3,-1,-2,-2,2021-08-07 12:56:06,721859
4,7,8,0,2,4,5,3,2021-08-07 12:56:06,721859
-3,-1,-1,-3,-7,-4,-2,-3,2021-08-07 12:56:06,721859
-4,-1,1,3,0,-2,-3,-3,2021-08-07 12:56:06,721859
-2,-1,1,5,3,1,-1,-1,2021-08-07 12:56:06,721859
-3,-5,-6,1,1,-4,-5,-5,2021-08-07 12:56:06,721859
2,2,3,-2,-1,0,2,2,2021-08-07 12:56:06,721859
3,1,-1,-6,-6,-3,0,1,2021-08-07 12:56:06,737860
-1,2,0,0,-2,-1,-1,-1,2021-08-07 12:56:06,737860
0,0,-1,-1,-1,1,2,-1,2021-08-07 12:56:06,737860
1,0,-1,0,6,5,2,2,2021-08-07 12:56:06,737860
1,0,2,9,12,9,3,1,2021-08-07 12:56:06,753860
-1,0,0,-2,-2,-3,-2,-2,2021-08-07 12:56:06,753860
-1,-2,-1,2,6,5,3,1,2021-08-07 12:56:06,753860
-2,-2,-3,-8,-13,-9,-6,-4,2021-08-07 12:56:06,753860
0,-1,2,1,8,7,3,2,2021-08-07 12:56:06,784860
-1,-2,-2,-2,-2,1,-1,-1,2021-08-07 12:56:06,784860
-1,-1,-1,0,-3,-3,-3,-3,2021-08-07 12:56:06,784860
-1,0,0,1,-3,-1,-1,-1,2021-08-07 12:56:06,784860
-5,-5,-8,-8,-11,-8,-7,-4,2021-08-07 12:56:06,800862
3,4,4,0,1,1,4,2,2021-08-07 12:56:06,800862
0,-1,0,1,0,0,0,-2,2021-08-07 12:56:06,800862
-1,-2,-2,-2,-2,-2,-2,-3,2021-08-07 12:56:06,800862
-1,-1,0,1,0,1,-1,-1,2021-08-07 12:56:06,863861
0,1,1,-1,-1,-1,-2,0,2021-08-07 12:56:06,863861
-1,0,-1,-1,-1,-1,0,-1,2021-08-07 12:56:06,863861
1,-1,-2,-1,0,0,-2,0,2021-08-07 12:56:06,863861
-2,-2,-1,-1,-1,-2,-2,-2,2021-08-07 12:56:06,863861
-2,-2,-3,0,1,0,1,-1,2021-08-07 12:56:06,863861
0,0,0,0,1,0,-1,-3,2021-08-07 12:56:06,863861
