EMG 1,EMG 2,EMG 3,EMG 4,EMG 5,EMG 6,EMG 7,EMG 8,Timestamp,Milliseconds
0,-1,2,0,1,-2,-1,1,2021-08-07 10:32:28,498192
-3,-2,-2,0,0,-2,-2,-2,2021-08-07 10:32:28,498192
1,0,0,0,0,0,-1,1,2021-08-07 10:32:28,514191
-1,-1,-1,0,-2,-1,-2,-1,2021-08-07 10:32:28,530192
-1,-2,-1,-2,-1,-1,-1,-2,2021-08-07 10:32:28,546190
0,-1,-2,-3,-1,-1,0,-1,2021-08-07 10:32:28,562190
0,-2,-2,0,1,2,0,-1,2021-08-07 10:32:28,578191
0,-1,0,1,3,2,1,1,2021-08-07 10:32:28,578191
-2,-1,-3,-3,-2,-2,-2,-2,2021-08-07 10:32:28,578191
1,-1,-1,1,-3,-2,-1,-2,2021-08-07 10:32:28,578191
1,1,1,3,6,1,2,-1,2021-08-07 10:32:28,578191
-1,-1,-2,0,-2,0,-1,-1,2021-08-07 10:32:28,578191
0,-1,-4,-4,-6,-4,-3,-2,2021-08-07 10:32:28,578191
-1,-2,-5,-4,-2,-1,-2,-1,2021-08-07 10:32:28,578191
-1,0,2,-2,-6,-3,-2,-1,2021-08-07 10:32:28,578191
0,2,5,9,12,5,1,2,2021-08-07 10:32:28,578191
-2,-2,-2,-1,-2,-2,-2,-2,2021-08-07 10:32:28,578191
-6,-5,-9,-23,-16,-8,-3,-3,2021-08-07 10:32:28,579192
1,3,9,25,17,6,1,0,2021-08-07 10:32:28,579192
-1,1,-1,0,-4,-1,2,-1,2021-08-07 10:32:28,579192
-3,-2,-1,1,3,2,-2,-1,2021-08-07 10:32:28,593191
3,3,2,5,2,0,1,1,2021-08-07 10:32:28,593191
-3,-2,-5,-9,-8,-4,-2,-2,2021-08-07 10:32:28,593191
0,2,2,10,4,3,-2,0,2021-08-07 10:32:28,593191
0,-2,-5,-11,-20,-7,0,-1,2021-08-07 10:32:28,609192
1,2,4,12,23,10,3,1,2021-08-07 10:32:28,625191
-3,-4,-6,-13,-11,-7,-4,-2,2021-08-07 10:32:28,625191
-2,-2,-1,2,6,1,-1,-2,2021-08-07 10:32:28,625191
-1,-2,1,10,2,1,-2,-2,2021-08-07 10:32:28,625191
-1,-2,-2,1,3,-1,0,-1,2021-08-07 10:32:28,625191
-3,-1,0,-2,-7,-4,-3,-2,2021-08-07 10:32:28,625191
3,3,-1,-9,-6,0,1,1,2021-08-07 10:32:28,625191
-1,-1,-4,-14,-12,-7,-3,-2,2021-08-07 10:32:28,625191
-2,-1,0,2,4,0,-2,-4,2021-08-07 10:32:28,625191
0,-2,2,8,7,4,0,1,2021-08-07 10:32:28,656190
-1,-4,-2,-4,-5,-6,-3,-1,2021-08-07 10:32:28,672190
0,0,3,2,4,1,-1,0,2021-08-07 10:32:28,672190
0,-2,-3,-7,-9,-2,-1,0,2021-08-07 10:32:28,672190
1,1,-1,-1,3,-1,2,0,2021-08-07 10:32:28,672190
-5,-6,-9,-13,-12,-8,-3,-5,2021-08-07 10:32:28,672190
6,6,12,22,19,10,5,5,2021-08-07 10:32:28,672190
0,1,4,13,9,4,1,0,2021-08-07 10:32:28,672190
-3,-2,-4,-8,-8,-5,-4,-4,2021-08-07 10:32:28,688190
0,-1,0,-2,-6,-2,0,-2,2021-08-07 10:32:28,704191
-4,-5,-9,-15,-6,-3,-2,-1,2021-08-07 10:32:28,704191
0,-1,-1,-5,-5,-3,-2,-2,2021-08-07 10:32:28,704191
2,1,5,10,8,3,-1,1,2021-08-07 10:32:28,720190
-1,-2,-2,-5,-8,-3,-2,0,2021-08-07 10:32:28,720190
-1,-1,-1,4,11,4,1,0,2021-08-07 10:32:28,720190
3,4,5,15,15,9,4,2,2021-08-07 10:32:28,720190
-3,-4,-7,-6,-1,-1,-1,-1,2021-08-07 10:32:28,751190
0,-2,-1,-1,-4,0,-1,-2,2021-08-07 10:32:28,767191
-3,0,1,-3,-5,-3,-3,-3,2021-08-07 10:32:28,767191
-5,-2,-1,-4,-6,-3,-4,-5,2021-08-07 10:32:28,767191
-2,0,1,0,2,0,-2,0,2021-08-07 10:32:28,799190
1,1,0,-3,-3,-4,-2,1,2021-08-07 10:32:28,799190
2,1,-1,-8,-6,-3,-1,-1,2021-08-07 10:32:28,799190
0,-1,1,0,-6,-3,-2,1,2021-08-07 10:32:28,799190
-1,-1,0,3,5,3,-2,-2,2021-08-07 10:32:28,799190
-2,-1,-1,1,1,3,1,-1,2021-08-07 10:32:28,799190
-1,-3,-4,-3,-1,-1,-1,-2,2021-08-07 10:32:28,799190
