EMG 1,EMG 2,EMG 3,EMG 4,EMG 5,EMG 6,EMG 7,EMG 8,Timestamp,Milliseconds
-3,-4,-6,-6,-6,-5,-1,-3,2021-08-07 12:21:23,924578
2,1,-2,-3,-4,-1,1,1,2021-08-07 12:21:23,924578
1,1,5,7,4,3,1,0,2021-08-07 12:21:23,940578
-3,-3,-2,-3,-1,-2,-1,-3,2021-08-07 12:21:23,940578
-1,-1,-1,2,0,1,0,-1,2021-08-07 12:21:23,940578
-4,-5,-6,-10,-10,-7,-5,-4,2021-08-07 12:21:23,940578
-4,-3,-6,-10,1,0,0,-1,2021-08-07 12:21:23,956578
3,0,1,1,0,0,0,0,2021-08-07 12:21:23,956578
-3,0,1,3,2,-1,-2,-3,2021-08-07 12:21:23,971578
-2,-2,-1,-1,-2,-3,-1,-2,2021-08-07 12:21:23,987578
-4,-3,-4,-7,-3,-3,-4,-2,2021-08-07 12:21:23,987578
1,1,-1,2,1,1,1,3,2021-08-07 12:21:23,987578
1,2,0,1,2,0,1,0,2021-08-07 12:21:23,987578
0,-1,0,-2,-1,-1,-2,0,2021-08-07 12:21:23,987578
0,-3,-3,-2,-8,-7,-2,-1,2021-08-07 12:21:24,003577
0,1,-1,-7,-3,0,1,0,2021-08-07 12:21:24,003577
2,1,3,8,6,5,1,4,2021-08-07 12:21:24,003577
-1,1,2,4,1,1,1,-3,2021-08-07 12:21:24,003577
0,-1,-1,-2,-1,0,1,-1,2021-08-07 12:21:24,003577
0,-1,-1,0,4,1,1,0,2021-08-07 12:21:24,004581
1,-3,-3,-5,-5,-4,-2,-2,2021-08-07 12:21:24,004581
-4,-4,-4,-2,0,-2,-2,-1,2021-08-07 12:21:24,004581
0,-1,-2,-10,-10,-5,-2,0,2021-08-07 12:21:24,034578
2,4,5,8,4,2,0,1,2021-08-07 12:21:24,034578
0,2,3,6,11,4,3,0,2021-08-07 12:21:24,034578
-2,-2,-2,1,1,1,0,-2,2021-08-07 12:21:24,034578
-2,-2,-3,-5,-2,-2,-2,0,2021-08-07 12:21:24,034578
-1,-4,-4,-5,-6,-5,-3,-2,2021-08-07 12:21:24,035581
-2,-5,-7,-11,-12,-4,-2,-2,2021-08-07 12:21:24,035581
1,3,2,-1,1,0,-1,0,2021-08-07 12:21:24,035581
-5,-6,-5,-2,1,-2,-1,-2,2021-08-07 12:21:24,035581
1,1,0,2,0,0,1,2,2021-08-07 12:21:24,035581
1,1,-1,-4,-5,-2,-2,-3,2021-08-07 12:21:24,035581
-2,-2,-1,5,4,0,-1,0,2021-08-07 12:21:24,036578
1,1,-1,-2,-2,0,-1,1,2021-08-07 12:21:24,066577
-2,-3,-3,2,3,1,1,-2,2021-08-07 12:21:24,066577
-2,-5,-3,-6,-4,-1,-2,-2,2021-08-07 12:21:24,066577
0,0,-3,-9,-9,-3,-1,0,2021-08-07 12:21:24,081578
1,1,5,13,12,5,0,-1,2021-08-07 12:21:24,097578
-2,-1,-2,-4,-3,-2,-2,0,2021-08-07 12:21:24,097578
-4,-4,-7,-12,-17,-9,-6,-3,2021-08-07 12:21:24,113578
-3,-3,2,5,7,4,0,0,2021-08-07 12:21:24,129579
5,6,6,8,4,3,4,3,2021-08-07 12:21:24,129579
-1,-2,-1,0,2,1,0,-3,2021-08-07 12:21:24,145577
-1,0,0,3,0,-1,-1,-2,2021-08-07 12:21:24,161577
-5,-7,-7,-13,-12,-8,-4,-3,2021-08-07 12:21:24,173576
-1,1,-1,-6,-5,-3,-2,-2,2021-08-07 12:21:24,173576
1,3,4,8,9,5,1,2,2021-08-07 12:21:24,173576
-4,-3,-3,-4,-4,-3,-2,-2,2021-08-07 12:21:24,173576
3,3,2,4,2,1,1,2,2021-08-07 12:21:24,174579
-2,-3,-2,-1,-1,-2,-1,-3,2021-08-07 12:21:24,174579
0,2,0,-9,-7,-3,1,-1,2021-08-07 12:21:24,174579
-2,-2,1,8,8,3,0,0,2021-08-07 12:21:24,174579
0,0,0,-4,-7,-5,-2,-1,2021-08-07 12:21:24,174579
0,0,-3,-3,5,1,1,0,2021-08-07 12:21:24,174579
-2,-2,1,3,-1,-1,-2,-1,2021-08-07 12:21:24,174579
2,4,0,2,7,4,3,2,2021-08-07 12:21:24,175581
-1,-1,0,5,0,0,0,-2,2021-08-07 12:21:24,175581
-2,-2,-4,-5,-6,-3,-2,-1,2021-08-07 12:21:24,175581
-1,-3,-3,-4,-2,-2,0,-1,2021-08-07 12:21:24,176577
-1,-1,-2,-3,-3,-3,0,1,2021-08-07 12:21:24,193578
-2,0,1,-3,-4,-3,-2,-1,2021-08-07 12:21:24,193578
-2,-2,0,6,7,2,-2,-2,2021-08-07 12:21:24,193578
0,0,-1,0,-1,1,0,0,2021-08-07 12:21:24,209578
-2,0,-4,-4,-3,-4,-2,-1,2021-08-07 12:21:24,209578
-1,0,-2,-5,-2,-1,1,0,2021-08-07 12:21:24,224578
0,0,0,-3,-4,-4,-1,1,2021-08-07 12:21:24,224578
-6,-6,-7,-4,-1,-3,-3,-2,2021-08-07 12:21:24,224578
1,1,3,-2,-2,-1,-2,1,2021-08-07 12:21:24,225579
1,0,1,9,11,4,0,0,2021-08-07 12:21:24,240577
2,2,3,4,1,2,3,1,2021-08-07 12:21:24,256578
-2,-5,-4,-9,-4,-2,-2,-4,2021-08-07 12:21:24,256578
1,1,3,7,1,1,1,0,2021-08-07 12:21:24,272577
-3,-2,-8,-20,-13,-7,-4,-4,2021-08-07 12:21:24,272577
2,2,9,21,12,6,2,0,2021-08-07 12:21:24,272577
0,1,1,-1,-3,-4,-1,0,2021-08-07 12:21:24,272577
-2,-4,-4,-4,-3,-2,-3,-4,2021-08-07 12:21:24,272577
-2,-2,-5,-8,-3,-2,0,-2,2021-08-07 12:21:24,272577
2,3,2,0,-1,1,0,0,2021-08-07 12:21:24,273579
1,2,0,-2,-4,-1,0,-1,2021-08-07 12:21:24,273579
0,1,0,3,3,0,1,-1,2021-08-07 12:21:24,288577
-5,-7,-6,-6,-10,-6,-4,-3,2021-08-07 12:21:24,288577
5,3,3,-3,-1,0,1,2,2021-08-07 12:21:24,304579
0,-1,1,11,12,6,2,0,2021-08-07 12:21:24,320578
-1,-1,0,-2,-1,-1,0,-3,2021-08-07 12:21:24,336576
-2,-3,-1,3,3,1,-4,-4,2021-08-07 12:21:24,352620
0,1,-2,-10,-10,-5,-2,0,2021-08-07 12:21:24,352620
1,4,0,-2,-4,-1,1,2,2021-08-07 12:21:24,352620
-4,-6,-5,-5,-5,-3,-4,-2,2021-08-07 12:21:24,352620
3,4,2,2,5,3,2,3,2021-08-07 12:21:24,352620
-5,-5,-4,1,1,1,-2,-3,2021-08-07 12:21:24,353620
3,4,2,-1,0,0,1,1,2021-08-07 12:21:24,353620
-5,-7,-8,-18,-13,-8,-4,-5,2021-08-07 12:21:24,353620
7,10,15,25,21,10,7,7,2021-08-07 12:21:24,353620
-3,-6,-10,-11,-6,-3,-1,-1,2021-08-07 12:21:24,368620
-3,-1,5,9,12,2,-1,-3,2021-08-07 12:21:24,383621
-2,-2,-1,0,-2,-4,-2,-2,2021-08-07 12:21:24,383621
-2,-2,-3,-8,-11,-5,-2,-2,2021-08-07 12:21:24,383621
-3,-1,-2,3,5,0,-3,-1,2021-08-07 12:21:24,383621
1,-1,-3,-6,-6,-2,-2,0,2021-08-07 12:21:24,384620
1,3,4,3,1,1,1,1,2021-08-07 12:21:24,399620
-3,-4,-2,0,1,-1,-1,-2,2021-08-07 12:21:24,399620
