EMG 1,EMG 2,EMG 3,EMG 4,EMG 5,EMG 6,EMG 7,EMG 8,Timestamp,Milliseconds
-2,-3,-2,-2,-6,-4,-3,-2,2021-08-07 12:39:24,797300
-2,-2,-2,-6,-10,-8,-3,0,2021-08-07 12:39:24,797300
-2,-2,-2,3,5,1,0,-2,2021-08-07 12:39:24,797300
1,-1,-2,3,3,4,0,-1,2021-08-07 12:39:24,797300
3,3,3,-2,-3,0,1,2,2021-08-07 12:39:24,797300
0,-1,0,2,5,2,1,-1,2021-08-07 12:39:24,797300
-4,-4,-4,-9,-13,-9,-6,-4,2021-08-07 12:39:24,797300
-1,0,4,10,20,13,6,-1,2021-08-07 12:39:24,798300
1,0,1,2,3,-1,0,1,2021-08-07 12:39:24,798300
1,0,0,-4,-10,-6,-2,-2,2021-08-07 12:39:24,798300
-2,-2,-2,-4,-6,-5,-2,-3,2021-08-07 12:39:24,798300
-4,-4,-5,-6,-4,-2,-2,-2,2021-08-07 12:39:24,798300
1,2,1,9,9,8,5,3,2021-08-07 12:39:24,813300
0,3,1,2,7,2,1,1,2021-08-07 12:39:24,829300
1,0,3,-3,-6,-4,-2,0,2021-08-07 12:39:24,845302
-2,-4,-6,-12,-20,-14,-8,-4,2021-08-07 12:39:24,845302
0,0,-1,3,10,9,2,-1,2021-08-07 12:39:24,845302
-6,-10,-10,-7,-10,-6,-6,-6,2021-08-07 12:39:24,845302
7,10,8,9,6,5,7,6,2021-08-07 12:39:24,845302
2,3,3,6,19,14,7,2,2021-08-07 12:39:24,845302
0,0,-1,-2,-2,-4,-1,-3,2021-08-07 12:39:24,877301
-5,-8,-7,-4,-2,-2,-3,-5,2021-08-07 12:39:24,877301
2,4,3,10,17,12,6,3,2021-08-07 12:39:24,877301
1,5,2,-1,-12,-9,-3,1,2021-08-07 12:39:24,877301
-5,-6,-8,-12,-18,-12,-8,-6,2021-08-07 12:39:24,877301
0,1,1,3,-3,0,0,1,2021-08-07 12:39:24,877301
-4,-8,-7,-9,-9,-3,-4,-3,2021-08-07 12:39:24,893301
2,4,6,11,21,14,6,3,2021-08-07 12:39:24,893301
1,-1,0,-2,-4,-5,-2,0,2021-08-07 12:39:24,924300
-4,-5,-3,-1,-7,-8,-6,-3,2021-08-07 12:39:24,924300
-1,-1,-4,-12,-10,-6,-1,0,2021-08-07 12:39:24,940302
4,3,4,0,6,4,3,2,2021-08-07 12:39:24,956301
-2,-3,-4,-3,-3,-1,-1,-1,2021-08-07 12:39:24,956301
-3,-2,-1,-5,-7,-4,-5,-2,2021-08-07 12:39:24,956301
5,4,2,15,22,12,5,4,2021-08-07 12:39:24,956301
-1,-1,1,2,1,0,-1,-1,2021-08-07 12:39:24,956301
-7,-7,-7,-17,-25,-19,-11,-6,2021-08-07 12:39:24,956301
-4,-5,-7,-16,-18,-6,-4,-3,2021-08-07 12:39:24,957302
4,5,7,23,35,21,11,3,2021-08-07 12:39:24,957302
0,0,-5,2,7,4,2,0,2021-08-07 12:39:24,957302
3,5,8,12,15,7,4,4,2021-08-07 12:39:24,957302
-4,-6,-8,-11,-14,-12,-8,-4,2021-08-07 12:39:24,957302
-4,-3,-3,-17,-26,-14,-5,-5,2021-08-07 12:39:24,972303
1,3,2,8,7,6,3,1,2021-08-07 12:39:24,988301
0,4,1,1,0,1,1,-1,2021-08-07 12:39:24,988301
-4,-6,-6,-7,-7,-9,-6,-3,2021-08-07 12:39:25,004302
0,1,3,7,10,7,2,2,2021-08-07 12:39:25,020303
2,2,4,2,-3,-2,-2,1,2021-08-07 12:39:25,020303
