EMG 1,EMG 2,EMG 3,EMG 4,EMG 5,EMG 6,EMG 7,EMG 8,Timestamp,Milliseconds
-3,-2,-1,-2,2,2,0,-3,2021-08-07 10:50:09,515656
2,2,7,24,22,9,3,1,2021-08-07 10:50:09,515656
-1,-1,0,-3,-5,-3,-1,-2,2021-08-07 10:50:09,515656
-2,-2,-2,-2,-3,-2,-2,-2,2021-08-07 10:50:09,515656
-2,-1,-3,-6,-9,-4,-2,-2,2021-08-07 10:50:09,515656
-1,-2,-5,-15,-11,-4,-3,0,2021-08-07 10:50:09,515656
0,0,1,2,5,1,0,0,2021-08-07 10:50:09,515656
0,1,2,2,-3,0,1,0,2021-08-07 10:50:09,531617
-2,-3,-6,-9,-11,-7,-4,-2,2021-08-07 10:50:09,531617
-3,-2,-4,-14,-17,-6,-2,-1,2021-08-07 10:50:09,531617
4,5,11,33,40,15,7,4,2021-08-07 10:50:09,531617
-2,0,-2,0,1,0,-1,-2,2021-08-07 10:50:09,531617
-2,-3,-1,4,1,0,-2,-3,2021-08-07 10:50:09,531617
2,0,-2,-7,-7,-5,-3,0,2021-08-07 10:50:09,531617
-2,-4,-6,-14,-9,-3,-2,-2,2021-08-07 10:50:09,531617
0,0,5,10,7,3,1,1,2021-08-07 10:50:09,531617
0,1,-1,-2,-5,-4,-2,1,2021-08-07 10:50:09,531617
-3,-5,-4,-6,-7,-4,-1,-3,2021-08-07 10:50:09,531617
-2,-2,-3,-6,-4,-1,-1,-1,2021-08-07 10:50:09,563658
-5,-4,-6,-8,-3,-4,-2,-2,2021-08-07 10:50:09,579668
0,1,1,2,2,1,1,-1,2021-08-07 10:50:09,595658
0,2,4,8,12,5,1,0,2021-08-07 10:50:09,595658
0,1,0,-4,-6,-2,0,-1,2021-08-07 10:50:09,595658
-1,-2,-6,-8,-9,-4,-2,-2,2021-08-07 10:50:09,595658
0,-2,-3,-2,2,-2,-1,-2,2021-08-07 10:50:09,627657
3,3,5,19,24,12,5,3,2021-08-07 10:50:09,627657
-1,0,-1,6,4,-1,-2,-2,2021-08-07 10:50:09,627657
2,3,3,8,15,11,4,2,2021-08-07 10:50:09,627657
1,2,4,11,2,2,2,3,2021-08-07 10:50:09,627657
-4,-5,-5,-13,-16,-9,-3,-3,2021-08-07 10:50:09,627657
-4,-3,-3,-12,-16,-7,-2,-2,2021-08-07 10:50:09,627657
-1,0,-1,5,13,2,0,0,2021-08-07 10:50:09,627657
0,1,1,-5,-5,1,0,-2,2021-08-07 10:50:09,627657
-1,-4,-4,-5,-11,-5,-3,-3,2021-08-07 10:50:09,628620
-1,-3,-3,-5,-6,-1,-3,-1,2021-08-07 10:50:09,628620
-3,-3,-3,-4,-8,-4,-3,-1,2021-08-07 10:50:09,628620
1,1,2,7,13,5,2,3,2021-08-07 10:50:09,638657
-2,-1,-1,1,-1,-2,-1,-2,2021-08-07 10:50:09,638657
0,0,-3,-7,-5,-2,-2,0,2021-08-07 10:50:09,659621
1,2,1,-2,-5,-2,0,1,2021-08-07 10:50:09,659621
-3,-3,-3,-9,-6,-4,-4,-2,2021-08-07 10:50:09,675648
3,3,5,13,10,4,2,1,2021-08-07 10:50:09,691643
-3,-3,-2,0,1,0,-1,-1,2021-08-07 10:50:09,707659
0,-2,-1,0,1,0,-1,-2,2021-08-07 10:50:09,723658
-1,0,-4,-9,-13,-5,-1,-1,2021-08-07 10:50:09,739658
-1,0,-3,-7,-6,-3,-1,0,2021-08-07 10:50:09,739658
0,0,2,7,11,3,-1,0,2021-08-07 10:50:09,739658
-2,-2,0,-1,-4,-1,-1,-1,2021-08-07 10:50:09,739658
-2,-3,-3,-2,-2,-1,0,-2,2021-08-07 10:50:09,739658
1,2,3,-2,-4,-1,-1,0,2021-08-07 10:50:09,739658
0,-1,-2,-4,-6,-4,-2,-4,2021-08-07 10:50:09,739658
2,2,6,14,14,7,3,2,2021-08-07 10:50:09,739658
-5,-5,-7,-12,-14,-8,-6,-5,2021-08-07 10:50:09,740658
0,2,1,1,0,0,1,1,2021-08-07 10:50:09,740658
0,1,0,1,-6,-4,-2,0,2021-08-07 10:50:09,755662
2,0,-1,0,16,6,-1,2,2021-08-07 10:50:09,771647
2,1,4,16,19,7,4,0,2021-08-07 10:50:09,771647
-3,-4,-4,-3,-3,-4,-2,-3,2021-08-07 10:50:09,771647
-1,-2,-4,-7,-7,-3,0,-1,2021-08-07 10:50:09,771647
-6,-5,-5,-8,-19,-10,-4,-5,2021-08-07 10:50:09,771647
-3,-2,2,1,0,-1,-4,-1,2021-08-07 10:50:09,771647
-5,-5,-3,-7,-6,-6,-6,-6,2021-08-07 10:50:09,772619
2,2,4,2,0,0,-1,-1,2021-08-07 10:50:09,787659
2,2,1,-4,-2,-3,-3,-1,2021-08-07 10:50:09,803620
4,3,1,2,0,1,2,2,2021-08-07 10:50:09,803620
-1,-2,-4,-10,-20,-7,-2,-2,2021-08-07 10:50:09,803620
