EMG 1,EMG 2,EMG 3,EMG 4,EMG 5,EMG 6,EMG 7,EMG 8,Timestamp,Milliseconds
2,0,1,3,5,1,2,2,2021-08-07 12:07:39,621912
1,0,-1,1,2,1,0,-1,2021-08-07 12:07:39,621912
-3,-5,-5,-4,-6,-4,-4,-4,2021-08-07 12:07:39,621912
-2,-2,0,2,4,0,-2,-1,2021-08-07 12:07:39,621912
1,1,-2,-3,-4,0,0,1,2021-08-07 12:07:39,637912
1,1,-1,-4,-2,-1,-1,0,2021-08-07 12:07:39,637912
-1,-1,-2,0,-1,-3,-1,-1,2021-08-07 12:07:39,637912
0,-2,-1,-7,-6,-2,-2,2,2021-08-07 12:07:39,637912
1,0,1,3,0,0,-2,-1,2021-08-07 12:07:39,653913
2,1,6,14,20,8,4,2,2021-08-07 12:07:39,653913
-2,-2,-3,-8,-3,-2,-2,-2,2021-08-07 12:07:39,653913
-2,-1,-5,-15,-24,-11,-4,-4,2021-08-07 12:07:39,653913
1,1,6,16,21,10,3,2,2021-08-07 12:07:39,653913
1,1,2,4,0,0,-1,0,2021-08-07 12:07:39,653913
-3,-3,-2,-1,0,0,-2,-2,2021-08-07 12:07:39,685913
-1,-1,0,5,4,-1,0,-1,2021-08-07 12:07:39,685913
-2,-2,-6,-17,-16,-10,-4,-3,2021-08-07 12:07:39,685913
-3,-4,-3,-5,-7,-5,-4,-3,2021-08-07 12:07:39,685913
-2,-4,-3,3,4,1,-2,0,2021-08-07 12:07:39,717913
4,5,3,-2,2,3,1,2,2021-08-07 12:07:39,717913
0,-1,0,0,1,0,2,-1,2021-08-07 12:07:39,717913
-3,-3,-1,-3,-1,-1,-1,-2,2021-08-07 12:07:39,717913
-1,-2,-3,-4,-8,-6,-4,-3,2021-08-07 12:07:39,717913
1,0,-1,2,5,3,1,0,2021-08-07 12:07:39,717913
0,-1,-5,-11,-4,-3,-1,0,2021-08-07 12:07:39,717913
2,4,7,12,5,3,3,2,2021-08-07 12:07:39,717913
-3,-4,-3,-6,-4,-4,-2,-2,2021-08-07 12:07:39,748913
-3,-1,-2,1,2,-1,-2,-1,2021-08-07 12:07:39,748913
-3,-1,-1,1,-1,-1,-1,0,2021-08-07 12:07:39,748913
-3,-6,-8,-14,-13,-7,-3,-2,2021-08-07 12:07:39,748913
-4,-3,-3,-6,-1,-2,-3,-3,2021-08-07 12:07:39,780913
1,0,0,-1,0,1,0,1,2021-08-07 12:07:39,780913
3,2,4,6,5,1,2,2,2021-08-07 12:07:39,780913
-1,-5,-2,-2,-3,-2,-2,-3,2021-08-07 12:07:39,780913
0,2,-2,-6,-6,-3,-2,0,2021-08-07 12:07:39,795912
-1,-1,-1,0,-1,0,-2,-2,2021-08-07 12:07:39,811913
0,-1,0,0,3,1,0,0,2021-08-07 12:07:39,811913
-2,-1,-1,3,4,2,0,1,2021-08-07 12:07:39,811913
-4,-4,-3,-5,-8,-5,-4,-5,2021-08-07 12:07:39,826947
0,0,-2,-5,-1,0,0,1,2021-08-07 12:07:39,835947
4,4,2,5,1,1,0,3,2021-08-07 12:07:39,835947
1,1,3,10,10,3,1,0,2021-08-07 12:07:39,835947
-2,-2,-1,0,0,-1,-1,-2,2021-08-07 12:07:39,836951
-2,-1,0,2,-1,-4,-3,-2,2021-08-07 12:07:39,836951
-4,-5,-4,-7,-8,-3,-1,-4,2021-08-07 12:07:39,836951
1,2,-3,-9,0,0,0,0,2021-08-07 12:07:39,836951
2,2,3,4,-4,-1,1,2,2021-08-07 12:07:39,836951
-1,-2,-1,0,0,-1,0,-1,2021-08-07 12:07:39,836951
0,-1,1,2,0,0,0,-1,2021-08-07 12:07:39,836951
-3,-4,-3,-2,-5,-3,-4,-3,2021-08-07 12:07:39,837947
0,-1,-2,-3,0,0,0,-2,2021-08-07 12:07:39,874948
-2,-1,-4,-8,-8,-5,-3,-2,2021-08-07 12:07:39,890948
