EMG 1,EMG 2,EMG 3,EMG 4,EMG 5,EMG 6,EMG 7,EMG 8,Timestamp,Milliseconds
-4,-5,-3,-6,-8,-6,-4,-4,2021-08-07 12:14:24,729718
0,0,-3,-5,-2,-2,-1,-1,2021-08-07 12:14:24,729718
1,1,1,0,-1,-1,1,1,2021-08-07 12:14:24,729718
0,0,1,2,-1,0,1,1,2021-08-07 12:14:24,729718
-2,-1,-4,-1,1,0,-2,-2,2021-08-07 12:14:24,729718
-4,-1,-2,-2,-4,-4,-2,-1,2021-08-07 12:14:24,729718
-4,-2,-2,-4,-1,0,-1,-2,2021-08-07 12:14:24,729718
0,2,0,-3,-2,0,1,1,2021-08-07 12:14:24,729718
-4,-4,-5,-11,-12,-8,-1,-3,2021-08-07 12:14:24,760717
1,2,6,14,14,7,1,0,2021-08-07 12:14:24,776717
2,5,4,9,8,4,1,1,2021-08-07 12:14:24,792718
-2,-3,-2,-2,-4,-3,-2,-2,2021-08-07 12:14:24,792718
-1,1,0,-5,-3,-1,-2,-2,2021-08-07 12:14:24,792718
-4,-6,-4,-11,-13,-10,-5,-3,2021-08-07 12:14:24,792718
3,1,-2,-6,-5,-2,1,1,2021-08-07 12:14:24,792718
-5,-5,-4,-9,-13,-7,-6,-5,2021-08-07 12:14:24,792718
5,5,15,38,39,20,10,4,2021-08-07 12:14:24,792718
0,-1,-3,-1,-3,0,-2,1,2021-08-07 12:14:24,792718
0,0,0,0,-1,-1,-2,-1,2021-08-07 12:14:24,792718
-1,-1,-4,-8,-4,-3,-2,0,2021-08-07 12:14:24,808718
-3,-2,-4,-10,-11,-6,-4,-3,2021-08-07 12:14:24,823720
-2,-2,0,2,3,1,1,-2,2021-08-07 12:14:24,823720
-3,-2,0,2,-1,-1,-2,0,2021-08-07 12:14:24,823720
0,-2,-3,-5,-2,-2,-2,-2,2021-08-07 12:14:24,823720
2,3,1,2,2,1,0,3,2021-08-07 12:14:24,854717
4,5,3,7,15,6,3,2,2021-08-07 12:14:24,854717
-1,0,2,2,1,0,-1,-1,2021-08-07 12:14:24,854717
-6,-7,-9,-17,-19,-11,-7,-6,2021-08-07 12:14:24,854717
6,8,15,30,27,15,8,6,2021-08-07 12:14:24,854717
-3,-4,-5,-7,-10,-4,-4,-2,2021-08-07 12:14:24,854717
-4,-4,-5,-4,-2,-3,-3,-3,2021-08-07 12:14:24,870719
3,3,0,-1,-2,0,0,1,2021-08-07 12:14:24,886717
-4,-6,-6,-10,-7,-4,-3,-4,2021-08-07 12:14:24,886717
2,2,4,3,0,2,0,0,2021-08-07 12:14:24,886717
-2,-2,0,2,1,0,-1,-1,2021-08-07 12:14:24,886717
-3,-5,-3,-3,-2,-2,-2,-3,2021-08-07 12:14:24,886717
-1,-1,-5,-7,-9,-6,-2,-3,2021-08-07 12:14:24,886717
-2,-1,-2,-7,1,1,-1,-2,2021-08-07 12:14:24,886717
0,0,3,7,4,3,2,0,2021-08-07 12:14:24,902718
2,5,6,9,7,3,2,3,2021-08-07 12:14:24,902718
0,-1,-1,2,3,3,3,1,2021-08-07 12:14:24,902718
-3,-4,-2,-2,-6,-5,-2,-3,2021-08-07 12:14:24,902718
-4,-4,-7,-15,-15,-10,-4,-4,2021-08-07 12:14:24,934718
1,0,-2,-8,-6,-3,-1,0,2021-08-07 12:14:24,950719
-1,-1,4,12,17,8,3,1,2021-08-07 12:14:24,951718
1,4,6,11,3,2,2,2,2021-08-07 12:14:24,951718
-3,-4,-3,-4,-1,0,-3,-2,2021-08-07 12:14:24,951718
-1,-2,0,0,-1,-2,-1,0,2021-08-07 12:14:24,951718
-2,-2,-6,-13,-15,-6,-5,-2,2021-08-07 12:14:24,952718
-1,-1,-2,0,2,0,-1,-2,2021-08-07 12:14:24,952718
3,5,1,-2,-1,0,0,1,2021-08-07 12:14:24,966716
-2,-3,-3,-2,-4,-2,-2,-2,2021-08-07 12:14:24,982718
-3,-3,-3,-4,-4,-3,-3,-2,2021-08-07 12:14:24,998718
-1,-1,0,1,4,1,0,2,2021-08-07 12:14:24,998718
3,1,-1,-6,-9,-3,-1,0,2021-08-07 12:14:24,998718
0,1,2,6,6,4,2,2,2021-08-07 12:14:24,998718
3,6,8,13,12,6,3,5,2021-08-07 12:14:24,998718
1,-2,-4,-1,-3,-2,0,0,2021-08-07 12:14:24,998718
-2,-4,0,2,2,-2,0,-1,2021-08-07 12:14:24,998718
-2,0,0,-5,-3,-1,-3,-2,2021-08-07 12:14:24,998718
-2,-3,-9,-12,-10,-4,-2,-1,2021-08-07 12:14:25,013716
-3,-3,-1,-2,-3,-3,-2,-3,2021-08-07 12:14:25,029718
-1,3,2,3,4,2,1,0,2021-08-07 12:14:25,044719
1,-2,-1,0,1,0,0,-1,2021-08-07 12:14:25,044719
-3,-4,-4,-8,-10,-6,-3,-3,2021-08-07 12:14:25,044719
2,0,-1,0,4,0,2,0,2021-08-07 12:14:25,044719
-1,-2,-3,-4,-5,-2,0,1,2021-08-07 12:14:25,044719
-1,-2,-1,-2,-1,0,2,-1,2021-08-07 12:14:25,044719
0,-2,0,2,6,4,0,-2,2021-08-07 12:14:25,059716
-8,-5,-5,-4,-3,-3,-6,-4,2021-08-07 12:14:25,059716
2,4,2,4,4,4,-2,0,2021-08-07 12:14:25,059716
-1,2,2,0,-4,-4,-1,-1,2021-08-07 12:14:25,059716
0,-1,-2,-7,-8,-5,-3,1,2021-08-07 12:14:25,075717
1,1,0,-2,0,0,0,0,2021-08-07 12:14:25,075717
-3,-8,-6,-6,-6,-5,-4,-3,2021-08-07 12:14:25,091718
1,0,1,4,8,3,1,0,2021-08-07 12:14:25,091718
2,2,0,3,-2,0,0,0,2021-08-07 12:14:25,091718
-3,-2,-2,-8,-11,-6,-2,-3,2021-08-07 12:14:25,091718
-2,0,1,3,2,-1,0,0,2021-08-07 12:14:25,122721
0,-3,-2,4,7,3,0,0,2021-08-07 12:14:25,138720
0,2,1,2,-1,-2,-1,-1,2021-08-07 12:14:25,154745
1,0,-2,-7,-4,-3,-1,1,2021-08-07 12:14:25,154745
0,0,2,9,4,2,1,-1,2021-08-07 12:14:25,154745
-2,-3,-4,-4,-5,-5,-2,-2,2021-08-07 12:14:25,154745
-5,-5,-2,-1,2,-2,-2,-2,2021-08-07 12:14:25,154745
5,8,1,-13,-17,-5,1,3,2021-08-07 12:14:25,154745
