EMG 1,EMG 2,EMG 3,EMG 4,EMG 5,EMG 6,EMG 7,EMG 8,Timestamp,Milliseconds
0,0,-1,5,-8,-6,-3,-1,2021-08-06 13:57:48,151298
0,-2,-8,-20,-11,-4,0,-1,2021-08-06 13:57:48,151298
-4,-6,-9,-20,-10,-6,-5,-4,2021-08-06 13:57:48,151298
1,1,-2,-11,-7,-3,-1,0,2021-08-06 13:57:48,151298
-2,-3,1,0,-9,-7,-3,-2,2021-08-06 13:57:48,151298
7,10,22,63,31,17,10,8,2021-08-06 13:57:48,151298
-1,0,-6,-6,-6,1,0,-1,2021-08-06 13:57:48,152296
-4,-6,-21,-52,-6,-1,-3,-2,2021-08-06 13:57:48,152296
-12,-13,-12,-22,-29,-17,-13,-11,2021-08-06 13:57:48,152296
3,5,7,8,9,3,2,3,2021-08-06 13:57:48,152296
-2,-1,1,-2,10,4,1,-1,2021-08-06 13:57:48,152296
-1,0,2,31,1,-6,-4,-2,2021-08-06 13:57:48,152296
2,0,0,4,5,5,2,2,2021-08-06 13:57:48,166296
-4,-5,-9,-38,-35,-19,-9,-4,2021-08-06 13:57:48,166296
3,2,15,29,25,12,5,3,2021-08-06 13:57:48,197540
1,-1,-15,-4,6,3,3,-1,2021-08-06 13:57:48,197540
-5,-4,-4,1,-12,-11,-6,-6,2021-08-06 13:57:48,197540
2,4,6,2,1,3,1,0,2021-08-06 13:57:48,197540
9,14,22,28,44,24,15,10,2021-08-06 13:57:48,197540
0,1,16,28,3,0,-2,-1,2021-08-06 13:57:48,197540
-1,-4,-12,-15,-7,-3,-2,0,2021-08-06 13:57:48,212804
-7,-11,-21,-32,-15,-6,-3,-4,2021-08-06 13:57:48,212804
-8,-9,-19,-52,-41,-24,-14,-8,2021-08-06 13:57:48,228804
2,3,12,29,16,11,5,2,2021-08-06 13:57:48,244807
5,7,18,44,22,6,4,4,2021-08-06 13:57:48,244807
0,1,0,1,-13,-7,-5,-1,2021-08-06 13:57:48,244807
-1,-7,-17,-49,-32,-12,-5,0,2021-08-06 13:57:48,260806
-4,-8,-10,0,16,5,2,-1,2021-08-06 13:57:48,269804
3,4,9,25,40,24,10,3,2021-08-06 13:57:48,291805
3,2,1,10,8,6,3,2,2021-08-06 13:57:48,291805
6,7,4,2,3,4,5,4,2021-08-06 13:57:48,291805
-5,-2,7,13,-7,-11,-8,-6,2021-08-06 13:57:48,291805
-1,1,0,0,-18,-10,-2,-1,2021-08-06 13:57:48,291805
1,1,-5,-18,-1,1,0,0,2021-08-06 13:57:48,291805
-7,-9,-13,-37,-14,-8,-7,-5,2021-08-06 13:57:48,291805
-1,2,-4,18,7,3,2,0,2021-08-06 13:57:48,292806
7,9,13,30,23,12,6,6,2021-08-06 13:57:48,292806
1,3,1,10,0,-1,2,1,2021-08-06 13:57:48,292806
2,2,-4,-15,6,8,2,1,2021-08-06 13:57:48,307805
-5,-8,-8,-38,-24,-11,-7,-6,2021-08-06 13:57:48,307805
-7,-7,5,11,-5,-7,-7,-5,2021-08-06 13:57:48,323805
-2,-1,-3,15,1,-4,-4,1,2021-08-06 13:57:48,339806
7,9,0,2,10,8,6,5,2021-08-06 13:57:48,355805
-7,-12,-29,-64,-41,-17,-9,-7,2021-08-06 13:57:48,355805
6,7,10,30,45,27,11,5,2021-08-06 13:57:48,355805
-2,3,20,29,13,4,2,0,2021-08-06 13:57:48,355805
-5,-3,6,32,-4,-6,-4,-4,2021-08-06 13:57:48,355805
5,4,-3,-10,4,4,5,5,2021-08-06 13:57:48,355805
-11,-16,-27,-60,-52,-29,-15,-12,2021-08-06 13:57:48,355805
0,0,0,8,13,5,-1,-3,2021-08-06 13:57:48,355805
1,1,10,29,9,1,0,-1,2021-08-06 13:57:48,387806
5,9,13,23,28,16,8,6,2021-08-06 13:57:48,387806
0,-1,-2,-8,-7,0,3,0,2021-08-06 13:57:48,387806
-2,-6,-16,-34,-5,-3,-2,-4,2021-08-06 13:57:48,387806
-6,-6,-11,-8,-3,-6,-6,-4,2021-08-06 13:57:48,403808
-3,-3,3,4,-11,-6,-5,-1,2021-08-06 13:57:48,403808
-1,2,0,2,-2,-4,-2,0,2021-08-06 13:57:48,403808
-1,0,3,-1,0,3,2,-1,2021-08-06 13:57:48,403808
-4,-3,-1,-3,-9,-7,-4,-3,2021-08-06 13:57:48,418804
6,5,10,27,18,9,8,7,2021-08-06 13:57:48,433804
-2,0,1,10,0,-1,-2,-1,2021-08-06 13:57:48,433804
0,-3,-9,-29,-1,4,2,0,2021-08-06 13:57:48,433804
-3,-3,-9,-5,21,10,1,-2,2021-08-06 13:57:48,448806
1,1,9,25,10,3,1,-1,2021-08-06 13:57:48,464804
-1,-2,-6,-11,-18,-10,-5,-3,2021-08-06 13:57:48,480804
7,7,3,-3,6,5,6,5,2021-08-06 13:57:48,480804
-5,-6,-1,-7,-9,-5,-4,-3,2021-08-06 13:57:48,480804
-4,-3,-9,-17,-4,-4,-3,-4,2021-08-06 13:57:48,480804
-2,-2,-2,-13,0,-2,-2,0,2021-08-06 13:57:48,480804
-5,-5,-2,3,-13,-11,-7,-5,2021-08-06 13:57:48,480804
3,5,10,11,1,-1,3,3,2021-08-06 13:57:48,480804
6,9,18,47,31,16,8,5,2021-08-06 13:57:48,480804
-6,-7,-17,-13,-5,-4,-5,-6,2021-08-06 13:57:48,480804
1,0,-10,-37,-12,1,3,4,2021-08-06 13:57:48,481807
-2,-5,-2,-11,-13,-9,-5,-2,2021-08-06 13:57:48,496804
-8,-8,-6,-11,-20,-14,-10,-7,2021-08-06 13:57:48,512804
2,4,12,21,-6,-7,-3,-1,2021-08-06 13:57:48,528804
3,3,9,28,35,17,7,4,2021-08-06 13:57:48,543804
1,1,5,10,12,6,2,-2,2021-08-06 13:57:48,543804
1,-2,-5,-16,0,1,0,1,2021-08-06 13:57:48,558804
-7,-10,-32,-39,-16,-9,-7,-5,2021-08-06 13:57:48,574806
-14,-17,-18,-34,-40,-22,-16,-13,2021-08-06 13:57:48,574806
2,5,9,16,9,6,6,6,2021-08-06 13:57:48,574806
2,5,7,10,9,4,3,1,2021-08-06 13:57:48,574806
0,2,13,8,10,6,3,2,2021-08-06 13:57:48,574806
3,2,-5,15,0,-3,-1,0,2021-08-06 13:57:48,574806
-5,-8,-10,-19,-17,-12,-7,-5,2021-08-06 13:57:48,574806
5,6,15,35,26,13,6,4,2021-08-06 13:57:48,574806
5,5,4,4,0,1,4,4,2021-08-06 13:57:48,574806
-1,-1,-1,-1,3,2,-2,0,2021-08-06 13:57:48,574806
-10,-11,-19,-43,-43,-26,-14,-11,2021-08-06 13:57:48,574806
7,8,12,35,47,26,12,8,2021-08-06 13:57:48,575807
-2,1,-4,-21,-9,-4,-3,-2,2021-08-06 13:57:48,575807
-2,0,5,18,23,14,7,2,2021-08-06 13:57:48,575807
-1,-4,-8,-3,-5,-2,-3,-1,2021-08-06 13:57:48,590805
-7,-9,-13,-21,-29,-19,-8,-8,2021-08-06 13:57:48,590805
3,5,10,18,6,1,4,2,2021-08-06 13:57:48,606806
-1,1,9,14,-2,-5,-4,-2,2021-08-06 13:57:48,621804
5,6,7,19,2,3,5,5,2021-08-06 13:57:48,621804
-4,-3,-14,-42,-17,-6,-4,-4,2021-08-06 13:57:48,621804
-4,-8,-15,-32,-1,1,-2,-2,2021-08-06 13:57:48,621804
-2,-4,-3,-2,-15,-11,-5,-3,2021-08-06 13:57:48,621804
1,2,8,13,3,-4,-2,-1,2021-08-06 13:57:48,670806
4,6,10,38,41,26,11,3,2021-08-06 13:57:48,686808
-4,-4,-4,1,-9,-7,-4,-4,2021-08-06 13:57:48,686808
-6,-8,-14,-48,-35,-20,-11,-7,2021-08-06 13:57:48,702806
7,9,14,23,36,23,12,10,2021-08-06 13:57:48,702806
-6,-4,-10,-1,-22,-14,-9,-5,2021-08-06 13:57:48,702806
-2,-4,-7,-13,-2,1,-1,-1,2021-08-06 13:57:48,702806
-3,-6,-6,-9,-15,-14,-5,-5,2021-08-06 13:57:48,702806
4,5,9,15,20,11,7,3,2021-08-06 13:57:48,702806
-1,2,8,9,-2,-4,-2,-2,2021-08-06 13:57:48,703805
7,7,9,37,34,20,8,4,2021-08-06 13:57:48,703805
-2,-4,-14,-32,-18,-8,-3,0,2021-08-06 13:57:48,703805
-13,-13,-7,-31,-38,-27,-17,-12,2021-08-06 13:57:48,703805
7,9,7,22,14,11,10,9,2021-08-06 13:57:48,703805
3,7,19,38,20,6,1,0,2021-08-06 13:57:48,703805
-2,-3,-2,-3,4,3,0,0,2021-08-06 13:57:48,703805
1,-2,-19,-48,-14,-1,-2,-4,2021-08-06 13:57:48,718806
-12,-16,-21,-25,-19,-15,-12,-9,2021-08-06 13:57:48,718806
-2,-2,5,18,-3,-5,-3,-1,2021-08-06 13:57:48,718806
4,7,16,38,15,11,5,3,2021-08-06 13:57:48,718806
1,3,0,3,7,4,5,2,2021-08-06 13:57:48,734807
-6,-11,-12,-47,-33,-18,-10,-6,2021-08-06 13:57:48,750804
-5,-6,-13,-17,-7,-7,-4,-3,2021-08-06 13:57:48,750804
-2,1,16,24,-14,-14,-7,-3,2021-08-06 13:57:48,750804
15,19,25,77,66,39,22,17,2021-08-06 13:57:48,766805
-1,-5,-20,-54,-14,-3,-3,-3,2021-08-06 13:57:48,766805
-3,-5,-8,-27,-9,-2,-1,-1,2021-08-06 13:57:48,766805
-3,-2,-2,-7,-9,-8,-5,-3,2021-08-06 13:57:48,766805
-12,-14,-7,-19,-52,-32,-17,-10,2021-08-06 13:57:48,766805
12,15,17,52,57,32,19,12,2021-08-06 13:57:48,766805
-1,-2,0,-5,2,4,1,-1,2021-08-06 13:57:48,782805
-1,-4,-11,-14,-1,-1,0,-2,2021-08-06 13:57:48,782805
-2,-1,6,12,3,0,0,0,2021-08-06 13:57:48,798806
-4,-6,-7,-17,-23,-13,-10,-5,2021-08-06 13:57:48,814804
-3,-4,-12,-35,-21,-9,-5,-3,2021-08-06 13:57:48,830804
2,5,6,19,10,6,3,3,2021-08-06 13:57:48,830804
-2,0,-2,-3,-10,-2,-1,-2,2021-08-06 13:57:48,830804
-6,-5,10,18,12,2,-1,-3,2021-08-06 13:57:48,830804
4,5,1,14,3,2,1,2,2021-08-06 13:57:48,830804
-7,-11,-29,-43,-26,-17,-9,-5,2021-08-06 13:57:48,830804
-2,-5,-5,-13,-13,-4,-1,-2,2021-08-06 13:57:48,830804
9,13,15,27,30,17,10,6,2021-08-06 13:57:48,831806
-1,1,8,17,2,0,-1,0,2021-08-06 13:57:48,845804
-2,0,4,-2,-13,-9,-6,-3,2021-08-06 13:57:48,861804
-2,-5,-8,4,5,3,0,-2,2021-08-06 13:57:48,876804
-6,-8,-13,-44,-26,-12,-5,-2,2021-08-06 13:57:48,876804
-1,-3,-2,-6,4,-1,-1,-1,2021-08-06 13:57:48,876804
1,3,3,-11,1,1,1,1,2021-08-06 13:57:48,876804
-1,-2,-5,10,13,5,1,-1,2021-08-06 13:57:48,876804
1,2,4,22,4,-2,-1,1,2021-08-06 13:57:48,876804
3,3,3,11,-3,-2,0,1,2021-08-06 13:57:48,876804
2,1,1,-19,-1,2,1,1,2021-08-06 13:57:48,877807
-5,-4,-2,-15,-19,-12,-8,-6,2021-08-06 13:57:48,908804
5,9,27,48,45,24,11,6,2021-08-06 13:57:48,924805
6,1,-18,-5,-5,1,4,4,2021-08-06 13:57:48,940805
2,-2,-14,-5,22,16,6,1,2021-08-06 13:57:48,940805
-6,-4,-4,-25,-24,-16,-10,-5,2021-08-06 13:57:48,940805
-9,-8,-18,-9,-29,-22,-11,-6,2021-08-06 13:57:48,940805
2,5,22,0,14,13,7,3,2021-08-06 13:57:48,940805
-2,-1,4,30,7,3,-1,-1,2021-08-06 13:57:48,940805
3,3,-2,0,21,9,5,4,2021-08-06 13:57:48,940805
-10,-11,-11,-26,-30,-17,-11,-8,2021-08-06 13:57:48,940805
3,4,7,16,2,2,0,2,2021-08-06 13:57:48,941806
-3,-1,2,-9,-9,-7,-3,-2,2021-08-06 13:57:48,941806
2,0,4,13,6,4,1,6,2021-08-06 13:57:48,972805
-3,-3,-3,16,0,-2,-3,-3,2021-08-06 13:57:48,972805
5,4,1,-22,11,12,8,6,2021-08-06 13:57:48,972805
-2,-1,5,15,4,0,-1,-3,2021-08-06 13:57:48,972805
1,1,7,21,9,0,-2,-3,2021-08-06 13:57:48,972805
1,-2,-16,-37,-26,-11,-4,-2,2021-08-06 13:57:48,972805
