EMG 1,EMG 2,EMG 3,EMG 4,EMG 5,EMG 6,EMG 7,EMG 8,Timestamp
-1,0,0,-1,0,-1,1,-1,2021-08-06 13:28:44.135625
0,-2,0,0,-1,-2,-2,-1,2021-08-06 13:28:44.136625
-1,0,-2,0,-1,0,0,-1,2021-08-06 13:28:44.143626
-1,0,-1,-2,-2,-1,-1,0,2021-08-06 13:28:44.143626
-1,-2,-1,-1,-1,-1,-2,0,2021-08-06 13:28:44.158627
-1,1,0,0,1,-1,-1,-1,2021-08-06 13:28:44.158627
-1,-1,0,1,0,-2,-1,-1,2021-08-06 13:28:44.165625
-2,-1,-1,-2,-1,1,0,-1,2021-08-06 13:28:44.166626
-1,0,-1,-1,-1,-1,-2,-2,2021-08-06 13:28:44.174625
-2,-2,-1,-1,-1,-1,0,1,2021-08-06 13:28:44.174625
-1,0,0,-1,-1,-2,-2,1,2021-08-06 13:28:44.180626
-2,0,-1,-1,0,-2,-2,-2,2021-08-06 13:28:44.181627
-2,-2,-1,0,-1,1,-1,-1,2021-08-06 13:28:44.195625
-2,-1,-2,-1,-1,-2,-2,-2,2021-08-06 13:28:44.196626
-1,0,-1,-2,1,1,-2,1,2021-08-06 13:28:44.203626
0,-1,-1,-1,-1,-2,-1,-1,2021-08-06 13:28:44.203626
-1,1,-1,-1,-1,-1,-1,0,2021-08-06 13:28:44.218625
-1,-1,-2,-2,-1,-1,0,0,2021-08-06 13:28:44.219696
-1,-2,-1,-2,0,1,0,-1,2021-08-06 13:28:44.220627
-2,-2,-2,0,0,1,-1,-1,2021-08-06 13:28:44.220627
-1,-2,-1,0,-2,-2,-2,-1,2021-08-06 13:28:44.234625
-1,0,-2,-1,1,-1,-1,-3,2021-08-06 13:28:44.234625
1,-2,-3,-1,-2,-1,1,-1,2021-08-06 13:28:44.240626
-2,-1,-1,-2,0,0,-1,-1,2021-08-06 13:28:44.241627
0,-1,0,0,-2,1,0,-1,2021-08-06 13:28:44.255624
1,0,1,-1,-2,-2,-1,0,2021-08-06 13:28:44.256627
-1,-1,-3,-2,-1,-1,0,0,2021-08-06 13:28:44.263630
0,-1,-1,1,0,-2,0,-2,2021-08-06 13:28:44.263630
0,-1,-2,-1,-1,-2,0,-1,2021-08-06 13:28:44.278625
