EMG 1,EMG 2,EMG 3,EMG 4,EMG 5,EMG 6,EMG 7,EMG 8,Timestamp,Milliseconds
7,12,16,21,9,6,5,4,2021-08-06 14:03:24,712809
5,2,7,21,11,6,5,4,2021-08-06 14:03:24,712809
4,5,5,6,1,1,2,0,2021-08-06 14:03:24,712809
-4,-7,-5,-15,-8,-7,-6,-5,2021-08-06 14:03:24,712809
-6,-9,-16,-32,-31,-17,-8,-5,2021-08-06 14:03:24,712809
0,4,3,1,12,9,4,1,2021-08-06 14:03:24,712809
-3,-1,4,14,9,3,1,-1,2021-08-06 14:03:24,712809
3,3,1,6,5,4,5,2,2021-08-06 14:03:24,712809
-9,-12,-16,-23,-27,-20,-13,-11,2021-08-06 14:03:24,727834
6,6,3,-8,0,5,6,6,2021-08-06 14:03:24,727834
-1,-1,0,9,17,9,1,-1,2021-08-06 14:03:24,743818
-4,-1,8,31,16,6,1,-3,2021-08-06 14:03:24,743818
3,1,2,4,6,4,3,2,2021-08-06 14:03:24,743818
-2,-4,-7,-17,-30,-17,-9,-5,2021-08-06 14:03:24,743818
-1,-5,-8,-39,-18,-8,-4,-3,2021-08-06 14:03:24,759825
2,1,0,4,-3,-3,0,-1,2021-08-06 14:03:24,759825
0,4,0,-1,-11,-6,0,1,2021-08-06 14:03:24,775818
5,9,22,54,62,32,14,6,2021-08-06 14:03:24,775818
1,-2,-8,33,12,5,3,2,2021-08-06 14:03:24,791799
-3,-5,4,-16,-7,-2,-3,-2,2021-08-06 14:03:24,806833
-4,-1,3,17,2,-2,-2,-2,2021-08-06 14:03:24,822823
-6,-1,6,14,-8,-10,-6,-3,2021-08-06 14:03:24,822823
6,8,14,38,28,17,10,6,2021-08-06 14:03:24,822823
0,-1,1,13,-2,0,-1,0,2021-08-06 14:03:24,822823
3,2,-3,-4,11,8,3,3,2021-08-06 14:03:24,822823
-3,-6,-10,-36,-4,0,-2,-2,2021-08-06 14:03:24,822823
-6,-6,-7,-6,-17,-11,-8,-5,2021-08-06 14:03:24,822823
-6,-7,-7,-13,-19,-12,-5,-5,2021-08-06 14:03:24,822823
-2,-1,3,16,8,0,0,-2,2021-08-06 14:03:24,838834
2,5,3,16,11,7,2,2,2021-08-06 14:03:24,838834
1,0,1,-5,-3,-3,1,-1,2021-08-06 14:03:24,838834
3,7,8,12,7,5,3,2,2021-08-06 14:03:24,838834
-2,-3,-3,-13,-19,-9,-5,-4,2021-08-06 14:03:24,854821
-2,-4,-6,-3,-4,-2,-1,-3,2021-08-06 14:03:24,854821
-3,-3,-1,-1,2,-1,0,1,2021-08-06 14:03:24,870821
2,3,3,14,21,14,6,2,2021-08-06 14:03:24,885819
-4,-6,-7,-11,-8,-7,-5,-2,2021-08-06 14:03:24,900784
-1,1,2,-3,-11,-6,-3,0,2021-08-06 14:03:24,900784
1,1,-1,-1,-3,-2,-3,0,2021-08-06 14:03:24,900784
5,5,7,11,24,12,6,6,2021-08-06 14:03:24,900784
0,0,-1,-3,-2,0,-1,-3,2021-08-06 14:03:24,900784
-2,-3,-2,5,0,-2,-1,-1,2021-08-06 14:03:24,900784
-2,-5,-7,-11,-13,-8,-4,-1,2021-08-06 14:03:24,916833
0,-1,4,-3,-8,-4,0,1,2021-08-06 14:03:24,916833
1,2,6,25,26,12,4,3,2021-08-06 14:03:24,916833
-4,-3,-5,-13,-3,-2,-2,-3,2021-08-06 14:03:24,916833
-8,-6,-5,-7,-7,-5,-6,-8,2021-08-06 14:03:24,932824
-1,1,0,-1,-6,-7,-5,-2,2021-08-06 14:03:24,948832
2,1,1,-12,-15,-7,-2,1,2021-08-06 14:03:24,948832
1,0,0,-11,-12,-2,0,0,2021-08-06 14:03:24,948832
-4,-7,-16,-27,-10,-5,-2,-2,2021-08-06 14:03:24,948832
-4,-4,-9,4,3,-1,-2,-2,2021-08-06 14:03:24,948832
2,2,14,37,9,2,1,-2,2021-08-06 14:03:24,963785
8,11,13,42,31,17,12,8,2021-08-06 14:03:24,963785
1,3,-1,-36,-7,2,0,2,2021-08-06 14:03:24,963785
-11,-16,-20,-56,-45,-26,-15,-11,2021-08-06 14:03:24,963785
4,8,11,38,37,23,10,7,2021-08-06 14:03:24,978840
2,1,3,18,16,8,2,1,2021-08-06 14:03:24,978840
-1,-4,-4,-17,-6,-2,1,0,2021-08-06 14:03:24,994808
-10,-9,-16,-16,-22,-19,-12,-9,2021-08-06 14:03:24,994808
-6,-8,-14,-26,-21,-11,-8,-5,2021-08-06 14:03:24,994808
2,2,8,15,-7,-4,0,0,2021-08-06 14:03:24,994808
8,11,16,37,27,16,7,5,2021-08-06 14:03:25,026785
