EMG 1,EMG 2,EMG 3,EMG 4,EMG 5,EMG 6,EMG 7,EMG 8,Timestamp,Milliseconds
0,-14,-7,2,0,-1,-2,-3,2021-08-05 17:18:28,122205
-1,-21,-6,0,0,-1,0,1,2021-08-05 17:18:28,122323
-3,-32,1,2,1,2,2,1,2021-08-05 17:18:28,122474
0,25,-2,-3,-6,-5,-5,-3,2021-08-05 17:18:28,122547
0,30,10,3,3,0,1,3,2021-08-05 17:18:28,122547
3,28,17,3,0,1,-1,-1,2021-08-05 17:18:28,122659
-4,-62,-23,-3,0,-1,-1,-1,2021-08-05 17:18:28,122745
-3,-16,-9,-2,-2,0,-3,-3,2021-08-05 17:18:28,122745
-2,-1,-1,-5,-3,-1,1,-1,2021-08-05 17:18:28,122745
-2,17,6,-2,-3,-3,-1,-2,2021-08-05 17:18:28,123073
5,56,28,1,1,0,1,1,2021-08-05 17:18:28,154330
6,-67,-48,-2,3,0,1,4,2021-08-05 17:18:28,154330
-17,-16,-11,-11,-11,-7,-4,-6,2021-08-05 17:18:28,154330
1,7,5,-3,-2,-4,-3,-4,2021-08-05 17:18:28,154330
2,39,12,3,0,1,-1,-1,2021-08-05 17:18:28,154330
5,7,35,7,6,6,4,4,2021-08-05 17:18:28,154330
5,0,-25,3,2,1,0,1,2021-08-05 17:18:28,170289
-17,-65,-13,-10,-5,-5,-3,-6,2021-08-05 17:18:28,170289
-1,51,6,-8,-8,-7,-5,-4,2021-08-05 17:18:28,201276
-5,-58,-22,-7,-5,-4,-3,-1,2021-08-05 17:18:28,201276
11,63,36,13,7,5,3,2,2021-08-05 17:18:28,201276
4,-39,-13,-2,0,2,1,4,2021-08-05 17:18:28,201276
3,-6,-1,3,4,2,2,2,2021-08-05 17:18:28,231317
-1,-8,-13,-4,-1,1,0,-3,2021-08-05 17:18:28,231317
-2,-10,-16,-3,-3,-2,-2,-3,2021-08-05 17:18:28,231317
-2,26,21,-4,-5,-6,-4,-4,2021-08-05 17:18:28,231317
1,-25,-15,6,7,6,4,4,2021-08-05 17:18:28,231317
7,22,11,-7,-7,-4,-3,-3,2021-08-05 17:18:28,231317
-6,-18,10,10,9,7,5,3,2021-08-05 17:18:28,236184
-1,-6,-22,-1,-1,-4,-2,-6,2021-08-05 17:18:28,236184
-3,31,7,-5,-5,-4,-4,-4,2021-08-05 17:18:28,247281
7,18,16,11,7,1,2,4,2021-08-05 17:18:28,263184
3,-67,-18,-4,-3,1,1,1,2021-08-05 17:18:28,278664
-9,-13,-2,-5,-4,-3,-2,-2,2021-08-05 17:18:28,294265
-7,26,1,-7,-5,-3,-3,-6,2021-08-05 17:18:28,309265
3,2,-4,0,0,-2,-1,-2,2021-08-05 17:18:28,309265
8,53,22,5,6,3,1,3,2021-08-05 17:18:28,309265
3,2,-5,4,2,3,3,5,2021-08-05 17:18:28,309265
-3,-58,-11,-4,-5,-4,-1,-2,2021-08-05 17:18:28,309265
-7,44,10,-3,-3,-1,-4,-2,2021-08-05 17:18:28,309265
-4,-59,-31,-3,0,1,-3,0,2021-08-05 17:18:28,309265
-3,-8,13,0,-2,-2,-2,-6,2021-08-05 17:18:28,309265
2,4,-24,-4,1,0,1,2,2021-08-05 17:18:28,309265
-6,3,11,-10,-10,-8,-6,-7,2021-08-05 17:18:28,310184
0,21,18,7,6,3,2,1,2021-08-05 17:18:28,324270
4,28,-13,3,4,3,2,4,2021-08-05 17:18:28,324270
-3,-39,12,-1,-3,-4,-1,1,2021-08-05 17:18:28,324270
-7,-39,-12,3,1,2,0,-2,2021-08-05 17:18:28,324270
1,42,1,-7,-4,-4,-3,-2,2021-08-05 17:18:28,355314
-2,-15,-13,-5,-6,-3,-4,-5,2021-08-05 17:18:28,355314
-3,35,17,4,3,5,3,2,2021-08-05 17:18:28,355314
0,-48,-17,2,2,0,0,0,2021-08-05 17:18:28,355314
1,78,22,1,-5,-5,-2,-3,2021-08-05 17:18:28,371291
6,-76,-6,2,2,2,1,2,2021-08-05 17:18:28,387281
-10,-19,-25,-3,1,0,1,-2,2021-08-05 17:18:28,402329
5,48,13,0,-3,-2,-2,0,2021-08-05 17:18:28,402329
-8,-69,-7,-1,-1,0,-1,-1,2021-08-05 17:18:28,402329
-2,41,22,-7,-8,-7,-3,-3,2021-08-05 17:18:28,402329
4,-10,-16,3,4,2,0,1,2021-08-05 17:18:28,402329
-4,-15,-12,-3,-1,0,1,0,2021-08-05 17:18:28,402329
1,27,15,-1,-4,-6,-3,-6,2021-08-05 17:18:28,402329
4,14,0,4,4,5,2,6,2021-08-05 17:18:28,402329
