EMG 1,EMG 2,EMG 3,EMG 4,EMG 5,EMG 6,EMG 7,EMG 8,Timestamp,Milliseconds
-2,-2,-4,-6,-7,-5,-1,-1,2021-08-06 13:45:18,365961
-1,1,1,1,2,3,2,2,2021-08-06 13:45:18,366259
-5,-4,-4,-6,-9,-5,-4,-2,2021-08-06 13:45:18,366259
-2,0,0,3,3,0,-1,-2,2021-08-06 13:45:18,366259
-3,-4,-3,-5,-10,-7,-5,-2,2021-08-06 13:45:18,381416
-2,1,1,5,9,3,-1,-1,2021-08-06 13:45:18,381416
2,0,-2,-2,-4,-2,0,-1,2021-08-06 13:45:18,381416
0,0,1,2,4,4,3,0,2021-08-06 13:45:18,381416
0,-1,-2,0,2,1,1,2,2021-08-06 13:45:18,381416
-3,-2,-4,-10,-16,-9,-4,-3,2021-08-06 13:45:18,381416
1,1,-2,-4,-6,-4,-1,1,2021-08-06 13:45:18,381416
3,1,3,6,18,11,5,2,2021-08-06 13:45:18,381416
-1,-1,0,-1,-1,-1,-2,-3,2021-08-06 13:45:18,381416
1,0,2,7,10,7,2,-1,2021-08-06 13:45:18,381416
-2,-2,-1,-3,-3,-2,-3,-1,2021-08-06 13:45:18,397454
-1,-3,-4,-8,-14,-9,-6,-1,2021-08-06 13:45:18,397454
1,0,1,1,3,-1,0,-1,2021-08-06 13:45:18,397454
2,-2,-1,-3,-3,2,0,-1,2021-08-06 13:45:18,397454
-2,-1,-1,1,2,0,-1,1,2021-08-06 13:45:18,413418
-2,-3,-4,-9,-21,-12,-5,-2,2021-08-06 13:45:18,413418
2,1,4,9,20,10,2,1,2021-08-06 13:45:18,429416
-3,-2,-1,-1,-1,-3,-3,-3,2021-08-06 13:45:18,445467
0,2,1,7,13,7,4,1,2021-08-06 13:45:18,461417
-3,-2,-4,-8,-12,-6,-2,-2,2021-08-06 13:45:18,461417
1,3,3,6,12,6,3,1,2021-08-06 13:45:18,474417
0,-1,-1,3,6,3,2,-1,2021-08-06 13:45:18,475417
0,-3,-1,-1,-4,-3,-2,-2,2021-08-06 13:45:18,475417
-2,-1,-2,1,-1,0,-1,-1,2021-08-06 13:45:18,475417
-1,-3,-4,-7,-9,-7,-2,-1,2021-08-06 13:45:18,492418
2,1,2,3,5,3,1,3,2021-08-06 13:45:18,508417
2,1,2,5,16,7,2,1,2021-08-06 13:45:18,508417
-2,-1,-3,-3,0,-1,-2,-2,2021-08-06 13:45:18,508417
-4,-5,-5,-10,-19,-13,-8,-6,2021-08-06 13:45:18,508417
0,1,3,7,8,7,3,2,2021-08-06 13:45:18,508417
0,-1,1,7,8,5,1,-2,2021-08-06 13:45:18,508417
-1,-4,-3,-8,-13,-10,-4,-3,2021-08-06 13:45:18,508417
-3,-2,-3,-5,-7,-2,-1,-2,2021-08-06 13:45:18,508417
0,2,0,-3,4,1,0,-1,2021-08-06 13:45:18,509456
2,3,3,3,0,2,2,0,2021-08-06 13:45:18,539419
0,-1,-1,-1,-1,-2,-3,-1,2021-08-06 13:45:18,571420
-4,-4,-3,-8,-19,-12,-6,-5,2021-08-06 13:45:18,587417
1,-1,0,5,11,6,1,0,2021-08-06 13:45:18,587417
-1,0,-4,-6,-4,-2,0,1,2021-08-06 13:45:18,587417
0,-1,-4,-1,-2,-3,-1,-3,2021-08-06 13:45:18,587417
0,0,-1,2,4,2,1,1,2021-08-06 13:45:18,603469
-2,-5,-5,-12,-17,-10,-6,-5,2021-08-06 13:45:18,619457
0,1,4,10,16,8,4,2,2021-08-06 13:45:18,635418
-3,-2,-3,-5,-11,-7,-3,-3,2021-08-06 13:45:18,651420
4,3,4,9,22,13,7,5,2021-08-06 13:45:18,667457
0,-1,-1,0,-2,0,-2,-1,2021-08-06 13:45:18,667457
-6,-7,-7,-14,-24,-17,-8,-4,2021-08-06 13:45:18,667457
-2,0,-2,-5,-7,-1,-2,-1,2021-08-06 13:45:18,667457
2,2,4,13,16,13,4,2,2021-08-06 13:45:18,667457
-2,-1,-3,1,1,-1,0,-2,2021-08-06 13:45:18,667457
-2,-4,-4,-7,-14,-7,-4,-3,2021-08-06 13:45:18,667457
2,3,4,5,8,4,4,3,2021-08-06 13:45:18,668418
-2,-3,-5,-8,-11,-6,-5,-3,2021-08-06 13:45:18,668418
-2,-3,-6,-8,-12,-8,-3,-4,2021-08-06 13:45:18,668418
-4,-4,-6,-6,-6,-6,-3,-3,2021-08-06 13:45:18,668418
-1,-1,0,8,7,5,2,1,2021-08-06 13:45:18,668418
3,2,1,3,8,6,4,1,2021-08-06 13:45:18,668418
-1,0,-2,1,1,-2,-1,0,2021-08-06 13:45:18,668418
-2,-1,-2,-5,-7,-6,-3,-2,2021-08-06 13:45:18,668418
2,-2,0,1,7,3,2,-2,2021-08-06 13:45:18,669447
-1,-1,-1,-4,-9,-7,-3,0,2021-08-06 13:45:18,669447
0,-2,-2,-3,-4,-2,-1,0,2021-08-06 13:45:18,669447
-1,0,-2,-5,-6,-3,-3,-2,2021-08-06 13:45:18,669447
-4,-5,-4,-9,-13,-8,-5,-3,2021-08-06 13:45:18,669447
2,3,7,18,28,9,4,1,2021-08-06 13:45:18,669447
2,2,1,-1,5,6,3,1,2021-08-06 13:45:18,669447
0,1,-1,1,4,3,0,1,2021-08-06 13:45:18,698454
0,0,0,2,2,1,-1,0,2021-08-06 13:45:18,714443
-1,-3,-4,-8,-12,-7,-3,-2,2021-08-06 13:45:18,714443
0,1,2,5,9,2,0,0,2021-08-06 13:45:18,714443
-2,0,-1,2,-1,-2,-1,-1,2021-08-06 13:45:18,714443
2,1,3,4,8,4,1,1,2021-08-06 13:45:18,714443
-5,-3,-7,-13,-17,-11,-4,-4,2021-08-06 13:45:18,714443
0,0,4,11,21,10,4,1,2021-08-06 13:45:18,714443
-1,-1,-4,-7,-13,-6,-1,-2,2021-08-06 13:45:18,744468
-1,0,-1,3,9,1,-1,0,2021-08-06 13:45:18,760453
0,-3,-1,-1,-5,-4,-3,-2,2021-08-06 13:45:18,792471
-3,-1,-3,-11,-18,-12,-4,-1,2021-08-06 13:45:18,808418
4,3,6,11,19,12,5,1,2021-08-06 13:45:18,823454
-1,0,-2,-3,-4,-2,-2,-1,2021-08-06 13:45:18,823454
-1,-3,-3,-6,-8,-3,-3,-3,2021-08-06 13:45:18,824425
-2,-3,-1,-3,-7,-3,-3,-1,2021-08-06 13:45:18,840468
0,-3,-1,-1,3,2,-1,0,2021-08-06 13:45:18,840468
