EMG 1,EMG 2,EMG 3,EMG 4,EMG 5,EMG 6,EMG 7,EMG 8,Timestamp,Milliseconds
-6,-8,-4,-3,-9,-12,-8,-4,2021-08-06 14:03:53,124484
1,2,7,26,24,8,2,2,2021-08-06 14:03:53,124484
4,5,4,-3,-7,1,4,4,2021-08-06 14:03:53,124484
-1,-1,5,2,13,7,3,-1,2021-08-06 14:03:53,124484
0,-1,-8,-2,-8,-3,0,1,2021-08-06 14:03:53,124484
-5,-5,-11,-16,-33,-20,-9,-6,2021-08-06 14:03:53,124484
1,2,7,28,32,16,4,2,2021-08-06 14:03:53,124484
3,3,1,4,0,2,1,1,2021-08-06 14:03:53,125485
4,6,13,14,17,9,6,3,2021-08-06 14:03:53,125485
-3,-4,-4,-9,-11,-5,-4,-2,2021-08-06 14:03:53,125485
-2,-2,-2,1,4,-3,-3,-3,2021-08-06 14:03:53,140484
-6,-7,-8,-15,-19,-15,-9,-6,2021-08-06 14:03:53,140717
-1,-1,5,7,7,2,-2,-1,2021-08-06 14:03:53,140717
-1,-4,-5,2,-2,0,1,2,2021-08-06 14:03:53,140717
5,7,5,-9,-13,0,3,3,2021-08-06 14:03:53,155993
1,1,-3,-7,8,3,1,0,2021-08-06 14:03:53,155993
-2,0,-1,4,-3,0,-3,-3,2021-08-06 14:03:53,171994
-2,-1,0,-2,11,6,0,-2,2021-08-06 14:03:53,171994
-6,-10,-11,-24,-14,-8,-7,-7,2021-08-06 14:03:53,171994
3,6,15,34,24,9,3,4,2021-08-06 14:03:53,171994
1,-1,-8,-19,-22,-11,-4,-1,2021-08-06 14:03:53,187994
-1,-2,-5,-15,-9,-1,0,-3,2021-08-06 14:03:53,203993
-6,-7,-9,-3,-4,-7,-3,-3,2021-08-06 14:03:53,219994
4,4,8,21,21,11,7,3,2021-08-06 14:03:53,219994
-3,-2,-6,-9,-16,-11,-6,-4,2021-08-06 14:03:53,247995
4,4,10,10,31,17,9,4,2021-08-06 14:03:53,247995
-1,-1,6,16,18,13,6,0,2021-08-06 14:03:53,247995
-2,-4,-16,-20,-18,-8,-3,-2,2021-08-06 14:03:53,247995
-2,-3,-4,7,-4,-4,-3,-1,2021-08-06 14:03:53,248995
7,14,17,19,26,14,8,5,2021-08-06 14:03:53,248995
-4,-7,-4,-25,-20,-10,-6,-5,2021-08-06 14:03:53,248995
-7,-10,-24,-56,-17,-4,-4,-6,2021-08-06 14:03:53,248995
-6,-11,-17,-24,-8,-6,-4,-3,2021-08-06 14:03:53,248995
-7,-10,-16,0,-20,-17,-8,-5,2021-08-06 14:03:53,248995
5,6,12,29,7,5,3,3,2021-08-06 14:03:53,266993
12,19,35,56,43,22,12,11,2021-08-06 14:03:53,266993
6,7,10,2,-5,0,1,3,2021-08-06 14:03:53,266993
-7,-7,-7,-15,-23,-8,-5,-5,2021-08-06 14:03:53,266993
2,0,-2,8,17,8,3,1,2021-08-06 14:03:53,299043
-5,-8,-6,4,7,1,-1,-3,2021-08-06 14:03:53,299043
-2,-2,-1,-5,-6,-4,-3,-1,2021-08-06 14:03:53,299043
-5,-6,-7,-19,-26,-16,-11,-6,2021-08-06 14:03:53,299043
-4,-1,-7,-14,-19,-12,-7,-5,2021-08-06 14:03:53,314994
7,8,14,29,32,19,9,6,2021-08-06 14:03:53,314994
0,-1,4,6,10,3,1,-1,2021-08-06 14:03:53,314994
-4,-8,-10,-6,-7,-7,-5,-5,2021-08-06 14:03:53,314994
4,3,-1,-16,-21,-7,1,2,2021-08-06 14:03:53,329994
-3,-5,-4,-6,-6,-7,-6,-4,2021-08-06 14:03:53,329994
1,-2,-2,1,-7,-4,-1,-2,2021-08-06 14:03:53,329994
4,6,4,-7,-5,-1,2,3,2021-08-06 14:03:53,329994
-4,-7,-9,-5,8,3,0,-1,2021-08-06 14:03:53,360995
1,3,9,9,-1,0,0,2,2021-08-06 14:03:53,360995
-2,-2,-3,-3,1,0,0,-1,2021-08-06 14:03:53,360995
-1,-2,-7,-18,-22,-12,-6,-3,2021-08-06 14:03:53,360995
0,-2,-1,-3,-1,1,-1,0,2021-08-06 14:03:53,376993
-1,-4,-2,0,-1,2,0,-2,2021-08-06 14:03:53,376993
-1,1,2,9,14,8,3,1,2021-08-06 14:03:53,376993
3,7,8,15,24,13,6,3,2021-08-06 14:03:53,376993
-4,-2,-3,-2,-4,-9,-5,-2,2021-08-06 14:03:53,392994
-7,-9,-14,-27,-44,-26,-10,-6,2021-08-06 14:03:53,408993
5,4,9,17,27,20,10,6,2021-08-06 14:03:53,423994
3,2,4,23,19,11,5,1,2021-08-06 14:03:53,423994
-4,-4,-5,-12,-10,-5,-4,-3,2021-08-06 14:03:53,423994
-9,-10,-11,-27,-29,-22,-12,-8,2021-08-06 14:03:53,423994
6,5,5,-2,-6,3,3,3,2021-08-06 14:03:53,423994
1,1,3,7,26,13,6,2,2021-08-06 14:03:53,423994
-4,-5,-5,6,9,3,0,-3,2021-08-06 14:03:53,439993
1,3,3,-3,-11,-7,-4,0,2021-08-06 14:03:53,455994
-6,-6,-9,-26,-42,-28,-11,-6,2021-08-06 14:03:53,471993
4,5,7,18,23,16,7,5,2021-08-06 14:03:53,471993
4,4,3,5,3,2,3,2,2021-08-06 14:03:53,471993
-2,-5,-2,4,5,3,-1,-4,2021-08-06 14:03:53,471993
-2,-3,-2,1,1,-1,-2,-3,2021-08-06 14:03:53,471993
-8,-10,-10,-26,-38,-23,-13,-7,2021-08-06 14:03:53,471993
