EMG 1,EMG 2,EMG 3,EMG 4,EMG 5,EMG 6,EMG 7,EMG 8,Timestamp,Milliseconds
-4,58,11,-8,-9,-6,-5,-7,2021-08-05 17:23:27,249175
3,-6,0,-3,0,1,0,1,2021-08-05 17:23:27,249175
0,-27,2,-2,-2,-3,-1,-2,2021-08-05 17:23:27,249175
-7,14,-10,-1,-1,0,0,1,2021-08-05 17:23:27,264416
0,-14,-8,-5,-5,-2,-2,-4,2021-08-05 17:23:27,264416
-10,-26,-5,-6,-6,-5,-7,-5,2021-08-05 17:23:27,264416
-1,17,10,3,3,1,1,1,2021-08-05 17:23:27,264416
3,43,12,2,-2,-2,-4,0,2021-08-05 17:23:27,264416
6,-24,0,0,0,-1,2,4,2021-08-05 17:23:27,264416
2,17,8,2,1,3,3,2,2021-08-05 17:23:27,264416
-12,-19,-25,-4,-1,0,-1,-3,2021-08-05 17:23:27,265098
5,-6,3,-6,-6,-5,-4,-7,2021-08-05 17:23:27,265098
-2,0,-7,2,4,3,3,2,2021-08-05 17:23:27,265098
8,6,8,6,1,2,2,1,2021-08-05 17:23:27,265098
-2,18,3,-2,0,1,0,1,2021-08-05 17:23:27,265098
-3,20,7,2,1,1,2,1,2021-08-05 17:23:27,265098
2,-38,-7,1,2,0,-2,-2,2021-08-05 17:23:27,280130
-1,29,32,6,3,1,1,1,2021-08-05 17:23:27,280130
-3,-63,-86,-8,-2,0,0,-1,2021-08-05 17:23:27,296230
3,52,8,-9,-8,-7,-5,-4,2021-08-05 17:23:27,296362
-3,-42,12,1,-2,-2,-4,-2,2021-08-05 17:23:27,296362
-3,35,6,0,1,0,-1,0,2021-08-05 17:23:27,296362
2,26,40,5,-1,-2,-3,0,2021-08-05 17:23:27,312224
0,-57,-22,0,5,5,3,4,2021-08-05 17:23:27,312224
9,29,2,0,0,0,-1,-1,2021-08-05 17:23:27,359344
-13,-51,-17,-3,-1,0,0,-2,2021-08-05 17:23:27,359344
-18,2,-2,-9,-9,-9,-6,-9,2021-08-05 17:23:27,359344
1,-2,2,-6,-6,-6,-5,-4,2021-08-05 17:23:27,359344
3,10,-5,5,7,5,3,2,2021-08-05 17:23:27,359344
10,2,36,3,-1,0,0,0,2021-08-05 17:23:27,359899
0,-40,-26,3,5,4,3,2,2021-08-05 17:23:27,359976
-2,2,-15,-4,-2,0,0,1,2021-08-05 17:23:27,359976
-2,15,2,-2,-8,-7,-4,-7,2021-08-05 17:23:27,359976
-1,-27,-20,-1,3,1,3,1,2021-08-05 17:23:27,359976
4,114,48,2,-3,-3,-3,-3,2021-08-05 17:23:27,374484
-1,-110,-28,2,5,5,4,4,2021-08-05 17:23:27,374484
