EMG 1,EMG 2,EMG 3,EMG 4,EMG 5,EMG 6,EMG 7,EMG 8,Timestamp,Milliseconds
12,47,-16,2,4,1,1,3,2021-08-05 17:21:13,480366
-11,-98,-24,-5,-2,1,-1,0,2021-08-05 17:21:13,480657
-11,40,-1,-7,-5,-4,-4,-6,2021-08-05 17:21:13,496596
8,42,28,2,-2,-3,-3,-3,2021-08-05 17:21:13,496596
-3,-6,-11,1,2,1,0,1,2021-08-05 17:21:13,496596
6,22,3,0,-1,-3,-1,0,2021-08-05 17:21:13,496596
1,9,-1,-1,2,2,2,2,2021-08-05 17:21:13,496596
-7,-40,-3,0,0,0,0,0,2021-08-05 17:21:13,496596
2,51,29,3,-1,0,-2,-2,2021-08-05 17:21:13,497042
5,-42,-25,-3,-2,-1,1,-1,2021-08-05 17:21:13,497172
-14,-19,-11,-3,-1,-1,-2,-2,2021-08-05 17:21:13,497172
1,32,12,-2,-1,-2,0,-3,2021-08-05 17:21:13,497334
-2,-27,-11,-4,-3,-3,-3,0,2021-08-05 17:21:13,497334
8,39,22,3,3,4,1,1,2021-08-05 17:21:13,497334
10,-5,-12,1,-1,-1,0,1,2021-08-05 17:21:13,512516
-25,-38,-13,-6,-1,-1,-2,-3,2021-08-05 17:21:13,512516
0,25,5,-2,-2,-2,-1,-2,2021-08-05 17:21:13,527475
3,-4,2,-1,0,-2,0,1,2021-08-05 17:21:13,527475
5,-56,3,1,0,0,0,1,2021-08-05 17:21:13,527475
2,-9,-21,-1,1,1,0,2,2021-08-05 17:21:13,527475
-4,-4,-6,-7,-8,-5,-6,-7,2021-08-05 17:21:13,542509
-5,31,11,0,-1,-2,-5,-5,2021-08-05 17:21:13,558616
12,14,14,4,2,2,1,1,2021-08-05 17:21:13,571509
-10,-27,-6,-1,-1,-2,0,0,2021-08-05 17:21:13,571509
2,-16,4,-2,-1,0,0,-1,2021-08-05 17:21:13,590256
-7,9,-5,-1,-1,2,0,1,2021-08-05 17:21:13,590510
0,-24,-7,-3,-4,-4,-2,-2,2021-08-05 17:21:13,605509
-3,12,18,1,-1,-3,-1,-3,2021-08-05 17:21:13,605509
3,-15,-22,-2,-2,0,1,1,2021-08-05 17:21:13,605509
1,0,3,-2,-3,0,0,0,2021-08-05 17:21:13,605509
-2,9,3,2,2,2,0,-1,2021-08-05 17:21:13,605509
1,2,2,-1,-1,0,-1,0,2021-08-05 17:21:13,605509
7,28,0,1,0,-1,0,0,2021-08-05 17:21:13,606016
-7,-43,-14,-2,-1,-2,-1,0,2021-08-05 17:21:13,606016
-5,43,14,-1,-2,-1,-2,-1,2021-08-05 17:21:13,621509
-12,-36,-25,-2,-1,-2,-1,-3,2021-08-05 17:21:13,637575
-2,39,16,0,-2,0,-1,-3,2021-08-05 17:21:13,637575
10,-44,-5,1,-1,-2,-1,-1,2021-08-05 17:21:13,637575
-1,13,-3,-4,-3,-2,-2,0,2021-08-05 17:21:13,637575
0,12,2,-3,-2,-1,-2,-1,2021-08-05 17:21:13,637575
-3,49,8,2,0,-2,-3,-4,2021-08-05 17:21:13,653510
-1,-43,9,3,1,1,1,3,2021-08-05 17:21:13,653772
12,12,-8,-1,0,-1,-1,-2,2021-08-05 17:21:13,668987
-14,46,4,-2,-4,-3,-1,-2,2021-08-05 17:21:13,684982
-4,-88,-16,0,0,0,1,0,2021-08-05 17:21:13,684982
1,31,6,-3,-2,-2,-1,-4,2021-08-05 17:21:13,684982
3,0,17,5,0,1,1,2,2021-08-05 17:21:13,684982
12,-28,-46,-4,0,2,-1,0,2021-08-05 17:21:13,684982
-13,17,22,-5,-6,-6,-5,-5,2021-08-05 17:21:13,684982
0,10,-7,-3,2,0,1,-1,2021-08-05 17:21:13,685839
-5,-5,-12,0,1,2,1,2,2021-08-05 17:21:13,700345
1,-41,17,3,1,2,2,0,2021-08-05 17:21:13,700583
-2,-14,-1,4,0,3,1,1,2021-08-05 17:21:13,700763
4,47,19,0,-4,-4,-5,-6,2021-08-05 17:21:13,700839
-2,-14,-14,1,-1,-2,-2,0,2021-08-05 17:21:13,731943
7,-9,-5,-2,-5,-5,-5,-1,2021-08-05 17:21:13,732078
-5,0,-5,-2,-3,-1,-2,2,2021-08-05 17:21:13,732261
1,6,-2,-2,-1,-1,0,1,2021-08-05 17:21:13,732261
-1,47,10,0,1,2,0,0,2021-08-05 17:21:13,747549
-7,-68,1,4,4,4,2,0,2021-08-05 17:21:13,747615
-5,-2,-17,-4,0,-2,0,-2,2021-08-05 17:21:13,747985
1,36,11,1,0,-1,0,-1,2021-08-05 17:21:13,747985
-3,-51,-8,-1,0,1,-1,2,2021-08-05 17:21:13,763586
5,8,-1,-5,-5,-2,-3,-2,2021-08-05 17:21:13,779457
0,29,-2,-1,1,-1,-2,-2,2021-08-05 17:21:13,779457
-7,-5,8,-3,-5,-3,-3,-3,2021-08-05 17:21:13,779836
2,-39,-2,1,3,-2,3,-1,2021-08-05 17:21:13,795457
-1,1,-18,2,3,0,3,-1,2021-08-05 17:21:13,811457
3,6,7,-5,-6,-4,-3,-3,2021-08-05 17:21:13,827679
1,5,-9,-1,-2,0,-1,0,2021-08-05 17:21:13,827811
7,23,25,4,2,1,-2,0,2021-08-05 17:21:13,827963
-14,-41,-20,1,3,2,1,2,2021-08-05 17:21:13,828084
-1,21,5,-5,-6,-3,-3,-3,2021-08-05 17:21:13,828224
2,-20,-14,-3,-2,-3,-2,-3,2021-08-05 17:21:13,828442
-4,3,0,-3,-3,-2,-3,-3,2021-08-05 17:21:13,828525
4,39,21,3,-1,-1,1,1,2021-08-05 17:21:13,828541
3,-55,-13,5,6,4,3,3,2021-08-05 17:21:13,828643
-4,27,18,3,-2,-1,-1,0,2021-08-05 17:21:13,828679
-2,-22,-23,-3,0,-1,1,0,2021-08-05 17:21:13,852548
3,26,0,-4,-4,-3,-3,-2,2021-08-05 17:21:13,852548
0,-13,7,0,0,-1,0,0,2021-08-05 17:21:13,852548
1,15,0,2,3,3,1,0,2021-08-05 17:21:13,852548
-5,-40,-6,-2,-2,-1,-2,-2,2021-08-05 17:21:13,874457
4,19,11,-2,0,-1,-2,1,2021-08-05 17:21:13,874677
0,-6,-21,-3,-3,-2,-2,0,2021-08-05 17:21:13,874677
-9,-31,-7,-4,-4,-4,-2,-2,2021-08-05 17:21:13,874863
-3,57,1,-3,-4,-3,-2,-4,2021-08-05 17:21:13,890457
1,-22,8,4,3,0,-1,2,2021-08-05 17:21:13,890457
4,7,6,3,1,0,0,0,2021-08-05 17:21:13,890457
1,-3,-2,0,1,0,0,1,2021-08-05 17:21:13,890457
-5,7,-10,-1,-2,-1,0,-2,2021-08-05 17:21:13,922617
7,13,-1,-4,-3,0,0,0,2021-08-05 17:21:13,922617
4,1,5,2,2,1,1,1,2021-08-05 17:21:13,922617
-18,-2,-4,1,2,1,2,-4,2021-08-05 17:21:13,922617
2,18,3,-1,-4,-2,-3,-2,2021-08-05 17:21:13,922617
6,22,-11,-1,0,-1,1,2,2021-08-05 17:21:13,923460
-3,-47,-13,0,0,1,-4,-1,2021-08-05 17:21:13,938457
5,31,6,-6,-4,-3,-4,-2,2021-08-05 17:21:13,938457
7,-45,4,-1,0,-3,0,1,2021-08-05 17:21:13,953566
-6,18,8,3,2,1,1,-1,2021-08-05 17:21:13,968457
-20,14,3,-3,-2,0,-2,-1,2021-08-05 17:21:13,984580
9,-16,-8,0,2,1,0,1,2021-08-05 17:21:13,984580
-5,5,0,-3,-3,-3,-4,-2,2021-08-05 17:21:13,984868
10,49,15,0,-1,0,-2,-1,2021-08-05 17:21:13,984868
1,-49,-3,1,-1,-1,1,0,2021-08-05 17:21:13,984868
-2,-21,-21,4,3,3,3,3,2021-08-05 17:21:13,985175
0,7,6,-5,-4,-3,-3,-5,2021-08-05 17:21:13,985276
-4,-2,5,-1,-2,-2,-2,-2,2021-08-05 17:21:13,985276
1,15,6,-2,-2,-1,-2,-1,2021-08-05 17:21:13,985458
-1,-13,-9,-3,0,2,-1,1,2021-08-05 17:21:13,985458
-1,-11,-9,-2,0,1,0,1,2021-08-05 17:21:14,015609
-8,-6,5,-2,-2,-1,-2,-3,2021-08-05 17:21:14,031569
1,28,1,2,0,0,0,0,2021-08-05 17:21:14,031569
4,-11,-5,-2,-2,-3,-3,-4,2021-08-05 17:21:14,031733
-4,-6,6,0,-1,1,-1,1,2021-08-05 17:21:14,031733
-5,14,-12,1,0,-1,-2,-2,2021-08-05 17:21:14,031733
8,-54,11,-1,-1,-2,1,2,2021-08-05 17:21:14,031901
3,-6,-12,1,1,2,0,0,2021-08-05 17:21:14,031901
-5,11,-1,-2,-5,-4,-3,-2,2021-08-05 17:21:14,047576
-22,-15,-10,-4,0,-3,-2,-5,2021-08-05 17:21:14,047716
10,62,6,-3,-2,-4,-3,-3,2021-08-05 17:21:14,047716
5,-13,17,2,-1,-1,-1,4,2021-08-05 17:21:14,047716
13,-43,-20,3,4,3,2,4,2021-08-05 17:21:14,063458
-5,7,3,-5,-6,-3,-6,-3,2021-08-05 17:21:14,079457
-15,-4,-9,-2,-1,0,0,-4,2021-08-05 17:21:14,095457
1,17,11,-1,-2,-1,-1,-2,2021-08-05 17:21:14,111457
-1,23,9,3,2,2,2,1,2021-08-05 17:21:14,126841
11,-13,2,3,1,0,1,3,2021-08-05 17:21:14,126841
-1,3,-22,-3,-3,-1,-2,-1,2021-08-05 17:21:14,126841
-10,-9,-4,-1,0,0,0,0,2021-08-05 17:21:14,127474
-2,25,6,2,-2,-2,-1,-3,2021-08-05 17:21:14,127474
0,-95,-7,-2,-1,-2,-3,-2,2021-08-05 17:21:14,127474
0,17,8,-5,0,0,1,-1,2021-08-05 17:21:14,127474
1,27,-2,-3,-3,-2,-3,-2,2021-08-05 17:21:14,127474
-3,-15,-12,1,0,0,1,-1,2021-08-05 17:21:14,127474
2,56,8,1,0,0,1,2,2021-08-05 17:21:14,127474
1,-30,-2,3,3,1,1,2,2021-08-05 17:21:14,127474
-1,-16,-5,-3,-1,-1,-1,-1,2021-08-05 17:21:14,127474
-3,37,9,3,1,1,1,1,2021-08-05 17:21:14,158586
1,-11,3,-1,-4,-1,-2,-1,2021-08-05 17:21:14,174585
-1,5,-5,0,0,0,1,-2,2021-08-05 17:21:14,174585
-2,-8,-9,-2,0,-2,0,-1,2021-08-05 17:21:14,174585
-3,-9,0,-4,-4,-4,-3,-4,2021-08-05 17:21:14,174585
3,18,1,0,0,-2,0,0,2021-08-05 17:21:14,174585
0,-30,1,2,-1,-2,-1,-2,2021-08-05 17:21:14,174585
3,53,10,3,1,1,2,2,2021-08-05 17:21:14,174585
-10,-61,-16,-1,2,-2,-2,-3,2021-08-05 17:21:14,190581
-11,-17,-8,-6,-3,-5,-3,-5,2021-08-05 17:21:14,190581
7,35,6,-1,0,-2,0,1,2021-08-05 17:21:14,190581
-1,8,-6,-4,-2,-2,-1,-1,2021-08-05 17:21:14,190581
-3,7,16,2,-2,1,-1,2,2021-08-05 17:21:14,206457
11,18,6,-2,0,0,0,0,2021-08-05 17:21:14,206457
-17,-11,-14,-2,-4,-3,-2,-2,2021-08-05 17:21:14,222457
8,-36,3,3,2,1,1,-1,2021-08-05 17:21:14,238592
1,-17,-15,-2,0,-1,0,-2,2021-08-05 17:21:14,238809
-3,0,5,-5,-3,-1,-3,-3,2021-08-05 17:21:14,238937
6,35,9,1,-2,-1,-1,-1,2021-08-05 17:21:14,239034
-11,-29,1,0,-1,0,0,0,2021-08-05 17:21:14,239136
-4,-1,-13,-2,2,2,0,0,2021-08-05 17:21:14,254581
3,9,1,-2,-2,-3,-1,-2,2021-08-05 17:21:14,270530
7,-15,-3,1,1,0,0,0,2021-08-05 17:21:14,270653
-6,31,9,2,-1,-3,-1,-1,2021-08-05 17:21:14,286538
