EMG 1,EMG 2,EMG 3,EMG 4,EMG 5,EMG 6,EMG 7,EMG 8,Timestamp,Milliseconds
-7,-10,-16,-36,-33,-16,-9,-7,2021-08-06 13:54:47,341168
-3,-6,-17,-48,-13,-3,-2,-2,2021-08-06 13:54:47,341168
-8,-12,-7,-8,-15,-10,-9,-7,2021-08-06 13:54:47,341168
5,6,14,30,38,15,6,3,2021-08-06 13:54:47,341168
4,6,3,18,8,6,4,3,2021-08-06 13:54:47,341168
-2,-2,1,-4,-16,-10,-5,-4,2021-08-06 13:54:47,341168
-1,-1,1,-8,-11,-5,-2,-1,2021-08-06 13:54:47,341168
-4,-6,-8,-3,2,1,-1,-3,2021-08-06 13:54:47,341168
5,11,16,12,8,2,4,2,2021-08-06 13:54:47,341168
1,-1,-5,8,1,-1,-1,0,2021-08-06 13:54:47,341168
1,0,-3,-4,-5,-4,-1,0,2021-08-06 13:54:47,357118
-4,-5,-6,-11,-18,-8,-5,-4,2021-08-06 13:54:47,357118
-2,-6,-6,-10,1,1,1,2,2021-08-06 13:54:47,373115
-2,-3,-1,-2,3,1,0,-1,2021-08-06 13:54:47,373115
1,2,3,6,9,6,3,2,2021-08-06 13:54:47,373115
-3,-4,-3,-5,-10,-4,-5,-2,2021-08-06 13:54:47,373115
-4,-5,-7,-7,-11,-9,-9,-5,2021-08-06 13:54:47,404120
0,3,6,14,6,0,-1,-1,2021-08-06 13:54:47,404120
-4,-4,-6,-9,-7,-3,-3,-4,2021-08-06 13:54:47,404120
2,4,1,-3,6,3,1,0,2021-08-06 13:54:47,404120
1,0,6,10,14,7,4,1,2021-08-06 13:54:47,420160
2,3,10,29,16,4,2,-1,2021-08-06 13:54:47,420160
-1,-5,-13,-10,-18,-12,-4,-3,2021-08-06 13:54:47,436118
-4,-6,-11,-48,-18,-4,0,-1,2021-08-06 13:54:47,452167
3,5,5,11,0,-1,0,3,2021-08-06 13:54:47,462119
-2,-1,2,1,-19,-13,-7,-4,2021-08-06 13:54:47,462119
4,5,10,31,16,9,6,3,2021-08-06 13:54:47,462119
-1,-3,-3,-15,-5,-3,-3,-2,2021-08-06 13:54:47,462119
-5,-7,1,-25,-14,-5,-3,-3,2021-08-06 13:54:47,462119
-1,-8,-32,-20,2,2,0,-2,2021-08-06 13:54:47,462119
-5,-8,-15,-14,-15,-11,-7,-2,2021-08-06 13:54:47,463153
0,0,5,20,5,0,-1,0,2021-08-06 13:54:47,463153
1,5,15,14,4,-2,-2,-3,2021-08-06 13:54:47,484155
4,5,20,28,17,10,4,3,2021-08-06 13:54:47,484155
-3,-3,-8,-10,-1,0,-2,-2,2021-08-06 13:54:47,484155
-3,-3,-12,-26,-17,-7,-2,-2,2021-08-06 13:54:47,484155
-7,-8,-13,-29,-28,-15,-8,-5,2021-08-06 13:54:47,499153
3,5,10,18,24,11,5,3,2021-08-06 13:54:47,514167
-2,0,2,12,11,4,2,-1,2021-08-06 13:54:47,530167
3,6,9,16,3,2,3,3,2021-08-06 13:54:47,530167
5,6,1,15,11,4,3,2,2021-08-06 13:54:47,530167
-3,-4,-5,-4,-10,-7,-3,-3,2021-08-06 13:54:47,530167
-2,-4,-6,-18,-10,-4,0,-1,2021-08-06 13:54:47,530167
-1,1,2,1,6,3,0,0,2021-08-06 13:54:47,530167
-1,-3,-6,-1,0,0,-1,-1,2021-08-06 13:54:47,530167
0,1,1,5,6,6,0,0,2021-08-06 13:54:47,531152
0,1,6,6,0,-2,-3,0,2021-08-06 13:54:47,562118
-4,-6,-4,-22,-14,-6,-6,-5,2021-08-06 13:54:47,578153
-4,-6,-17,-10,-4,-3,-3,-2,2021-08-06 13:54:47,594118
-1,1,1,-4,-5,-3,-2,-1,2021-08-06 13:54:47,610119
-2,-3,-1,-4,-10,-6,-3,-3,2021-08-06 13:54:47,625122
3,2,2,16,14,8,3,3,2021-08-06 13:54:47,625122
-1,-1,3,6,0,1,2,1,2021-08-06 13:54:47,625122
0,0,-1,-8,-13,-6,-1,-1,2021-08-06 13:54:47,625122
3,3,2,7,8,6,2,1,2021-08-06 13:54:47,625122
-2,-3,0,1,-2,-1,-2,-2,2021-08-06 13:54:47,625122
-5,-8,-8,-9,-9,-8,-5,-4,2021-08-06 13:54:47,625122
1,3,3,0,-2,0,1,2,2021-08-06 13:54:47,626119
2,5,10,10,15,9,4,2,2021-08-06 13:54:47,626119
1,3,3,14,6,1,0,-2,2021-08-06 13:54:47,626119
-1,-2,-9,-10,-12,-3,-3,-2,2021-08-06 13:54:47,626119
-9,-11,-14,-41,-25,-15,-8,-6,2021-08-06 13:54:47,626119
-2,-4,-3,-4,-4,-1,-1,-1,2021-08-06 13:54:47,626119
1,-1,-3,-5,10,5,2,1,2021-08-06 13:54:47,626119
-1,1,7,17,9,0,0,-1,2021-08-06 13:54:47,641169
3,2,7,16,10,6,3,2,2021-08-06 13:54:47,657119
1,0,-1,-6,-13,-5,-3,-1,2021-08-06 13:54:47,673116
-3,-4,-6,-11,-11,-5,-3,-3,2021-08-06 13:54:47,688167
-3,-1,-3,-9,-6,-2,-2,-2,2021-08-06 13:54:47,688167
1,1,6,15,23,13,5,0,2021-08-06 13:54:47,688167
-2,-1,-3,-2,-4,-5,-2,-3,2021-08-06 13:54:47,688167
0,1,-2,6,1,-1,1,1,2021-08-06 13:54:47,688167
0,0,0,1,4,2,2,0,2021-08-06 13:54:47,688167
-6,-5,-8,-17,-22,-13,-8,-5,2021-08-06 13:54:47,688167
-2,0,0,6,14,5,0,-1,2021-08-06 13:54:47,688167
-1,-1,-2,-4,-5,-2,-2,0,2021-08-06 13:54:47,689169
0,0,0,-5,-5,1,1,-2,2021-08-06 13:54:47,704120
