EMG 1,EMG 2,EMG 3,EMG 4,EMG 5,EMG 6,EMG 7,EMG 8,Timestamp,Milliseconds
4,2,1,-6,-2,4,4,4,2021-08-06 13:42:57,308640
1,-1,-2,-3,1,1,-2,-2,2021-08-06 13:42:57,308640
0,-2,4,9,4,3,2,-1,2021-08-06 13:42:57,308640
-1,-2,-10,-11,-3,-3,-2,-2,2021-08-06 13:42:57,308640
-4,-3,-4,-8,-15,-12,-5,-3,2021-08-06 13:42:57,308640
-1,-1,-2,-2,-7,-1,0,-1,2021-08-06 13:42:57,308640
2,3,4,9,20,11,4,3,2021-08-06 13:42:57,324642
-2,-3,1,2,-8,-5,-3,-3,2021-08-06 13:42:57,324642
-3,-2,-3,-3,-1,-1,-1,-1,2021-08-06 13:42:57,324642
-3,-1,-1,-7,-14,-9,-5,-3,2021-08-06 13:42:57,324642
0,0,-4,-4,-1,-1,0,1,2021-08-06 13:42:57,340642
2,3,5,13,15,9,4,2,2021-08-06 13:42:57,340642
-1,-4,-4,-9,-4,-4,-6,-3,2021-08-06 13:42:57,340642
-1,-3,-2,-4,2,2,3,0,2021-08-06 13:42:57,340642
-1,-2,-3,-4,-9,-6,-3,-1,2021-08-06 13:42:57,356640
3,1,0,7,7,4,2,1,2021-08-06 13:42:57,356640
0,0,5,20,8,5,2,1,2021-08-06 13:42:57,356640
-3,-1,-1,-23,-13,-7,-4,-3,2021-08-06 13:42:57,356640
-5,-7,-6,-14,-17,-13,-7,-4,2021-08-06 13:42:57,372640
-2,-1,-6,-4,-8,-2,-1,-1,2021-08-06 13:42:57,372640
-2,-2,-7,2,2,0,0,-3,2021-08-06 13:42:57,388641
5,7,9,15,32,19,8,5,2021-08-06 13:42:57,388641
3,3,2,19,10,3,2,3,2021-08-06 13:42:57,433642
3,5,5,4,4,3,3,2,2021-08-06 13:42:57,434677
-3,-4,-7,-31,-23,-15,-7,-4,2021-08-06 13:42:57,434677
-6,-5,-3,-12,-27,-14,-9,-6,2021-08-06 13:42:57,434677
0,1,4,15,35,19,7,4,2021-08-06 13:42:57,434677
-2,-1,1,3,-1,0,-1,-2,2021-08-06 13:42:57,434677
1,3,8,20,10,3,1,0,2021-08-06 13:42:57,434677
1,-1,-4,-1,5,1,0,1,2021-08-06 13:42:57,434677
-1,-3,-9,-17,-15,-8,-6,-3,2021-08-06 13:42:57,450640
-2,-1,-5,-5,-9,-5,-3,0,2021-08-06 13:42:57,450640
-4,-3,-3,-7,-10,-8,-5,-3,2021-08-06 13:42:57,450640
0,1,6,16,10,5,3,0,2021-08-06 13:42:57,450640
0,-1,2,6,2,1,1,-1,2021-08-06 13:42:57,450640
5,3,7,-3,16,14,9,6,2021-08-06 13:42:57,450640
-1,-4,-11,-5,-9,-5,-3,-3,2021-08-06 13:42:57,481640
