EMG 1,EMG 2,EMG 3,EMG 4,EMG 5,EMG 6,EMG 7,EMG 8,Timestamp,Milliseconds
-5,-7,-11,-30,-19,-10,-7,-6,2021-08-06 14:06:47,305490
1,1,1,1,3,1,2,4,2021-08-06 14:06:47,305490
-1,-3,-1,2,-6,-3,-2,-3,2021-08-06 14:06:47,305490
2,3,12,27,27,13,6,3,2021-08-06 14:06:47,305490
2,1,5,21,21,12,5,2,2021-08-06 14:06:47,305490
-1,-2,-6,-14,-6,-4,-4,-4,2021-08-06 14:06:47,305490
-6,-7,-8,-18,-15,-11,-8,-5,2021-08-06 14:06:47,305490
0,1,2,-1,-11,-5,-2,1,2021-08-06 14:06:47,305490
5,6,12,36,46,24,7,3,2021-08-06 14:06:47,337489
-3,-5,-4,-6,-18,-11,-6,-5,2021-08-06 14:06:47,337489
0,-4,-11,-32,-9,-1,1,0,2021-08-06 14:06:47,337489
-8,-9,-18,-37,-41,-25,-12,-11,2021-08-06 14:06:47,337489
4,5,9,13,6,5,5,5,2021-08-06 14:06:47,337489
6,6,14,33,23,13,5,4,2021-08-06 14:06:47,338535
2,3,11,20,4,0,0,0,2021-08-06 14:06:47,353492
-1,-1,-1,-3,-7,-6,-4,-2,2021-08-06 14:06:47,353492
-1,-3,-18,-21,-15,-4,0,-1,2021-08-06 14:06:47,353492
-7,-10,-20,-51,-7,0,-4,-7,2021-08-06 14:06:47,353492
-2,-4,4,4,-3,-4,-3,-2,2021-08-06 14:06:47,385528
-1,-1,-1,1,-4,0,0,0,2021-08-06 14:06:47,401528
1,1,14,26,11,-1,-1,-1,2021-08-06 14:06:47,417527
2,4,4,11,-10,-6,-3,0,2021-08-06 14:06:47,417527
1,1,2,16,14,10,2,1,2021-08-06 14:06:47,417527
1,2,1,-5,5,5,4,3,2021-08-06 14:06:47,417527
2,2,7,11,-3,-1,0,0,2021-08-06 14:06:47,433491
1,3,-4,0,4,6,2,0,2021-08-06 14:06:47,433491
-4,-5,-10,-20,-22,-14,-6,-4,2021-08-06 14:06:47,433491
7,9,15,35,55,29,14,7,2021-08-06 14:06:47,433491
-1,-2,1,5,0,-3,-3,-1,2021-08-06 14:06:47,449493
-1,-2,1,2,-10,-5,-3,-2,2021-08-06 14:06:47,449493
-4,-3,-6,-19,-18,-15,-9,-6,2021-08-06 14:06:47,449493
-2,-1,-2,2,-4,0,0,0,2021-08-06 14:06:47,449493
1,0,1,10,10,6,4,0,2021-08-06 14:06:47,449493
-2,-2,-4,-5,-5,-3,-2,-2,2021-08-06 14:06:47,449493
1,1,2,8,7,7,2,1,2021-08-06 14:06:47,449493
-3,-6,0,-16,-16,-8,-4,-3,2021-08-06 14:06:47,449493
0,0,-5,3,3,1,0,1,2021-08-06 14:06:47,465538
0,-1,-3,-4,0,-3,1,-1,2021-08-06 14:06:47,481534
-5,-6,-5,-19,-19,-10,-7,-5,2021-08-06 14:06:47,481534
1,1,-11,-9,16,5,0,0,2021-08-06 14:06:47,481534
-8,-9,1,-16,-30,-14,-10,-8,2021-08-06 14:06:47,481534
3,2,-3,-1,18,9,4,3,2021-08-06 14:06:47,481534
0,2,6,26,16,6,3,0,2021-08-06 14:06:47,513538
-3,-2,5,9,-9,-8,-6,-5,2021-08-06 14:06:47,515494
4,4,-5,-6,16,11,6,4,2021-08-06 14:06:47,515494
-6,-4,0,-7,-13,-12,-7,-4,2021-08-06 14:06:47,515494
5,4,11,19,16,12,7,5,2021-08-06 14:06:47,529494
1,2,-6,-5,-1,1,0,0,2021-08-06 14:06:47,529494
-3,-3,-4,-2,-11,-10,-6,-2,2021-08-06 14:06:47,529494
-3,-3,2,-5,-16,-9,-4,-3,2021-08-06 14:06:47,529494
4,4,8,20,25,17,9,3,2021-08-06 14:06:47,544530
0,0,-7,4,12,8,4,1,2021-08-06 14:06:47,560489
-6,-8,-23,-60,-23,-8,-5,-6,2021-08-06 14:06:47,576530
-8,-8,-6,-9,-22,-17,-11,-6,2021-08-06 14:06:47,592491
-2,-3,1,3,-11,-7,-4,-1,2021-08-06 14:06:47,592491
2,3,6,14,12,5,2,0,2021-08-06 14:06:47,592491
2,6,4,24,27,12,5,2,2021-08-06 14:06:47,592491
2,3,2,9,11,7,3,2,2021-08-06 14:06:47,592491
-3,-2,0,-7,-17,-12,-6,-4,2021-08-06 14:06:47,592491
-1,0,3,-3,-17,-8,-2,-1,2021-08-06 14:06:47,592491
-2,0,0,-3,3,3,1,0,2021-08-06 14:06:47,592491
2,0,3,9,17,12,5,0,2021-08-06 14:06:47,593493
-4,-3,-13,-16,-12,-7,-3,-2,2021-08-06 14:06:47,608491
-4,-5,-1,1,-17,-10,-6,-4,2021-08-06 14:06:47,608491
3,1,-4,-7,7,3,2,3,2021-08-06 14:06:47,608491
-2,-2,-3,-6,6,4,3,-2,2021-08-06 14:06:47,608491
-2,-2,-1,3,2,-3,-3,-3,2021-08-06 14:06:47,640493
-3,-3,-1,-12,-22,-14,-8,-4,2021-08-06 14:06:47,640493
2,5,15,28,3,2,2,2,2021-08-06 14:06:47,640493
1,2,1,13,12,8,0,3,2021-08-06 14:06:47,640493
-3,-2,-12,-14,-1,0,-2,-2,2021-08-06 14:06:47,640493
-6,-9,-19,-39,-30,-16,-8,-6,2021-08-06 14:06:47,640493
-1,-4,-1,-4,2,-3,-2,-1,2021-08-06 14:06:47,640493
3,2,8,11,4,5,5,2,2021-08-06 14:06:47,641493
1,3,11,33,42,22,7,0,2021-08-06 14:06:47,671529
-2,-3,-2,-2,-15,-10,-5,-3,2021-08-06 14:06:47,671529
4,8,8,15,12,10,5,4,2021-08-06 14:06:47,671529
-4,-6,-10,-16,-11,-9,-6,-3,2021-08-06 14:06:47,671529
0,-2,-3,-2,-3,1,-1,2,2021-08-06 14:06:47,702491
-1,1,5,0,2,-1,-1,-2,2021-08-06 14:06:47,718490
-2,-4,-1,3,-5,-5,-3,-4,2021-08-06 14:06:47,734490
-1,-1,-7,-15,-17,-8,-3,0,2021-08-06 14:06:47,734490
-2,-4,-5,-15,-7,-4,-2,-1,2021-08-06 14:06:47,734490
-2,-4,0,4,3,2,1,-1,2021-08-06 14:06:47,734490
-2,-2,-3,6,-4,-3,-5,-3,2021-08-06 14:06:47,734490
0,2,6,15,13,6,0,0,2021-08-06 14:06:47,749490
-1,-2,-5,2,-4,-4,-2,0,2021-08-06 14:06:47,765490
0,-1,-9,-18,-15,-5,-2,0,2021-08-06 14:06:47,765490
-2,-3,-14,-43,-13,-3,1,-2,2021-08-06 14:06:47,765490
-7,-7,-1,1,1,-5,-6,-5,2021-08-06 14:06:47,765490
1,0,4,-6,-6,-2,1,-2,2021-08-06 14:06:47,781490
