EMG 1,EMG 2,EMG 3,EMG 4,EMG 5,EMG 6,EMG 7,EMG 8,Timestamp,Milliseconds
12,10,2,0,1,0,0,1,2021-08-05 17:20:42,511425
5,11,-4,-1,1,-1,0,1,2021-08-05 17:20:42,511425
3,-19,-8,3,2,1,3,2,2021-08-05 17:20:42,511805
-2,8,40,4,2,3,2,1,2021-08-05 17:20:42,512059
2,-39,-49,-6,-1,0,2,-2,2021-08-05 17:20:42,512059
-11,12,3,-6,-4,-4,-6,-3,2021-08-05 17:20:42,512059
0,-13,10,-1,-3,-2,-4,-3,2021-08-05 17:20:42,512059
2,5,-14,-3,-2,-2,-2,0,2021-08-05 17:20:42,512059
-2,47,30,6,3,1,-1,2,2021-08-05 17:20:42,526515
1,-19,-12,2,2,1,3,0,2021-08-05 17:20:42,542576
9,32,-4,-3,-4,-2,-3,-3,2021-08-05 17:20:42,542661
-14,2,-4,-3,-3,-2,-3,-2,2021-08-05 17:20:42,542863
-1,-81,-5,-2,-1,-2,-1,-1,2021-08-05 17:20:42,542863
1,28,-8,-2,-2,-3,-1,-1,2021-08-05 17:20:42,542959
-3,13,11,1,1,0,0,-1,2021-08-05 17:20:42,542959
11,7,1,0,-1,-1,1,0,2021-08-05 17:20:42,542959
-1,32,7,-2,-4,-3,-4,-2,2021-08-05 17:20:42,558560
0,-43,-8,6,5,4,3,4,2021-08-05 17:20:42,558560
-2,-4,-8,-3,-2,0,-2,0,2021-08-05 17:20:42,574479
-13,-10,-2,-3,-3,-3,-3,-5,2021-08-05 17:20:42,574670
-2,38,11,1,1,1,0,-1,2021-08-05 17:20:42,574670
11,-40,21,3,2,1,-1,0,2021-08-05 17:20:42,574670
12,-14,-36,-3,3,2,2,3,2021-08-05 17:20:42,589945
-25,2,-4,-3,-5,-3,-2,-4,2021-08-05 17:20:42,605710
0,-1,7,0,-1,-2,-2,-3,2021-08-05 17:20:42,605710
-2,21,0,-5,-5,-3,-4,-1,2021-08-05 17:20:42,605710
2,-13,15,1,1,0,0,-1,2021-08-05 17:20:42,652538
-3,5,1,1,2,0,2,1,2021-08-05 17:20:42,668584
3,78,16,1,-4,-4,-3,-2,2021-08-05 17:20:42,683626
0,-110,-23,-3,-2,-2,-2,-3,2021-08-05 17:20:42,683626
-16,40,-11,-5,-4,-1,-1,0,2021-08-05 17:20:42,683626
3,30,12,0,-1,0,-3,-3,2021-08-05 17:20:42,683626
1,13,0,0,-1,1,2,2,2021-08-05 17:20:42,683626
2,18,8,-2,-2,-2,0,-1,2021-08-05 17:20:42,683626
2,-35,-2,2,2,1,1,1,2021-08-05 17:20:42,683626
-3,-12,6,-1,0,-1,1,-1,2021-08-05 17:20:42,683626
0,-3,0,2,3,2,0,0,2021-08-05 17:20:42,683626
10,6,-10,-1,-3,-1,-2,0,2021-08-05 17:20:42,683626
-3,-25,-27,-6,-4,-4,-2,-1,2021-08-05 17:20:42,684458
-21,2,9,-1,-2,-2,-2,-3,2021-08-05 17:20:42,684458
5,-6,6,2,1,0,-1,-3,2021-08-05 17:20:42,684458
5,68,21,4,3,2,4,2,2021-08-05 17:20:42,684458
4,-32,-16,0,-1,0,-3,0,2021-08-05 17:20:42,684458
4,-17,0,-5,-4,-1,-3,-1,2021-08-05 17:20:42,684458
-3,-20,-13,2,3,3,1,1,2021-08-05 17:20:42,714513
-10,-8,7,-1,-2,-1,-1,0,2021-08-05 17:20:42,714513
6,34,9,3,1,1,-1,0,2021-08-05 17:20:42,714513
2,-11,-20,-3,-1,0,0,1,2021-08-05 17:20:42,714513
-1,22,2,-3,-2,-4,-2,-4,2021-08-05 17:20:42,730666
-4,-38,6,0,0,-2,-1,-4,2021-08-05 17:20:42,730666
-2,52,-1,0,-2,-2,-2,-4,2021-08-05 17:20:42,730666
4,-16,15,6,4,4,3,6,2021-08-05 17:20:42,730666
